evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 1.9633107482 4.990939 -4.451752 -2.745824 0.495104 -2.552511 3.278064 4.257782 1.142577 4.956856 -2.567650 -0.506533 2.627563 3.705720 3.533077 4.327027
2 3.0662106992 0.566539 -0.616611 4.172784 -0.509695 2.645084 4.424642 -3.005979 -2.965332 -3.554291 -2.446866 -2.122181 -0.911356 1.788351 1.120817 -1.164791
3 1.9057109324 -2.194865 -0.343114 1.806865 2.929597 -3.280277 -1.237964 3.465283 -0.218134 3.769989 -0.604928 4.353384 3.510109 -0.706992 -0.646139 -0.253814
4 2.6397264245 0.926503 2.733060 -3.680854 -2.920283 -0.282912 -2.861150 4.932852 -3.095370 2.044781 0.283993 -1.870326 3.082207 -3.861777 1.812689 -2.613777
5 1.8723745362 3.216542 4.455157 2.067573 -2.871070 2.538620 4.148610 -1.254433 -0.455818 -0.699849 4.355527 -3.458160 -3.834286 3.288169 2.590961 -3.995638
6 3.0331490078 -0.295250 0.491431 3.771486 -4.760375 1.885474 -4.458931 -4.278479 -3.317554 -2.614966 -3.995037 4.592804 0.506465 4.699842 0.711203 -1.799586
7 1.9429890129 1.859755 -1.675071 -0.798286 -1.841265 3.374126 -1.300180 1.116802 0.572642 -3.099710 -4.585679 0.856369 4.540441 0.403549 2.695187 4.020416
8 2.0932581922 -1.620333 1.214651 -1.657282 1.795278 3.465156 -3.411977 -3.638269 0.844746 3.237032 4.775437 -3.077616 -0.847619 3.089675 -2.431551 0.958062
9 1.6913602395 -3.938860 -1.628957 4.550351 -1.902175 2.293926 -0.318919 0.581429 -4.736978 0.490309 2.078105 -4.744609 -0.187383 4.263434 0.225047 -4.138449
10 3.3098846394 0.116610 -0.479204 -4.504507 3.950932 4.198941 1.297271 -4.229184 -3.814294 4.219858 3.151273 4.104494 -4.608936 -3.760355 1.033621 3.461239
11 2.6841404679 0.838969 3.000897 3.691999 -1.981136 -1.577462 -1.371372 2.398163 -0.507162 -3.922534 -0.196736 -1.363157 -2.343911 3.391977 1.275486 -4.419192
12 1.7298217392 -3.105667 2.176033 4.560415 -3.406057 -0.545528 0.535255 0.789160 -4.040240 2.511264 -2.638808 1.184373 3.007738 -4.243970 -1.263659 3.259062
13 1.7922154699 -3.487500 -3.631032 4.322595 2.369006 3.971026 1.608345 3.172154 1.379732 -3.436278 0.622768 -0.393374 -2.447309 3.531926 1.260064 -0.051424
14 1.7276849386 -4.557969 1.939322 1.736343 -0.152004 4.973472 -4.404663 -0.950303 -0.666737 -1.512862 -4.765069 -4.804651 0.811000 1.975757 4.274133 4.394695
15 1.7787416973 -3.514407 0.595469 0.726779 -1.517967 -2.326220 4.895399 3.114153 3.170273 -4.025205 -1.499181 -3.773837 3.829537 4.770935 -3.095757 -1.007982
16 1.8001235762 3.226769 -3.396014 1.376959 0.386734 4.365339 3.627530 -0.981258 -1.172788 2.731899 2.222763 4.291011 -1.156163 4.512078 -1.073170 -1.631982
17 1.8028814791 3.682531 -0.433520 -1.158872 -0.159207 -2.184205 2.597401 -4.475967 -4.827784 -1.387215 1.234798 4.749837 -0.284306 -1.264606 1.221047 -0.488075
18 1.8858412458 4.165961 2.426069 -3.329413 4.565684 -0.673060 1.318330 -4.823113 -0.891271 -4.682164 -4.331269 0.057649 -3.906133 0.989723 3.724437 -4.361189
19 1.9281241068 2.022684 0.918674 0.553292 2.720543 2.601593 -0.946767 0.963976 -4.998333 -1.473628 -4.398609 3.466199 0.687459 -3.932006 3.163917 0.693520
20 1.9394596090 2.085072 -0.419395 3.059460 -1.747591 -1.731637 4.532946 2.667780 -1.420458 -2.320106 -1.547075 -0.894762 -3.440724 -2.557696 3.467584 1.500402
21 1.6308763672 -3.695919 -2.599262 1.021972 -4.498047 0.294420 0.015106 -4.314655 -4.174462 -2.910294 3.426399 4.607474 0.014780 -4.471147 0.101166 0.608713
22 1.9499489814 4.489552 2.339097 -4.558099 0.168412 -2.225866 2.784359 4.381377 2.905564 -0.433953 -2.186909 0.518420 4.331436 2.383078 0.276070 0.449264
23 3.0068201248 -0.609361 3.324274 -3.722916 -1.090854 -3.673008 -1.833300 3.187403 3.912254 2.593438 2.265510 -1.898413 -0.797553 -3.392190 -1.489476 -0.106362
