evaluations raw_y x0 x1 x2 x3 x4
1 -4894.2370233937 4.272806 2.472832 1.549926 2.932714 4.789004
2 -7719.0471836897 1.304327 2.153647 -3.784173 4.910177 0.704985
3 -8081.7273550205 -1.225698 -3.643660 -2.140565 1.641309 2.789586
4 -8348.5011514233 -0.272117 -0.783307 3.147184 -1.567352 0.877795
5 4772.6584000000 4.366626 3.695956 1.616431 -3.371184 -4.178474
6 4140.9305800000 -3.616343 4.625628 -3.123938 2.699627 -3.009518
7 5152.1106000000 4.253709 1.159539 -3.190597 -3.826760 -4.774817
8 -7153.4034982533 2.143603 0.603308 -1.763979 -2.540780 1.305815
9 1163.5786300000 -1.280677 3.780898 -1.144498 1.275183 -0.994252
10 4524.6754000000 3.577462 -1.077681 2.634720 3.097622 -3.964160
11 1731.0786900000 -3.878288 0.270706 0.918653 4.111955 -1.234298
12 -7829.0734215542 -4.365449 -3.426320 -3.335536 -4.514127 4.481038
13 5065.1008000000 -4.832701 4.043064 3.857059 3.459690 -4.785214
14 -8258.3752988925 -2.896109 0.252497 -1.184288 0.632400 1.553988
15 -6206.5718592073 -1.556125 2.665625 0.298925 -0.184437 3.346117
16 -9896.3294249760 -5.000000 -5.000000 5.000000 5.000000 1.356768
17 -10055.0769143922 -5.000000 -5.000000 -5.000000 5.000000 1.263208
18 -6019.0755525398 5.000000 -5.000000 5.000000 5.000000 3.835955
19 -7651.6259679093 5.000000 -5.000000 5.000000 5.000000 1.222695
20 -10457.5342832171 -5.000000 -5.000000 -5.000000 -5.000000 1.204122
21 -10583.3404901345 -5.000000 -5.000000 -5.000000 -5.000000 1.065368
22 -10855.9584589913 -5.000000 -5.000000 -5.000000 5.000000 0.863820
23 -8763.8635898114 -5.000000 -5.000000 -5.000000 -5.000000 3.208107
24 407.4005300000 -5.000000 -5.000000 -5.000000 -5.000000 0.721792
25 -9624.5428673948 -5.000000 -5.000000 -5.000000 5.000000 2.132815
26 -7280.8080906926 -5.000000 5.000000 -5.000000 5.000000 2.011143
27 -9568.3541125274 -5.000000 -5.000000 5.000000 5.000000 2.029914
28 -8846.2363379042 -5.000000 -5.000000 5.000000 -5.000000 2.391088
29 -9780.7313174921 -5.000000 -5.000000 -5.000000 5.000000 2.049371
30 -7466.3623622801 5.000000 -5.000000 -5.000000 5.000000 1.920765
31 -7293.6680170770 -5.000000 5.000000 5.000000 5.000000 1.735819
32 -7055.7426715395 5.000000 -5.000000 -5.000000 -5.000000 2.461748
33 -7684.1995162720 -5.000000 -5.000000 -5.000000 5.000000 5.000000
34 -9636.9517595130 -5.000000 -5.000000 -5.000000 5.000000 2.080105
35 -5880.4219816007 -5.000000 5.000000 5.000000 -5.000000 5.000000
36 -7809.3790952171 -5.000000 -5.000000 5.000000 -5.000000 5.000000
37 -9633.3301151760 -5.000000 -5.000000 5.000000 5.000000 1.895379
38 -9825.5503698827 -5.000000 -5.000000 -5.000000 5.000000 1.932031
39 -5855.7823627921 5.000000 -5.000000 5.000000 -5.000000 5.000000
40 -7396.1158664667 5.000000 -5.000000 5.000000 5.000000 1.575551
41 -10104.6908040406 -5.000000 -5.000000 -5.000000 -5.000000 2.002211
42 -9823.5140436893 -5.000000 -5.000000 -5.000000 5.000000 1.989383
43 -9478.6125729401 -5.000000 -5.000000 5.000000 -5.000000 2.237978
44 -5803.7578884491 -5.000000 5.000000 -5.000000 5.000000 4.160629
45 -9440.2796088416 -5.000000 -5.000000 -0.624164 -5.000000 2.307472
46 -9831.0201291907 -5.000000 -5.000000 -5.000000 5.000000 1.909375
47 -9694.2292603026 -5.000000 -5.000000 5.000000 5.000000 1.788020
48 -9661.9323293889 -5.000000 -5.000000 5.000000 -5.000000 2.180935
49 -9848.0626996232 -5.000000 -5.000000 5.000000 5.000000 1.598685
50 -7422.6058890008 -5.000000 5.000000 -5.000000 -5.000000 2.010363
51 -7329.3778425667 -5.000000 -5.000000 5.000000 5.000000 5.000000
52 -9661.9323293889 -5.000000 -5.000000 5.000000 -5.000000 2.185180
53 -9950.0479579599 -5.000000 -5.000000 -5.000000 5.000000 1.586925
54 -9869.9393838950 -5.000000 -5.000000 5.000000 5.000000 1.476881
55 -9935.2197678892 -5.000000 -5.000000 -5.000000 5.000000 1.508039
56 -7958.4313657919 -5.000000 5.000000 5.000000 5.000000 1.051037
57 -9957.5423711726 -5.000000 -5.000000 -5.000000 5.000000 1.476077
58 -9898.4653077739 -5.000000 -5.000000 5.000000 5.000000 1.380739
59 -10631.7483531058 -4.656077 -5.000000 -3.174902 5.000000 0.986542
60 -10057.1309759552 -5.000000 -5.000000 -5.000000 -0.271180 2.042954
61 -6501.3753576247 -5.000000 3.397091 5.000000 -5.000000 3.010031
62 -8571.8457250220 -5.000000 -5.000000 -5.000000 -5.000000 3.776272
63 -4792.0490419916 5.000000 5.000000 5.000000 -5.000000 4.070163
64 -9559.8726915778 -5.000000 -3.931371 -5.000000 5.000000 1.508391
65 -8208.1208927493 -5.000000 -5.000000 -5.000000 -5.000000 4.754920
66 -10003.5287874108 -5.000000 -5.000000 5.000000 0.875140 1.671188
67 -8176.0845380855 5.000000 -5.000000 -5.000000 5.000000 0.799777
68 -10063.5485441001 -5.000000 -5.000000 5.000000 0.858446 1.656849
69 -10130.0147814205 -5.000000 -5.000000 -5.000000 0.694094 1.720681
70 -10130.0147814205 -5.000000 -5.000000 -5.000000 0.695919 1.719304
71 -9993.7196219905 -5.000000 -5.000000 -5.000000 -5.000000 2.079065
72 -6707.3047291412 5.000000 -5.000000 -5.000000 -5.000000 3.028147
73 -6770.8291214129 -5.000000 5.000000 -4.369353 5.000000 2.554060
74 -10389.0644350835 -5.000000 -5.000000 3.421777 -0.325231 1.086756
75 3453.2775400000 5.000000 -5.000000 5.000000 -5.000000 -2.098301
76 -9959.6125260837 -5.000000 -5.000000 5.000000 5.000000 1.229407
77 -10131.9465653356 -5.000000 -5.000000 -5.000000 0.931316 1.671780
78 -10084.0213221038 -5.000000 -5.000000 5.000000 0.674039 1.655621
79 -8609.1235315829 -5.000000 -5.000000 -5.000000 -5.000000 3.524482
80 -10131.9465653356 -5.000000 -5.000000 -5.000000 0.954749 1.668787
81 -7420.6899509199 -5.000000 -5.000000 5.000000 5.000000 4.511467
82 -10104.6908040406 -5.000000 -5.000000 -5.000000 -5.000000 2.019505
83 -7626.6302559550 5.000000 -5.000000 5.000000 -5.000000 1.606270
84 -8414.3172177061 -5.000000 5.000000 -5.000000 -5.000000 1.055750
85 -8089.1388970678 -5.000000 -5.000000 5.000000 -5.000000 3.455516
86 -9976.0999903882 -5.000000 -5.000000 -5.000000 5.000000 1.340886
87 1377.2612100000 -5.000000 -5.000000 -4.331929 5.000000 -0.241080
