evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 2.4814044798 -0.761233 -1.266801 1.936491 3.372272 -3.532991 -3.790113 -3.373508 -2.658431 -2.098958 1.733588 3.237159 -3.151384 3.077301 3.814190 -2.574303
2 2.4210177068 1.771405 3.636887 2.182234 -0.307256 -2.608171 0.831400 -2.681507 -1.078470 4.450904 2.345629 1.417335 -2.400659 -4.329004 2.735290 -4.417947
3 2.4979380577 0.876385 -3.873695 -0.829387 2.606075 -1.619913 -1.760714 2.928455 1.246975 2.619511 -3.291812 4.988201 -0.461794 -2.713605 0.400722 -2.323764
4 2.3294935017 2.198377 0.158435 4.375334 2.297085 -4.728409 3.374662 -0.209543 -4.711339 -3.874113 -1.950580 0.370323 -0.754021 2.710237 -2.121424 -1.356509
5 1.7272070143 4.851024 3.841715 -4.633367 -4.254412 -0.072899 -4.400043 -1.595382 -0.569750 -0.775296 -0.830357 -0.029685 -4.000864 1.244969 -1.408555 0.421271
6 1.5716417850 4.641433 4.552372 4.558828 -0.065130 1.201701 -3.402684 4.359863 -1.384676 -4.825370 3.295778 -0.477476 3.002159 4.936549 2.390517 -4.010620
7 1.9644404969 3.321855 -2.024831 3.585575 2.937880 0.605453 3.782852 0.433213 -1.568511 -4.720137 3.779779 2.195477 -4.756050 -0.295853 4.528913 2.984402
8 2.3883306824 1.414707 0.892647 -0.393280 4.192427 2.531115 -0.204685 3.770529 0.976117 -4.516326 1.371044 -1.271225 3.323701 0.308210 -3.279899 -1.047502
9 2.6189293467 -0.077580 0.003991 -2.585929 -1.267565 2.332953 3.447896 2.705310 -0.362316 -3.150662 -3.903875 1.917642 4.023665 2.270150 -4.872624 -0.240624
10 2.7974894930 0.210249 1.741307 -4.091523 1.694629 1.583260 2.222135 0.801552 -4.334984 4.982770 3.934047 -0.624590 2.686179 -0.782827 3.893980 3.311002
11 1.8290496068 -3.873520 2.603816 -0.257766 -0.418714 -4.249500 2.091505 -2.845358 -4.992453 0.442826 -1.600610 -4.666798 -1.692953 4.536678 3.449166 3.945354
12 2.1089318511 -2.890019 -2.835253 -0.775886 3.843980 3.437204 4.411198 -1.200422 3.395011 4.714505 -4.568987 -4.925179 -3.779153 -2.928998 -0.412028 1.278296
13 2.3753566416 -1.873762 -3.024446 4.184430 2.412132 -4.429898 -2.529298 -4.107910 4.083277 1.511400 4.627092 -0.976257 -4.913719 1.701445 -1.728084 -1.952564
14 2.7370894746 -0.139727 2.112088 -4.256022 4.503008 2.840205 -0.597388 -3.115663 2.896649 -0.500546 -0.510449 -2.487958 -2.692851 -0.019618 3.423929 -4.567587
15 2.4254673079 -1.348754 1.962087 -1.769162 -3.749760 4.940145 1.119753 -0.685754 -0.965190 -0.169391 -4.400339 -0.135760 2.056139 -0.627750 -2.688449 0.152992
16 2.5514429131 -0.782036 -4.154671 3.213254 -2.307765 0.244532 -2.954281 3.652016 4.763737 -0.061038 -1.355050 -2.022059 3.852185 -1.478637 1.984659 1.130716
17 1.5685850108 -4.650760 -1.645648 -1.014321 -2.605439 -2.994414 4.020168 -0.365923 -3.667357 1.161116 -0.659412 -2.921605 -1.069557 -1.247903 0.914294 -0.778265
18 2.3762238176 3.009509 4.728416 -3.416519 1.631735 3.510161 3.134972 3.022445 3.814634 -4.149275 3.157483 -4.485060 -1.261967 -0.499575 0.671858 3.552433
19 1.8382317751 -4.374612 -4.040014 -4.390655 -2.419732 -2.198870 -2.206086 -3.526560 -3.635653 -4.005188 1.069486 -3.103096 4.836325 -1.181074 1.731133 4.221107
20 2.1615230926 -2.654129 -0.762142 3.941259 2.032599 -1.028686 1.595313 3.899771 4.449337 -2.684518 4.311342 -2.206825 -0.837637 1.139633 4.690387 0.909209
21 1.9765209911 -3.660326 -0.484237 -2.927590 4.748201 -0.566478 -4.877280 -2.194839 0.657561 -2.819039 4.891003 4.693833 -1.542754 1.658245 -0.605290 -0.552380
22 2.4912407418 0.593917 4.222528 0.301666 3.953395 3.060947 0.765575 -3.732276 -0.204014 0.186207 -2.285151 1.849782 0.203639 -2.058325 4.170396 -1.648392
23 2.4795246709 -0.358543 -4.869791 2.907177 -3.993856 0.924678 -4.208025 0.309669 -2.842518 3.538410 4.468310 3.099420 -4.373364 -4.413597 -1.142078 -4.150226
24 1.5920676792 -3.941643 -1.056094 1.631610 -4.643481 -4.049206 -1.515951 4.936485 1.167501 -3.409941 -0.259349 -4.168583 1.555618 2.824862 -0.955356 2.292081
25 2.1596151440 2.712733 -2.293580 1.040620 -4.533029 -3.091461 -3.556266 1.173033 2.524079 -0.919507 -1.668183 -3.516874 4.114083 0.581045 -0.218684 2.572961
26 1.7138413682 4.213040 0.427026 -1.534275 -2.907108 -0.373686 2.626521 1.521933 3.025628 3.731336 2.930966 -1.119558 2.925846 -4.611050 1.165596 -3.837327
27 2.1325816010 2.895734 -4.455579 3.440430 -0.722606 1.835938 2.401417 -2.435872 -0.020309 -1.264094 2.590965 -4.077862 -2.860512 3.357082 2.250694 4.921217
28 1.8990055503 4.084747 -2.413156 -2.104299 0.297697 -1.244030 -3.090810 -1.982862 -2.009564 -1.039481 0.230637 -3.248333 1.081231 -3.828871 -3.158731 -3.030850
29 2.4974281100 0.432320 -2.653527 2.626474 -1.613096 -0.237865 -1.341309 4.746766 -2.244647 4.165323 0.372510 3.764196 -2.023710 -2.168695 -4.218547 2.442731
30 1.4354381469 -4.787958 -1.734923 -0.061312 0.453899 0.378692 4.333152 2.230815 1.503596 1.725161 -2.666682 3.927019 4.686705 -1.705855 1.317717 4.543762
31 2.4429497389 -2.041359 -3.411815 -2.538452 -1.199335 4.711874 1.702335 4.296832 0.523876 -1.769426 -0.064620 3.445327 0.761079 1.945587 -4.552548 -1.681147
32 2.2656499726 2.551598 3.289333 0.366313 -0.886609 -3.242286 4.624086 -4.299374 0.326758 2.284549 -3.179583 -1.615697 4.470983 -3.279633 -2.849623 -3.342094
33 1.6893792406 -4.138845 -3.610572 -3.477094 -3.605628 4.076163 0.513628 -0.066759 -2.508252 -2.329339 1.985954 4.191783 0.783095 4.729862 3.122256 -3.446326
34 2.5635678144 -2.246604 -4.602802 -3.117148 1.172998 2.561463 -2.580099 -4.970550 -1.716819 0.751409 -3.465497 1.663860 -0.016785 -4.935485 -4.759778 4.697203
