evaluations raw_y x0 x1 x2 x3 x4
1 113.0210876465 -4.254147 4.587178 0.794049 0.542182 -0.288264
2 3953.0478515625 21.924488 4.465489 2.887998 7.196821 -3.210734
3 -4494.2568359375 5.493076 15.613719 11.821929 16.216602 5.744875
4 -4539.6538085938 3.106603 33.497529 6.237920 15.810088 6.008609
5 -5702.3437500000 15.679712 26.173080 -5.774805 27.667361 2.670233
6 1935.0548095703 15.890246 46.793437 -12.766353 34.251050 -1.272378
7 4938.3974609375 14.593350 21.929018 -13.797437 38.468790 -15.352049
8 -6376.8212890625 10.303685 -6.438210 -29.207762 35.228707 10.848739
9 68.5626983643 3.895048 -7.828511 -34.863155 46.970837 -0.116619
10 4947.7148437500 25.354030 -13.094990 -22.592699 35.116427 -11.936815
11 -4903.5556640625 4.654353 18.050511 -26.716974 21.928075 8.836757
12 5044.1743164062 -6.703561 -20.927425 -18.259824 25.537706 -27.873746
13 -5063.3583984375 8.342808 -0.218365 -2.597897 55.328230 18.807622
14 -6763.9096679688 21.838511 -5.294938 -19.557264 43.431090 3.602349
15 -5771.5283203125 31.385096 -3.825106 -27.522078 37.188272 17.713748
16 -6376.8212890625 8.390347 -18.960822 -15.586561 57.694521 24.604662
17 -5000.3701171875 40.128849 3.480110 -26.029567 47.086621 6.339793
18 -4903.5556640625 16.778670 21.855909 -25.859113 34.412965 27.740311
19 -5382.4799804688 42.408518 10.491210 -22.241863 -4.036164 8.588923
20 4947.7148437500 15.279683 -27.268289 -8.458877 69.650236 -19.068797
21 3788.0141601562 22.373464 9.537760 -3.859243 61.109541 -2.552508
22 -7162.1435546875 -1.735345 -18.535743 -42.158822 29.245857 11.339866
23 -6394.8012695312 -5.436201 8.526922 -32.885362 43.397686 19.359668
24 4987.0581054688 19.345479 -2.125633 -41.408622 30.593966 -32.410046
25 -7426.8769531250 -2.676219 -5.616433 -94.565924 68.847373 28.097597
26 -6376.8212890625 14.308959 -41.789569 -67.269579 74.515974 10.128851
27 4889.2998046875 -35.197153 -21.578147 -85.106599 26.017481 -4.366458
28 -7453.7353515625 -3.044048 -18.843746 -84.609211 41.867859 28.033186
29 -6388.9633789062 20.244638 -35.453191 -85.988204 63.468011 4.457231
30 -7771.0551757812 -42.775850 -44.034944 -144.679226 51.436628 22.126082
31 -7771.0551757812 -30.527939 -55.485483 -141.654428 10.452036 32.172524
32 5044.1743164062 -32.127306 -61.869700 -201.662169 70.992411 -45.373386
33 -6394.8012695312 -21.072954 11.874305 -201.407659 60.631172 38.481951
34 5044.1743164062 -26.211993 -38.573425 -105.595085 74.512412 -9.335019
35 -6376.8212890625 32.222249 -71.809701 -136.960119 56.189778 49.169820
36 -7771.0551757812 -46.605102 -75.964155 -78.653968 49.683649 38.812767
37 -7771.0551757812 -5.302435 -67.144620 -126.707773 35.273927 21.112780
38 5181.4956054688 1.199473 -71.475224 -159.366312 -22.321239 -32.613034
39 5044.1743164062 -36.398425 -80.544444 -125.526778 90.355288 -34.686023
40 -7353.5019531250 -41.357207 -43.368857 4.419778 1.999677 27.798453
41 4660.2431640625 -64.732802 -6.965158 -205.291017 31.077099 -3.735804
42 5044.1743164062 -70.554244 -98.702703 -87.939901 45.955362 -25.444745
43 -7771.0551757812 -124.064915 -30.397730 -112.765106 75.420433 101.546580
44 5044.1743164062 -81.125436 -118.594887 -178.542121 10.811429 -65.968667
45 -7771.0551757812 -22.064110 -66.188700 -198.738710 18.390174 37.817038
46 5013.3710937500 -12.537977 19.584291 -187.651838 6.377175 -85.335967
47 -6394.8012695312 -10.834900 25.614062 -105.625195 81.420569 10.851998
48 -7771.0551757812 -37.773462 -52.375427 -178.714380 36.093593 34.678997
49 -7771.0551757812 -25.235458 -26.364980 -140.866919 116.067856 124.926081
50 -6245.4257812500 -4.304654 39.407611 -189.229415 144.356033 109.884088
51 5044.1743164062 -58.741414 -160.088452 -81.434569 69.298950 -99.826799
52 -4903.5556640625 21.546745 14.346287 -94.346504 59.136675 5.653182
53 5044.1743164062 -26.133108 -65.668915 -156.359648 122.297761 -39.146977
54 5047.4145507812 -16.770717 12.568992 -95.773594 -3.666699 -81.325624
55 -7511.6469726562 -34.856243 -3.892387 -144.697729 66.831474 42.721232
56 -7052.0771484375 -127.445152 2.766318 -207.943090 -41.801940 65.210375
57 -6394.8012695312 -81.171492 6.700369 -157.060062 27.526523 20.952750
58 -7771.0551757812 -83.235091 -16.335854 -68.820458 42.613188 23.382539
59 -7771.0551757812 -43.531214 -12.162076 -158.635626 19.444728 95.346537
60 4971.7797851562 0.800752 -17.228250 -146.949784 84.818314 -61.430328
61 5044.1743164062 -9.697230 -62.926346 -120.103315 81.616756 -31.201169
62 -7771.0551757812 -78.037214 -42.770194 -115.549170 29.581520 50.980686
63 -7771.0551757812 -78.452480 -49.468895 -133.037915 20.068639 60.857428
64 -7771.0551757812 -29.543559 -48.699584 -177.519008 70.689513 29.578229
65 -7771.0551757812 -35.081921 -48.714999 -137.505986 87.889651 20.522447
66 -7771.0551757812 -5.904212 -97.877237 -200.286686 43.282671 14.148257
67 4124.7587890625 -4.662477 -58.005492 -138.270356 56.710612 -2.955580
68 5044.1743164062 -47.154236 -49.640491 -149.837102 37.524367 -5.350049
69 -7771.0551757812 -61.118552 -42.142000 -121.906912 97.889402 42.961371
70 -7771.0551757812 -41.941457 -36.496881 -141.483603 42.118467 34.605159
71 -7771.0551757812 -23.699769 -34.103568 -157.883041 23.627503 41.938553
72 -7771.0551757812 -5.137975 -60.128189 -126.437738 56.634286 72.130043
73 -7771.0551757812 -60.787902 -58.748093 -171.839935 91.901824 18.656546
74 -7771.0551757812 -54.728730 -31.938930 -128.955018 46.085910 28.043371
75 -7771.0551757812 -24.860959 -54.610224 -139.104676 31.600754 14.353725
76 -7771.0551757812 -54.036768 -24.631884 -152.233180 51.790688 14.488954
77 5044.1743164062 -43.694828 -52.781568 -120.397991 52.213020 -7.404454
78 -7771.0551757812 -50.796651 -68.090599 -171.614850 28.933255 25.612931
79 -7771.0551757812 -51.520745 -51.051248 -148.141848 39.508707 57.266698
80 -7771.0551757812 -48.182625 -49.551306 -135.413869 49.258878 33.187170
81 -7771.0551757812 -42.343301 -34.911846 -156.006288 25.037625 11.939560
82 -7771.0551757812 -65.262591 -38.652430 -154.351998 36.275809 20.213935
83 -7771.0551757812 -49.960662 -30.691105 -157.360357 30.571960 37.642165
84 -7771.0551757812 -28.470443 -41.738356 -137.305668 40.427109 34.871648
85 -7771.0551757812 -36.871560 -43.343920 -154.867828 56.100439 20.457385
86 -7771.0551757812 -51.861563 -40.163069 -134.418530 30.328754 14.389158
87 -7771.0551757812 -47.388822 -57.033263 -140.058061 54.822232 28.956156
88 -7771.0551757812 -37.843178 -49.590370 -147.913174 63.626484 4.747543
89 -7771.0551757812 -48.973103 -23.155709 -133.751318 52.645326 19.021701
90 -7771.0551757812 -28.787855 -28.383758 -142.655769 42.890629 20.761193
91 -7771.0551757812 -39.092789 -29.958531 -158.191238 48.920849 26.477006
92 -7771.0551757812 -28.060923 -40.414153 -139.400037 57.591794 17.500960
93 -7771.0551757812 -54.644878 -43.253567 -147.066022 49.237639 5.602300
94 -7771.0551757812 -42.112121 -45.991275 -153.418410 55.786397 19.980691
95 -7771.0551757812 -33.598398 -39.025072 -141.596433 35.243153 28.238556
96 -7771.0551757812 -45.927887 -41.543880 -137.258581 54.412182 7.705804
97 -7771.0551757812 -46.868020 -51.267878 -151.643870 47.975629 22.829369
98 -7771.0551757812 -36.693466 -30.680889 -136.492219 46.222236 17.268512
99 -7771.0551757812 -46.671726 -40.842194 -147.378199 49.157434 13.074811
100 -7771.0551757812 -46.304077 -44.457818 -152.782172 43.378393 10.736616
101 -7771.0551757812 -34.125474 -46.866821 -143.605516 46.944569 21.903460
102 -7771.0551757812 -38.712758 -50.966085 -151.984372 55.649071 18.526354
103 -7771.0551757812 -42.709910 -57.119863 -134.195534 45.010739 25.965431
104 -7771.0551757812 -29.939107 -37.361503 -144.582158 54.520503 32.314362
105 -7771.0551757812 -37.207520 -41.865101 -147.259302 50.866433 17.459269
106 -7771.0551757812 -52.331602 -36.776973 -139.867705 62.661755 11.818194
107 -7771.0551757812 -44.425438 -44.883946 -139.657316 41.133776 30.373302
