evaluations raw_y x0 x1 x2 x3 x4
1 3.5714755058 -2.829519 2.771796 2.233358 -4.254922 -1.490213
2 3.8925511837 4.497405 -2.030350 -0.038588 4.246677 2.013478
3 3.8128757477 -2.993975 0.664301 2.218875 3.150302 1.389269
4 3.6675107479 -1.998283 4.892500 0.802608 -4.352571 1.381031
5 3.4195857048 1.803699 -1.371637 -3.237864 0.636000 -3.620206
6 3.5927984715 -3.273290 -1.852874 2.175696 -1.656520 3.740135
7 5.0723295212 -2.121372 -4.504240 -0.876465 -4.589441 -1.683965
8 3.9545710087 -4.068644 2.538602 2.942132 3.637724 4.338498
9 3.8875288963 4.622182 0.378691 -0.141229 1.755370 0.472241
10 4.4952158928 1.488836 -3.656819 -2.765557 -2.412216 -2.384388
11 3.4365756512 -3.098580 2.834764 -1.263397 -3.252884 -2.234361
12 3.8957767487 3.772937 -3.450993 0.384965 2.652872 2.999157
13 3.7140328884 2.288238 -3.139796 1.965932 -3.054037 4.114663
14 3.6336512566 -4.858149 -3.550335 3.466946 2.648405 1.872914
15 4.3576164246 -3.298250 0.812451 -1.581672 -1.589608 -0.526402
16 3.7721545696 1.251183 5.000000 5.000000 -5.000000 -1.887000
17 3.4461064339 0.599018 2.061623 -2.162924 -0.222415 -3.734918
18 3.5666859150 4.093694 -1.124902 -5.000000 3.483445 -4.228489
19 4.2836408615 -5.000000 2.120123 0.658131 -2.082411 -3.032595
20 4.2945022583 -1.673817 3.941573 -2.269351 -4.122960 -2.344689
21 3.4593842030 1.359624 0.458853 -2.806810 0.829647 -3.891273
22 3.4250376225 2.609904 -1.173500 -3.893689 1.787498 -3.899956
23 3.4650759697 -2.259303 2.450273 -1.197905 -1.004961 -2.940851
24 3.4946537018 -0.219918 2.611143 -2.638460 -1.625898 -2.430863
25 3.4921286106 2.400522 1.132930 -2.838318 1.577083 -4.994174
26 3.4355900288 1.748064 -0.566479 -2.219924 -0.370226 -4.487560
27 3.4409945011 0.737978 -0.737843 -3.803182 5.000000 -3.214299
28 3.5355582237 -0.317671 2.670184 0.090397 -4.130403 -1.714096
29 4.6160058975 2.011200 -0.859990 -3.903544 -5.000000 -2.642156
30 3.4725289345 -1.173887 2.842497 -1.631242 -1.825801 -2.919820
31 3.4356968403 1.771375 -0.853280 -2.442788 2.535861 -4.147265
32 3.6078865528 -1.701932 3.466954 1.698418 -4.849628 -0.115941
33 4.4767026901 0.233449 -0.742077 -4.572940 1.683273 -4.281695
34 3.4642424583 2.691838 -0.764127 -2.762256 0.996332 -3.344970
35 3.4353597164 -2.531179 3.301838 0.107923 -2.671277 -3.112610
36 3.5060319901 -0.248239 2.231972 -0.169104 -1.440532 -2.609028
37 3.4992718697 -1.738009 3.046496 -0.607320 -2.060441 -1.909479
38 3.4426708221 2.456640 -1.821464 -2.820462 1.917396 -4.272441
