evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 2.5943846703 -0.448034 -4.626734 -1.521838 -4.026692 -3.101442 3.821398 -0.012461 -0.900407 4.965420 -2.097346 3.409379 -2.063709 -2.744208 0.323813 -3.769533
2 2.4108052254 -2.351058 -3.699825 0.268305 -4.796483 0.395604 4.899919 -0.194892 1.610535 4.944083 -2.070527 4.979096 -2.811799 -3.299528 2.622410 -1.639480
3 2.3919982910 0.178168 -3.551691 1.294649 -4.846597 1.047851 4.553666 -1.212328 0.580340 3.870752 -3.916553 4.489286 -3.429588 -2.409242 2.492325 -4.679034
4 2.3394422531 -0.725203 -4.712619 0.050738 -4.473760 0.068072 4.895256 0.065053 0.306384 4.273491 -1.436048 2.961456 -4.470789 -4.396582 1.802158 -4.256260
5 2.4720315933 0.485377 -4.836141 -1.476273 -4.265190 0.123188 4.964959 0.032048 -0.475683 4.898830 -1.898282 4.023222 -4.935211 -0.676261 3.687446 -3.822283
6 2.3844888210 -2.224398 -3.020245 -0.152610 -4.988148 -1.779453 4.995081 -1.009727 -0.358295 2.548828 -2.150670 4.994919 -3.024473 -2.110567 2.975587 -3.548675
7 2.4488549232 -0.095220 -2.686213 -1.349942 -4.512157 -1.346668 4.653252 1.520850 0.625979 4.981977 -3.252386 4.903706 -4.999378 -2.444641 1.892238 -3.143641
8 2.5044088364 0.156898 -4.132319 -0.154336 -4.703800 -1.063218 2.381628 -0.115116 1.376367 4.955401 -2.558336 4.804455 -4.960865 -0.723539 0.891042 -3.217186
9 2.5930795670 1.358880 -3.846440 -0.900846 -4.962022 -0.366451 3.086574 2.288624 0.268305 3.483288 -3.324148 3.780342 -3.573219 -0.484532 0.985446 -4.212687
10 2.5001358986 -1.476757 -2.577625 -0.200463 -4.714007 1.038890 4.450174 0.719280 -0.395357 3.356263 -0.670986 4.942617 -4.538611 -1.121571 -0.497603 -3.236989
11 2.6434855461 0.287886 -2.743660 -2.027481 -3.003469 -0.732489 4.371167 1.584574 0.549329 3.669201 -1.417567 4.645898 -3.073632 -2.382802 1.577768 -3.673580
12 2.3944368362 0.030278 -2.958530 0.552650 -3.503827 -0.935434 4.606147 -0.445079 -0.318295 4.798708 -1.349049 2.980214 -4.711165 -2.819483 2.065073 -3.519321
13 2.4896044731 -0.254616 -3.675971 -1.127706 -4.842084 -0.221728 4.851096 0.001992 0.261371 4.891158 -3.126152 4.567129 -2.853168 -2.728395 4.188083 -3.014165
14 2.4170379639 -1.068097 -3.258298 0.462191 -3.944361 -1.230176 4.912267 -1.768996 -0.802600 3.719561 -1.504311 4.986752 -3.088382 -4.085758 1.311818 -4.484557
15 2.3001036644 -2.461504 -2.626492 -0.022366 -4.887938 -0.488376 4.632594 -0.363395 -0.517147 3.282109 -2.171157 4.993472 -3.580237 -4.057586 2.529278 -2.206713
16 2.3250391483 0.690142 -4.644475 1.205629 -4.599986 -0.195683 3.833072 -2.202778 -1.233145 3.722877 -2.384801 3.000453 -3.524922 -3.529081 3.443795 -2.234521
17 2.1668925285 -2.769337 -4.268918 0.433941 -4.455523 -0.085197 4.647973 -1.826913 -0.979896 4.258000 -2.367729 3.201199 -4.579936 -1.755948 1.853907 -4.342759
18 2.2961897850 -0.099125 -4.967701 0.679155 -4.790908 1.213992 4.937300 -0.241901 2.013186 4.940274 -2.228231 3.876901 -4.286973 -4.582667 2.830806 -4.959411
19 2.3022987843 -1.148991 -4.059426 2.293289 -4.910424 -1.992111 4.624458 -0.972586 0.406370 2.058081 -2.083761 2.726839 -4.452806 -2.616654 2.896522 -3.784550
20 2.3807096481 -0.763217 -4.299366 1.629190 -4.002515 -0.917648 4.486467 -0.018961 0.132723 3.239907 -4.159917 2.529399 -3.672700 -4.052409 2.354611 -4.111038
21 2.3512170315 1.546054 -4.999961 -0.295975 -4.365129 0.502967 4.977744 -0.850926 0.572502 3.578227 -4.000993 4.989844 -4.889209 -3.468758 2.460844 -2.534598
22 2.1888897419 -3.115418 -4.399777 0.876069 -4.988059 -1.127532 4.965935 0.494777 -0.213461 4.078041 -0.824510 3.491063 -4.214716 -3.966735 3.256400 -2.593133
23 2.2092428207 -0.921685 -3.128875 -0.761306 -4.878977 -1.108106 4.386832 -2.124657 -0.948699 3.889816 -3.391522 3.983083 -4.668764 -3.480551 3.581757 -4.428251
24 2.3005805016 -0.452224 -4.041232 0.479577 -3.576523 0.007152 4.769731 -0.441046 0.928133 4.190264 -2.685586 1.898696 -4.110789 -4.975786 1.905689 -3.712742
25 2.2137846947 -2.166940 -3.491614 -1.459044 -4.724286 -0.401765 4.449422 -0.674220 -0.641753 3.879385 -2.493079 3.540807 -4.984613 -3.725441 1.902022 -4.043625
26 2.2189555168 -1.522161 -3.767918 -1.195775 -4.998748 -1.705713 4.352843 -0.675198 -0.586819 4.870538 0.210858 2.962770 -4.975686 -3.477643 2.523368 -3.401114
