evaluations raw_y x0 x1 x2 x3 x4
1 3.6437807264 0.248928 -0.248928 0.248928 0.248928 0.248928
2 3.5336000406 -0.601231 0.601231 -0.601231 -0.601231 -0.601231
3 5.6525237919 -4.877833 4.877833 -4.877833 -4.877833 -4.877833
4 4.2083397989 4.605106 -4.605106 4.605106 4.605106 4.605106
5 3.9408285723 2.540968 -2.540968 2.540968 2.540968 2.540968
6 4.7179011938 -2.820915 2.820915 -2.820915 -2.820915 -2.820915
7 4.5204508042 -2.326088 2.326088 -2.326088 -2.326088 -2.326088
8 3.8682652867 1.981064 -1.981064 1.981064 1.981064 1.981064
9 3.8319859441 1.701131 -1.701131 1.701131 1.701131 1.701131
10 3.4357584928 -1.356181 1.356181 -1.356181 -1.356181 -1.356181
11 4.8618896219 -3.166006 3.166006 -3.166006 -3.166006 -3.166006
12 4.0581237876 3.446027 -3.446027 3.446027 3.446027 3.446027
13 4.1626902184 4.252870 -4.252870 4.252870 4.252870 4.252870
14 5.2220930312 -3.980218 3.980218 -3.980218 -3.980218 -3.980218
15 3.4982530487 -0.873970 0.873970 -0.873970 -0.873970 -0.873970
16 3.4627239391 -1.148114 1.148114 -1.148114 -1.148114 -1.148114
17 3.4571680856 -1.190984 1.190984 -1.190984 -1.190984 -1.190984
18 3.4570599852 -1.191818 1.191818 -1.191818 -1.191818 -1.191818
19 3.4307522681 -1.394809 1.394809 -1.394809 -1.394809 -1.394809
20 3.4165444932 -1.504437 1.504437 -1.504437 -1.504437 -1.504437
21 3.4020214220 -1.616497 1.616497 -1.616497 -1.616497 -1.616497
22 4.2841397913 -1.695273 1.695273 -1.695273 -1.695273 -1.695273
23 3.4861718919 -0.967189 0.967189 -0.967189 -0.967189 -0.967189
24 3.4073231206 -1.575589 1.575589 -1.575589 -1.575589 -1.575589
25 3.4066736100 -1.580601 1.580601 -1.580601 -1.580601 -1.580601
26 3.4067372003 -1.580110 1.580110 -1.580110 -1.580110 -1.580110
27 3.4069473226 -1.578489 1.578489 -1.578489 -1.578489 -1.578489
28 4.6946748623 0.000000 2.938583 -4.121152 -4.121152 -2.938583
29 4.7399745855 0.000000 1.155374 -4.317883 -4.317883 -1.155374
30 3.4935004226 0.000000 -2.104346 -1.365970 -1.365970 2.104346
31 3.5211958952 0.000000 -3.863605 -1.045424 -1.045424 3.863605
32 3.5110467609 0.000000 0.186274 -1.162881 -1.162881 -0.186274
33 3.5103574022 0.000000 2.336675 -1.170856 -1.170856 -2.336675
34 3.4914270985 0.000000 4.045984 -1.389955 -1.389955 -4.045984
35 3.4676466415 0.000000 -4.776242 -1.665213 -1.665213 4.776242
36 3.4819492948 0.000000 -4.148061 -1.499670 -1.499670 4.148061
37 3.4736287437 0.000000 4.722745 -1.595953 -1.595953 -4.722745
38 3.4897375932 0.000000 1.922296 -1.409512 -1.409512 -1.922296
39 3.4757384203 0.000000 -3.979299 -1.571555 -1.571555 3.979299
40 3.4743209054 0.000000 -4.984013 -1.587965 -1.587965 4.984013
41 3.4734850405 0.000000 1.383043 -1.597621 -1.597621 -1.383043
42 3.4704245614 0.000000 4.932647 -1.633038 -1.633038 -4.932647
43 3.4728564289 0.000000 2.178825 -1.604896 -1.604896 -2.178825
44 3.4730520531 0.000000 2.286071 -1.602631 -1.602631 -2.286071
