evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 1.7859908342 2.329113 -4.788230 -0.850598 3.569038 -1.794734 -0.276525 3.561364 -0.590714 1.042164 2.827247 4.956471 2.347530 -3.244795 -1.626469 3.461428
2 2.5136649609 1.476419 -2.952116 -5.381214 12.206750 -13.521538 4.045569 -16.142360 -4.117180 3.818579 15.819115 7.731996 8.656248 -8.806686 -1.169232 2.659310
3 2.2293288708 -1.843804 -2.251496 15.081073 -2.528490 -11.209974 -6.042976 5.359467 5.789340 -8.147343 -0.806160 4.805279 20.357760 9.181704 -1.002932 14.996591
4 3.1586673260 0.848525 -16.926107 16.949028 3.174459 -6.633041 -7.807495 -22.646008 5.058729 5.016689 0.975728 13.692657 15.933168 -7.846427 -6.147110 -7.418208
5 1.8195123672 -4.959750 4.742617 1.598142 1.412838 0.151212 -5.072854 7.947832 30.998609 -1.130452 -3.311135 9.291657 -0.387707 -10.071889 -3.724313 -19.898309
6 2.2107787132 13.036769 -4.870364 -14.702620 -1.550782 -13.937768 8.910370 8.268500 -21.374522 16.614122 11.175082 9.895845 0.794169 -6.300157 -13.450006 15.959074
7 3.3309817314 -0.611678 4.685161 -7.137410 -1.122245 2.173122 -4.951972 4.218531 -7.953168 -14.703435 18.013845 1.198373 -13.107634 -13.831708 8.823365 12.905343
8 2.2767639160 -9.233484 8.313998 -21.547233 -1.734997 7.833787 -17.102369 -1.310507 5.938828 2.437280 -5.037082 11.370035 11.634297 3.449673 -21.965815 12.623371
9 2.3934164047 2.123191 -2.267408 -14.539913 -1.896084 3.782327 -12.788874 1.069809 11.745127 6.482928 -0.397123 3.150145 1.226141 -7.532050 -8.597924 0.492139
10 2.2651028633 -5.167336 -6.723957 -7.932548 4.394734 -7.811223 -4.857345 24.383707 2.144054 -0.528522 6.198496 -27.291237 -18.904064 1.977353 -15.041386 7.992631
11 1.9059524536 3.229708 1.317035 8.419147 -3.413618 6.943791 -25.114781 -0.535105 -0.318461 18.850436 -3.407552 -1.001351 2.319965 10.548926 -0.529351 27.652130
12 2.2563023567 4.759314 -9.149627 -11.703239 0.622228 -10.142832 1.021110 17.338478 13.137529 8.159716 9.184101 4.673753 -11.208054 -18.429249 -3.546973 -0.646539
13 2.0521447659 16.088808 -8.865983 -5.887685 11.552410 -2.094770 25.669580 4.212852 -9.953701 -12.540254 -2.935060 16.416436 8.192730 -10.046702 -16.880936 12.449663
14 2.0270497799 2.184930 13.423169 -2.417433 3.223112 -11.818162 -1.165345 0.108179 5.781870 -15.611224 10.022419 30.177035 1.976651 3.785065 -20.113840 22.299228
15 1.9997729063 12.527811 -6.254688 -6.164159 12.284518 15.167284 8.916071 8.803121 -11.517774 -10.693932 -10.714331 11.219625 11.376659 -1.819968 -16.765878 -1.819156
16 2.1951591969 6.430974 -7.072106 -4.443989 1.755230 -0.251551 2.255754 -14.800356 7.841858 -4.241082 0.209750 9.068416 11.202500 -6.323448 -10.784402 -5.483109
