evaluations raw_y x0 x1 x2 x3 x4
1 -4794.2178642966 -0.029838 -4.491547 4.263456 -2.360243 4.768254
2 -8596.7808436590 -3.135586 -0.626530 0.425887 2.306194 2.020054
3 1847.3500771097 -3.037927 0.151910 -3.596440 2.059746 -0.905604
4 2905.6536048705 -1.290629 3.660222 -4.343767 2.649279 -2.234956
5 4198.6769204378 -3.374330 -1.117628 -1.287479 -2.582476 -3.049823
6 205.6831661919 1.801882 -4.215195 4.522387 4.846746 -0.179903
7 -5459.3835153181 -1.945208 2.000391 -0.093407 3.601614 3.239863
8 3744.3409859795 -0.325540 3.812897 -0.713543 -4.873066 -2.784167
9 1969.7978702043 3.673405 1.015656 4.949537 1.924306 -2.110573
10 -6689.9280482559 0.418121 -2.475272 -2.915659 -4.685485 3.703414
11 -8348.6850950874 1.061808 2.649333 1.965829 -1.715920 0.754254
12 3739.7266775345 -4.321881 -2.260348 1.731969 2.466735 -3.212735
13 -6073.9996959398 0.329919 -1.181232 -1.232235 -2.995017 3.599270
14 -4116.6646412668 -4.998649 2.822493 -0.219651 4.933125 4.521098
15 -5841.4289483984 -0.749549 -2.631179 -1.556737 -4.757589 4.450086
16 1518.7757125221 -2.615274 1.603946 3.238642 0.790938 -1.143843
17 -9545.6384061081 0.590091 -2.013586 -2.255903 0.983939 1.200637
18 -5850.3949575123 2.901789 -1.389804 4.386409 1.069364 2.512504
19 4819.1504533057 -4.396239 -4.750809 -2.380210 4.368672 -4.020521
20 5811.6908303482 3.019570 4.529786 -4.809075 -3.108333 -4.906534
21 1143.7583295092 -3.497098 1.295029 -4.948831 1.268322 -0.016412
22 4672.2661222145 3.274119 3.296698 4.848771 -1.284036 -4.703992
23 -7185.7163686322 -0.952787 -0.232431 -0.418950 -0.117628 2.653560
24 2148.6176876517 0.781189 0.305014 4.699119 -3.135158 -1.649387
25 -2530.3063555423 -0.621307 4.252329 2.606485 3.673396 4.208922
26 -2547.5996522339 4.799515 0.494632 -3.148813 -2.175297 4.731138
27 -3246.3502994233 3.921955 0.333588 3.903145 -4.485364 4.099332
28 471.4243483327 -1.897896 -4.018219 2.332923 -0.044642 0.339508
29 -10604.5716678340 -2.509649 -4.151758 -0.771486 1.169129 1.485433
30 -2645.3917148709 -0.111982 0.985179 0.516389 2.798698 4.957423
31 -5720.3835263605 2.285012 -1.589023 3.962284 -2.618433 3.072810
32 -8484.2718529340 2.440036 -0.454802 4.131259 2.918957 0.537550
33 -5786.4367102522 -2.396513 4.188772 0.229371 -1.462643 2.984440
34 441.5459198717 -1.797394 -1.782075 -0.512585 2.199809 0.305863
35 90.2870059995 -4.815116 -2.903402 3.049949 -1.549875 0.881999
36 -6973.4503222211 -2.935847 4.824027 -4.078144 -0.222650 2.418356
37 4563.5158131639 4.181758 -2.768895 2.423506 -0.891747 -4.160177
38 -5142.1614864449 -0.567482 3.033055 1.480841 3.020121 2.853736
39 1374.6128855496 -4.590774 2.987003 -3.722958 4.478942 -0.695492
40 1468.7117312720 -4.199554 3.519399 3.662655 -0.808779 -1.005726
41 3358.7111180900 0.977574 3.177142 1.814999 4.100652 -3.462144
42 4266.1560576402 -2.188839 -2.335261 2.841106 0.307513 -3.746908
43 -6317.6452070935 4.006345 2.594008 3.757602 -1.999065 1.375273
44 -8137.8231728636 0.667654 -0.807720 0.105380 -0.389548 1.776570
45 1309.8144844470 1.762765 3.683620 -2.790160 -3.436396 -0.286809
46 -8129.1979226949 -3.563895 -4.427310 -0.925295 0.363698 3.491111
47 417.4083431698 -3.996226 -4.692974 -2.157542 3.330981 0.606501
48 1805.0832406263 -1.244460 3.986629 1.187172 1.505083 -1.496875
49 5341.7407327553 2.155435 -3.523534 -1.851999 -1.061556 -4.448842
50 3736.0620925542 -3.841640 0.795821 -0.007041 -3.300251 -2.688710
51 -5905.5400580165 0.157312 4.895976 1.052805 -1.904521 2.176358
52 -7201.3809847559 1.211910 2.164718 -4.732791 -4.453768 2.316076
53 3555.0320406235 -2.312048 -1.926957 0.807235 -4.090609 -2.435792
54 170.7520069605 3.412350 2.308090 -4.588726 -3.706529 1.076271
55 2819.7075442040 3.605749 -1.442721 -1.109720 4.295329 -2.551628
