evaluations raw_y x0 x1 x2 x3 x4
1 -7018.1777785683 -4.405531 -1.394588 -2.489275 2.582807 3.491669
2 -7297.1226177380 -4.221655 -2.412744 -4.105727 3.232314 2.322356
3 -7487.9972973304 -4.705298 -1.836930 -2.361368 0.662290 2.000561
4 -8748.1475296930 -4.155305 -0.369327 -2.753869 3.499240 1.704939
5 -7216.0836727433 -4.510896 -2.014440 -1.681913 1.805633 2.310380
6 -9668.6490608107 -3.116689 -2.315162 -3.388601 1.608223 0.802487
7 -9186.5166775348 -4.735607 -2.459493 -2.178540 0.595370 1.766466
8 -7152.0978649438 -4.138232 -1.158502 -3.738039 1.791060 2.754765
9 -7466.8913026761 -3.381046 -2.599097 -4.035936 0.533848 2.247641
10 -7202.2669019554 -2.814293 -2.580542 -2.539884 1.653215 2.673797
11 258.9437000000 -3.825612 -1.278934 -4.490085 1.616831 0.356007
12 -9076.7555984095 -4.809481 -1.791296 -2.431690 0.975677 1.546355
13 -9069.3511046709 -3.381675 -1.287286 -2.396499 1.562085 1.318795
14 -10087.8122934051 -4.999860 -1.009851 -3.131709 2.028324 0.499772
15 -10350.2997739396 -4.950237 -2.380636 -2.319178 1.893541 0.492572
16 -7401.6625558876 -3.722544 -1.793559 -3.218057 0.149543 2.015281
17 692.3097300000 -4.270208 -0.643232 -1.830700 1.448024 -0.230644
18 -9765.4605471166 -4.999555 -2.297388 -1.788756 1.469460 1.086122
19 -9070.2335266542 -4.908857 0.188679 -3.224811 1.239571 1.511934
20 381.1961400000 -3.620457 -1.165571 -1.824088 2.720392 -0.053746
21 164.4999800000 -4.319134 -1.461518 -2.734877 1.412684 0.253244
22 -8877.6137146139 -4.233649 -1.948826 -2.101055 1.657095 1.638953
23 932.0322000000 -4.169256 -2.468149 -3.472770 2.317418 -0.517507
24 667.5359800000 -4.427480 -0.519149 -2.897683 1.961120 -0.463730
25 -7373.3403706148 -4.630626 -2.073574 -2.608341 1.177840 2.249115
26 -9378.8909799162 -3.879163 -0.596137 -1.825877 1.342113 0.847499
27 -9488.3329399928 -4.257068 -0.885012 -1.969594 1.655730 0.842925
28 -9100.8012577751 -4.998418 -0.419708 -1.394666 1.691236 1.605811
29 -9511.1480877545 -4.198944 -1.018567 -2.942094 0.791106 0.858764
30 -9427.1370515514 -4.943913 -1.559490 -1.070252 1.918507 1.285988
31 -7484.3951645860 -4.979870 -1.594173 -2.938590 1.769106 1.966816
32 -8997.4449582442 -4.993518 -1.129672 -3.007237 0.936466 1.705320
33 -8299.1119610579 -2.822198 0.973074 -3.061519 1.862551 1.575734
34 -9677.6169529178 -3.570207 -2.210586 -2.022539 0.854577 0.828817
35 -9072.2217661907 -4.540084 -0.549707 -1.796153 0.614439 1.486711
36 -9945.2102320886 -4.578156 -2.079905 -2.555386 0.182395 0.640448
37 98.7867200000 -4.589226 -0.539111 -2.644390 1.890506 0.182468
38 -8878.3891379814 -4.348506 0.016061 -1.171286 0.960424 1.514175
39 -7206.1637560771 -4.919592 -0.769947 -2.333969 1.773176 2.348013
40 -9909.4301913701 -4.720093 -2.279195 -2.060600 1.909844 0.881914
41 -9739.3787557384 -3.762173 -2.234963 -2.761965 1.268030 0.739466
42 -9691.7516632792 -4.056105 -3.263332 -2.572829 1.869122 1.050381
43 -9776.6232060220 -4.654544 -2.482698 -2.247756 -0.613565 0.945264
