evaluations raw_y x0 x1 x2 x3 x4
1 -8356.8123808826 -2.581237 3.845171 -0.484842 -3.941485 0.728353
2 812.1994100000 3.125417 1.227978 -2.568288 3.418353 -0.699876
3 965.0448200000 3.621524 -4.483636 -1.667233 -1.979565 -0.542846
4 2295.6238600000 -3.472118 3.461650 3.885184 -1.552531 -1.224651
5 -8742.9668859939 0.576169 -3.617362 4.851428 -2.432744 0.873857
6 2364.5951900000 2.887562 4.359303 1.951525 -3.083413 -1.075124
7 3560.1203700000 -2.630878 3.944982 2.687443 0.968193 -2.377150
8 -5405.2941893306 4.127881 1.318921 -1.358003 -3.306002 4.359018
9 4621.2735000000 -0.695659 -3.806499 -0.176689 -0.728218 -4.069150
10 4833.7600000000 -0.120741 -0.588913 -0.300472 2.228290 -4.276818
11 4905.8256000000 4.901026 -4.996483 4.397597 0.657229 -4.606604
12 -6333.0014276940 -1.962285 4.968919 0.404554 -0.090835 2.564184
13 -9112.2648757832 -0.935613 -0.868671 -1.443158 -1.873714 0.457200
14 3869.8051700000 -1.380368 -1.448179 3.216868 2.097500 -3.044549
15 434.2772800000 1.498877 2.433572 -3.959103 1.582970 -0.188778
16 3885.7499900000 -1.712233 -0.359978 2.794538 -4.855996 -2.546383
17 -8337.5218019391 2.338928 -4.393972 2.904631 1.482281 1.532846
18 -7530.2766413694 -3.283550 -4.330838 -3.278940 4.100025 4.104067
19 -7604.1456179251 1.671534 2.165814 -4.733375 3.951299 0.776769
20 2977.5784600000 2.753386 0.504646 0.324581 -4.557208 -2.100714
21 -6300.2562654034 2.179736 3.322629 -0.810190 -2.561996 1.956038
22 4104.6052700000 4.205029 4.307676 1.878641 -3.639576 -3.387732
23 -8187.9762699004 -1.924721 2.487627 4.562012 4.887383 0.513030
24 3759.2521400000 3.319834 -0.025980 1.127296 -3.428800 -2.998795
25 -6481.3762315469 -2.215205 3.678444 -0.968687 0.837500 2.285996
26 4953.0320000000 -3.568888 0.292776 -3.761931 4.442938 -4.353453
27 -7619.6140146683 -0.270335 1.830879 -0.008828 -1.797633 1.760983
28 586.3942000000 1.650031 -1.270656 4.643585 -4.153745 -0.023696
29 -7782.7735007862 3.765901 3.218613 -2.100808 2.514777 0.204180
30 -5829.5105905841 3.902385 2.973802 2.201126 -0.842263 3.103512
31 387.1884500000 0.464292 3.106721 -3.520805 2.341711 -0.300346
32 -5772.0526582166 1.235306 0.685239 -1.545990 -1.002323 4.202863
33 2233.9797300000 -4.685178 0.171353 4.195978 -2.113468 -1.722949
34 2271.2215700000 -0.398623 -3.315653 1.380447 1.884795 -1.277656
35 2482.6390200000 2.294941 -2.689375 3.444226 -2.905097 -1.952329
36 -6622.2828658208 -4.947879 1.674396 -4.613552 0.230999 2.744141
37 3894.5091500000 -4.382383 1.623871 2.506681 -4.897860 -3.185687
38 -8158.7076799114 -1.472885 0.737986 1.505743 3.338096 1.339180
39 332.0170800000 0.938409 -0.778223 3.021762 4.811946 -0.445514
40 189.1069800000 -4.790297 1.128834 1.702087 3.174875 0.069873
41 -6405.4094136480 -1.010670 4.684372 1.157553 -0.881709 2.141679
42 -6640.1367039597 2.564210 -0.634028 3.649405 -3.234724 2.693377
43 4474.0186000000 -1.534842 2.648128 -3.039651 4.532772 -3.598421
44 -8089.0547392085 4.810843 -2.955396 -0.429179 3.061999 1.145368
45 -7678.2424332395 2.012944 -0.079737 -2.385167 -0.417114 1.642972
46 -6428.7775572384 -4.109346 -1.874466 4.908899 -4.625884 4.497341
47 -6938.7760020058 -3.996687 -2.051245 0.590340 -3.768436 3.874878
48 2468.9323400000 -0.468821 0.361069 -1.182179 1.679977 -1.406905
49 -6581.7097551562 0.853634 -2.498536 -3.178822 -2.600509 4.626422
50 4888.6622000000 4.665167 -3.170163 0.121804 -2.314144 -4.515507
51 2464.4630100000 -3.016069 -4.613346 -1.970707 -2.865797 -1.642688
52 4462.7504000000 -2.926877 -1.214150 -2.858588 2.728250 -3.716418
53 5061.0022000000 1.271879 -2.214413 4.055093 3.868485 -4.783514
54 -8372.0929694974 3.179836 -3.056244 2.098524 -4.451062 1.099843
55 -5763.1512162840 -2.423015 4.169514 -1.031799 1.323411 4.901694
56 4250.0399900000 4.429719 -3.478114 -2.993460 0.583308 -3.503721
57 2010.0803900000 -3.191645 2.735650 1.665174 0.035543 -0.860019
58 4469.1118800000 -2.071440 1.513110 4.252163 4.716799 -3.858903
59 -7712.4823931030 4.536164 -3.745930 -0.693890 -0.315884 2.445974
60 -6226.9257712467 -1.196131 0.891058 -2.250000 3.654045 3.367336
61 -6874.6807845261 -4.282844 -1.130417 -2.682543 4.252823 3.785192
62 -6304.7651430028 -3.767113 2.045931 -4.939326 1.130958 3.613466
63 4633.3155000000 0.707285 -2.859129 -4.243412 1.244769 -3.994460
64 3517.8114200000 2.656576 -4.769474 -1.843046 2.001131 -2.216615
65 2294.2561800000 -2.800651 -1.595113 3.386222 -4.247089 -0.875821
66 -6209.6641580161 0.002452 3.554182 0.780696 2.825484 3.201005
67 -7766.5355326134 3.962473 -0.284838 -4.380188 0.070320 1.809168
68 -6174.2833762929 0.103263 -1.697950 -4.155197 2.981702 4.759037
69 -7173.1938771847 -3.884326 -2.416928 -4.594158 -0.522891 3.996835
70 2501.4974000000 0.311966 -4.139431 -3.648422 -1.167260 -1.867078
71 3686.5882600000 3.523888 4.532624 3.701184 3.707485 -2.859961
72 5153.3852000000 1.082298 -2.138795 2.405527 -1.362712 -4.892164
73 -6482.4257536475 -4.478938 4.836381 0.682353 -1.529347 2.918612
74 -7482.7278271957 1.906195 -4.021891 0.874912 0.417768 3.500808
75 3983.1116700000 -0.743887 2.252388 -3.844756 -3.825381 -2.660578
76 -6989.7683709365 -0.935613 -0.868671 -0.361193 -1.873714 2.372350
