evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 2.1870007515 -2.868063 -1.933903 3.232456 2.097682 4.124380 3.596552 -2.480595 -2.230944 1.480989 2.253780 2.127200 3.372363 -1.615443 -2.039667 -3.210002
2 2.4845454693 0.161596 2.820151 3.117703 -0.872515 -3.920701 -2.087854 2.009089 2.107809 1.048778 -0.442689 -2.466190 1.006046 -4.410126 -2.672764 -4.093356
3 2.0890207291 -2.296161 2.497285 0.414570 2.889542 3.110638 -4.013634 -0.598887 -0.975819 0.115659 -3.685728 3.816472 2.113500 2.066713 -4.758602 3.443601
4 2.5527753830 -1.983101 -0.518209 -0.055833 -0.494936 -3.330467 -2.291348 -0.439540 -0.676939 3.248225 -1.237972 -4.555954 2.452212 1.707031 3.376567 -3.756963
5 2.2077190876 -1.214020 -3.478619 4.094606 -4.409233 -4.949856 0.279772 2.148131 1.558392 3.931324 -0.628982 2.361930 4.323693 -3.432021 -4.428364 -1.435862
6 1.7914265394 4.547367 -0.191926 -4.546474 -1.310620 4.007285 -1.754579 1.655666 -3.855685 2.921098 -0.075040 -3.259033 -2.746893 3.227495 -4.999838 2.158953
7 2.0547444820 -3.253360 -4.201432 -0.260364 -2.756662 2.477167 1.577889 -4.839183 -0.440046 -1.968137 -1.691111 1.939563 0.961541 -2.824378 0.151299 -0.402431
8 2.4210624695 -3.192943 -4.901832 -4.745308 -0.636338 0.194884 2.530949 0.338967 2.276271 2.531367 -2.120247 0.592159 -2.811468 -0.388320 -2.434583 3.819012
9 1.8944947720 -4.191955 3.852434 4.165311 3.687346 3.863192 -1.132738 -3.264777 4.463647 2.694578 -3.927412 -0.213949 0.248761 3.068468 -3.288955 -4.364619
10 2.7082314491 -0.247057 -0.809736 -2.310377 2.536893 1.863583 -3.768277 -4.451253 2.829616 -3.670667 1.552561 -0.473245 2.103242 -0.636182 3.463796 1.559048
11 2.2225608826 -1.556837 4.818062 4.513973 1.367894 0.611127 -3.491419 1.145848 -3.243856 -0.999502 4.127680 4.338709 -1.035759 -1.883505 -1.632210 1.201422
12 2.2505958080 3.550816 3.614250 -1.397379 1.773066 -4.744450 -0.656524 -2.741617 2.613622 -1.527183 3.284495 4.202710 -4.442663 -2.487179 4.552986 2.651163
13 1.7062901258 -4.923728 3.347373 4.739394 2.618876 -1.135895 -2.531159 -2.303451 -4.999905 4.657992 -4.947902 -4.139061 4.559221 4.412552 -0.613040 -0.030017
14 2.4618954659 0.687630 1.013689 -2.018658 -3.389594 2.066860 4.477765 -1.881278 1.009616 1.699535 -2.974511 0.100561 0.577392 1.283792 -1.390634 -1.813498
15 2.4599721432 1.744247 -4.359442 0.976416 -3.142107 -4.206558 -4.501469 0.012782 -3.637178 1.441572 4.002763 -2.582354 -0.309208 2.575288 1.473764 0.994387
16 2.3644733429 1.037463 0.480436 -1.614102 0.715323 0.055942 3.182248 -1.543709 3.492092 -2.245560 -1.963091 -4.522833 1.327536 4.202468 0.934922 -4.655150
17 2.2964951992 -3.454367 1.679827 -2.596049 0.023819 -0.242449 3.227775 -4.287671 -2.570962 -1.110176 0.214599 4.858486 4.831649 -3.559506 2.373596 1.708918
18 2.5534219742 -0.602734 -1.340572 4.998084 0.519496 -1.230282 0.446806 3.698772 -1.503610 -0.075998 -1.528911 -0.861165 -4.626806 0.418478 2.064919 4.104765
19 2.0036993027 3.924150 1.269219 2.966189 -1.626132 -3.879930 4.780250 -0.219084 2.354633 -3.114529 2.336271 -1.218377 3.594102 2.263829 2.168173 -0.322666
20 1.9553607702 -4.646201 -3.178390 -3.897117 1.083153 4.965152 0.074514 -2.874415 3.678509 4.495230 4.706410 1.246350 4.103044 2.786241 -3.082534 3.076431
21 1.7313995361 4.851384 0.990851 2.683817 0.304829 1.337469 -0.406637 -4.644472 4.196928 -2.796650 -3.530557 -1.812643 -2.280596 4.075903 -2.802596 2.042345
22 2.2233281136 1.265432 -3.385006 1.011924 4.385822 4.552434 -3.327398 0.304394 3.134931 3.753869 4.839505 -1.604461 3.777248 3.555135 -1.010252 -3.664379
23 1.9477903843 4.212887 1.523173 1.671230 4.163101 -1.720666 0.978759 0.834108 4.691838 -2.696115 3.659857 1.101834 -1.533527 -4.051179 3.848259 4.406991
24 2.0902910233 2.413646 -0.064834 -3.298233 3.174686 1.016399 4.078778 4.123677 -4.663126 -4.263402 0.820193 3.646486 -3.659719 -0.199921 0.458497 0.555800
25 2.4557275772 -0.405510 -4.710872 3.504945 1.540175 3.482434 3.834134 -3.921521 -2.987673 -3.345408 -3.167248 -2.301515 -3.688950 -3.721163 4.270981 4.761306
26 1.7824375629 -3.862039 0.246037 3.824627 -0.176153 4.699688 -4.153100 3.438523 0.332253 0.844238 -0.330353 2.582367 2.907962 -0.833475 -0.224893 4.203049
27 2.2205021381 -2.556213 0.694269 0.124138 -2.171568 -0.817444 -4.975198 2.891123 -1.937087 1.997771 -1.117208 2.892399 -0.364367 1.570690 -0.959705 -0.978371
