evaluations raw_y x0 x1 x2 x3 x4
1 -8798.9596109672 -0.248928 0.248928 0.248928 -0.248928 0.248928
2 1043.3882600000 0.601231 -0.601231 -0.601231 0.601231 -0.601231
3 5163.8811000000 4.877833 -4.877833 -4.877833 4.877833 -4.877833
4 -5879.9384178407 -4.605106 4.605106 4.605106 -4.605106 4.605106
5 -6352.1808601595 -2.540968 2.540968 2.540968 -2.540968 2.540968
6 3938.3153200000 2.820915 -2.820915 -2.820915 2.820915 -2.820915
7 3665.8415900000 2.326088 -2.326088 -2.326088 2.326088 -2.326088
8 -6503.0813088275 -1.981064 1.981064 1.981064 -1.981064 1.981064
9 -7662.2038180422 -1.701131 1.701131 1.701131 -1.701131 1.701131
10 2455.9415700000 1.356181 -1.356181 -1.356181 1.356181 -1.356181
11 3934.3525700000 3.166006 -3.166006 -3.166006 3.166006 -3.166006
12 -6233.4217672847 -3.446027 3.446027 3.446027 -3.446027 3.446027
13 -5917.7901885136 -4.252870 4.252870 4.252870 -4.252870 4.252870
14 4553.6092000000 3.980218 -3.980218 -3.980218 3.980218 -3.980218
15 2107.5056900000 0.873970 -0.873970 -0.873970 0.873970 -0.873970
16 -8211.0668783516 -0.817133 0.817133 0.817133 -0.817133 0.817133
17 -8711.1364075199 -0.486989 0.486989 0.486989 -0.486989 0.486989
18 -8779.8387116293 -0.397314 0.397314 0.397314 -0.397314 0.397314
19 -8764.4954284295 -0.350436 0.350436 0.350436 -0.350436 0.350436
20 -8759.1184825051 -0.343611 0.343611 0.343611 -0.343611 0.343611
21 -8759.1184825051 -0.336508 0.336508 0.336508 -0.336508 0.336508
22 -8799.1146150205 -0.308339 0.308339 0.308339 -0.308339 0.308339
23 -8764.4954284295 -0.354993 0.354993 0.354993 -0.354993 0.354993
24 -8798.9596109672 -0.239943 0.239943 0.239943 -0.239943 0.239943
25 -8798.9596109672 -0.247621 0.247621 0.247621 -0.247621 0.247621
26 811.9777300000 -0.740128 -2.150473 0.740128 0.157990 -0.157990
27 483.2710200000 4.625634 0.186719 -4.625634 0.376549 -0.376549
28 2201.4482300000 -4.919546 1.832379 4.919546 1.652013 -1.652013
29 -6216.4003229827 0.044483 1.220185 -0.044483 -2.857523 2.857523
30 256.3893000000 -1.619631 -0.221729 1.619631 -0.097306 0.097306
31 4474.7279500000 -2.044921 1.155916 2.044921 3.826901 -3.826901
32 -8029.2776936722 0.146255 1.274547 -0.146255 -0.758856 0.758856
33 -8334.0402513877 -0.296562 0.718656 0.296562 -0.933000 0.933000
34 -6885.8793626203 -0.661419 -0.666254 0.661419 -2.710756 2.710756
35 -8535.6901300298 0.238443 1.079193 -0.238443 -0.236258 0.236258
36 -8498.7866251434 -0.483113 1.384751 0.483113 -0.396079 0.396079
37 -8726.6876172665 -0.064845 0.766376 0.064845 -0.387380 0.387380
38 534.4612900000 -0.406499 0.147987 0.406499 0.467061 -0.467061
39 -8840.9045101652 -0.057392 -0.056414 0.057392 -0.283229 0.283229
40 20.2055200000 -0.029737 0.683333 0.029737 -0.203610 0.203610
41 -8590.5515159496 0.867752 0.088299 -0.867752 -0.273642 0.273642
42 7.5802200000 2.783125 -0.128202 -2.783125 -0.239382 0.239382
43 -8724.8645363783 0.329618 0.019300 -0.329618 -0.340029 0.340029
44 -8761.6799124259 0.247649 0.021575 -0.247649 -0.231319 0.231319
45 -8858.5924430390 -0.560767 0.009559 0.560767 -0.299864 0.299864
46 -8840.9045101652 -0.101527 0.081562 0.101527 -0.300105 0.300105
47 -8894.7984250906 -1.045910 -0.048160 1.045910 -0.358735 0.358735
48 -9143.9396177703 -1.570223 -0.105934 1.570223 -0.414184 0.414184
49 -8919.0651065369 -0.990877 -0.154625 0.990877 -0.469158 0.469158
50 -9206.9082977505 -2.143805 -0.112951 2.143805 -0.380673 0.380673
51 -9403.4800926966 -2.689859 -0.119394 2.689859 -0.436737 0.436737
52 -9482.9827162943 -3.067445 -0.151275 3.067445 -0.439174 0.439174
53 -9547.9844755569 -3.862956 -0.117622 3.862956 -0.401174 0.401174
54 67.8725200000 -4.969403 0.001361 4.969403 -0.351299 0.351299
55 83.5918600000 -3.790816 -0.130755 3.790816 -0.252035 0.252035
56 -9520.8991263199 -3.683367 0.039310 3.683367 -0.455199 0.455199
57 -9518.8096962151 -3.609414 -0.070735 3.609414 -0.443329 0.443329
58 -9480.9576940082 -3.515831 -0.207982 3.515831 -0.393138 0.393138
59 -9491.1760582418 -3.439349 -0.037341 3.439349 -0.415745 0.415745
60 -9474.6658307983 -3.626076 -0.151941 3.626076 -0.413842 0.413842
61 -9474.6658307983 -3.609458 -0.122141 3.609458 -0.420821 0.420821
62 -9471.7073457662 -3.597047 -0.129936 3.597047 -0.415446 0.415446
