evaluations raw_y x0 x1 x2 x3 x4
1 -6601.9013671875 3.276804 -2.957727 -1.812930 1.114351 3.355208
2 -7126.8862304688 3.565571 -2.889897 1.315989 2.021150 1.702288
3 1180.6647949219 4.084950 -1.813513 0.588727 0.535535 -1.192023
4 -6524.3828125000 3.470050 -2.015517 -0.085443 1.325379 2.730453
5 -6499.1040039062 4.995949 -1.990140 -0.175613 1.426109 2.396692
6 275.5077514648 3.738937 -2.528564 -1.214856 -0.177069 0.257274
7 -7309.2949218750 3.560343 -3.076405 0.490318 0.942983 1.792412
8 -6347.3076171875 3.516809 -1.868416 1.880660 -0.017059 2.640651
9 -6778.2167968750 3.429831 -2.019324 -0.502024 0.709381 2.359931
10 -6539.9692382812 4.749865 -1.445454 0.297585 1.337054 1.993576
11 -6374.0458984375 2.702448 -2.189705 -0.136228 2.031228 3.207035
12 -7363.8994140625 4.059358 -2.550968 0.130747 0.530878 1.457548
13 -7046.2465820312 4.761056 -1.744247 0.347325 0.594379 1.421812
14 -6795.9140625000 3.375638 -0.960975 -0.115237 1.840884 2.100605
15 -6726.8422851562 4.482444 -3.691879 -0.557854 0.910806 2.872603
16 -6473.0463867188 3.872796 -2.761141 -0.533775 2.414660 2.856352
17 -7143.5424804688 4.963401 -1.924969 0.007433 -0.091250 1.406404
18 -6564.4360351562 3.188688 -2.027325 -0.676610 1.248359 2.797187
19 -7612.0644531250 4.138971 -1.933532 0.721467 1.801507 0.844240
20 -6822.2377929688 4.986858 -1.843108 1.464148 3.706780 1.594655
21 -8518.2441406250 4.149327 -2.360065 0.462855 -0.056444 0.274653
22 -6938.9975585938 4.081054 -1.890841 -0.517524 2.029839 1.754768
23 -7507.7187500000 4.600490 -2.603012 0.216055 2.122124 1.109187
24 -7965.8671875000 4.319585 -3.087118 -0.600275 0.979019 0.823043
25 -7927.0239257812 3.061985 -0.442793 1.005692 0.105546 0.618971
26 -7962.1425781250 4.611930 -3.219739 -0.365043 0.735664 0.827951
27 -7270.9824218750 4.921867 -3.163368 -1.383832 0.818224 1.855338
28 -7351.5781250000 4.529540 -0.425292 1.188612 -0.165377 0.995565
29 620.1225585938 3.653977 -1.281635 0.500962 0.891043 -0.814416
30 -7975.0083007812 3.493627 -2.741250 0.529635 0.233825 1.098196
31 2300.6447753906 1.985721 -2.690799 -0.027990 1.952606 -1.807905
32 -7358.9482421875 4.560272 -2.623331 -0.068270 0.129437 1.428727
33 -8003.4169921875 3.542405 -3.172667 0.198893 0.746197 1.069388
34 -7677.1586914062 3.805088 -1.735850 0.278570 -0.065104 1.057579
35 -8761.4501953125 3.770838 -3.192345 -0.351514 0.232546 0.371813
36 -7760.2832031250 3.978762 -1.779717 0.316507 -0.544245 1.003615
37 -7654.9384765625 4.118633 -2.558430 0.116016 -0.505459 1.266736
38 34.8403930664 4.594583 -2.764720 0.056466 1.010500 -0.288727
39 -7392.0170898438 4.069683 -1.621814 0.145442 -0.019632 1.151429
40 -7760.8359375000 3.854088 -2.737186 0.305788 -0.221900 1.104508
41 -8009.2421875000 2.239685 -2.662595 0.367611 -0.409760 1.152311
42 -6874.2187500000 3.801168 -2.077421 1.240609 1.260723 1.836427
43 -8553.4794921875 4.960035 -2.848725 -0.420787 -0.245244 0.499898
44 -7567.2060546875 3.262800 -3.685063 0.388387 0.944217 1.742123
45 107.7976226807 4.010840 -4.260723 0.188058 0.475683 -0.193857
46 802.0614624023 4.976806 -4.362457 -0.156068 -0.129120 -0.710132
47 -8362.9492187500 2.819866 -2.997845 1.367932 0.313577 0.638179
48 -8111.4042968750 4.488614 -3.372698 -0.834536 -1.188988 0.843193
49 -7571.1484375000 4.354837 -3.501816 0.272421 -0.133897 1.403554
50 -8684.6386718750 4.208955 -3.280812 -0.418872 0.083217 0.387594
51 -7836.3056640625 4.400456 -2.512774 0.448973 -0.125700 0.909029
52 -7881.0722656250 4.259968 -2.439438 -0.726869 0.579319 0.846892
53 -8034.0244140625 3.393884 -2.946197 -0.515258 -0.583263 1.204851
54 -8232.0263671875 4.061523 -3.439981 0.110216 -0.928185 0.756387
55 -7486.1181640625 3.656183 -3.402750 0.502265 0.202268 1.710148
56 -7512.9770507812 4.718191 -2.846554 -1.019556 -0.088074 1.460827
57 -7905.9511718750 3.642030 -2.828215 -0.346324 -1.248939 1.181296
58 182.9036712646 4.961206 -3.489069 -0.237562 -0.916314 0.306859
59 -9109.7929687500 3.873380 -4.729949 0.065280 1.186593 0.355703
60 -8576.3281250000 3.509566 -3.586993 -0.398704 0.542755 0.525825
61 -8121.2807617188 4.466602 -2.458905 0.181674 0.505738 0.647686
62 96.1532592773 4.750227 -3.445136 -0.228811 -0.199278 0.266910
63 -7738.8750000000 4.087026 -3.409072 1.049046 0.193599 1.260188
64 -8564.5039062500 4.236189 -2.449114 -0.481068 -0.334985 0.463998
65 303.0742797852 3.105016 -4.070105 -0.212207 -0.334773 0.020728
66 401.6929626465 3.391298 -4.307896 0.603413 0.572498 -0.595264
67 -8383.9501953125 3.529555 -3.646051 0.702836 0.910910 0.706380
68 -9106.3544921875 4.768223 -4.536017 -0.831180 1.162792 0.264395
69 -7756.8569335938 4.130900 -3.266067 -0.393800 1.430863 1.110093
70 -8686.4599609375 4.747434 -3.835975 -0.528116 1.251448 0.496640
71 -8304.5742187500 4.535256 -4.326250 -0.300455 1.356456 1.081906
72 429.5814514160 2.632373 -4.646300 -1.471071 -0.125822 0.029865
73 -8106.0068359375 4.936962 -4.814838 -1.075075 3.065865 1.123091
74 -8765.8984375000 3.949841 -4.813852 0.165632 2.987774 0.572911
75 -7921.9384765625 4.983197 -4.192424 -0.598293 0.226497 1.645844
76 -8366.4560546875 4.988308 -3.387811 -0.702940 -0.121786 0.699587
77 -9298.1982421875 4.252176 -4.951963 -1.054026 0.627831 0.252829
78 -8160.5131835938 3.944112 -3.700630 -0.988594 0.362628 1.049642
79 -8255.9404296875 4.600250 -1.676009 -1.044780 0.808736 0.285446
80 -9389.3710937500 3.337715 -4.760041 -0.992665 3.847440 0.011100
81 -9031.3173828125 4.406476 -4.005241 -1.729796 2.412671 0.054380
82 -9115.3212890625 3.973527 -4.988616 -0.637844 2.485921 0.502349
83 -9309.1240234375 3.762831 -4.825612 -1.496520 4.756995 0.035588
84 421.8849182129 2.645452 -3.974895 0.308599 4.699159 -0.450461
85 -9401.0517578125 3.323073 -4.672542 -1.248874 2.088493 0.219258
86 -8486.9619140625 3.057376 -4.139188 -1.014768 3.136688 0.886130
87 138.8591766357 4.708185 -4.376893 -0.841666 2.610159 -0.185019
88 1100.1075439453 2.789068 -4.161700 -1.482992 0.892690 -0.822776
89 -8243.5400390625 3.864723 -2.471552 -1.846243 1.721265 0.560609
90 877.4826049805 3.131995 -3.855871 -0.590264 1.459949 -0.792520
91 -9212.0664062500 2.666707 -4.996489 -0.553163 4.960455 0.169291
92 879.7134399414 4.030867 -4.845631 -2.233359 3.696540 -0.728708
93 -8196.5449218750 4.706257 -1.357633 -0.133322 1.284907 0.498065
94 115.9435272217 3.612730 -2.700003 -1.023020 4.482233 -0.042975
95 -9391.5214843750 3.642825 -4.966330 -0.895065 4.201940 0.044944
96 -7823.8203125000 4.507018 -4.174237 0.588721 1.480534 1.369498
97 -9036.4921875000 3.691284 -4.724785 -1.075972 3.919705 0.419057
98 88.2095336914 4.324820 -2.706905 -0.373842 3.775909 -0.160491
99 198.4737396240 1.978832 -4.804245 -0.197597 3.033673 -0.346946
100 -9161.5341796875 2.490258 -4.168113 -1.488674 4.358328 0.151541
101 -8403.7285156250 4.560352 -3.286993 -0.274929 4.051053 0.392714
102 -8123.6396484375 4.867013 -4.561917 -1.323115 2.674843 1.297335
103 -9031.4462890625 3.607084 -4.161853 -1.194511 4.189089 0.113096
104 -9467.1542968750 3.481010 -4.885238 -0.949820 4.975617 0.071595
105 -8642.7607421875 4.341072 -4.950054 -0.530502 4.614777 0.524243
106 -8951.1376953125 3.425251 -4.589686 0.388460 2.514531 0.682113
107 154.7348022461 3.668673 -3.681272 -2.297855 4.990969 -0.339857
108 -8319.9384765625 4.608207 -3.903500 -0.482193 3.835903 0.657101
109 771.9093017578 1.139335 -4.344742 -1.833529 3.166427 -0.612129
110 -8968.2724609375 1.694531 -4.817890 0.139907 4.822222 0.752176
111 -8861.8037109375 2.979867 -3.972348 -1.168673 4.999828 0.378021
112 -8894.0341796875 2.263973 -4.717873 -2.050272 4.741836 0.644712
113 -9207.0576171875 2.322618 -4.982873 -2.241045 4.836265 0.335370
114 -8341.1367187500 4.688731 -4.804934 -1.681814 3.876477 0.845341
115 -8215.4736328125 4.418381 -2.233016 -2.523798 2.852337 0.390115
116 -8476.3427734375 1.400805 -4.434125 1.674705 2.989028 1.073424
117 -8463.4970703125 2.240813 -4.188473 0.435854 3.169001 1.102185
118 -7936.5307617188 0.970563 -4.890726 1.331352 3.400583 1.620441
119 -7871.5097656250 4.393318 -4.810974 0.651210 3.781189 1.125790
120 -8783.1875000000 3.002792 -3.603359 0.076419 4.148399 0.294685
121 -8147.2553710938 1.178946 -2.865020 -0.486848 1.630298 1.179183
122 -8700.7343750000 2.552942 -4.999290 -2.720766 3.600400 0.797013
123 1372.3464355469 1.012098 -4.068200 -0.724228 1.809174 -1.020529
124 -8683.3837890625 3.489198 -4.064377 0.388688 4.417635 0.599864
125 -8142.1806640625 1.271481 -4.240520 0.406742 3.203551 1.410585
126 -8850.6914062500 3.104662 -4.657849 -0.349405 3.797306 0.552192
127 301.8085327148 2.292456 -3.624892 -1.599741 4.014070 -0.167040
128 1100.9536132812 4.632020 -4.832226 -2.846983 4.936811 -0.709131
129 -8528.9560546875 3.358204 -4.985684 -0.928961 3.890668 1.043279
130 7.5069427490 1.732998 -4.748385 -1.337685 1.311186 0.259769
131 -8574.5039062500 3.702729 -2.518393 -1.865099 4.290609 0.181379
132 -8720.3056640625 3.793071 -3.804627 -1.040336 4.948800 0.332806
133 -8442.4970703125 2.617053 -4.945177 -1.622318 2.888459 1.156797
134 -8786.2744140625 3.298208 -4.319504 -2.559922 4.742689 0.687906
135 -8179.1733398438 3.047184 -2.976593 -1.849910 4.966706 0.737046
136 -8746.4599609375 2.729158 -4.096379 0.000852 3.722933 0.719038
137 -8857.2695312500 3.281510 -4.634788 -1.089480 4.896020 0.550662
138 -8464.4589843750 3.872843 -3.784802 -2.789152 3.585132 0.532843
139 -9314.1943359375 3.023544 -4.749218 -2.255639 2.360795 0.474579
140 -8570.1181640625 3.050321 -4.776444 -2.268396 4.665381 0.852324
141 -8573.7626953125 2.816929 -4.981473 -0.769624 4.051433 0.872104
142 -8679.6708984375 3.519550 -4.153681 -1.717588 4.728775 0.639566
143 -8536.2265625000 3.200773 -2.817581 -1.314805 4.683867 0.397116
144 -8814.1035156250 3.057879 -4.823905 -0.985570 4.882551 0.602956
145 325.0343322754 2.591961 -4.417576 -1.732934 -0.073364 0.304165
146 -9101.0898437500 1.969404 -4.981547 -3.003407 2.833027 0.717930
147 -8898.7636718750 1.633954 -4.988230 -1.276196 2.798964 0.802474
148 -9169.0019531250 3.889370 -4.903755 -1.607661 4.040160 0.173063
149 -8643.5429687500 4.172171 -4.672445 -1.816247 4.434616 0.546739
150 -9027.3203125000 3.573125 -3.913580 -1.660713 3.914785 0.046431
151 -8461.8457031250 4.233950 -4.970624 -2.629388 4.935683 0.896210
152 -8730.8486328125 2.560794 -2.437608 -1.744524 3.619432 0.159402
153 -9258.0185546875 3.202034 -4.999718 -2.000269 3.625847 0.336769
