evaluations raw_y x0 x1 x2 x3 x4
1 3.7902100089 4.621087 -3.423551 2.397296 -0.757808 1.299319
2 4.5229064403 -4.553321 -1.403605 1.213610 -2.215896 -0.263857
3 3.9385394168 3.534200 3.956924 -2.077596 -1.448849 3.605213
4 4.5606071602 -4.681082 -1.163394 1.986487 -2.860605 -0.897902
5 3.5721872561 -3.816697 4.558986 -1.142003 -4.020267 3.509499
6 4.9572530534 2.542341 -2.357848 -3.110925 -3.818452 -4.942569
7 3.7204017704 1.430480 -3.797908 1.110492 -1.035644 4.812990
8 3.5379937210 2.341230 -1.006093 0.457752 -4.708920 1.214032
9 3.8984547617 0.788591 -0.189073 4.281696 -0.086544 1.847338
10 3.6291914944 -4.387184 4.497152 -3.690000 0.195871 3.793220
11 5.1427452385 -4.031864 -4.730415 -2.028375 0.516627 -3.409860
12 3.6921440902 -4.918433 4.531394 2.201862 -2.006827 2.058300
13 3.8395662187 1.310434 -2.989782 2.594664 2.375583 1.987949
14 3.5356642866 -2.504718 3.883519 -3.318536 -0.474162 0.657975
15 3.9355817676 4.158115 3.578018 -0.653839 0.068934 0.350201
16 4.2636523971 2.155688 -0.774857 -3.614265 -5.000000 2.767769
17 3.7467011330 2.536772 -0.328560 1.214457 -5.000000 4.706522
18 3.7663448309 -2.617743 5.000000 -1.288775 0.959007 1.531418
19 4.4204619516 -4.154666 3.278334 -2.004308 -5.000000 1.725423
20 3.6460671683 -2.112523 4.248872 -2.151529 0.694752 0.120130
21 3.7430886938 3.428507 -1.558063 2.370587 -3.615257 2.419796
22 3.6996784334 -3.306953 5.000000 -1.106678 -2.378795 3.833128
23 3.8106210215 -3.198582 5.000000 -2.817686 5.000000 0.625088
24 3.7599155770 -1.557535 4.958039 -4.246717 3.437550 0.843745
25 3.4806848087 -1.682919 4.037760 -5.000000 -2.110034 1.726597
26 3.5467929377 3.442539 -0.863209 2.524530 -5.000000 -1.602172
27 3.5676997713 -1.584554 3.838882 -5.000000 5.000000 -3.268685
28 5.1314860505 -2.826015 4.120738 -4.864347 -5.000000 -4.983993
29 3.6743146368 -1.228096 3.721426 -5.000000 3.301993 0.658256
30 3.7085204138 -3.954681 5.000000 1.206191 -5.000000 4.993866
31 3.6832606499 3.542018 -0.507750 2.724380 -5.000000 0.902014
32 3.6227889203 2.659098 -0.738678 1.212181 -2.132829 -0.738917
33 4.5272457774 -1.707353 0.347481 -5.000000 -1.069769 0.184610
34 3.5831997132 -2.089613 4.157920 -4.286301 -1.107998 2.670427
35 3.4225652647 -4.513308 4.369835 -5.000000 -0.200201 0.969718
36 3.4906205941 -5.000000 3.922642 -5.000000 4.748109 -1.469350
37 3.5818074544 5.000000 -1.166335 0.926052 -5.000000 -0.447508
38 4.1616105928 5.000000 -3.830054 4.058114 2.932506 4.573014
39 3.4372419154 -4.032947 3.052895 -5.000000 5.000000 -3.054163
40 3.5340938897 -4.315099 3.247773 -2.923086 5.000000 -2.801859
41 4.4133541166 -4.821186 4.772458 -5.000000 -3.236954 2.198002
42 3.7193719016 -1.146897 4.257232 0.160032 -3.608690 2.834892
43 4.3996472973 -4.822417 4.091239 -4.641478 1.339901 -1.901333
44 3.7052356849 -3.288469 2.763652 -4.474087 4.317804 2.850443
45 4.4771889460 -4.289255 2.992854 -4.861940 4.426894 -5.000000
46 3.5130664293 -2.989890 2.793014 -5.000000 5.000000 -2.082142
47 3.5761721091 -1.202076 4.497649 -5.000000 -0.390876 1.277063
48 3.4773949279 -4.718289 3.639484 -4.892025 1.193797 1.672284
49 3.4803019776 2.471443 -2.221472 1.058201 -4.263327 -0.082301
50 3.6102584728 -4.675040 2.871600 1.912254 -3.960248 3.822230
51 3.6330177769 -2.926420 4.986594 -4.536139 5.000000 -2.026402
52 3.5071379167 -4.243426 2.076509 -3.927930 5.000000 -1.321406
53 3.6494582881 -2.419710 1.013451 0.008697 -2.548301 4.824062
