evaluations raw_y x0 x1 x2 x3 x4
1 4.2911701786 -4.219503 2.327870 -2.564467 3.703669 -3.986950
2 4.6324431145 -1.746283 -4.344703 0.443374 -0.602373 -1.992016
3 3.8000119072 3.825986 2.520677 -1.357232 2.774226 -3.400424
4 4.2837256335 -2.043754 0.729792 0.067398 -0.847300 -3.026947
5 3.5600771803 1.330690 -1.221638 0.008513 -4.455054 3.146676
6 3.5361171366 2.854060 -1.079134 -4.822219 -0.224531 1.526368
7 3.9446071166 -2.907790 4.995425 1.534165 2.016623 2.071922
8 4.2814949253 -0.660368 -3.103245 0.203214 1.781993 -3.385547
9 4.2736628855 -1.123787 3.589045 -4.057550 -2.002297 -1.243866
10 3.9732845184 1.577376 -1.457133 3.191531 0.647073 4.415340
11 4.2372626250 4.174190 4.863286 -0.363674 3.544925 2.266067
12 3.4862092219 3.612463 -3.231495 -0.877908 1.918774 -4.322546
13 3.4227186062 0.969304 -3.842691 4.412898 -4.004713 -1.905198
14 3.7251673786 2.552330 0.129399 1.473289 2.408435 -3.932724
15 3.6742839878 0.784673 -0.377077 -1.670358 1.076926 1.638712
16 4.4662535757 -1.463399 -4.961676 1.225889 -4.856492 3.470739
17 4.5325869000 0.349314 -4.835155 -3.531487 2.082842 -1.421394
18 4.9223627775 -3.416810 -1.970705 -3.274989 -2.573923 1.034319
19 3.4818446353 0.108133 -3.300257 -0.244184 -3.157411 3.591958
20 3.8019935659 -0.737393 3.522657 -2.033660 4.535776 -0.878273
21 3.6125140298 0.667732 2.882111 -2.873242 4.229296 -4.882905
22 3.4174474939 -0.263600 -1.925094 -0.467240 -0.150637 -1.685843
23 4.9570634257 -3.570156 -3.727524 -1.065231 -1.910191 -0.399244
24 3.9949418761 3.509236 2.114961 0.724642 4.164038 -1.637372
25 3.8158702816 0.492982 3.070671 -1.440536 -2.270582 4.877804
26 4.3134169433 -4.987653 -3.956750 4.769252 -3.694467 2.691809
27 3.9417126938 1.430434 4.226991 -2.264704 4.339687 -0.089061
28 4.0181180611 2.444802 2.344598 3.608131 -2.924620 3.939091
29 3.6967253280 -2.185814 -1.719384 4.260505 -2.150612 3.767626
30 4.1169821999 -0.904828 0.891828 4.969580 3.910802 2.833114
31 3.7094153293 1.068798 1.962559 2.511805 0.430212 -3.707274
32 4.9114394497 -4.489175 -2.408002 -4.500461 2.633109 -1.307037
33 4.6968807110 4.666175 -2.484782 -4.700207 -1.136580 -4.501554
34 3.8055081640 3.251866 4.114812 -0.780140 -1.467169 -0.628880
35 3.6339454853 4.480013 -2.693813 -4.329964 -1.711286 4.774132
36 4.0210564489 1.784502 1.471597 3.762371 4.975413 -2.513886
37 3.6716619585 1.147519 -2.198028 -4.398042 2.574664 4.266048
38 3.5490581697 0.062228 -0.685056 2.866603 -4.206317 0.516666
39 3.6576911199 4.398933 -2.992036 -4.079460 1.251080 2.490244
40 3.5972217085 -0.582209 4.652457 -3.025318 0.941618 -2.317514
41 3.8504805294 2.629856 -0.523224 2.291219 -3.454014 4.587660
42 3.4468933531 -4.600696 -4.147937 4.630754 -3.013949 3.320983
43 3.9688656076 -0.422248 4.540250 2.152342 -0.927410 2.928961
44 3.4191733851 -3.164955 4.356468 -0.730876 -1.300037 -3.613047
45 4.7506068478 -4.050075 -2.742278 -2.662176 0.274069 0.156691
46 4.0742692553 2.215131 1.587209 4.486312 2.949422 -0.526288
47 3.6959383741 4.854892 -1.571531 -0.074819 3.097173 -4.351587
48 3.9380273421 -3.385133 3.136161 3.808607 2.304539 1.693844
49 3.4922578982 -4.832571 3.918213 3.975566 -2.823733 -2.998178
50 4.8232315680 -2.386006 -2.273617 -2.186793 1.583195 -4.186059
