evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 1.8333641157 3.314020 4.397111 -0.727714 -4.882047 1.555663 -0.901379 -0.185268 4.253747 -4.063179 -3.456476 -0.241426 1.891015 -4.633047 -0.420430 -3.849875
2 1.9108953399 3.346653 1.952388 -14.470149 3.275581 -6.708524 -2.529452 2.037331 -0.572697 -23.307036 1.126295 7.554841 -0.884146 -0.944587 -7.803669 5.947053
3 2.2055123936 7.986677 -0.496006 -1.237473 -17.423757 -17.128515 -4.533439 -19.792238 10.099165 17.260376 6.768990 5.045713 0.445894 17.861014 -13.661311 -4.123239
4 2.1675925995 15.579353 -7.202219 5.666122 -0.182533 7.757455 20.773952 -12.215805 8.264931 -16.951610 8.823988 4.448279 3.695758 -11.970040 -20.654273 -10.174608
5 2.1195091403 5.579361 16.279380 -0.914729 -16.593739 3.921845 -1.663727 -8.998463 -6.070136 21.512833 0.637688 5.312882 11.220876 -2.123312 7.487271 -7.513155
6 1.7898075921 -7.358553 8.146317 1.052038 13.404386 -7.939888 -22.344118 -1.913726 -4.565216 7.576629 -10.498154 -11.647405 -4.101229 -24.168825 17.690058 -21.958947
7 1.9745326773 4.551277 1.986693 9.053904 9.023460 -12.651156 -15.269085 -5.954116 -0.001789 15.899906 -12.959006 -22.158631 0.115726 -32.665752 15.205881 -18.003250
8 2.0979934827 -9.732832 9.572742 -12.482960 15.642862 -12.117796 -15.775624 -0.720408 -6.454348 10.712126 -1.343551 -6.449687 15.099227 -27.713036 2.417793 -8.909741
9 1.8292956411 -11.955705 2.868253 5.056855 14.170614 -2.115573 -5.636502 -1.914822 15.542514 -4.479743 -15.324691 -12.202701 -15.540003 -32.998350 30.970578 -14.880331
10 1.7600919090 -2.627345 20.023617 4.971623 15.812525 4.614535 -17.196207 16.392287 -3.210888 24.916130 -11.108258 -9.928252 1.885985 -19.606462 17.739736 -26.273567
11 1.9712092595 3.486876 23.501353 -0.921641 15.117863 -1.738696 -28.243166 23.863511 -7.753118 23.016096 -11.105956 -31.455669 10.337591 -27.737202 19.281982 -12.774701
12 4.4911163076 0.537131 23.400892 -1.274324 13.325212 -13.591209 -6.013730 32.253708 -1.271973 24.256846 -9.708673 -23.802288 -9.164568 -34.115900 0.796756 -27.924828
13 1.8071432977 -23.048365 31.308824 3.079602 18.121299 -0.374018 -7.687320 23.699207 11.832212 20.053298 -8.812065 1.003901 0.338501 -24.105120 9.219076 -22.192613
14 2.0456382476 5.108135 11.482200 4.426617 7.773852 12.794992 -13.014281 24.483145 3.833770 22.222604 -9.188641 4.941566 0.629945 -24.817280 10.679360 -18.879795
15 4.0516999403 0.434793 18.604433 -7.827017 36.992605 -3.490013 -19.876628 11.936211 -6.423099 25.803200 -2.337584 2.431830 5.040097 -0.352196 11.149849 -10.657001
16 2.0922520150 6.570084 20.499163 -12.062171 23.024112 11.807920 -4.651816 23.961017 -4.762763 31.588193 4.917673 6.951608 -12.625656 -18.214266 10.891641 -23.947945
17 1.9411410068 13.386035 17.607169 3.105653 26.510997 1.815002 -26.360873 16.981885 -7.537545 36.872618 -15.240354 -13.793741 -0.401526 -21.147148 18.648810 -26.997555
18 1.8092633562 -8.980377 33.471060 14.414908 10.592159 -12.367853 -16.896602 24.373515 0.700459 14.449796 -11.519906 -5.362713 -4.542829 -30.782357 14.665876 -33.887272
19 1.7191694587 -4.668072 26.933999 -0.084142 15.797605 -6.203041 -24.417508 18.067955 -8.183837 13.645932 -11.302418 -5.844199 4.154098 -39.456946 17.329845 -14.347742
20 1.8037351883 -25.390504 27.693873 -1.074627 13.307039 -3.229725 -29.044682 35.831713 -2.310086 15.457646 -26.597967 -6.150856 -11.980630 -40.019863 10.930961 -20.510547
21 1.9423739150 11.973916 32.065668 -0.928578 16.762320 -14.766008 -30.268456 25.807924 -3.330722 7.783433 -9.502022 -1.878047 -0.488095 -47.955474 1.464873 -17.032185
22 2.7576686626 -1.956611 29.326360 -5.223102 15.500061 5.567663 -16.273969 21.428077 -6.276680 22.134891 2.386935 -10.407934 17.405840 -32.264410 10.176169 -6.715607
23 1.8145354200 -16.289926 19.228358 7.176912 19.083986 -9.068547 -26.758200 22.973770 -4.646528 11.140132 -9.162979 -5.852945 8.960537 -33.241498 19.859431 -3.214365
24 1.8957102936 5.020582 39.625353 9.457267 17.230445 -9.584371 -25.812300 19.735271 -18.612220 -11.559665 -11.071481 -13.471656 3.394768 -34.207603 12.090934 -15.991692
25 2.0163834473 15.988489 31.286558 -4.629262 14.284398 -6.608376 -31.470082 20.304264 -7.812728 14.787301 -9.476161 -0.021324 0.161787 -38.020773 15.434900 -26.195936
26 2.0460732365 -13.404013 34.470304 -4.185521 9.538501 -7.322676 -36.160835 11.574908 7.038945 19.141426 -9.189776 -8.887075 -3.784050 -35.430341 11.350091 -24.878443
27 1.8213957804 -22.472401 22.974765 5.691600 30.415637 -5.414488 -16.358094 15.287536 -8.565620 0.126597 -2.420870 -19.593375 -12.468950 -43.793575 28.210225 -12.453565
28 1.9079845099 5.775160 35.957371 6.197967 15.887364 -3.279547 -9.913295 18.303084 -17.493310 10.285868 2.603136 -10.526133 1.020979 -20.092922 35.300739 -17.136430
29 1.8083498536 -8.170844 33.130511 0.111982 22.576145 -17.365198 -33.566973 6.991813 -17.855365 9.173044 -8.613226 -1.622250 4.376321 -41.338510 29.507518 -12.439345
30 2.0564766626 -5.917571 24.291135 -4.679283 8.186885 -4.856027 -21.284430 29.342617 -3.082424 35.315548 -5.116467 -9.104994 10.091632 -45.461623 15.512147 -29.007241
31 1.8449758702 -12.214365 33.946959 -3.303733 14.710772 -5.784743 -36.575839 24.795053 -0.521454 2.817808 -8.243305 -1.348993 8.474119 -30.320190 13.690123 -11.882273
32 1.8153208676 -18.770808 24.049140 -1.474453 5.459655 -17.394564 -33.864922 31.132164 -6.440602 15.073301 -6.269053 3.936454 -0.889652 -39.109572 21.428026 -24.518546
33 1.7143672643 -4.711633 23.400833 8.727498 10.482014 -20.396275 -36.853566 19.525748 -9.339076 9.958034 -14.661790 -3.591724 -0.943487 -40.809902 11.331570 -14.125998
34 1.9554470586 7.326097 13.410602 5.343950 21.490147 -21.195616 -39.919226 16.487639 -6.510239 5.045820 -11.944626 -4.439252 7.740123 -41.298351 15.194380 -13.969716
35 1.8116555993 -9.111275 20.083698 16.247922 15.681644 -16.120078 -29.807416 9.726164 -10.401538 23.072653 -21.268174 -11.969445 10.623529 -45.607982 10.962301 -18.208449
36 1.7134731650 -4.608842 24.455833 21.367028 7.602138 -19.537235 -40.596259 16.360336 -16.159443 10.973367 -14.416067 -4.629521 -5.796720 -30.743219 15.882923 -10.009050
