evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 2.1870448063 3.379562 -2.001728 1.321367 0.582229 4.975654 1.131425 -3.561316 2.615459 -4.371692 2.220588 3.204280 -4.205679 -4.128252 -3.090138 -2.445407
2 1.5938926754 -4.387673 3.351526 -1.641197 4.036329 -0.650533 4.542180 1.254467 4.906673 3.242444 0.333267 1.013799 -4.041239 -2.998952 -2.473609 -0.995015
3 1.8276863886 -3.640886 0.270169 2.489439 4.291521 -4.192352 0.972719 -0.062653 3.123230 -3.038719 4.519991 3.597532 -4.563824 -4.108717 2.502448 -2.617406
4 1.9652234365 -4.083754 -1.649354 1.163712 2.171823 -0.901770 4.734168 -4.596013 3.552952 -1.714397 3.980999 -0.207600 0.571253 -4.874133 -1.399704 -4.050889
5 2.2218868553 -1.421754 -1.454274 1.372797 -4.661562 2.887534 4.826098 0.383707 4.612253 2.265077 -1.011123 1.320695 1.111022 1.693612 -1.049918 2.231782
6 2.1693060342 2.346761 4.532764 -0.208823 2.838041 -1.685636 -4.581841 -1.412667 -4.566057 0.942812 4.222930 3.648865 1.190549 1.962448 -1.971003 -0.447698
7 2.5532226908 0.110043 2.083921 4.279172 2.024606 -0.790836 4.045870 1.370449 3.640778 0.024854 1.344192 4.658312 -2.403589 0.960169 -4.310195 2.445919
8 2.7107304471 1.050719 -1.937270 -4.796519 3.788088 1.886279 -1.091377 -1.369499 0.525991 -2.868046 -1.669488 -0.182582 -4.492912 -1.073116 -1.493291 -2.820978
9 2.3933757423 2.513146 -4.721513 1.509824 -0.541653 0.491406 2.960745 1.566692 -1.097476 0.462112 4.576747 -2.900828 -2.475440 -0.844459 -3.225995 -3.013724
10 2.5998558692 0.740005 1.502033 1.056118 0.855425 -3.022518 -3.056586 3.697933 -3.522119 -1.672977 -0.723921 0.361550 -0.291259 0.538097 0.846312 -4.604820
11 1.8859794120 -2.754346 -0.613777 2.694937 -4.837367 -1.159610 4.426749 -3.684923 -3.326382 3.142323 0.607775 -3.399937 -3.441164 -3.450715 -4.098077 2.162389
12 2.4258390427 0.618533 -1.357630 2.161140 1.857518 4.597937 -2.453773 2.456775 -2.902297 -1.480127 4.680800 1.587570 3.411742 -1.167611 3.150026 4.753514
13 1.8261194450 4.309656 1.035781 1.419463 1.917163 -0.761178 -4.550801 1.123218 4.005470 -4.263504 1.611371 -3.810657 -2.660971 0.949103 0.270381 -2.134704
14 2.0029340608 3.826882 1.929397 -3.449891 -1.815220 0.008829 0.267487 2.293365 -0.621732 2.731143 2.661975 -4.868670 4.558094 3.256440 -3.622944 0.025158
15 2.8453492853 -0.517846 3.097465 -4.526045 0.465686 3.121255 1.855580 3.034930 0.716779 2.177629 0.409706 4.005467 2.086914 -4.161658 -0.125059 -0.834232
16 2.2986152184 1.876226 -1.054550 -1.410425 -3.987792 -2.542891 -4.912562 -1.876059 -0.716435 0.077306 -2.538213 -2.336761 3.643850 -1.239127 4.245663 0.446436
17 2.0321309593 3.240212 1.296547 3.677030 4.200354 1.385273 3.608892 -3.976379 -4.428903 -4.332502 2.175391 1.262553 1.043194 -3.550695 0.644036 -1.867032
