evaluations raw_y x0 x1 x2 x3 x4
1 -6355.5417353706 3.510531 -1.994275 1.839488 -2.950339 2.678609
2 5548.1921318014 26.413647 -23.005988 19.545733 -18.722818 -6.646726
3 -3853.8771020116 15.411229 -5.861289 -0.303533 -22.203032 7.066420
4 -2175.1147330383 12.721681 -3.763329 8.892613 0.970704 16.796599
5 -3209.3858382467 5.635083 -9.155388 9.152728 -4.593060 10.497324
6 -4108.7985842288 21.141353 -4.620777 -3.978415 -4.699658 12.871494
7 -1503.0333632566 3.346032 3.103452 -5.485491 1.380108 13.329792
8 3957.8422494213 0.725483 -5.899480 -6.035382 -10.698721 -2.266643
9 -3806.6043871219 5.989216 -12.781046 0.114987 -6.827346 17.233806
10 521.0744532773 3.574272 5.873108 11.590677 -7.420836 -0.110998
11 -307.7207426852 3.396089 11.687692 11.074670 -3.846738 15.098671
12 -99.4585959855 8.909209 6.319431 3.374186 -8.875993 11.246977
13 5450.1630560697 11.685349 -8.355845 0.447749 -10.249330 -4.489478
14 -6494.3058739930 -2.545180 -10.300504 -6.838978 -1.959836 5.145041
15 1287.4892650584 -12.633917 -14.148711 5.048513 -4.295282 -0.203760
16 -4387.0980118462 0.852184 -1.245532 -17.845766 -4.192475 13.493576
17 5940.8107768869 -5.224112 -13.397839 5.351347 -5.920352 -7.031158
18 -7739.2002751374 3.084212 -10.129835 -3.302123 -3.265941 2.927423
19 6422.7137876606 4.581436 -10.467548 -5.073365 -5.877779 -6.777430
20 6705.7206662869 -2.626752 -17.665279 -10.784628 -7.407806 -5.468952
21 -4970.6297554615 4.876287 2.367317 -0.903471 -10.649322 2.694503
22 954.2662800708 11.094978 -7.048193 -8.548869 -7.492929 0.696025
23 3230.9124536504 4.929859 -11.828635 -7.928402 -7.861642 -1.679638
24 -7911.8697768221 3.055362 -11.423388 -1.276124 -5.847624 2.795498
25 -3829.5800834615 7.447733 -13.134249 -0.088424 -5.904738 10.426086
26 1495.2919186416 8.159223 -8.075908 -4.192789 -5.368404 0.058419
27 66.6222737873 8.389273 -9.212637 -2.038958 -6.684009 1.357941
28 -6941.8500689847 6.022662 -13.240414 -1.835117 -12.497035 3.062585
29 -5761.4122202136 6.162126 -10.015905 -4.593160 -8.686010 4.054207
30 -8443.6221186191 -1.016206 -13.681255 -1.232327 -9.144863 3.317305
31 2069.2559821563 -1.117760 -15.839110 -1.276300 -6.526944 -0.551750
32 -6898.3348088703 -3.617959 -14.186819 -2.487829 -8.657302 6.464864
33 -9025.0426071726 1.761913 -11.050161 -3.403072 -4.761978 2.476733
34 1800.3796664381 3.381668 -13.485806 -0.212151 -2.288241 -0.802255
35 -5465.7224162689 2.355054 -9.576462 -7.853735 -4.848059 4.840698
36 1087.2308511427 4.913103 -12.352919 -4.156266 -6.186125 0.485033
37 940.5062004863 0.911268 -6.650215 -6.535967 -3.269757 0.717677
38 -7172.6933928346 -0.401003 -9.415911 -7.305091 -6.281870 4.312125
39 -8110.4806825488 3.864358 -9.184622 -6.560386 -2.836291 2.607896
40 -10789.6753678663 -0.620595 -11.017315 -4.476989 -2.413152 1.724237
41 50.4941620332 1.117291 -11.224806 -7.567525 -1.825352 1.505137
42 1422.2464307887 -2.238905 -10.468950 -6.084217 0.700413 -0.024548
43 -5600.9779517733 -0.651821 -10.137283 -2.007721 2.404085 4.636663
44 189.9929079295 2.229162 -11.563334 -8.404715 -2.951793 1.418238
45 3515.9157566647 -4.997517 -7.253792 -2.895561 0.389321 -2.258581
46 -8644.1882055691 1.021747 -11.774942 -3.396767 -1.173277 2.622724
47 -9001.1265608458 2.220169 -11.646488 -2.212351 -2.089140 2.105968
48 1841.9631842047 -0.825921 -11.998341 -1.964916 -1.392523 -0.599031
49 -10895.8822407027 -1.090109 -10.041003 -6.719058 -4.134165 1.921960
50 -9860.8457444340 -2.660652 -15.157628 -6.949503 -2.807080 2.850260
51 -9464.3247548573 0.232928 -12.809560 -6.966938 -1.080929 2.361335
52 60.0084294659 -0.797351 -10.654800 -6.560959 -4.483752 1.820238
53 -9418.2850002848 -1.972537 -9.619285 -7.109651 -3.338324 3.035362
54 1395.8611696073 -1.414163 -8.741781 -6.470018 -5.473462 0.497769
55 -7750.7958625060 -0.027803 -9.851604 -6.275426 -4.493793 3.809795
56 938.8370821848 0.293066 -12.456956 -8.693539 -4.604597 0.868554
57 -10431.1051263183 -1.316217 -9.519621 -5.272940 -4.052933 2.273628
58 -10056.3930239539 -0.808294 -10.236874 -8.925203 -3.668793 2.384570
59 177.1859185260 -0.946524 -11.734963 -5.849698 -3.953215 1.654740
60 -9506.3118159811 -0.880290 -9.188488 -4.420512 -2.986308 2.671550
61 1173.0740823471 -2.427000 -9.252769 -8.683562 -3.167212 0.602124
62 1394.4142751076 -0.957916 -10.127904 -4.362485 -4.249604 0.353831
63 753.1052353403 -0.968127 -10.472184 -5.707656 -3.748609 1.034958
64 1206.3820684920 -1.252601 -10.319311 -6.577919 -5.114742 0.689101
65 824.2532266124 -1.286285 -9.821202 -6.729336 -3.889087 0.986703
66 477.3781144564 0.283848 -10.513441 -6.554690 -4.752153 1.364727
67 176.3182360218 -1.763490 -9.759962 -6.298910 -6.027906 1.786223
68 292.4172302907 -1.432048 -9.819153 -5.407176 -4.737928 1.627031
69 974.1460406826 -1.167562 -9.765718 -5.867107 -3.377854 0.777827
70 -10593.0658393876 -1.646737 -9.934510 -7.216400 -4.023088 2.235083
71 143.3580039914 -0.561290 -10.153232 -6.474533 -3.530634 1.635095
72 399.2796135637 -1.332706 -10.357244 -6.785861 -4.064394 1.448856
73 1305.5918422103 -1.931959 -11.477279 -7.253827 -3.579720 0.481620
74 1188.8243587106 -0.831178 -10.500687 -6.787489 -3.439940 0.545499
75 -9970.7432288962 -0.455001 -9.871381 -6.559229 -4.261442 2.409256
76 180.0237746782 -1.301762 -10.005833 -6.747355 -4.108100 1.680709
77 163.9308703699 -1.487320 -10.184887 -6.528528 -3.649290 1.662589
78 -9814.4090189848 -1.840201 -10.551972 -6.214252 -4.188963 2.806666
79 195.2424799567 -1.347555 -10.280007 -6.977689 -3.783464 1.636585
80 -10977.4025667153 -1.098537 -9.868294 -6.367632 -3.545707 1.825918
81 501.1701195600 -0.978659 -9.655918 -5.497215 -2.863912 1.216566
82 245.8438759252 -0.451641 -10.279231 -6.498036 -3.372804 1.508890
83 344.3928740597 -1.233237 -10.020796 -6.084575 -2.964884 1.400166
84 551.5360235897 -1.415658 -9.861160 -6.631676 -3.493413 1.240243
85 171.5457439396 -0.954448 -9.601674 -5.737486 -3.507664 1.619643
86 51.2428132510 -0.885882 -10.286392 -6.027533 -3.822725 1.771732
87 -10312.1883357308 -1.476377 -9.938182 -6.070683 -3.635753 2.356258
88 -10650.2346467985 -1.246758 -10.115354 -6.000788 -3.352459 2.061005
89 305.0291927129 -1.150621 -10.497289 -6.263009 -3.147532 1.454839
90 -10658.2042225019 -0.963444 -9.815708 -6.175604 -2.979052 1.966862
91 276.6562044187 -1.284302 -10.187701 -6.555721 -3.595387 1.531493
92 -10311.5801762547 -0.920499 -9.607158 -6.837868 -3.438530 2.222081
93 537.6912325286 -0.853481 -9.922021 -6.073614 -3.277649 1.211640
94 146.4795588792 -1.487586 -10.017430 -6.286586 -3.201999 1.639357
95 -10683.5006706460 -1.153731 -9.949308 -6.464117 -3.811447 2.052892
96 -10160.2183355137 -1.580930 -9.505931 -6.441636 -3.796232 2.491734
97 49.8857315427 -0.911226 -9.970423 -6.557206 -3.730998 1.765684
98 23.8781665038 -1.167683 -9.844173 -6.253871 -3.582947 1.789647
99 -10832.4090193087 -1.035846 -10.335580 -6.065076 -3.443311 1.901160
100 342.6555229985 -1.131152 -10.047421 -6.532820 -3.805385 1.475730
101 225.9090512318 -0.794210 -9.843787 -6.270302 -3.682369 1.572474
102 97.5030942698 -0.896609 -9.650262 -6.349394 -3.224573 1.668377
103 -10855.8044363111 -1.069307 -9.748934 -6.553373 -3.367450 1.887200
104 0.5691894183 -0.685812 -9.747983 -6.345143 -3.541906 1.790428
105 -10803.2631901936 -0.790131 -9.908464 -6.326114 -3.810555 1.894772
106 -10479.7395581675 -1.054269 -9.866963 -6.290217 -3.151408 2.117867
107 118.9305104826 -0.934170 -9.987355 -6.518263 -3.662066 1.688099
108 31.9783444961 -1.210892 -10.034999 -6.495546 -3.631631 1.787471
109 -10863.1248302182 -1.174720 -9.848902 -6.224193 -3.380103 1.906018
