evaluations raw_y x0 x1 x2 x3 x4
1 627.0538330078 -0.835440 -1.101985 1.368331 -0.020194 -0.575571
2 5182.4028320312 1.823602 -2.003313 -0.143704 -1.629021 -4.761874
3 2691.5153808594 -3.885189 2.337546 -3.304006 -4.287217 -0.941183
4 -7449.7182617188 -1.257657 1.341986 1.790581 1.587495 1.711537
5 -5826.8872070312 -2.796627 4.417086 3.475893 0.334500 4.724273
6 -7494.3686523438 4.119674 1.059362 -2.926266 -1.066085 1.322826
7 -7957.8120117188 -0.016714 -4.755753 2.603336 4.823263 2.504166
8 3991.6008300781 -1.681745 0.272238 -1.189311 -0.313453 -3.109994
9 3580.8320312500 -4.427010 -1.215664 -4.965792 3.012502 -2.200430
10 -8729.0888671875 -1.570652 -4.726692 -1.591136 4.533635 2.001423
11 -7799.9121093750 4.673301 1.147562 -0.023523 4.297136 0.320750
12 178.0330657959 -3.415873 1.502078 -2.257190 2.245675 -0.017967
13 4655.4199218750 -1.805809 -3.393403 -1.485445 -2.263472 -3.659566
14 3743.0229492188 0.300895 3.212186 3.595479 1.916141 -3.230462
15 -7926.9589843750 0.659214 -4.521233 2.267809 -2.144355 3.333057
16 4764.7646484375 -0.287875 3.529755 4.135979 3.212037 -4.246633
17 -7151.9511718750 4.065965 -3.730757 -0.263335 -1.849002 4.152656
18 3289.4707031250 -1.322539 -0.366793 1.419782 1.708485 -2.179556
19 97.6844787598 -4.998825 0.169571 3.353266 -0.562270 0.400256
20 -8760.8447265625 -4.108929 -4.200733 -3.433221 -3.988478 4.233249
21 4455.7753906250 1.323524 -2.402003 1.062238 -1.514141 -3.489997
22 -6022.3730468750 0.582739 3.808279 -2.376185 -3.394158 2.755141
23 5118.4790039062 4.847054 -0.502550 0.425347 -4.913450 -4.963267
24 -7387.0312500000 0.971203 2.274068 -4.237040 -0.447810 1.468254
25 -7387.7758789062 -1.510899 3.635026 3.033819 2.836182 0.671170
26 -7050.2465820312 4.218332 -3.424670 -2.197266 4.420390 3.837782
27 4620.4223632812 1.158820 -1.788858 -4.668471 2.709117 -3.856995
28 -7044.9067382812 -3.073975 -2.982778 -2.793739 -2.478013 4.465223
29 -6146.3022460938 -0.365942 0.748500 2.799962 -0.916941 3.443075
30 4029.2778320312 2.755852 2.508039 -4.457442 3.809160 -2.806386
31 -6573.0415039062 -2.572833 -2.267217 0.184546 4.709103 4.575851
32 5068.3837890625 0.439123 -0.933830 -1.905932 -3.227364 -4.576079
33 -7438.9794921875 2.615105 -1.811466 0.900255 2.015352 1.862866
34 4602.4140625000 -3.158758 3.321954 -0.541257 1.076154 -3.966120
35 -6013.8129882812 3.579154 -2.844472 -2.599406 -2.453629 4.941460
36 -5548.9277343750 3.145867 3.791220 2.998838 1.404528 3.053385
37 -8041.3940429688 4.962780 -1.538250 1.151374 4.047526 0.076360
38 1363.4277343750 -2.394553 -4.136273 -3.022351 -4.364941 -0.158176
39 -9164.3750000000 -2.007420 -1.461139 -3.950986 3.371111 0.893012
40 2324.3164062500 -4.034985 1.723359 -0.346800 3.409304 -1.676004
