evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 2.5619134903 0.007462 0.375648 -1.835658 -4.036007 -4.435978 -2.564691 1.219380 -3.022218 2.103552 1.140926 3.718315 1.141656 0.248334 2.275550 -4.555275
2 2.2875628471 -0.681131 -3.442844 -0.996129 -4.975070 3.924388 -1.094446 -3.386881 2.766943 2.505569 1.434728 3.374352 -3.591092 1.127398 3.784798 -0.006067
3 2.2611486912 -0.779673 0.053365 2.640167 3.962553 4.570697 -1.593167 0.798730 3.846316 0.553241 2.111807 3.791152 0.247049 -2.149181 4.808408 3.075381
4 2.1926250458 2.745610 1.831579 -3.134121 -1.975324 3.939463 1.139120 -3.072387 0.638788 3.728639 -2.297845 2.824164 0.675966 4.138155 -4.587775 -1.605243
5 2.2649793625 1.943004 1.970762 4.797291 -0.044369 -3.033141 -0.506337 4.612841 0.947943 -4.378281 -4.960028 2.309288 -4.906905 -4.871937 -0.880401 2.829392
6 2.4728059769 -0.107307 2.797331 0.040470 -4.083576 -1.822356 -2.974235 3.533400 -3.813022 2.025041 -2.906458 3.237960 -4.181840 2.842985 3.538527 -0.107003
7 2.1717031002 -3.791530 -2.241662 -4.332176 -0.424912 -0.877227 -3.629501 3.747024 -3.841422 -3.940289 -0.306884 -0.618408 -1.890484 -0.482407 2.436170 -1.674981
8 2.2883672714 -3.133994 1.851745 -4.451079 4.128613 -1.211962 -4.524305 0.146484 4.059258 1.199742 1.933588 3.943036 -1.055941 3.378106 2.702861 2.175734
9 1.6174373627 -4.297063 1.912391 1.779322 0.676754 3.215927 -3.863485 -0.194952 -2.383627 -1.186085 1.131784 3.966973 -3.191223 0.508516 -2.870700 -0.515444
10 2.1363716125 2.802298 -4.128633 -4.042251 -1.204140 -0.991413 0.638919 1.509418 2.123895 3.068693 4.579889 -0.559046 2.835937 4.796115 3.568992 3.689440
11 2.3656449318 1.910806 -0.515402 -1.543208 -3.276592 -2.823240 -0.085866 -3.239892 -3.686719 3.753365 3.844362 4.422670 4.612602 -0.546281 4.028238 1.193150
12 1.6813125610 4.816262 -0.464159 -3.016963 -4.647820 1.081579 4.737093 -1.409332 -4.533823 4.210508 -2.921329 2.484820 2.590971 2.111074 -3.015072 -4.125270
13 2.2116060257 2.955397 4.500531 -0.075938 -1.477122 -4.313610 1.267032 -2.444725 -2.139030 -3.734591 1.789467 4.790779 0.478402 -2.590578 -0.774915 2.013397
14 2.2401912212 -2.841557 3.536474 -3.555194 -1.140541 -2.427443 -1.697129 3.334702 1.029047 1.130875 1.920534 3.478622 3.143114 4.019114 1.308518 1.861665
15 1.9102008343 -4.042531 4.804644 4.512242 4.271452 1.264085 -3.798142 -0.337568 -2.865009 4.612169 4.070975 -3.271235 -2.833868 -1.288197 -3.948100 -1.036412
16 1.3929076195 -4.758783 -3.127698 1.041738 -3.230751 -1.546800 -1.586668 2.963875 -4.942504 2.121071 -4.905397 2.014044 3.131176 -4.172144 -4.025953 3.658723
