evaluations raw_y x0 x1 x2 x3 x4
1 -8105.5004882812 -2.832905 -3.474521 1.136589 -0.678251 2.856756
2 -154.9408874512 -5.124669 -18.958296 -6.351305 4.533368 7.443545
3 2839.9062500000 -7.783772 1.956627 0.238260 -2.865809 -5.035102
4 -75.1818847656 -7.181708 15.221219 -7.542265 -5.636272 12.127684
5 -3140.0146484375 -1.110400 3.558082 -3.660072 0.874685 10.327461
6 -359.9862670898 1.436420 -1.680316 19.672361 -4.812680 -5.241887
7 -778.5894775391 -9.289680 -6.235032 15.267534 -7.091326 -2.470512
8 -304.0475769043 -15.654955 0.422948 3.269380 4.719551 10.719353
9 -5350.0644531250 -2.991429 -1.058981 -7.198936 3.578054 4.768493
10 -1525.0133056641 0.372669 -13.343820 -0.068071 -4.627735 7.559406
11 -1430.6362304688 -14.403104 5.601696 3.962462 5.139511 1.645502
12 -328.7284851074 -4.922405 9.964370 3.432560 -16.259285 3.395637
13 -291.1830139160 -4.312588 -9.866002 5.319619 -10.418702 12.714232
14 -76.4390716553 -15.629091 2.264659 3.256962 -17.286744 3.162569
15 -6307.1528320312 0.768956 -9.863208 2.297197 4.293199 -12.729477
16 1379.5729980469 6.651374 -4.037206 2.897726 -5.954485 -5.842102
17 -8678.0869140625 -0.000012 -5.906961 0.336213 -2.916847 1.789906
18 -3345.3964843750 -5.059250 -7.476452 -10.450065 -8.516518 0.842755
19 -4408.6445312500 1.632999 -5.339762 6.729872 -9.728311 0.243053
20 -4348.3281250000 -4.304786 -8.982660 -1.696163 0.376587 7.128453
21 -3074.3288574219 -3.142416 -5.741068 2.149946 3.475591 10.268745
22 -5956.2592773438 0.377025 -5.390382 -5.713970 -6.871428 3.014750
23 2091.8923339844 6.727177 -5.879882 -0.005556 -1.701305 -3.563744
24 2882.0463867188 3.130306 -1.612561 2.484475 -5.016756 -1.797479
25 -11431.8779296875 -5.654009 -7.819190 4.717394 1.249888 -1.884926
26 -699.1539916992 -13.672087 -3.202631 8.833925 2.483586 7.136215
27 -1380.4353027344 -13.682363 -12.189747 4.575182 0.009878 -0.201034
28 -4080.5034179688 -4.012981 -11.499141 8.148199 -2.435482 -0.327362
29 -6619.0327148438 -12.149377 -7.674829 -0.485517 -4.395960 -6.961844
30 433.7966918945 -5.143986 -1.925016 9.137882 -2.765406 -3.531150
31 -3213.5483398438 -7.279474 -3.081760 9.821954 4.135802 3.001460
32 99.9874114990 -2.987614 -3.080637 4.646576 4.756907 -0.146935
33 -4483.6762695312 -11.899504 -9.710403 -6.141249 -3.045271 -4.078571
34 -3897.2133789062 -6.716614 -11.255611 5.860186 1.018939 1.676909
35 -9987.8964843750 -4.694216 -6.983040 6.526856 4.775941 -3.335766
36 -7055.8754882812 -8.121148 -7.799756 5.335116 -0.095850 0.486044
37 -6790.0424804688 -8.328468 -9.692327 5.865614 0.938463 -2.352168
38 -12533.3007812500 -8.152642 -9.073553 1.037224 -0.433235 -5.166017
39 1326.8676757812 -7.994417 -4.629598 -0.140757 -0.682288 -2.104036
40 -11295.9443359375 -5.526628 -10.909229 2.233896 -0.980958 -4.980048
41 -7780.9526367188 -9.842084 -10.050319 1.253853 0.113046 -7.222517
42 -13477.8544921875 -7.474557 -8.994387 1.123361 0.476917 -5.159997
43 -11255.4121093750 -8.528694 -9.647016 -1.090643 -0.360254 -5.656497
44 751.1894531250 -6.951256 -7.363345 3.471210 -0.976356 -5.313185
45 -8155.7309570312 -8.054662 -10.917731 3.478865 -1.500385 -5.431745
46 -10701.2480468750 -6.385873 -10.929859 1.013495 1.031742 -6.685332
