evaluations raw_y x0 x1 x2 x3 x4
1 4.7098102570 -0.248928 -0.248928 0.248928 0.248928 0.248928
2 4.7868518829 0.601231 0.601231 -0.601231 -0.601231 -0.601231
3 3.4102165699 4.877833 4.877833 -4.877833 -4.877833 -4.877833
4 3.8012359142 -4.605106 -4.605106 4.605106 4.605106 4.605106
5 3.7215261459 -2.540968 -2.540968 2.540968 2.540968 2.540968
6 3.4888298512 2.820915 2.820915 -2.820915 -2.820915 -2.820915
7 3.5095691681 2.326088 2.326088 -2.326088 -2.326088 -2.326088
8 3.6972420216 -1.981064 -1.981064 1.981064 1.981064 1.981064
9 4.2976779938 -1.701131 -1.701131 1.701131 1.701131 1.701131
10 4.6978693008 1.356181 1.356181 -1.356181 -1.356181 -1.356181
11 3.4746236801 3.166006 3.166006 -3.166006 -3.166006 -3.166006
12 3.7590925694 -3.446027 -3.446027 3.446027 3.446027 3.446027
13 3.7893881798 -4.252870 -4.252870 4.252870 4.252870 4.252870
14 3.4424147606 3.980218 3.980218 -3.980218 -3.980218 -3.980218
15 4.7769932747 0.873970 0.873970 -0.873970 -0.873970 -0.873970
16 3.4282937050 4.359411 4.359411 -4.359411 -4.359411 -4.359411
17 3.4544305801 3.670019 3.670019 -3.670019 -3.670019 -3.670019
18 3.4146933556 4.744953 4.744953 -4.744953 -4.744953 -4.744953
19 3.4103791714 4.872910 4.872910 -4.872910 -4.872910 -4.872910
20 3.4104812145 4.869865 4.869865 -4.869865 -4.869865 -4.869865
21 3.4069204330 4.977777 4.977777 -4.977777 -4.977777 -4.977777
22 3.4062409401 4.998652 4.998652 -4.998652 -4.998652 -4.998652
23 3.4062128067 4.999478 4.999478 -4.999478 -4.999478 -4.999478
24 3.4062049389 4.999764 4.999764 -4.999764 -4.999764 -4.999764
25 3.4062225819 4.999178 4.999178 -4.999178 -4.999178 -4.999178
26 3.5801658630 4.542911 4.542911 -4.025200 -1.686798 -4.025200
27 3.2084655762 1.632904 1.632904 -3.944301 -4.845781 -3.944301
28 4.8380489349 -1.559871 -1.559871 -3.124630 2.517326 -3.124630
29 3.8658494949 4.738120 4.738120 -3.959063 4.615436 -3.959063
30 4.4589586258 -4.839296 -4.839296 -1.798702 -3.635030 -1.798702
31 3.3775801659 2.022633 2.022633 -4.253063 -0.995330 -4.253063
32 3.3148658276 1.844749 1.844749 -3.914807 -2.746638 -3.914807
33 3.1454429626 1.705420 1.705420 -4.796060 -4.912938 -4.796060
34 3.1210308075 1.468717 1.468717 -4.882412 -4.832549 -4.882412
35 2.6797480583 -4.221062 -4.221062 -4.484531 -4.615539 -4.484531
36 2.6389088631 -4.909719 -4.909719 -4.551210 -4.297183 -4.551210
37 2.6318857670 -4.892034 -4.892034 -4.618994 -4.393690 -4.618994
38 2.6064519882 -4.919312 -4.919312 -4.812870 -4.691573 -4.812870
39 2.6175937653 -4.811283 -4.811283 -4.748394 -4.699277 -4.748394
40 2.6292672157 -4.743190 -4.743190 -4.694139 -4.599904 -4.694139
41 2.6156718731 -4.846811 -4.846811 -4.722875 -4.738615 -4.722875
42 2.5902695656 -4.889412 -4.889412 -4.991114 -4.876047 -4.991114
43 2.6023988724 -4.785729 -4.785729 -4.869602 -4.955515 -4.869602
44 2.7537140846 -4.288102 -4.288102 -4.993985 -1.693549 -4.993985
45 2.5996329784 -4.991402 -4.991402 -4.845038 -4.692770 -4.845038
46 2.5834612846 -4.944524 -4.944524 -4.992255 -4.974667 -4.992255
47 2.5924396515 -4.970768 -4.970768 -4.833724 -4.970264 -4.833724
48 2.5924463272 -4.944043 -4.944043 -4.898289 -4.890843 -4.898289
49 2.5862889290 -4.947886 -4.947886 -4.957751 -4.950925 -4.957751
50 2.5860586166 -4.944821 -4.944821 -4.990869 -4.897599 -4.990869
51 2.5817308426 -4.976820 -4.976820 -4.998827 -4.952186 -4.998827
52 2.5856325626 -4.949169 -4.949169 -4.988008 -4.907881 -4.988008
53 2.5824155807 -4.995075 -4.995075 -4.962429 -4.969293 -4.962429
54 2.5816333294 -4.995133 -4.995133 -4.973737 -4.970407 -4.973737
55 2.5818738937 -4.984347 -4.984347 -4.995040 -4.941025 -4.995040
56 2.5807352066 -4.992909 -4.992909 -4.984962 -4.979734 -4.984962
57 2.5795283318 -4.992747 -4.992747 -4.995868 -4.995276 -4.995868
58 2.5804119110 -4.983530 -4.983530 -4.999513 -4.978483 -4.999513
59 2.5793881416 -4.997651 -4.997651 -4.997632 -4.986509 -4.997632
60 2.5787837505 -4.999490 -4.999490 -4.998554 -4.999862 -4.998554
61 2.5796554089 -4.993599 -4.993599 -4.999359 -4.982623 -4.999359
62 2.5788917542 -4.999217 -4.999217 -4.997301 -4.999452 -4.997301
63 2.5791969299 -4.997932 -4.997932 -4.997475 -4.992213 -4.997475
64 2.5790865421 -4.996887 -4.996887 -4.999560 -4.993334 -4.999560
65 2.6172442436 -4.847579 -4.814175 -4.516287 -4.987187 -4.669285
66 2.6710808277 -4.773610 -4.862640 -4.777931 -3.172020 -4.787051
67 2.6367487907 -4.452529 -4.486337 -4.679563 -4.635352 -4.994474
