evaluations raw_y x0 x1 x2 x3 x4
1 3.6652884154 0.248928 0.248928 0.248928 0.248928 0.248928
2 3.4816540120 -0.601231 -0.601231 -0.601231 -0.601231 -0.601231
3 6.1617409780 -4.877833 -4.877833 -4.877833 -4.877833 -4.877833
4 4.6062226036 4.605106 4.605106 4.605106 4.605106 4.605106
5 4.1603688429 2.540968 2.540968 2.540968 2.540968 2.540968
6 5.1807434878 -2.820915 -2.820915 -2.820915 -2.820915 -2.820915
7 4.9447476031 -2.326088 -2.326088 -2.326088 -2.326088 -2.326088
8 4.0394297478 1.981064 1.981064 1.981064 1.981064 1.981064
9 3.9789640626 1.701131 1.701131 1.701131 1.701131 1.701131
10 4.4821737007 -1.356181 -1.356181 -1.356181 -1.356181 -1.356181
11 5.3453261858 -3.166006 -3.166006 -3.166006 -3.166006 -3.166006
12 4.3558614927 3.446027 3.446027 3.446027 3.446027 3.446027
13 4.5301396028 4.252870 4.252870 4.252870 4.252870 4.252870
14 5.7336450537 -3.980218 -3.980218 -3.980218 -3.980218 -3.980218
15 3.4227424197 -0.873970 -0.873970 -0.873970 -0.873970 -0.873970
16 3.7846261936 0.801418 0.801418 0.801418 0.801418 0.801418
17 3.4461427768 -0.765635 -0.765635 -0.765635 -0.765635 -0.765635
18 3.4420689445 -0.784496 -0.784496 -0.784496 -0.784496 -0.784496
19 3.4491724533 -0.751609 -0.751609 -0.751609 -0.751609 -0.751609
20 3.4404127431 -0.792163 -0.792163 -0.792163 -0.792163 -0.792163
21 3.4477525845 -0.758183 -0.758183 -0.758183 -0.758183 -0.758183
22 3.4335458856 -0.823954 -0.823954 -0.823954 -0.823954 -0.823954
23 4.2833292972 -0.939252 -0.939252 -0.939252 -0.939252 -0.939252
24 3.4306366124 -0.837423 -0.837423 -0.837423 -0.837423 -0.837423
25 3.4313384052 -0.834174 -0.834174 -0.834174 -0.834174 -0.834174
26 3.4344156789 0.000000 1.359865 -3.409684 1.359865 -3.409684
27 4.3766528685 0.000000 -4.031304 1.209590 -4.031304 1.209590
28 3.5982109282 0.000000 0.165131 -0.319171 0.165131 -0.319171
29 4.3902306322 0.000000 -1.657049 -1.249612 -1.657049 -1.249612
30 3.6645228732 0.000000 0.594808 0.018652 0.594808 0.018652
31 3.5035062792 0.000000 1.010742 -2.260901 1.010742 -2.260901
32 3.5335513244 0.000000 -0.467800 -0.434615 -0.467800 -0.434615
33 3.4767251235 0.000000 -1.448273 -0.111853 -1.448273 -0.111853
