evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 2.0469031334 2.162607 -2.422865 3.532348 -3.937624 -3.738381 -4.130464 -4.013538 2.159373 -1.023943 -1.735142 -1.744905 1.434661 -4.814911 1.193080 1.834860
2 1.6394609213 -2.006636 8.410227 -3.968266 5.145333 13.749966 -9.885090 2.853966 6.033170 -16.241841 -14.569884 0.031641 18.912460 0.428071 -3.399903 -3.831499
3 1.6411664486 -1.848534 -1.024676 -0.669805 18.062166 10.968060 10.732484 -8.048089 -0.516842 -27.305122 6.432828 27.882034 25.872462 -10.163071 5.936161 8.337511
4 1.6389080286 6.804249 13.105427 2.006811 -17.660280 5.670646 -10.982914 8.809458 12.359379 -15.788642 -7.361552 8.435553 -2.696276 0.295324 -5.288152 -7.789155
5 1.6411646605 -0.667911 31.870811 7.863397 -5.451583 16.844311 -10.850618 16.693950 18.875217 -16.008757 -7.750803 -8.557186 -13.170446 13.084991 -0.441647 12.194062
6 1.6411664486 16.983365 17.184459 12.473742 -37.527966 11.752305 -20.095979 5.190299 6.391130 -18.179364 -4.134820 10.026559 13.513315 -4.708094 4.313264 -28.797344
7 1.6411526203 -3.299027 14.325570 -7.263556 -26.512629 11.464676 -12.119871 -12.288203 2.573928 -11.169433 -0.979392 -2.597442 -10.942112 -13.656502 -0.313614 -21.949406
8 1.6411660910 8.335064 11.948562 10.307930 -32.015425 2.560335 -17.624468 -19.088757 1.794653 -20.624489 -11.309542 1.896794 -4.031127 -2.814889 8.027873 -20.500168
9 1.6411666870 8.339360 13.426246 -19.077978 -28.537802 -3.441999 1.347476 8.262010 26.839745 -8.181024 -2.099188 2.867555 -3.048815 -14.201768 -0.434686 -24.541207
10 1.6411650181 26.799060 22.996299 -5.250851 -21.024658 -3.648710 2.013811 -1.133175 24.835369 -20.042242 -10.378460 6.939455 5.544218 0.275023 -5.414146 10.138693
11 1.6411664486 -18.249836 -1.040693 19.377274 -11.550098 -8.237629 -12.639653 -0.765389 13.169857 -33.790574 -21.741961 14.869635 -4.319028 7.064443 -21.804795 -8.032598
12 1.6411660910 20.186414 13.393542 -3.546919 -1.342229 17.558526 6.440096 15.477500 -5.192625 -7.644432 -26.342185 28.463211 10.230732 7.225910 -16.363124 15.237147
13 1.6411664486 33.945860 30.531063 10.526397 -0.365844 0.205028 -12.692264 10.981373 3.912398 -13.356818 13.574020 -2.449209 3.319487 16.431556 11.454296 -16.392689
14 1.6411664486 5.373827 27.809606 -13.290963 -21.489016 4.629588 -6.590111 8.790631 30.413509 -2.788944 -7.655305 -0.793137 -20.982879 -19.053203 -29.698690 -10.356748
15 1.6411668062 9.410646 12.650303 12.544739 -26.689934 16.646232 -4.983403 11.262311 31.041898 -13.620044 -10.155432 -5.335144 -7.919751 -10.995083 6.542246 -1.163277
16 1.6411117315 10.795294 -7.686150 -5.594613 -9.506932 12.014556 -15.849443 2.971389 22.342290 -27.788145 -3.182985 1.834187 7.756691 -10.687029 0.795555 -7.220778
17 1.6411409378 -3.636472 14.330599 4.079185 -15.853542 0.116180 -7.416429 15.038704 12.895189 -22.518254 -3.685751 16.486426 -10.845290 4.695091 -1.596241 -15.205296
18 1.6411497593 20.459126 10.255708 9.701112 -18.915122 14.476841 -15.117305 5.740976 22.136421 -7.806975 -12.504628 2.501772 3.963480 -6.596042 -12.464560 -15.459762
19 1.6410554647 0.662097 -2.721392 6.894420 -19.591543 0.076112 -6.759718 14.603639 5.577830 -21.599077 -12.051747 12.027727 -13.832257 -5.308103 -4.930707 -4.035022
20 1.6411650181 13.683859 18.804495 -3.164537 -11.865714 3.522462 -20.325370 10.044355 1.537632 -20.641403 -19.437139 0.495221 0.665718 9.124862 -7.408833 -21.103696
21 1.6409255266 1.882161 14.266036 3.574216 -22.734921 12.397207 -13.267132 -1.047473 6.912385 -17.367961 -2.957434 8.329582 10.588523 -4.081395 -15.101231 -12.724172
22 1.6412166357 5.624415 8.285396 9.498926 -21.099636 7.811779 -13.652639 22.038243 18.753712 -16.063341 -2.947419 -6.188156 -3.239031 10.075834 -7.552234 -12.397505
23 1.6301741600 1.442570 -4.738584 -0.144302 -11.766439 0.436391 2.326207 13.533019 15.777182 -17.368959 0.467283 4.650932 -1.137050 -8.686643 -4.582319 -4.574992
24 1.6410897970 2.040963 6.534373 -2.827731 -9.796133 -5.977701 7.567729 26.663665 19.654358 -10.008191 4.956150 5.128075 -9.710133 -20.757405 -13.079840 -9.749252
25 1.6411904097 4.116071 -0.604830 7.879652 -22.362248 7.681282 -4.852413 25.807829 16.394426 -18.700864 6.365104 5.940223 -5.050096 -1.668698 0.957890 -6.532216
26 1.6396626234 -3.453492 -6.220313 9.061770 -13.203384 -14.818729 -9.038647 1.766033 8.039213 -25.974000 -3.687550 -7.369864 -2.524848 -0.150441 1.821325 3.594686
27 1.6401031017 4.550176 -4.827947 -4.929740 -3.507211 -9.794559 -2.593520 11.091369 20.954532 -22.970637 -3.627154 13.522636 -4.692846 -7.012060 -0.366862 -4.452405
28 1.6409273148 -5.165774 4.770360 -2.767093 -9.523928 6.643664 14.395240 20.324372 10.297566 -21.582644 4.829551 8.751152 -6.788839 -12.530093 -11.220915 -6.701218
29 1.6411280632 10.993645 4.899773 2.149581 -18.067677 -20.574742 8.502922 9.588298 15.286109 -25.030322 3.385002 4.151557 -2.531959 -18.413800 2.056927 4.585077
30 1.6453216076 4.844523 -7.482803 -3.880180 -6.280752 7.499186 12.633651 -1.409344 25.042228 -4.200944 1.470394 12.319059 -5.807626 -13.468624 1.201752 7.176603
31 1.6409870386 -1.562863 -6.638309 -19.066718 -12.207404 13.472964 -15.504926 16.063187 11.169443 -7.391362 8.959040 -5.520769 -13.882664 -13.925878 -6.066693 -12.347507
32 1.6405590773 3.779699 -4.625438 -3.487000 -3.751220 1.783305 1.515026 4.612916 5.716782 -33.228119 -10.598661 7.824580 -7.284063 -5.082092 -13.635962 -6.636938
33 1.6403572559 12.210256 -9.252173 4.292926 -7.056869 0.943304 9.668596 14.630274 16.495266 -24.405187 7.357514 -0.664966 -1.030836 3.146333 -3.636095 -2.569998
