evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 1.8942177468 -0.404807 -3.516578 2.218160 1.695499 3.222330 -2.252076 4.033220 1.775198 3.762708 0.618758 0.220966 -4.373137 -4.063594 -4.091456 -0.609211
2 1.8073333556 1.254029 -2.061715 1.100950 2.394077 3.378107 -2.058543 4.331228 1.233090 4.192349 0.502182 2.013788 -3.965454 -0.582401 -4.822077 -1.805370
3 1.8961584386 0.141329 -2.453817 -0.628282 1.142900 2.405838 -1.395965 4.956355 1.523629 4.812071 0.008664 -0.210020 -4.611471 -4.600718 -3.894235 -0.563168
4 1.8686189998 1.538170 -1.846722 -0.905418 1.948036 3.977088 -2.467570 4.361720 2.179807 2.997409 1.341823 2.084030 -4.458743 -4.649527 -3.546645 -0.765679
5 1.7464477447 0.427880 -3.354339 1.567142 2.037048 3.628093 -1.086543 4.143928 0.395961 3.994957 1.417393 0.522813 -4.813657 -4.272027 -4.433752 -2.637029
6 1.5612809757 1.828413 -3.501318 2.501596 0.759805 3.380862 -1.390474 4.975810 1.991179 4.193711 -0.135164 1.840880 -3.376402 -4.384790 -4.907484 -2.458775
7 1.5816618023 2.124839 -4.653486 3.590057 0.736062 3.611041 -1.776180 4.683643 0.930730 3.320342 -0.150506 1.967925 -4.586111 -3.024260 -4.330100 -0.773419
8 1.5403085499 3.189314 -1.973525 2.201672 0.717357 1.347159 -0.414326 4.646948 2.199022 2.937769 2.955836 2.382682 -4.999393 -0.999913 -4.526512 -2.071218
9 1.9235300977 -0.204911 -4.741033 0.521654 -1.033211 4.938902 -2.609964 3.796246 1.409420 3.564934 1.333254 1.731324 -4.397296 -2.336853 -4.590270 -0.849094
10 1.6018877024 2.385954 -2.846878 2.844500 0.416536 3.014655 -0.945829 3.847216 1.861674 4.630353 -0.176319 -0.043063 -4.997367 -4.776988 -4.315404 0.330924
11 1.5627965385 1.480821 -3.792529 2.367609 0.530176 4.007151 -1.129931 4.885763 1.009601 4.489498 -0.914182 0.771132 -4.993045 -4.290285 -4.454233 -2.143523
12 1.7936116099 2.216503 -2.355387 2.366056 0.395107 4.990980 -0.149806 4.677526 0.604777 2.204593 3.138789 2.615979 -4.995623 -1.591908 -2.716113 -1.578877
13 1.8371088942 0.076833 -2.997166 1.167871 0.758879 1.625938 0.396557 4.789672 1.208986 2.793987 2.095483 0.726225 -4.999818 -2.869868 -4.566203 -2.082055
14 1.9646029656 0.722773 -4.156006 2.409081 -0.687721 2.889110 0.446027 3.935372 2.665440 4.333662 2.460386 0.738673 -4.113876 -1.774410 -4.898944 -1.514666
15 1.3388004124 3.622307 -0.997419 3.993446 1.772176 1.373875 -1.267707 3.930258 1.197916 4.695276 0.839072 1.637724 -4.848424 -2.385720 -4.966043 -2.050330
16 1.9933027045 1.851663 -3.640926 3.268647 -0.448123 0.894004 -0.948280 4.296922 0.928024 4.987231 0.032744 2.720147 -4.679461 -1.389037 -3.965884 -0.145927
17 1.5417168783 1.806431 -4.533108 2.655381 1.467509 2.402023 -0.395792 4.760896 0.792741 4.261243 1.497052 1.242997 -4.359626 -3.159778 -4.781517 -2.552010
18 1.6149816876 2.588009 -1.607375 2.367836 0.478410 1.162240 0.394740 4.699850 1.740434 2.991073 0.850014 1.556272 -4.337346 -1.763165 -4.387383 -1.592598
19 1.9636505842 1.618231 -2.321752 1.842693 0.727010 3.259335 -1.371784 3.591847 2.572207 3.368249 1.954567 1.210910 -2.055676 -1.459495 -4.977149 -1.671657
20 1.9673829996 0.928233 -4.549778 3.756915 1.977826 3.362760 -1.078472 3.391671 2.125129 2.523741 -0.068297 1.724143 -2.714246 -2.235766 -4.726166 -0.419886
21 1.4918251813 2.530138 -3.555245 3.870271 0.335607 3.097450 -1.559867 4.221805 -0.033421 3.018418 0.147951 1.231987 -4.972113 -3.830559 -4.889007 -1.084029
22 1.5763801384 2.526446 -2.595581 2.014646 0.644549 4.170166 -1.294514 4.437932 1.175123 3.008508 -1.295725 3.666622 -4.966294 -2.604876 -4.102318 -0.773209
23 1.6335429122 2.051309 -3.772203 2.204236 2.432549 2.110334 -0.555471 4.140305 2.266889 3.184097 0.764442 1.994857 -3.466405 -2.170789 -4.957072 -1.608325
24 1.9246465835 2.105244 -3.198729 1.161069 1.215321 2.869415 -1.266586 3.866958 1.450033 4.782713 1.339654 -0.068723 -4.805248 -0.773833 -2.986974 -3.155311
25 1.5120743620 2.637198 -3.382723 1.079806 2.078030 2.724468 -3.110338 4.718692 1.816218 4.443067 0.976724 2.799818 -4.927038 -3.528275 -4.119359 -1.151691
26 0.8445908931 4.059212 -3.536710 2.704577 0.079330 3.427596 -0.534824 4.875534 -0.557192 4.478050 3.888806 2.513673 -4.932827 -2.731048 -4.937942 -2.144511
27 0.9165770680 4.189055 -3.302414 2.625781 2.917773 2.861674 -3.081732 4.534616 0.785058 3.494777 1.682583 0.060497 -4.824953 -2.291894 -4.364807 -2.099936
28 0.4178905086 4.751235 -0.897859 3.407623 0.078951 3.201832 -0.713124 4.971842 1.190685 3.011666 0.826819 0.303554 -4.746771 -3.973976 -4.974043 -2.623456
29 1.6731974559 2.034944 -3.342211 3.529198 0.450753 2.120996 -1.611057 4.524389 0.805844 3.517157 0.516278 0.152852 -3.831588 -3.571794 -4.349104 -1.462404
30 1.7972577039 2.002341 -1.905773 2.536141 1.136954 2.846185 -2.482139 4.874003 0.950646 4.576723 -0.069234 1.549197 -4.902327 -0.674371 -4.211334 -1.874386
31 1.7671613780 1.987085 -2.823461 3.144113 2.381814 0.548617 -2.033816 4.718545 2.145583 4.820680 -1.497226 1.909900 -4.973707 -2.379233 -4.065743 -2.475767
