evaluations raw_y x0 x1 x2 x3 x4
1 2298.7642700000 2.792738 3.953023 -1.263082 4.296076 -1.554772
2 5078.1730000000 2.244346 11.208294 -1.092119 15.098857 -12.857073
3 2673.6939100000 -19.340634 8.675798 -5.918757 21.844149 -1.338009
4 5151.2059000000 -6.671341 17.326598 7.804833 17.179482 -8.076697
5 5089.0290000000 5.039622 4.689574 6.919858 9.194779 -12.318318
6 4397.1882000000 -6.457859 14.083625 3.808312 14.476369 -3.591068
7 5142.5002000000 14.314265 4.798271 11.241441 -3.722847 -9.344830
8 5090.7441000000 8.195156 5.057728 2.408583 8.025399 -9.460642
9 -4989.2760438879 10.550000 6.111957 -4.047043 2.717889 4.363232
10 -4913.0701169510 11.245735 8.666055 4.634692 0.418923 4.432542
11 -5737.5399773643 17.533880 -2.907970 6.552004 -9.549360 8.299848
12 -5737.5399773643 26.550213 -3.058842 16.484622 -15.378477 12.837172
13 -6036.4373059300 14.048495 -10.933347 -6.070640 1.247514 20.723197
14 -6456.6246007433 -1.407600 -1.066144 -7.572446 -18.511134 11.051825
15 -7460.0813955470 0.003681 -1.690372 -2.611687 -18.965932 2.473680
16 -7260.1547621218 -4.242817 -5.225510 0.928243 -17.200931 11.006157
17 -5188.1075281794 23.733162 1.546161 -2.004264 -22.837993 8.125769
18 -7234.4112837079 -16.900902 -2.861385 8.286370 -12.098212 8.108866
19 3674.8880400000 16.065115 -18.336233 5.751888 -8.463801 -2.607920
20 5188.2067000000 -2.274930 -2.168360 1.951439 -34.442134 -8.727511
21 -5340.9806171759 -0.265813 7.854608 14.001637 -32.484400 17.868969
22 3900.4085500000 -18.750543 -4.841433 2.060484 -28.869400 -2.499305
23 -4883.7878658395 6.995689 20.567518 7.492641 -18.578551 4.685719
24 -7349.9979570622 -2.667899 -2.544187 -1.699725 -2.850527 3.567705
25 -5955.9670847391 11.020070 -18.045123 1.732657 -6.340849 14.108800
26 -6299.5668189431 2.666959 -7.179158 -25.475103 -39.513663 11.303686
27 2668.2014400000 12.673479 13.020787 -5.038187 -30.578055 -1.261883
28 5130.3033000000 33.020094 13.839471 -8.587391 7.156109 -24.029806
29 5232.4813000000 2.274844 -13.442360 -4.142318 -11.233461 -11.754922
30 5214.7961000000 3.757468 9.427758 -11.435097 -27.558275 -8.553771
31 -4962.2090844448 5.859314 5.788147 -4.242329 -5.423227 18.832561
32 -6052.5920907678 -10.824317 6.185120 -0.382551 -8.700486 14.987037
33 -6191.0445405835 -7.597969 6.442465 -14.028453 -23.112515 15.042411
34 -7431.0393394992 9.683608 -4.123340 -9.609092 -19.565368 1.910107
35 646.4277500000 -12.671659 9.504407 -16.596314 -17.413197 -0.029503
36 1662.9051000000 12.177083 -12.439251 20.133508 -13.328882 -0.970447
37 1386.5471800000 -3.045791 -3.926162 -1.722128 -9.923866 -0.422769
38 5215.9549000000 1.786898 2.074691 -3.776287 -18.424199 -7.256260
39 5238.0770000000 -14.362287 4.801718 3.139227 -19.169684 -10.176693
40 -6349.6367081500 2.051447 -12.507595 -16.160954 -20.024625 18.382616
41 -7438.0288183420 -7.329416 -4.139250 -8.577927 -15.253909 3.862160
42 -8146.5225404469 -0.896732 4.718205 -0.400760 -10.209655 0.882801
43 -4979.6438040905 4.058031 4.416462 -1.484444 -7.685127 10.508818
44 357.6780000000 8.177515 10.643745 -1.771122 -13.017014 0.300036
45 -7751.6017960445 -10.057709 4.011344 3.137478 -18.471298 1.910269
46 388.2714900000 -7.210133 -1.695667 0.200587 2.231794 -0.255877
47 5160.5848000000 3.141165 3.252834 1.066092 -10.506464 -6.554099
48 -6349.1223009518 -10.811706 1.756557 -10.529302 -8.799480 5.242180
49 -6289.4474678546 -4.088957 3.607767 22.101278 -14.547212 3.671107
50 -5674.9622533023 1.479916 -0.022182 0.146981 -2.269602 10.431586
51 3707.9628400000 -11.905112 -0.045012 -1.800844 -17.532681 -2.287549
52 3674.7480000000 0.984475 -0.534666 2.941759 -13.822071 -2.574837
53 -5955.9635779199 -0.230101 1.826855 -1.014665 -13.585145 3.670358
54 -6102.2973384777 -0.081551 -1.921129 1.082328 -7.592654 6.612930
