evaluations raw_y x0 x1 x2 x3 x4
1 3.6060173512 -4.769921 -3.377587 4.371772 4.556931 -0.881204
2 4.0898413658 0.570534 4.328231 4.084021 -1.002185 3.105327
3 3.6216604710 1.254480 -1.740030 1.232917 4.123160 -4.650835
4 4.4387273788 -4.722461 0.196594 -3.282706 1.831554 -4.303192
5 4.3485136032 3.175089 2.464726 4.041540 3.530235 3.915438
6 4.5680527687 -0.023881 -2.597501 -3.261000 -1.342290 2.350748
7 3.6957771778 -1.275341 4.096187 -1.032435 -3.336142 3.512363
8 3.9200639725 -0.601467 -0.351171 4.478970 -0.917030 4.544557
9 4.8866548538 -4.566697 -1.115936 -0.056673 -0.145093 -2.761190
10 5.2109699249 0.137710 -2.714958 -2.784634 -4.008565 -2.540580
11 3.6870260239 1.879510 0.777011 -0.242919 -2.124175 1.447826
12 3.5797879696 3.346709 -4.947041 -1.659781 -1.479609 3.998867
13 3.7525157928 1.653055 1.148516 -2.476415 4.960637 -1.981596
14 3.6345672607 3.455051 -2.037295 1.119053 0.643116 -2.645706
15 3.9080395699 1.065342 1.994250 -1.281479 0.159791 4.919487
16 3.7090275288 -2.481377 0.484459 3.869137 -1.201545 1.590601
17 4.3235864639 0.700375 0.352865 -2.308037 -4.979240 1.199728
18 3.6412525177 -0.083702 -2.094634 4.290770 -1.742747 0.351419
19 4.2986412048 -4.406622 1.824658 1.526696 -4.491625 -1.104206
20 4.5428757668 -3.968924 -1.560973 2.694766 -4.429977 -1.410085
21 3.6817250252 4.243931 -2.460914 -1.999176 -2.934850 4.846820
22 3.7166919708 -0.476361 -1.488550 0.123024 4.053643 0.244421
23 4.0319929123 4.105394 -0.197265 1.628187 1.151537 2.989523
24 4.5158948898 -1.609966 -4.291973 -3.650481 2.108444 -3.864375
25 3.8046114445 2.099582 4.676132 -3.086002 -3.747304 4.600432
26 4.0244517326 4.441741 0.281530 0.965688 3.254276 0.573116
27 4.2610616684 -3.586246 1.687261 -0.441513 -4.654322 2.004772
28 3.8839085102 2.840649 2.580225 4.980794 -3.537593 -0.542701
29 4.7805361748 -3.144468 -0.737629 -4.410841 0.927954 -4.565613
30 3.5687453747 -3.365954 1.417973 -3.958511 2.283553 2.618852
31 3.9716732502 3.932013 4.479352 -4.285086 1.607789 2.554114
32 3.5035395622 -1.827672 4.030475 -1.711732 -0.837730 -2.109568
33 3.7372786999 4.015571 4.395512 -2.677871 -4.157443 1.355871
34 3.5801007748 -2.101900 2.914343 -1.841714 4.656723 -4.345521
35 3.3277969360 -4.275414 0.699070 -4.721173 3.267579 -1.591099
36 3.5183951855 -1.146135 -0.333039 0.695425 2.760146 -4.135595
37 3.9917979240 -2.665904 3.060807 3.073987 1.513879 3.758838
38 4.5313315392 -4.165527 -0.616944 0.396102 0.854103 -4.903978
39 4.5857863426 -4.921065 -4.839722 0.200655 -2.486094 -3.373045
40 3.5878088474 -2.876749 -2.791524 2.402572 0.417825 2.297088
41 5.1777701378 -1.077194 -3.665384 -3.464759 -0.434395 -3.117960
42 3.8954505920 -2.813429 3.864974 3.352320 2.608871 -0.454052
43 4.5654764175 1.396263 -3.679188 -2.413904 -0.244417 -0.249728
44 4.1226558685 2.262188 2.656457 2.533397 2.566548 1.741028
45 3.6558818817 4.839446 -0.056069 -2.972286 1.675794 -2.412465
46 4.2207169533 2.732676 -1.236962 4.824094 3.671717 4.177938
47 4.2999382019 -0.936327 2.329185 -0.544335 -3.506229 0.059205
48 3.5515985489 2.884090 -3.501300 3.507711 0.563430 -4.854431
49 4.7090883255 -3.913661 -3.868485 -0.993751 1.384462 -0.823723
50 3.1139321327 -0.390855 -3.990500 -4.865306 -4.267495 1.893089
51 3.7793173790 4.969073 3.475858 -3.808333 -1.546132 0.815374
52 3.5853140354 -3.458983 1.592610 -0.613131 3.087147 -1.207988
53 4.4488720894 -3.125155 -1.318143 -4.573660 2.384429 0.071935
54 3.5800833702 2.461351 -2.219017 0.818440 -0.033476 -1.747068
55 3.6559376717 4.673350 -2.894245 -2.084600 0.260123 1.100611
56 4.0786490440 2.597358 1.387961 -1.420428 3.884948 4.328572
57 3.8861250877 -1.526443 3.213443 2.048941 4.838260 -2.202597
58 5.1413030624 -1.749541 -4.115340 -0.167545 -1.802995 -3.449377
59 3.5915250778 -3.736601 -4.714877 2.846205 1.942196 3.162518
60 4.2699232101 0.935668 -4.572474 -4.104737 -2.839619 2.124139
61 4.3586673737 -2.278318 3.699470 -0.733840 -3.914961 -2.886941
62 3.9705467224 4.579293 1.083995 2.178953 4.418212 -3.942165
63 4.4002456665 0.788299 2.769755 -3.676095 -2.712026 -1.827358
64 4.3503046036 3.607473 3.575272 1.390775 4.200485 4.417898
65 4.3021278381 3.728148 2.161743 3.582420 2.934394 3.586992
66 3.4428975582 0.375918 -1.891393 3.773271 -4.837234 -1.315891
67 3.3744096756 -0.328438 -3.205073 -4.911751 3.549123 -0.613770
68 3.6792025566 -0.757724 4.864819 1.677381 -0.647375 -3.557926
69 3.8604788780 -2.387693 4.940884 2.292564 1.003406 -0.077703
70 3.7244465351 1.707311 -3.113902 2.946471 -2.322360 3.383377
71 5.3365640640 -2.039235 -0.971095 -1.191059 -3.205099 -3.688230
72 3.6234917641 3.125430 -4.439652 1.860805 -3.105034 2.809145
73 3.7758333683 2.052454 -0.499641 3.260128 -2.020644 0.994119
74 4.3416252136 1.496972 0.913970 0.488374 -2.379893 -3.195479
75 3.9824268818 0.300849 3.396929 4.714077 -0.526226 0.697917
76 3.2436170578 4.292452 -3.990500 -3.508816 -4.267495 -1.086441
77 4.9838943481 -0.621437 -3.093975 -3.291809 -0.762550 -0.526060
78 4.5616679192 -0.598913 -2.501493 2.548909 -2.633868 -1.196035
79 4.8246054649 -4.722461 0.196594 -3.654064 -4.127198 -4.303192
80 4.0128517151 3.271859 1.461896 4.041540 -2.294467 2.791580
81 4.0243296623 1.803289 -1.096281 4.436188 -0.052945 4.463113
82 5.3145580292 -1.275341 -1.202206 -3.101544 -3.277661 -1.396295
83 3.7071785927 -0.601467 -2.996654 2.198698 -0.917030 4.544557
84 3.3749446869 4.968854 -3.782115 -4.803691 -4.834999 2.838628
85 3.5997886658 0.137710 -0.071256 -0.078232 -1.005625 0.753679
86 3.7240273952 1.879510 0.777011 -0.242919 -2.124175 2.301202
87 4.2965893745 3.346709 -0.950621 -1.659781 -4.595563 -3.899141
88 4.1507058144 4.363142 1.148516 -2.476415 4.960637 4.559518
89 3.6398684978 3.455051 -2.345810 1.119053 -0.984362 -0.578919
90 3.3827052116 -4.090931 -1.402992 -1.281479 -3.395013 4.919487
91 3.6940586567 -2.327335 -1.181291 3.869137 -0.032647 1.590601
92 3.7037856579 2.091583 0.352865 -4.417477 0.675979 3.380434
93 4.6415252686 -4.121974 -0.158647 -3.890390 0.232243 1.113900
94 3.5669353008 0.144681 2.155570 1.526696 -3.914675 -0.963711
95 3.6609830856 1.192863 -4.281472 2.162393 -0.219678 2.247493
96 3.5744531155 0.733255 0.612749 -3.194289 -3.622272 4.634476
97 3.8183608055 -2.725255 0.577410 0.123024 4.053643 2.751989
98 3.6556549072 4.105394 -3.031476 -0.688643 0.960759 -0.312260
99 4.2816963196 2.458820 -4.055446 -4.161964 -3.344080 -3.864375
100 4.6494345665 -2.117572 -2.018931 -3.086002 0.831305 0.922932
101 3.8894937038 4.441741 0.281530 3.025114 -1.904561 0.573116
102 3.5442090034 3.490244 1.687261 -0.865585 -3.932948 -1.936797
103 3.2039361000 0.733471 2.580225 -4.329083 -3.537593 -4.953322
104 3.6845111847 -3.144468 -0.737629 -2.100252 2.803831 4.918105
105 3.5635097027 -0.829635 3.018436 -3.958511 2.283553 -1.629472
106 3.5112693310 -1.003372 -2.471538 0.281069 -0.243573 1.131134
107 3.8647403717 4.974923 1.256590 -0.542959 -0.080249 0.254828
108 3.6634774208 -1.962850 4.395512 1.627458 -4.832580 1.942199
109 3.3629217148 -2.943374 3.438293 -3.545414 1.964335 -4.716248
110 4.0410885811 -0.915779 3.932681 1.054419 3.267579 2.568086
111 3.8680860996 -1.146135 -0.333039 4.503397 0.600810 2.300975
112 4.2645111084 -2.665904 0.159373 -0.686946 1.513879 -0.894492
113 4.3379707336 -3.831085 -0.616944 -3.239652 3.476637 -1.161825
114 3.4564151764 0.961515 -4.128849 0.200655 2.740300 -3.373045
115 3.6464009285 -2.876749 1.992824 4.251357 -3.987775 1.424941
116 3.8459818363 -1.077194 1.041612 -3.095219 3.851933 4.732353
117 3.6577351093 -2.100360 3.864974 0.477733 2.608871 -3.796511
118 4.4909162521 -3.561934 -3.498967 -4.469317 -0.244417 2.522773
