evaluations raw_y x0 x1 x2 x3 x4
1 3.9462468506 4.247411 4.594728 -0.780601 -3.105763 2.792532
2 4.1470165468 -1.670562 6.456973 -4.586448 0.083711 12.112100
3 8.2451573792 16.546628 -14.773296 -7.241192 -12.364609 -12.331421
4 7.5888853799 14.879421 3.296233 -6.252198 -23.215270 -14.938827
5 5.7366859122 11.517768 -24.235990 1.523569 -4.770508 1.246646
6 5.2970431555 2.646011 1.412214 -4.761724 -8.804784 -3.539142
7 3.6511164827 7.979606 -0.027138 4.891699 -14.232185 2.304589
8 3.7130624608 5.588691 6.496514 5.083294 -14.414532 -0.403458
9 5.1250210713 5.333667 13.486476 8.590960 -9.760851 17.384475
10 5.1221976570 19.213262 4.054086 -11.649537 -21.982377 0.454235
11 3.8119975647 12.641758 -5.297079 9.887169 -7.039756 -5.551377
12 4.7550846148 5.700715 6.609170 2.180246 -25.361434 3.243197
13 4.3156746624 3.374765 2.280192 6.706116 -13.395128 17.333914
14 8.5789888924 7.141234 -10.973517 3.346152 -23.645874 -8.006628
15 3.4422815295 9.591838 -0.219539 3.073276 -11.981393 -4.381741
16 4.8104449786 9.471618 7.063731 14.112621 -11.736989 8.841907
17 4.8278086452 8.739609 -6.292535 3.990862 -12.316476 -3.106479
18 4.0883923752 15.876914 1.416233 -1.871473 -4.738332 0.355374
19 5.6671537443 1.890747 -9.827978 -2.440305 -3.553868 -1.794327
20 6.9248227786 4.475944 -0.985998 1.929758 -19.070709 -9.778960
21 6.8281489276 0.333408 -7.465255 -0.265044 -16.689705 1.266803
22 4.5269650937 6.783315 -0.860684 5.620810 -10.324226 -7.860144
23 4.9379182482 3.374595 -1.234286 -3.163251 -2.821356 -6.493969
24 4.5253748679 18.437629 -1.381472 14.697198 -10.912511 0.313229
25 3.6159104110 10.576408 4.101340 2.500697 -6.089214 -10.987587
26 3.9048505951 17.633620 0.812161 8.386700 -14.740479 -5.301933
27 4.9789226334 7.081413 0.468487 4.041407 -15.439701 -6.415362
28 3.5614992706 9.194097 -1.343596 -1.849494 -8.494046 1.335149
29 3.4562987065 11.218663 -6.116776 1.397863 -7.461831 -2.631002
30 4.1454721996 16.617246 1.128903 3.707103 -8.404117 -0.689131
31 6.1904253900 4.906967 -0.837778 -2.459126 -15.276241 -5.377086
32 3.6716408576 13.740893 -3.320744 4.830592 -12.061570 -1.797485
33 5.0762271141 5.890466 -0.080278 2.650253 -11.991339 -7.683333
34 3.4914878059 11.731066 -2.403628 1.045849 -9.388428 -3.763381
35 3.5008455836 3.663529 3.613142 2.053821 -11.419517 -0.472893
36 3.7554072307 9.289333 -1.851638 13.462906 -7.823916 -9.745904
37 3.5070220133 11.182316 -3.575796 3.682867 -14.346572 0.638239
38 3.5684984632 10.036318 0.610359 3.642229 -10.312361 -4.972409
39 3.4799731184 6.783044 -2.138268 6.454585 -10.917238 -3.227184
40 3.5397041919 14.882769 -0.935065 3.920250 -11.339547 -8.190799
41 5.0703993006 5.784170 -4.308917 3.685875 -12.148606 -4.173941
42 4.9151764677 10.404719 0.262559 1.531901 -14.704794 -7.121170
43 3.4971098225 12.327803 -2.518015 6.560017 -13.808547 -5.209634
44 4.2698105653 9.792487 -1.508345 4.271632 -13.989798 -2.621615
45 3.7885003801 10.782380 1.061146 5.996271 -12.927924 -0.815109
46 4.2721497474 11.140331 0.141383 1.161101 -12.122106 -4.535543
47 3.4652545591 10.933978 0.147604 4.582799 -13.294594 -5.755558
48 3.6447211530 8.754309 2.080926 4.305821 -11.608468 -2.764044
49 4.5992716487 7.121192 -1.900206 3.348085 -13.057161 -2.786924
50 3.7195777842 7.326782 3.911203 6.238582 -12.890194 -2.085037
51 3.4603249815 6.310839 0.085150 3.434145 -9.659444 -3.670574
52 4.4100732907 8.067644 -1.995037 1.948526 -10.734713 -3.015632
53 3.5182948801 11.303520 -0.398438 2.543952 -11.689059 -3.917966
54 3.6853021356 9.175735 1.150572 6.237415 -10.284303 -4.571491
55 3.4639407271 9.781192 0.030550 3.154899 -12.185607 -4.197222
56 4.3797721143 9.194206 0.785504 2.324158 -11.925585 -5.680944
57 3.5085533512 11.334292 -1.664099 4.209381 -11.754474 -4.508583
58 3.4591603434 9.173556 -1.070489 4.038083 -11.604298 -4.063694
59 4.4423862557 8.361472 0.003658 2.069964 -12.351046 -4.019073
60 3.5808651888 10.446454 -0.240125 3.888283 -9.495662 -5.308545
61 4.3716058025 11.881897 0.435459 2.943770 -14.323025 -5.808988
62 3.5619393764 10.199912 1.994265 2.571603 -11.293064 -4.620415
63 4.3335188308 9.154642 -0.035199 4.086967 -12.995496 -4.997158
64 4.2978583573 8.717447 -0.415702 2.874291 -12.410173 -3.344343
65 4.3538919061 10.324959 -0.009384 2.658770 -12.415410 -5.515850
66 4.3049450727 8.680076 -2.001324 3.865872 -10.631255 -4.582322
67 3.4765116677 9.694643 0.046913 3.445937 -12.245942 -4.066745
68 3.4308763733 9.922234 -0.995870 2.514922 -11.537095 -4.085759
69 3.4375963571 10.678715 -1.088903 1.944334 -11.185043 -4.375114
70 4.4222288747 10.881964 -1.550615 1.594103 -11.457460 -5.075621
71 4.2980340617 9.371389 -1.456907 2.495340 -12.104312 -2.854947
72 4.5265868115 9.556093 -1.943361 1.839948 -11.257047 -4.823295
73 4.3292735589 9.437550 -1.481366 2.265989 -11.202486 -3.903496
74 3.5023491937 10.273922 -0.223215 2.670920 -11.172036 -4.076693
75 3.5347398983 10.412363 0.149261 3.232494 -10.912415 -4.659018
76 4.4001661717 10.339446 -2.446792 2.363464 -10.522984 -5.192619
77 4.2897612329 9.834205 -0.744855 2.097367 -11.307683 -4.373271
78 3.4862552522 10.855611 -1.396548 2.673684 -11.098557 -3.933837
79 3.4844932303 8.908321 -0.622356 3.593339 -11.112717 -3.707021
80 4.4385166943 9.648418 -1.193773 2.503173 -11.817165 -4.948729
81 4.2863876866 9.974672 -1.496728 2.596569 -11.688315 -3.800942
82 4.3576892379 10.027862 -1.331919 2.213882 -11.587283 -4.402085
83 4.2864233590 10.405169 -1.066012 2.289866 -11.627353 -4.396783
84 4.2728518337 10.564965 -1.496309 2.249117 -11.344595 -4.242337
85 4.3583076760 10.126270 -1.352367 2.462739 -12.134105 -4.147123
86 3.4879495420 10.191406 -0.790432 2.925333 -11.213236 -3.973499
87 4.2831969005 9.365173 -0.729279 2.576272 -11.519661 -4.138339
88 3.4634865819 10.538568 -0.926025 2.156486 -11.454427 -3.741304
89 3.4753040140 10.108958 -0.858351 2.595464 -11.188755 -3.810464
90 3.4871776935 10.196052 -0.692087 2.423881 -11.121232 -3.684910
91 4.2723831685 9.439112 -0.668934 2.808285 -11.479709 -4.430114
92 3.4937086594 10.149028 -0.514572 2.787943 -11.129064 -4.020450
93 3.4559000486 10.240205 -0.368450 2.116395 -11.350721 -4.239743
94 3.4423947421 9.707383 -0.829729 2.361462 -11.302314 -3.851739
95 3.4364489749 9.825255 -1.080391 2.971041 -11.495246 -4.273229
96 3.4574278455 10.038357 -0.596871 2.465929 -11.339410 -4.134955
97 3.4503814755 10.044815 -0.940682 2.640242 -11.395280 -4.079154
98 3.4576172237 9.938260 -0.779481 2.703177 -11.866143 -3.558379
99 4.2740107681 9.715317 -0.991078 2.169264 -11.193931 -4.062044
100 3.4779146693 10.209607 -0.684494 2.751811 -11.474874 -3.894767
101 3.4548848747 9.964509 -1.110761 2.601071 -11.035240 -4.045392
102 3.4527191849 10.013317 -0.732000 2.634620 -11.544064 -4.047820
103 4.2682490104 9.957686 -0.731239 2.462918 -11.845323 -4.094891
104 3.4572105207 10.043704 -1.108594 2.903618 -11.278563 -4.132143
105 3.4448670905 9.815061 -0.929400 2.676097 -11.453433 -3.966032
106 3.4377099123 9.830670 -0.718589 2.579234 -11.795139 -3.919560
107 3.4379752686 10.090698 -1.003272 2.598007 -11.519497 -4.183176
108 3.4496002575 9.957693 -1.048787 2.574414 -11.349962 -3.881501
109 4.2866886960 9.788300 -1.165500 2.442788 -11.560028 -3.952340
110 3.4537101739 10.103450 -0.811275 2.579280 -11.513105 -4.011356
111 4.2808333058 9.719180 -0.941419 2.652739 -11.589725 -4.229637
112 3.4347812027 9.992826 -0.908574 2.601343 -11.688337 -4.088436
113 4.2743592024 9.842581 -0.924666 2.407748 -11.420525 -4.241339
114 3.4443757581 10.158388 -1.128082 2.564193 -11.506090 -3.957491
115 3.4329072910 10.205036 -1.143890 2.505840 -11.666983 -4.034557
116 3.4478898967 9.839089 -0.921727 2.628447 -11.307704 -4.025839
117 4.2845690754 9.830091 -1.051229 2.541753 -11.666975 -4.069159
118 3.4364557465 9.812414 -0.843210 2.614484 -11.395921 -4.240181
119 3.4325247671 9.934494 -0.961327 2.699572 -11.538542 -4.277605
120 3.4325672422 9.994700 -0.884615 2.381060 -11.554996 -4.078576
121 3.4391365036 9.854885 -0.914222 2.606317 -11.594813 -3.942527
122 4.2987310594 9.807341 -1.079769 2.594651 -11.615059 -4.253993
