evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 1.8332045383 3.513337 -1.986605 0.187598 2.065758 3.326951 0.383118 2.955056 -2.014093 -0.737479 -2.769358 2.435906 0.634013 1.537563 1.684465 2.413827
2 1.7368861705 4.272524 -3.130835 0.680185 3.009185 4.134236 -1.547663 2.343385 -2.881490 -2.605259 -2.419219 2.333039 -0.008789 -0.218900 1.959884 0.456836
3 1.9193582557 4.315287 -2.862291 -1.332682 0.755747 2.698870 0.428493 -0.365752 -1.967364 -0.252257 -3.506822 1.661455 1.419861 1.317709 2.830117 1.045294
4 1.8198300205 3.189455 -2.630698 -0.068342 1.563365 4.713411 -0.610352 2.237772 -2.840867 -0.851277 -2.721987 1.865800 -0.656024 2.783079 0.719937 1.722231
5 1.7681081710 3.906467 -2.668595 0.395337 2.465418 2.409341 -0.841339 3.032847 -2.691914 -1.307684 -4.395065 2.172521 1.671083 -0.275294 1.881728 2.066011
6 1.8762219654 2.692473 -1.794427 -0.621017 2.003286 4.750200 -0.737208 1.070465 -0.959355 0.153128 -4.084485 1.394276 0.967318 0.768098 1.091376 1.025926
7 1.8697250675 2.313530 -2.145684 2.130551 2.615454 4.425185 0.298364 2.285516 -2.298140 0.053926 -4.716989 2.250169 1.101681 0.342706 1.412392 1.399939
8 1.8204495742 3.307510 -2.566164 -0.176363 2.368637 3.493650 -0.627553 1.815964 -2.158332 -0.513199 -4.686658 1.278265 0.182601 -0.199831 2.226376 1.453369
9 1.8606402982 4.058320 -3.638114 0.901971 1.693958 4.993726 -0.543798 2.318153 -1.143942 0.495146 -4.817298 2.877879 3.154969 -0.020535 2.151782 0.076796
10 1.7319800986 4.315852 -3.688350 -0.345583 3.426587 4.998064 1.113267 1.436851 -0.919025 -0.766617 -2.265291 2.419614 0.666429 1.965195 1.405051 1.686245
11 1.8418660997 3.750755 -3.487883 2.386519 0.898536 4.661291 -0.339203 2.969372 -0.742476 -0.085385 -4.437677 1.782558 1.568807 0.906510 0.600643 1.704868
12 1.7520300249 2.855267 -3.820430 -0.786252 3.122300 4.667387 0.461045 0.689695 -1.223408 -0.512977 -2.948460 -0.602933 0.436902 1.598346 3.315136 2.944706
13 2.2189706034 1.844186 -4.262456 1.244778 4.306987 4.537165 -1.919760 1.795283 -0.781361 -1.649224 -2.664730 2.070695 0.896368 2.008448 2.446621 3.174381
14 1.8896799024 4.799964 -3.986220 0.129533 1.914924 3.915620 0.794548 3.369647 -1.515783 -0.570260 -2.601249 2.725062 0.109545 1.095899 0.424599 0.111295
15 1.8797895315 4.523150 -2.797953 -0.872650 1.997097 3.828180 -0.504282 1.872601 -1.583357 -1.068624 -3.657092 2.746606 0.273229 1.045656 2.935830 1.487664
16 1.7875788801 4.362588 -4.858987 0.500924 3.935335 3.388375 -0.178239 2.564433 -0.803103 -1.338534 -4.513483 1.782991 1.715068 1.339628 0.626679 3.122457
17 1.7367775679 4.784013 -2.793713 -1.887145 3.221593 4.623650 -1.194300 1.006433 -1.818486 -1.680638 -1.264414 2.146622 0.294060 -0.559388 3.399840 0.996865
18 1.8952033083 2.134732 -2.654125 -0.908872 4.036967 4.409547 -1.279640 1.729880 -0.538239 -0.880137 -2.935849 2.650258 1.889609 2.948020 2.236566 1.337154
19 1.8988245777 4.845881 -4.074735 -0.897053 2.093141 4.610350 -0.661284 0.824274 -2.316839 -1.395331 -1.774205 2.337879 -1.214572 -0.395258 3.649108 0.466203
20 1.7440566208 3.343883 -3.124571 1.344413 3.453278 3.470337 0.536081 0.348274 -1.977097 -0.356139 -3.018224 2.153231 0.042372 0.055160 0.114643 0.736630
21 1.7315936733 4.933743 -1.845506 0.390839 2.968669 4.695652 0.420000 0.927728 -1.122579 -0.542932 -2.525576 1.361749 -0.243265 0.886177 1.693504 -0.776547
22 1.7906565729 3.328851 -4.952862 0.788397 3.831293 4.966002 -0.373935 1.609527 -0.770488 -0.923751 -2.447086 1.765221 0.044684 1.079143 2.112693 1.256493
23 1.7055410961 3.345637 -3.568962 -0.725765 3.398839 4.579295 -0.551538 1.700575 -1.724456 -0.591335 -2.306756 1.102861 -0.577039 0.861691 1.720319 1.670368
24 1.8083535241 3.868010 -4.373679 0.617493 2.353890 4.538591 0.019745 1.695334 -3.064144 -2.350097 -4.211956 1.549045 0.761532 0.517221 1.058119 0.292342
25 1.8627920160 4.481318 -4.320822 -0.985509 2.933868 3.685443 -0.776769 1.227978 -2.442833 -1.832819 -2.361816 1.560788 -0.499854 -0.535899 1.097351 1.506269
26 1.7128123408 4.289820 -3.202760 0.324107 3.973067 4.638962 0.366496 -0.082900 -0.771839 -1.310633 -3.369715 2.789324 0.238260 1.235327 2.098521 0.974063
27 1.7416548983 2.857999 -3.854516 0.552387 3.274438 4.999949 -0.687405 0.799302 -1.189092 -1.611807 -1.935494 1.222479 0.799432 0.854636 1.823981 1.336036
28 1.6937706451 4.618826 -2.171947 -0.042047 4.495796 4.770751 0.122063 0.448148 -1.223532 -0.801558 -2.126100 2.097802 0.001466 0.261299 1.622013 0.283557
29 1.6922999228 4.484829 -4.073165 -1.151708 3.739335 4.979018 -0.120718 -0.351343 -1.411509 0.631083 -3.829708 2.103386 0.092900 1.402089 2.106788 -0.346270
30 1.7150821604 4.186752 -1.994482 0.857542 3.205163 3.131322 -0.252073 2.233359 -0.272490 0.529265 -2.785218 1.449772 -0.460655 0.628744 1.840253 -0.319331
31 1.8622560067 4.182610 -1.747676 -1.413275 2.806080 4.659348 -1.143353 2.445276 -1.642163 -2.623436 -2.632997 2.131390 -1.328155 0.209855 2.620054 1.749153
32 1.6884507908 4.972004 -2.521698 0.071118 4.410483 3.847131 0.632021 1.377346 -0.143273 -1.380223 -2.745140 1.308330 -0.237834 1.899225 1.410924 -0.636055
33 1.6508305736 4.992232 -2.626619 -0.371089 4.433120 4.020072 -0.671887 1.159416 -1.898527 0.164982 -2.712388 0.952709 0.771645 0.852388 1.556758 1.590787
34 1.9896765772 2.452840 -2.811876 -0.119843 1.355609 4.762037 0.365416 1.727128 -3.367982 -0.530667 -2.992887 2.573670 -0.695475 0.866968 1.367225 1.213188
35 1.7579347069 3.572864 -2.667913 -0.336584 2.629466 4.330665 -2.237018 2.506105 -2.703009 -0.683183 -1.562187 1.981116 -0.889444 1.189473 2.021929 0.185935
36 1.8722131350 4.996060 -3.899645 -1.285834 2.683492 4.994974 0.213205 -0.036449 -2.202737 -1.306666 -2.581806 0.982617 -0.145964 1.050168 2.328432 1.025498
37 1.7160044134 4.497459 -1.861259 -1.288458 4.636712 4.734210 -2.253039 0.601320 -1.816377 -0.561056 -0.804101 0.661171 2.569054 -0.300670 -0.048073 1.683684
38 1.6540337023 4.958593 -2.518788 -0.181203 4.990560 4.085341 1.130382 1.200572 -0.806039 0.283638 -3.578171 0.424278 0.461783 2.375203 2.234372 -0.743460
39 1.7336497611 4.660993 -2.561517 -1.659998 4.761973 4.971146 -0.267467 1.620794 -1.384111 -1.768452 -2.563767 1.296740 1.718625 1.273674 2.106356 1.689412
40 1.6857361937 4.481689 -3.213631 -1.094820 4.585677 4.523258 -0.255059 0.055620 -1.129977 0.220480 -4.098659 1.824515 -1.266966 0.366800 1.212931 0.025909
41 1.7489012987 4.711604 -4.097187 -1.521939 3.485393 3.538249 -1.028627 1.474669 -1.439818 -1.278857 -3.621519 1.653489 -0.819885 0.852893 2.261210 0.107563
42 1.6862224518 4.358719 -2.918729 0.707187 3.925874 4.699614 -0.357412 1.359233 -3.383910 0.280725 -3.533267 0.367102 0.880287 0.479731 1.195858 1.409733
43 1.6971998611 4.359078 -3.075813 0.390039 4.334859 4.152652 1.268226 0.700645 -1.058898 -0.580422 -2.801847 0.747682 0.640327 1.496793 0.730035 -0.585775
44 1.7118661204 3.609500 -2.630083 -1.098519 4.501684 3.955353 0.498893 2.777959 0.325359 0.300814 -1.766880 0.125255 -0.289029 1.158012 2.703213 0.695678
45 1.7234129304 4.837327 -3.970275 0.771356 4.218411 1.975714 0.727328 0.199891 0.064550 -0.592883 -2.292460 0.250574 -1.115499 1.396235 1.613652 -0.304357
46 1.6975577054 4.997477 -2.345221 -0.192749 4.484209 3.507840 -2.360399 1.202956 -1.680419 0.142391 -4.010562 0.164211 1.632527 -1.059211 1.477260 -0.122116
47 1.7110340400 4.900009 -1.920116 0.241954 3.155277 4.169661 1.258927 -0.770863 -0.682859 -0.662622 -3.295402 2.703060 0.434444 0.635178 1.071725 1.324647
48 1.6853062913 4.827418 -1.710384 0.253367 4.918268 4.999944 -0.968275 1.757185 -2.030905 -0.057616 -2.596052 2.339930 1.221497 -0.716724 1.493646 1.224783
49 1.6551944959 4.959230 -1.802614 -0.683455 4.388498 4.040372 1.257031 1.038126 -0.723318 0.379783 -4.016269 1.246548 0.387466 0.614673 0.863446 -1.394819
50 1.7098091368 4.022144 -2.352969 -0.412900 4.889576 2.588341 0.763588 0.407644 -0.499643 0.446881 -2.810900 -0.065844 0.102700 1.948818 1.718206 1.498531
51 1.6870587610 3.679280 -2.703166 -0.147528 4.990282 4.991409 -0.560197 1.697361 -1.893150 0.335003 -2.859141 2.278809 0.805204 0.897152 0.950556 1.036695
52 1.6998955385 3.254300 -2.365693 0.312454 4.469327 4.562649 0.392629 -0.318499 -2.086008 -0.344765 -3.367425 0.816132 0.333652 0.490067 2.493998 0.889629
53 1.6816974230 4.912746 -3.065777 0.164251 4.750574 4.326422 0.809033 2.089078 -0.685075 -0.420720 -3.887414 0.947675 0.307415 1.202783 1.285718 -0.610221
54 1.6713874376 4.145062 -2.294711 0.196224 4.564584 4.222256 1.718045 1.431076 -2.541398 0.320443 -3.831797 0.669632 -0.291384 -0.032069 -0.608803 -0.436522
55 1.6849235526 4.780329 -1.264744 -0.317334 3.155773 4.468970 0.249904 2.391168 -1.838004 -1.364564 -1.904907 1.199155 -1.203040 1.901720 3.049037 0.171371
56 1.7181853282 4.778940 -3.699883 0.201030 4.060482 4.993909 0.689418 0.244693 -0.823359 0.506654 -2.700747 1.037105 2.697880 -0.169538 2.020448 0.133428
