evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 3.1741921902 -0.429798 -4.027594 -1.213446 0.879418 1.253680 -3.962441 -1.374260 -3.663274 0.988953 -1.976067 1.080269 -0.359713 1.901859 -3.665592 4.214816
2 2.0166096687 4.532980 -3.835460 -1.827509 -4.350783 -4.202620 3.166046 -4.681353 3.121786 -2.658924 4.194297 3.009706 -0.435320 -1.653028 -1.043436 -4.637872
3 1.7834589481 -4.769467 -4.076564 -2.287129 -1.837487 -2.330608 -2.731506 -0.572395 -2.815677 -0.759752 -2.628917 0.265182 3.033957 1.090770 -4.240076 0.121159
4 2.0385396481 2.076203 -0.811227 3.623137 -2.470427 -4.822481 3.333010 0.561855 -2.358323 1.428704 -0.266897 -4.953020 -2.937629 -1.732838 3.134711 -1.016274
5 1.7901724577 -3.475821 -2.077237 -3.273415 3.143228 -4.742972 -2.245237 2.258749 -0.528286 -1.417667 -4.824608 3.793623 4.714034 1.864825 -4.828162 4.394615
6 2.3379800320 1.705069 -2.809182 2.248045 4.916346 3.474388 -3.851980 -4.550816 0.576370 1.931563 -0.789060 0.555214 0.024403 0.873756 1.216304 2.801458
7 1.6052207947 -2.787189 -4.712814 0.811956 -4.770523 4.019611 -3.179110 -4.987158 -0.286615 3.790539 4.643513 -2.877730 -3.795635 4.280121 -3.677669 4.677768
8 1.8938289881 3.210477 2.511402 2.963239 -1.889452 1.536495 -0.431565 -3.152335 -2.464863 3.986944 -3.626468 0.104263 -0.390635 -2.566126 -2.111539 1.894408
9 2.0682363510 -1.727692 2.424033 3.250620 -2.758659 3.409765 -2.540745 -0.353018 3.597762 -4.123523 2.571844 -0.982573 4.927887 1.961728 -2.685136 0.378371
10 1.6961072683 -3.302429 -0.912248 -2.091658 -2.984664 -3.408173 -0.130624 -4.814269 0.626467 -1.449590 3.955003 3.658497 3.996576 -3.458385 -2.867064 1.765602
11 1.9557509422 3.775837 1.310161 -3.831079 4.771840 -2.714114 2.982076 -0.030277 -2.413221 4.913036 -0.006849 -4.538782 0.088047 -3.670613 1.639486 1.043809
12 2.8224396706 0.673126 -0.436327 -0.746270 3.262160 -4.342066 1.154941 4.833662 4.745990 1.141913 2.227924 -1.653266 -3.441945 2.084176 -3.171818 -2.189294
13 2.0809798241 2.414781 2.992022 -0.240664 0.656058 0.340038 -0.899453 2.895898 -3.055698 1.285455 -0.689002 -4.686052 -3.507850 3.185671 0.278605 -4.482353
14 1.8585814238 3.596122 0.170843 -2.159445 -2.322925 -0.539668 1.224859 4.330936 1.708744 -4.285381 -2.526894 2.434135 -0.607222 1.276941 -0.639423 0.910769
15 1.9687560797 3.242805 1.470691 4.302553 0.988573 -4.102385 -1.842903 -3.940451 -2.488640 0.677041 2.186622 3.522886 3.913630 -0.813567 -0.909889 -3.739948
16 3.0775671005 0.088606 2.807883 2.548752 -0.413186 -0.789855 -3.793065 -3.004448 -3.814137 -1.918473 -4.702699 2.921767 -1.246853 2.650858 -2.008239 2.076812
17 2.8992662430 -0.831107 0.200497 3.697388 1.923775 4.066957 -1.759971 0.362082 -0.485724 4.989127 -2.782968 2.677627 -1.708420 1.689938 -3.454091 4.800488
18 1.7906668186 -4.307723 -0.769054 2.933814 1.658882 -0.902680 -1.015404 2.356423 -1.268172 3.954348 1.765923 -3.692360 -0.471617 0.221707 4.344209 4.137545
19 1.5831407309 -4.521416 -4.231290 0.628610 -4.222941 -4.648949 -2.739124 -3.072422 4.783990 -0.629147 -3.119180 4.982203 -0.584381 1.464941 4.847670 3.868299
20 2.0674955845 1.922734 -1.250911 3.987263 -3.355143 0.290426 -1.947543 0.552191 -4.012949 3.271086 -4.242948 1.927685 -2.744674 -3.389484 4.451718 0.861375
21 1.9379820824 -1.549552 1.774792 0.584135 -4.589395 0.574771 -2.495638 -4.096660 -4.147410 1.669315 -2.484040 -3.454639 0.022007 3.533631 -1.252726 1.119063
22 1.7095834017 3.633017 3.184477 2.878466 3.366635 1.294583 4.137762 -4.827726 -4.462324 1.783198 0.971425 2.017959 2.668318 0.247917 2.716905 -1.801598
23 2.0526142120 2.016291 -2.876813 3.410142 -1.261753 -0.377861 -4.786832 -0.941828 1.026850 3.429888 4.768391 0.020305 -2.620567 -4.512816 -2.349341 1.691996
24 1.9531090260 -2.401815 -2.842274 -2.419013 -1.313626 0.425200 4.853172 -1.228184 2.295275 3.249948 0.154742 2.488315 0.851694 -4.874134 -3.929185 -3.401630
25 1.8237617016 -2.996371 3.412493 1.190324 1.564221 2.066466 4.319678 -0.868317 2.590759 -3.824093 -1.728379 -0.906449 -2.475026 3.468925 -1.134986 -1.055944
26 1.9520443678 -4.473771 -2.066055 -1.506915 0.024928 -3.207528 -4.358422 4.206794 0.779839 2.622467 0.584333 0.465493 -4.358775 -0.674305 1.241027 -1.261525
27 2.2780797482 -1.087875 2.700721 -1.027675 -3.826784 -2.844541 -0.619673 -2.585235 -2.211667 -2.236792 -3.483576 4.109457 0.316529 -1.448922 -1.344966 1.582878
28 1.7560369968 -4.341792 4.134878 -0.652156 -0.328163 -4.965552 4.194166 4.198708 -4.042222 0.816231 3.748425 -2.559715 -1.160337 -2.304752 -4.135414 -3.636103
29 1.8626366854 3.351194 -4.820362 -4.031862 3.315792 1.353996 -4.775894 4.746649 -3.605773 4.404731 -3.900910 -0.440577 -2.454551 4.628904 3.412074 2.301246
30 1.6953734159 4.153853 0.149788 -3.643773 4.017059 -3.098849 -3.034877 -2.991096 1.247928 3.638686 2.429530 3.397717 -1.392684 2.473025 3.698665 3.340950
31 3.2296369076 0.219258 4.308660 0.856675 -0.893097 -2.572121 4.238289 -0.394450 -0.092775 1.981092 -1.542284 -2.193254 0.497450 -4.795055 1.916498 4.725525
32 2.3060836792 -1.253735 -1.024093 -2.329843 -3.744329 -2.407150 0.238532 3.035612 -4.786328 -4.858732 -1.516188 0.720322 1.388371 -1.419661 2.268811 -0.109182
33 3.0048499107 0.021122 -3.625974 -1.571807 3.549306 -0.334848 -2.150052 3.082052 -1.088855 -0.543632 4.126250 -2.522064 -1.844132 1.167299 0.707004 2.120671
34 2.9862458706 0.284799 0.795901 -0.930120 -2.844720 4.711669 3.202043 4.980066 4.435469 -4.696837 -1.333557 1.878213 1.098896 1.632472 -4.392905 -1.713609
35 1.8565396070 3.808853 -2.138636 4.464756 0.411489 1.185242 2.009389 -2.669582 3.452451 -2.271557 1.683548 -1.008650 4.784561 0.442656 -0.541276 2.529241
36 2.3671805859 -1.498785 0.480015 3.582771 -1.182532 4.214307 -0.174186 -3.260624 -0.145514 0.219209 4.949695 0.592156 3.333512 1.990627 3.661996 -1.849943
37 1.9410066605 4.998624 4.728506 3.819893 -0.207446 1.775781 4.366959 2.005665 3.873857 3.011956 0.053616 1.445124 -2.393154 -1.805727 -0.026935 0.913572
38 1.9908068180 -1.650495 3.468138 -0.194633 3.204835 -4.638193 3.812589 2.322525 -4.609619 -4.586922 1.435874 -2.369548 0.725916 -1.370512 -1.568584 3.476020
39 1.9210885763 -2.261692 0.449701 2.046191 -4.626702 -3.867985 -2.459012 -1.837510 2.883296 4.647714 1.448734 4.631355 0.985423 -2.160337 -0.838708 -0.485779
40 1.8480916023 -4.954577 -0.150920 -3.570872 -1.100028 2.655576 4.810503 -1.747909 -0.609178 2.191853 1.872945 0.642270 -4.801606 -3.885152 1.850248 -4.303148
41 2.1547291279 -1.895796 -1.522152 -0.608996 0.219122 2.478050 0.268226 -2.734685 -3.216510 -3.743667 1.166882 0.194200 -4.280465 -2.810525 4.718960 0.422525
42 1.6293994188 4.305836 1.425981 -1.612276 4.530222 0.470361 -4.987788 3.659784 -1.599127 0.132675 4.709064 -2.491085 -0.725409 -0.375138 -2.486888 2.774324
43 1.8756974936 -4.633058 3.869660 1.594184 4.294632 -3.776672 -0.006431 2.222300 2.112238 -3.467208 -0.751449 -0.850298 1.032467 -3.076272 -2.430660 -4.807367
44 1.8076447248 4.924828 -2.394731 -3.027124 -3.865735 -3.529590 -4.264959 1.879759 0.495115 -0.950172 -1.046099 3.562322 3.554233 -3.816064 1.467837 -2.209508
45 1.9031734467 4.743483 2.944325 2.732054 -4.651758 3.310520 2.660702 -4.486144 0.316144 -2.185472 -4.501258 2.086379 1.225163 4.973636 0.309291 -4.278831
46 1.9090933800 -4.162634 1.379642 -2.216395 3.737090 4.325759 2.891322 -2.023383 4.089677 -4.066915 -0.873586 0.651531 3.778501 -1.935208 1.787040 -2.532542
47 2.4900443554 -0.919824 1.714110 4.580989 2.634401 4.841064 2.227147 -0.085533 -2.145537 1.059567 1.580717 2.124724 3.117903 -2.032602 -0.330363 0.642352
48 1.8478245735 4.411476 -2.453802 2.432857 -1.394771 1.926505 1.944138 4.917649 -0.991771 -3.297048 -3.245543 -4.064816 4.507188 -4.501442 4.269121 0.192828
49 3.0041627884 0.198091 -4.920925 -0.379427 -3.988809 3.538222 3.573559 -4.620127 3.628456 0.585245 -2.132241 -2.253576 1.702426 -4.690146 2.928003 4.297488
50 2.0589642525 3.156520 -0.688637 -1.349442 1.073752 3.142593 4.482728 -4.385989 -1.623323 1.352033 0.337665 -0.785451 -3.555483 3.933966 2.302400 -3.904373
51 1.8302628994 -3.125043 -3.797418 -2.593982 1.685259 1.620348 -2.168309 -3.600311 1.865871 -2.376886 -4.011585 -2.139932 -4.112484 0.021973 -1.089187 3.821611
52 2.7584733963 -0.527760 -1.742502 4.505555 -3.437506 -4.928052 3.628282 -2.919159 -4.564697 -3.493068 0.518941 0.734584 -0.924375 -0.077017 -3.722450 -2.283963
53 1.8212184906 4.879314 -1.976060 4.794060 -1.153266 -2.236525 1.567011 3.448951 3.524589 -3.340473 3.849656 0.852681 -2.870797 -2.659993 -4.608167 -3.154476
54 1.9090448618 -2.180071 -0.508617 -0.491855 -2.913398 2.821341 2.549516 -2.115984 2.855476 -3.664022 4.233790 1.801026 3.881653 -0.852339 -1.841972 -3.383117
55 1.7757830620 -2.336197 0.042644 1.791626 -3.660165 -4.046111 -1.053319 0.064464 2.026035 1.454668 -2.296219 -4.470978 4.526325 -4.249884 -4.376914 2.624879
56 1.9408340454 2.557092 -3.553720 -1.379157 4.883985 -3.156460 4.561505 -1.902334 3.941421 3.668458 -2.908581 -3.544840 4.836317 1.550891 3.914002 0.730336
57 2.5968325138 -1.374946 -3.250462 -4.715005 4.561755 2.225389 1.722469 -2.884734 -4.715602 -1.606969 3.631581 2.735224 3.051427 -1.167968 -3.886367 4.749097
