evaluations raw_y x0 x1 x2 x3 x4
1 3.6900315512 3.659830 -4.588885 1.948104 -4.032810 4.831152
2 3.5242039093 -0.099511 1.384248 -1.319697 -3.092342 1.106104
3 4.5718028523 -3.811621 2.819894 -0.425965 -2.419407 -3.540356
4 3.9021469979 2.748242 3.171541 -3.010292 4.391514 -0.573536
5 3.5431517127 -4.477577 -3.090911 0.366140 1.287985 4.331750
6 3.5154272851 -2.439116 -1.027398 1.004569 -0.552215 0.789792
7 4.1498091391 4.907678 2.186850 3.540800 4.266940 -2.441877
8 3.8560765726 2.006372 4.304465 -3.895407 2.957032 0.288570
9 4.0002045319 0.692050 -2.522129 4.903738 3.379755 2.543920
10 3.4548166124 4.225148 -2.306825 -2.601095 -1.654711 -1.289917
11 4.1294372212 -0.943582 4.591845 2.990587 1.919057 3.430908
12 3.6425607766 1.254207 -0.276930 4.022312 0.323030 -4.604081
13 5.0782592268 -1.287823 -4.126542 -2.140663 -2.193932 -1.803678
14 5.7684899865 -1.941634 -0.578585 -4.805059 -4.540820 -3.937665
15 3.6558489099 -3.238836 0.832687 0.180266 0.985485 2.266530
16 4.6237734295 4.798658 -3.964686 -4.834163 -3.403011 -0.308532
17 3.4882685505 4.111555 -4.082338 -0.679384 -2.823815 0.620938
18 4.5008815032 2.756556 -2.839635 -4.675956 -2.763500 0.701165
19 3.5951474991 4.745354 0.096529 -0.728563 -3.753829 -0.738472
20 3.5008878012 4.643904 -1.668209 -4.203017 -1.936815 0.603189
21 3.6790417054 4.452188 -2.142746 -1.013380 -0.787435 1.054384
22 3.5932905486 4.719598 -3.290158 -2.236681 -0.563112 0.948372
23 3.6787847608 4.378945 -1.032239 -0.962636 -0.939764 0.112759
24 3.6595771506 4.109078 -0.247118 -0.804197 -1.485246 -0.460071
25 3.6834257062 4.945768 -0.379232 -1.943227 -0.692088 -0.266732
26 3.4587298207 4.655709 -1.035216 -3.207711 -1.451993 -2.497609
27 3.4881325506 4.587499 -1.272240 -3.107753 -2.201794 -0.861911
28 3.5481658813 3.990048 -1.186210 -3.107333 -1.239371 0.076330
29 3.5585689398 4.940856 -1.773018 -3.093846 -1.395478 0.095759
30 3.4569595687 4.711660 -1.483445 -2.435502 -1.937036 -2.433470
31 3.4291804062 3.988419 -1.992783 -2.365463 -2.539424 -1.311579
32 4.3910642139 4.107752 -2.493991 -2.377506 -2.621956 -2.489600
33 3.4286608367 4.045225 -2.206829 -2.382277 -1.210408 -2.478568
34 4.2621313290 4.095645 -2.408794 -2.569271 -1.414874 -2.469343
35 4.2595526697 4.402518 -2.142960 -2.400252 -2.303324 -2.275202
36 3.4301577787 3.417376 -2.001164 -2.358536 -0.819640 -2.436239
37 3.4546900503 4.620128 -1.983672 -2.318735 -1.006072 -2.941977
38 3.4666631553 4.369969 -2.028442 -2.587744 -0.813877 -2.293081
39 3.4931602399 4.430499 -1.862592 -2.329946 -0.871779 -2.105995
40 3.4470449656 4.006738 -1.923767 -2.343849 -0.918394 -2.628025
41 3.4376216342 4.273615 -2.097287 -2.485050 -1.234535 -2.482174
42 3.4562893610 4.415636 -2.288325 -2.165516 -1.122454 -2.432649
43 3.4383308753 3.953641 -2.064138 -2.153786 -1.101824 -2.642905
44 3.4293973598 3.663902 -2.098631 -2.401766 -1.091678 -2.287633
45 3.4882489507 4.831362 -2.108423 -2.167417 -1.133128 -2.275895
46 3.4100509226 3.637861 -2.193044 -2.437780 -1.204673 -2.466005
47 3.4250365419 3.688886 -2.150894 -2.312131 -1.171060 -2.371552
48 3.4134375908 3.543731 -2.175146 -2.345658 -1.185669 -2.422503
49 3.4283194396 4.017828 -2.164995 -2.436038 -1.177547 -2.480007
50 3.4386144184 3.984619 -2.171749 -2.281342 -1.154369 -2.379608
51 3.4293759124 4.026185 -2.195453 -2.483148 -1.164280 -2.399609
52 3.4144275369 3.632590 -2.222155 -2.335678 -1.176726 -2.460362
53 4.2653239466 3.377978 -2.151314 -2.370204 -1.149922 -2.550574
54 3.4082446362 3.499670 -2.201499 -2.409978 -1.153968 -2.439678
55 3.4191593045 3.717632 -2.161855 -2.458499 -1.193188 -2.356889
56 3.4086888341 3.499355 -2.160713 -2.480380 -1.153075 -2.400359
57 3.4168128316 3.521821 -2.259240 -2.254502 -1.121683 -2.393512
58 3.4137771846 3.535085 -2.229426 -2.309593 -1.184321 -2.389129
59 3.4093660398 3.518489 -2.214469 -2.409901 -1.177771 -2.395843
60 3.4099437423 3.522457 -2.186490 -2.470990 -1.127764 -2.403336
61 3.6119288581 -4.548879 -0.479396 2.023099 -0.666432 3.681051
62 3.8956288816 -1.334299 4.902090 -2.838989 1.103174 4.744629
63 5.9765327365 -3.335964 -1.835341 -3.881806 -4.785704 -3.389919
64 3.6082047043 -0.662720 1.842716 -4.721771 2.862053 0.602974
65 3.6473349769 3.783851 -4.445220 3.632366 -1.203725 -0.938199
66 3.5747708808 2.400985 -4.169728 0.778190 -3.272883 3.412756
67 3.9757422969 3.659884 1.111729 3.992228 3.722407 -4.055186
68 3.6859431383 0.889506 -1.513695 -0.506465 0.532377 2.321040
