evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 2.5547750347 0.248928 0.248928 -0.248928 0.248928 0.248928 0.248928 0.248928 -0.248928 0.248928 0.248928 0.248928 0.248928 -0.248928 0.248928 0.248928
2 2.7516707369 -0.601231 -0.601231 0.601231 -0.601231 -0.601231 -0.601231 -0.601231 0.601231 -0.601231 -0.601231 -0.601231 -0.601231 0.601231 -0.601231 -0.601231
3 1.3235548503 -4.877833 -4.877833 4.877833 -4.877833 -4.877833 -4.877833 -4.877833 4.877833 -4.877833 -4.877833 -4.877833 -4.877833 4.877833 -4.877833 -4.877833
4 1.4751176117 4.605106 4.605106 -4.605106 4.605106 4.605106 4.605106 4.605106 -4.605106 4.605106 4.605106 4.605106 4.605106 -4.605106 4.605106 4.605106
5 1.8275563754 2.540968 2.540968 -2.540968 2.540968 2.540968 2.540968 2.540968 -2.540968 2.540968 2.540968 2.540968 2.540968 -2.540968 2.540968 2.540968
6 2.4859787830 -2.820915 -2.820915 2.820915 -2.820915 -2.820915 -2.820915 -2.820915 2.820915 -2.820915 -2.820915 -2.820915 -2.820915 2.820915 -2.820915 -2.820915
7 1.5511773008 -2.326088 -2.326088 2.326088 -2.326088 -2.326088 -2.326088 -2.326088 2.326088 -2.326088 -2.326088 -2.326088 -2.326088 2.326088 -2.326088 -2.326088
8 1.3518583281 1.981064 1.981064 -1.981064 1.981064 1.981064 1.981064 1.981064 -1.981064 1.981064 1.981064 1.981064 1.981064 -1.981064 1.981064 1.981064
9 1.4371971452 1.701131 1.701131 -1.701131 1.701131 1.701131 1.701131 1.701131 -1.701131 1.701131 1.701131 1.701131 1.701131 -1.701131 1.701131 1.701131
10 1.3621039028 -1.356181 -1.356181 1.356181 -1.356181 -1.356181 -1.356181 -1.356181 1.356181 -1.356181 -1.356181 -1.356181 -1.356181 1.356181 -1.356181 -1.356181
11 1.5746003648 -3.166006 -3.166006 3.166006 -3.166006 -3.166006 -3.166006 -3.166006 3.166006 -3.166006 -3.166006 -3.166006 -3.166006 3.166006 -3.166006 -3.166006
12 3.1891918402 3.446027 3.446027 -3.446027 3.446027 3.446027 3.446027 3.446027 -3.446027 3.446027 3.446027 3.446027 3.446027 -3.446027 3.446027 3.446027
13 1.6871970736 4.252870 4.252870 -4.252870 4.252870 4.252870 4.252870 4.252870 -4.252870 4.252870 4.252870 4.252870 4.252870 -4.252870 4.252870 4.252870
14 1.7409359678 -3.980218 -3.980218 3.980218 -3.980218 -3.980218 -3.980218 -3.980218 3.980218 -3.980218 -3.980218 -3.980218 -3.980218 3.980218 -3.980218 -3.980218
15 2.1866847444 -0.873970 -0.873970 0.873970 -0.873970 -0.873970 -0.873970 -0.873970 0.873970 -0.873970 -0.873970 -0.873970 -0.873970 0.873970 -0.873970 -0.873970
16 2.0292190839 1.226348 1.226348 -1.226348 1.226348 1.226348 1.226348 1.226348 -1.226348 1.226348 1.226348 1.226348 1.226348 -1.226348 1.226348 1.226348
17 2.1466281086 0.714216 0.714216 -0.714216 0.714216 0.714216 0.714216 0.714216 -0.714216 0.714216 0.714216 0.714216 0.714216 -0.714216 0.714216 0.714216
18 2.0004909993 -1.072382 -1.072382 1.072382 -1.072382 -1.072382 -1.072382 -1.072382 1.072382 -1.072382 -1.072382 -1.072382 -1.072382 1.072382 -1.072382 -1.072382
19 1.7338202811 -4.093106 -4.093106 4.093106 -4.093106 -4.093106 -4.093106 -4.093106 4.093106 -4.093106 -4.093106 -4.093106 -4.093106 4.093106 -4.093106 -4.093106
20 1.3431942464 3.826261 3.826261 -3.826261 3.826261 3.826261 3.826261 3.826261 -3.826261 3.826261 3.826261 3.826261 3.826261 -3.826261 3.826261 3.826261
21 1.8834132082 3.324540 3.324540 -3.324540 3.324540 3.324540 3.324540 3.324540 -3.324540 3.324540 3.324540 3.324540 3.324540 -3.324540 3.324540 3.324540
22 1.2742494735 -3.598772 -3.598772 3.598772 -3.598772 -3.598772 -3.598772 -3.598772 3.598772 -3.598772 -3.598772 -3.598772 -3.598772 3.598772 -3.598772 -3.598772
23 1.4271537874 -1.859674 -1.859674 1.859674 -1.859674 -1.859674 -1.859674 -1.859674 1.859674 -1.859674 -1.859674 -1.859674 -1.859674 1.859674 -1.859674 -1.859674
24 1.3979977847 1.508917 1.508917 -1.508917 1.508917 1.508917 1.508917 1.508917 -1.508917 1.508917 1.508917 1.508917 1.508917 -1.508917 1.508917 1.508917
25 2.4386895051 2.484632 2.484632 -2.484632 2.484632 2.484632 2.484632 2.484632 -2.484632 2.484632 2.484632 2.484632 2.484632 -2.484632 2.484632 2.484632
26 2.5888264940 -2.133800 -2.133800 2.133800 -2.133800 -2.133800 -2.133800 -2.133800 2.133800 -2.133800 -2.133800 -2.133800 -2.133800 2.133800 -2.133800 -2.133800
27 2.1699112854 -2.699502 -2.699502 2.699502 -2.699502 -2.699502 -2.699502 -2.699502 2.699502 -2.699502 -2.699502 -2.699502 -2.699502 2.699502 -2.699502 -2.699502
28 1.7695532984 2.973660 2.973660 -2.973660 2.973660 2.973660 2.973660 2.973660 -2.973660 2.973660 2.973660 2.973660 2.973660 -2.973660 2.973660 2.973660
29 2.7232446916 4.718068 4.718068 -4.718068 4.718068 4.718068 4.718068 4.718068 -4.718068 4.718068 4.718068 4.718068 4.718068 -4.718068 4.718068 4.718068
30 1.4102060150 -4.451150 -4.451150 4.451150 -4.451150 -4.451150 -4.451150 -4.451150 4.451150 -4.451150 -4.451150 -4.451150 -4.451150 4.451150 -4.451150 -4.451150
31 2.1090065917 -0.089173 -0.089173 0.089173 -0.089173 -0.089173 -0.089173 -0.089173 0.089173 -0.089173 -0.089173 -0.089173 -0.089173 0.089173 -0.089173 -0.089173
32 1.6715878303 0.447266 0.447266 -0.447266 0.447266 0.447266 0.447266 0.447266 -0.447266 0.447266 0.447266 0.447266 0.447266 -0.447266 0.447266 0.447266
33 2.3788737096 0.551002 0.551002 -0.551002 0.551002 0.551002 0.551002 0.551002 -0.551002 0.551002 0.551002 0.551002 0.551002 -0.551002 0.551002 0.551002
34 1.7778174614 -0.278369 -0.278369 0.278369 -0.278369 -0.278369 -0.278369 -0.278369 0.278369 -0.278369 -0.278369 -0.278369 -0.278369 0.278369 -0.278369 -0.278369
35 3.1625664386 -4.554934 -4.554934 4.554934 -4.554934 -4.554934 -4.554934 -4.554934 4.554934 -4.554934 -4.554934 -4.554934 -4.554934 4.554934 -4.554934 -4.554934
36 1.6404936718 4.907292 4.907292 -4.907292 4.907292 4.907292 4.907292 4.907292 -4.907292 4.907292 4.907292 4.907292 4.907292 -4.907292 4.907292 4.907292
37 1.7603763008 2.862563 2.862563 -2.862563 2.862563 2.862563 2.862563 2.862563 -2.862563 2.862563 2.862563 2.862563 2.862563 -2.862563 2.862563 2.862563
38 1.3676509289 -2.517594 -2.517594 2.517594 -2.517594 -2.517594 -2.517594 -2.517594 2.517594 -2.517594 -2.517594 -2.517594 -2.517594 2.517594 -2.517594 -2.517594
39 1.7487346541 -2.022731 -2.022731 2.022731 -2.022731 -2.022731 -2.022731 -2.022731 2.022731 -2.022731 -2.022731 -2.022731 -2.022731 2.022731 -2.022731 -2.022731
40 1.7867613547 2.302772 2.302772 -2.302772 2.302772 2.302772 2.302772 2.302772 -2.302772 2.302772 2.302772 2.302772 2.302772 -2.302772 2.302772 2.302772
41 2.7788997788 1.397846 1.397846 -1.397846 1.397846 1.397846 1.397846 1.397846 -1.397846 1.397846 1.397846 1.397846 1.397846 -1.397846 1.397846 1.397846
42 1.7409234235 -1.677812 -1.677812 1.677812 -1.677812 -1.677812 -1.677812 -1.677812 1.677812 -1.677812 -1.677812 -1.677812 -1.677812 1.677812 -1.677812 -1.677812
43 1.6069360640 -3.487673 -3.487673 3.487673 -3.487673 -3.487673 -3.487673 -3.487673 3.487673 -3.487673 -3.487673 -3.487673 -3.487673 3.487673 -3.487673 -3.487673
44 1.5626782544 3.142630 3.142630 -3.142630 3.142630 3.142630 3.142630 3.142630 -3.142630 3.142630 3.142630 3.142630 3.142630 -3.142630 3.142630 3.142630
45 2.2045447218 3.930044 3.930044 -3.930044 3.930044 3.930044 3.930044 3.930044 -3.930044 3.930044 3.930044 3.930044 3.930044 -3.930044 3.930044 3.930044
46 1.5740808748 -4.322376 -4.322376 4.322376 -4.322376 -4.322376 -4.322376 -4.322376 4.322376 -4.322376 -4.322376 -4.322376 -4.322376 4.322376 -4.322376 -4.322376
47 2.6213725464 -4.986421 -4.986421 4.986421 -4.986421 -4.986421 -4.986421 -4.986421 4.986421 -4.986421 -4.986421 -4.986421 -4.986421 4.986421 -4.986421 -4.986421
48 1.7703694821 -3.289251 -3.289251 3.289251 -3.289251 -3.289251 -3.289251 -3.289251 3.289251 -3.289251 -3.289251 -3.289251 -3.289251 3.289251 -3.289251 -3.289251
49 3.0494938785 -3.776362 -3.776362 3.776362 -3.776362 -3.776362 -3.776362 -3.776362 3.776362 -3.776362 -3.776362 -3.776362 -3.776362 3.776362 -3.776362 -3.776362
50 3.6124356940 -3.580853 -3.580853 3.580853 -3.580853 -3.580853 -3.580853 -3.580853 3.580853 -3.580853 -3.580853 -3.580853 -3.580853 3.580853 -3.580853 -3.580853
51 1.5528781822 -3.684104 -3.684104 3.684104 -3.684104 -3.684104 -3.684104 -3.684104 3.684104 -3.684104 -3.684104 -3.684104 -3.684104 3.684104 -3.684104 -3.684104
52 1.3986538126 -3.473823 -3.473823 3.473823 -3.473823 -3.473823 -3.473823 -3.473823 3.473823 -3.473823 -3.473823 -3.473823 -3.473823 3.473823 -3.473823 -3.473823
53 1.6004031327 -3.658128 -3.658128 3.658128 -3.658128 -3.658128 -3.658128 -3.658128 3.658128 -3.658128 -3.658128 -3.658128 -3.658128 3.658128 -3.658128 -3.658128
54 1.9571729089 -3.659111 -3.659111 3.659111 -3.659111 -3.659111 -3.659111 -3.659111 3.659111 -3.659111 -3.659111 -3.659111 -3.659111 3.659111 -3.659111 -3.659111
55 1.3052617838 0.037110 0.325379 3.830203 -3.830203 0.325379 0.325379 -3.830203 -0.325379 0.037110 -3.830203 0.325379 0.037110 3.830203 0.037110 0.037110
56 1.5384070883 -2.477817 -3.996556 1.933636 -1.933636 -3.996556 -3.996556 -1.933636 3.996556 -2.477817 -1.933636 -3.996556 -2.477817 1.933636 -2.477817 -2.477817
57 2.3774522780 -0.919681 -0.595854 3.593191 -3.593191 -0.595854 -0.595854 -3.593191 0.595854 -0.919681 -3.593191 -0.595854 -0.919681 3.593191 -0.919681 -0.919681
58 2.6275898691 -1.375442 -3.504920 2.271935 -2.271935 -3.504920 -3.504920 -2.271935 3.504920 -1.375442 -2.271935 -3.504920 -1.375442 2.271935 -1.375442 -1.375442
59 1.8797431474 -2.203434 -3.040477 4.482105 -4.482105 -3.040477 -3.040477 -4.482105 3.040477 -2.203434 -4.482105 -3.040477 -2.203434 4.482105 -2.203434 -2.203434
60 1.6153092670 -3.919801 -3.076363 1.693054 -1.693054 -3.076363 -3.076363 -1.693054 3.076363 -3.919801 -1.693054 -3.076363 -3.919801 1.693054 -3.919801 -3.919801
61 2.0486424970 -3.023833 -4.979631 4.690768 -4.690768 -4.979631 -4.979631 -4.690768 4.979631 -3.023833 -4.690768 -4.979631 -3.023833 4.690768 -3.023833 -3.023833
62 1.8246793566 -2.985132 -4.527463 3.044518 -3.044518 -4.527463 -4.527463 -3.044518 4.527463 -2.985132 -3.044518 -4.527463 -2.985132 3.044518 -2.985132 -2.985132
63 2.3843689057 -4.390285 -4.270204 4.489857 -4.489857 -4.270204 -4.270204 -4.489857 4.270204 -4.390285 -4.489857 -4.270204 -4.390285 4.489857 -4.390285 -4.390285
64 1.8237571517 -3.803322 -4.398311 4.246283 -4.246283 -4.398311 -4.398311 -4.246283 4.398311 -3.803322 -4.246283 -4.398311 -3.803322 4.246283 -3.803322 -3.803322
65 1.8193874395 -4.098500 -3.121044 3.858189 -3.858189 -3.121044 -3.121044 -3.858189 3.121044 -4.098500 -3.858189 -3.121044 -4.098500 3.858189 -4.098500 -4.098500
66 2.1538641547 -3.758499 -3.837000 3.631165 -3.631165 -3.837000 -3.837000 -3.631165 3.837000 -3.758499 -3.631165 -3.837000 -3.758499 3.631165 -3.758499 -3.758499
67 1.8665736937 -4.026821 -3.872803 3.566983 -3.566983 -3.872803 -3.872803 -3.566983 3.872803 -4.026821 -3.566983 -3.872803 -4.026821 3.566983 -4.026821 -4.026821
68 1.6902467475 -3.643131 -3.750566 3.813004 -3.813004 -3.750566 -3.750566 -3.813004 3.750566 -3.643131 -3.813004 -3.750566 -3.643131 3.813004 -3.643131 -3.643131
69 1.9475206786 -3.809451 -3.678509 3.706796 -3.706796 -3.678509 -3.678509 -3.706796 3.678509 -3.809451 -3.706796 -3.678509 -3.809451 3.706796 -3.809451 -3.809451
70 1.6197100123 -3.843794 -3.366060 3.433723 -3.433723 -3.366060 -3.366060 -3.433723 3.366060 -3.843794 -3.433723 -3.366060 -3.843794 3.433723 -3.843794 -3.843794
71 1.6935676835 -3.608553 -3.672665 3.587881 -3.587881 -3.672665 -3.672665 -3.587881 3.672665 -3.608553 -3.587881 -3.672665 -3.608553 3.587881 -3.608553 -3.608553
72 1.8398856429 -3.632789 -3.526794 3.700973 -3.700973 -3.526794 -3.526794 -3.700973 3.526794 -3.632789 -3.700973 -3.526794 -3.632789 3.700973 -3.632789 -3.632789
73 1.8328704888 -3.668342 -3.593078 3.610104 -3.610104 -3.593078 -3.593078 -3.610104 3.593078 -3.668342 -3.610104 -3.593078 -3.668342 3.610104 -3.668342 -3.668342
74 1.9387152402 -3.591331 -3.633586 3.660958 -3.660958 -3.633586 -3.633586 -3.660958 3.633586 -3.591331 -3.660958 -3.633586 -3.591331 3.660958 -3.591331 -3.591331
75 1.6045003869 -3.627190 -3.623808 3.622645 -3.622645 -3.623808 -3.623808 -3.622645 3.623808 -3.627190 -3.622645 -3.623808 -3.627190 3.622645 -3.627190 -3.627190
76 1.4745180587 -3.630752 -3.617916 3.633703 -3.633703 -3.617916 -3.617916 -3.633703 3.617916 -3.630752 -3.633703 -3.617916 -3.630752 3.633703 -3.630752 -3.630752
77 1.6671778058 -0.077991 -0.701374 2.379156 -3.808446 -1.917538 -3.504273 -2.379156 0.701374 -0.077991 -3.808446 -1.917538 -2.043927 3.965229 -2.530445 -2.530445
78 1.6815383448 -3.182943 -1.644739 2.390343 -2.339227 -1.143379 -1.254465 -2.390343 1.644739 -3.182943 -2.339227 -1.143379 -1.695092 0.373963 -3.908404 -3.908404
79 1.9163446077 -3.151491 -4.481307 4.121425 -1.549607 -4.106173 -3.982392 -4.121425 4.481307 -3.151491 -1.549607 -4.106173 -1.355927 0.587787 -0.734453 -0.734453
80 2.2523924854 -1.797706 -0.257701 3.571349 -1.635280 -4.676274 -2.856780 -3.571349 0.257701 -1.797706 -1.635280 -4.676274 -1.193325 4.871289 -2.401500 -2.401500
81 1.7309956100 -0.383399 -1.703588 2.802923 -1.890826 -4.388993 0.038679 -2.802923 1.703588 -0.383399 -1.890826 -4.388993 -1.483346 1.743103 -2.916542 -2.916542
82 1.7231918413 -3.903184 -0.094590 3.834148 0.362576 -0.935265 -0.084616 -3.834148 0.094590 -3.903184 0.362576 -0.935265 -0.958185 -0.399426 -4.121772 -4.121772
83 1.6578217398 -3.130094 -0.987552 1.499051 -1.416001 -4.624527 -2.160854 -1.499051 0.987552 -3.130094 -1.416001 -4.624527 -0.157821 2.634045 -2.213703 -2.213703
84 1.7665741281 -3.628503 -1.719004 0.354753 -1.445244 -1.913846 -0.975566 -0.354753 1.719004 -3.628503 -1.445244 -1.913846 -3.934257 3.665088 -0.773310 -0.773310
85 1.7063411748 -1.347813 -2.711270 3.598830 -0.562324 -1.663002 -4.574405 -3.598830 2.711270 -1.347813 -0.562324 -1.663002 -0.074491 4.143349 -0.360123 -0.360123
86 1.8599356523 -4.506371 -4.060380 1.791086 -2.750542 -2.051372 -4.261805 -1.791086 4.060380 -4.506371 -2.750542 -2.051372 -4.863940 3.955767 -3.679041 -3.679041
87 1.6683572093 -2.169407 -3.200780 1.737913 -1.876888 -3.327528 -3.719280 -1.737913 3.200780 -2.169407 -1.876888 -3.327528 -4.235649 3.608749 -4.740431 -4.740431
88 1.5683522280 -3.081903 -3.232725 2.863730 -2.741784 -4.802010 -1.639322 -2.863730 3.232725 -3.081903 -2.741784 -4.802010 -4.383429 1.747849 -3.952373 -3.952373
89 1.4341159160 -1.992645 -4.200409 3.719209 -2.293114 -3.076543 -4.751543 -3.719209 4.200409 -1.992645 -2.293114 -3.076543 -3.026122 3.040581 -4.272141 -4.272141
90 1.7222757151 -3.853576 -4.271267 3.140956 -3.570300 -3.427384 -3.092518 -3.140956 4.271267 -3.853576 -3.570300 -3.427384 -4.663286 3.803081 -3.237300 -3.237300
91 1.6674645808 -3.147955 -4.632214 3.948700 -2.901595 -4.316848 -2.709527 -3.948700 4.632214 -3.147955 -2.901595 -4.316848 -4.857937 1.631705 -1.929487 -1.929487
92 1.7060216146 -2.570330 -2.238339 4.010247 -4.200435 -2.674384 -3.962675 -4.010247 2.238339 -2.570330 -4.200435 -2.674384 -2.356925 4.574863 -4.962998 -4.962998
93 2.0069703332 -3.909061 -2.655261 3.227054 -4.279213 -2.845078 -1.875046 -3.227054 2.655261 -3.909061 -4.279213 -2.845078 -4.955198 3.047923 -4.156883 -4.156883
94 2.2869642676 -4.864625 -3.002351 4.136076 -4.479922 -3.683121 -3.649970 -4.136076 3.002351 -4.864625 -4.479922 -3.683121 -4.007448 1.798413 -4.203425 -4.203425
95 2.0611010506 -4.360779 -4.380861 3.431786 -2.987866 -3.457325 -3.564272 -3.431786 4.380861 -4.360779 -2.987866 -3.457325 -3.195558 3.474245 -4.267680 -4.267680
96 1.8456570158 -3.306704 -3.985507 2.707063 -2.816228 -4.513389 -2.784685 -2.707063 3.985507 -3.306704 -2.816228 -4.513389 -4.467939 4.182217 -3.776356 -3.776356
