evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 1.2840658943 0.147872 3.334455 -1.004682 -0.933633 -2.436535 1.319558 1.311031 -2.460637 1.307592 1.036016 1.669428 -4.061117 -2.260210 -4.225572 2.984296
2 1.8274412953 -3.821552 -3.613011 4.811009 -0.216287 3.466472 3.811976 -0.296885 -2.924526 -3.739239 2.992323 0.874944 -1.585924 -3.445831 2.221983 1.992277
3 1.3878697209 3.476049 -0.596428 3.657008 -4.525031 -1.962193 4.697060 3.321949 -4.472797 0.211715 -1.025225 1.917940 -4.275572 -1.037313 2.019302 -3.310817
4 1.4628928127 2.630979 -2.254403 1.250368 -0.555577 2.513018 -3.029921 1.118232 -3.740409 -1.897435 0.544782 -4.165448 -4.916020 2.860681 -1.446843 1.820790
5 1.4616422555 -2.904402 -2.386948 -1.856818 -3.247718 -0.789623 -2.721954 -1.330547 -1.181214 -4.972051 -4.522721 0.420071 0.642168 0.389459 3.353392 0.923949
6 1.6822264771 0.336243 -1.287869 1.190065 -0.425121 4.665531 -2.801412 1.780483 -2.609376 1.955235 3.770805 3.095592 4.843341 4.463690 -1.016398 0.027000
7 2.0049753997 -1.526461 2.446225 -1.516556 1.546337 2.801281 0.741446 -2.324254 2.817868 -3.077559 -2.533293 2.472545 2.772639 1.345248 1.883690 -1.126395
8 1.8070492284 -1.771822 0.154179 -2.849529 1.201331 3.947544 0.860096 4.993055 -4.267659 3.293600 -3.581697 -1.812162 1.434347 -1.542212 -0.726234 -2.672344
9 1.6443119372 -0.494295 -3.314749 -2.417563 3.429991 4.190735 4.419708 -4.019356 -2.187033 4.646998 2.423644 1.470005 -4.610605 3.439722 -4.961877 2.456256
10 2.7593753881 -3.338383 4.130782 2.026793 3.537981 0.885657 0.020116 4.715759 1.764639 2.219902 0.093738 2.564883 -3.375451 -2.887666 -2.621944 -2.872704
11 1.3016356643 3.187685 -0.270785 1.576952 -2.579187 -1.286861 -3.963699 0.377303 4.129135 -0.446859 0.769441 -2.069570 4.171003 4.050007 1.441414 -3.903659
12 2.8616834908 -0.210935 4.356326 -4.940167 0.118868 -0.043749 -4.179264 -2.888892 -0.422243 -0.121630 -2.670053 -4.107478 3.341933 4.950658 2.637024 2.295501
13 1.7509451532 -1.440549 4.741262 3.342781 2.430777 0.727580 2.815245 -0.598781 3.448034 -1.597014 -0.373958 0.727072 3.017825 -0.699091 -3.656651 -0.650818
14 1.8689783718 2.408014 -0.022575 4.677212 2.286631 1.730912 -2.343607 2.077567 1.899373 -0.680021 -4.564198 4.977337 1.774708 -4.315935 1.034610 -0.215967
15 2.4419498522 1.713577 -4.123072 4.439470 -4.771316 -2.776007 4.858895 -2.724826 3.262245 2.427209 -2.265583 0.149864 3.983830 -4.586052 -0.898360 3.459022
16 2.4907433157 3.432682 -1.871702 4.304989 -1.717902 3.441926 4.245880 -3.378094 3.075530 0.929419 -1.686868 3.718723 3.727973 2.091369 -2.965321 -1.987653
17 1.3156391239 0.738380 1.111005 0.452735 4.522164 1.016612 -1.518122 4.121982 -3.077497 -3.471999 2.002043 -3.075688 -2.710975 -2.398826 3.106402 -2.216154
18 1.6002065593 -1.095883 2.929808 2.799719 1.850048 2.689690 -1.187161 -4.977496 2.707087 4.110164 3.151960 -0.772059 -2.961323 3.696063 -3.213488 -1.854623
19 1.2327000351 2.273569 -2.609457 -0.728843 1.895890 -1.580754 0.239899 0.570097 -3.897253 -0.011802 1.342846 -0.277533 -2.368768 -0.220707 4.011998 4.125518
20 1.5835611185 4.769140 0.620613 3.148998 0.020290 3.691056 1.616935 3.057583 1.611997 -1.088165 3.653258 -0.970697 2.256294 -2.620398 0.602941 -3.609609
21 1.9352374114 3.840637 4.095762 0.757807 -3.891849 -4.091678 -2.095516 1.595901 3.934019 4.303634 -2.028631 4.050917 -0.017169 2.532629 -0.312471 -3.207422
22 1.3297262644 4.162788 1.788581 -0.530743 4.566488 -0.326094 1.789932 -3.569387 0.964280 1.785109 -0.610870 2.308536 0.939129 2.620476 -4.680735 4.641982
23 1.4795142990 1.424616 -0.472404 3.776422 -2.839399 -1.778950 2.175843 -1.660993 2.285666 -3.999163 0.151440 -1.359847 2.804570 3.580104 -1.258687 1.362854
24 2.0990604801 0.008842 -0.918799 -3.679179 -3.549523 -3.195000 -1.398945 0.067835 -3.275809 -4.567411 -4.790274 4.457773 -0.338379 -4.918938 0.286114 4.520146
25 1.4680074824 4.471322 3.590039 0.250210 4.206696 -4.131593 2.735734 -2.017766 4.750616 0.686201 1.813807 -1.664248 0.426938 1.541132 -0.076103 3.320666
26 1.4460505248 4.926822 0.397581 -0.095222 0.940431 -3.375382 1.043102 -4.766411 -0.947645 1.177976 4.440168 -2.595211 -0.915535 -0.958019 -2.143942 3.911549
27 1.9577374078 -2.448290 -1.488393 -3.337940 0.572855 -3.837166 3.620002 3.956584 0.034884 -2.313794 -4.138810 4.626976 2.414854 1.055939 -1.981022 1.479044
28 1.7956165758 -1.950062 -4.670872 -4.638476 -1.160713 -0.368699 -4.567232 2.381067 1.376075 1.493432 -3.795946 -3.590898 -3.139918 -0.359854 2.455054 0.196660
29 4.2042810169 -3.548287 1.289788 -4.269357 2.700625 -4.481964 1.900092 -0.418023 -3.606710 2.693554 -3.390829 0.045673 -1.048537 -3.344066 0.865680 0.349185
30 2.9538851340 -4.001294 -4.438584 -4.523095 -1.570764 -2.786387 -0.149254 3.759773 -0.601367 2.831111 -0.324678 -4.778306 -1.374224 -1.406317 3.786916 -0.545701
31 2.8004190133 4.028893 1.982411 -3.636882 -3.815353 3.160082 -3.666729 -3.804784 1.043734 -2.529102 -3.957919 -2.802734 1.643660 -3.971936 2.932106 4.935379
