evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 1.6862625666 3.824359 -1.767674 4.288061 -4.361045 4.671377 -2.387638 -3.442629 0.446679 -2.543134 -1.687822 1.512049 -2.885499 1.326175 -3.676286 2.333440
2 1.6922280073 -4.645403 3.137060 0.483318 -2.871692 1.929288 -1.267343 1.630184 -2.322635 -3.390275 -0.915562 -2.883009 -3.098913 -0.222567 3.438352 3.472651
3 1.4139558130 3.355715 -1.112150 -1.039221 3.103759 2.574626 -4.529189 -2.806726 -0.264952 3.983568 4.851746 -1.545143 3.225615 -0.693722 -4.642669 -4.528582
4 1.5173297728 -3.781128 1.183395 2.211248 1.305888 -0.291869 1.081692 3.496630 -1.391258 -1.920455 -2.667497 -1.426348 1.661743 0.066239 -4.935786 1.255015
5 1.3275774624 1.006754 -0.440619 4.007862 3.289184 3.467262 3.332313 -3.255220 -3.751689 3.084738 4.916789 -4.529474 -3.719902 -3.099807 3.320029 1.516018
6 1.7895147834 -0.825760 0.811310 -4.916518 1.742922 -2.155857 -4.562689 -3.870351 2.207819 -4.830155 0.775011 4.565478 3.986481 1.869894 3.648770 -1.085310
7 1.2659778325 2.112557 -0.792939 4.765519 0.651213 -2.768131 -0.348640 3.138388 -2.268661 1.068970 2.608487 1.553654 -3.864613 2.481951 -4.006451 4.563975
8 2.9570954219 3.285810 -4.101841 -1.460125 3.427362 -4.340569 3.277023 -2.634220 -3.422623 -0.052837 -1.595076 -3.135254 1.572614 2.124430 4.597739 -4.195864
9 1.1968560993 -2.109145 3.472653 0.520603 4.575731 -2.230642 -3.700089 -4.989121 -3.542391 -3.275808 3.535705 -4.637617 4.624921 -1.538695 -3.289039 4.824546
10 1.2614802396 4.914379 3.798424 -2.321314 -2.449574 -4.070692 -3.188984 0.939808 -1.434336 -0.111626 -4.885815 2.937719 1.861350 -0.287437 -0.340683 3.771835
11 1.4183338429 0.005481 -4.038588 -0.028287 -2.377782 -0.393367 4.917978 0.681281 -1.996590 -4.400134 -1.964923 2.374774 -1.673665 -2.184940 3.118607 -1.110979
12 2.3481578389 -1.636243 3.405652 2.067176 -1.097734 1.653486 0.774620 -2.516595 -4.651038 -0.608835 -3.227871 -1.086587 -2.067044 2.861104 -4.875139 -2.604478
13 1.3882818917 2.589469 2.628366 -3.893474 -1.477029 3.281768 -3.612402 -3.181622 -0.924146 -1.506681 0.022190 1.291220 -3.141343 2.435632 2.688822 2.725061
14 1.3536494252 1.604902 2.028443 -1.070733 -4.246113 -3.049661 -2.650255 -0.346532 -3.384193 -4.235920 -3.123015 -1.234954 -1.014240 -3.162698 3.031583 4.237487
15 1.6403942790 3.156294 -1.086906 -2.532350 -4.401875 0.714429 -3.361018 -0.915548 2.764030 1.503302 -1.369399 0.450223 3.903482 3.927020 -3.755647 -4.584501
16 2.1324659795 -4.744922 -3.553729 -4.588533 -1.970919 -3.710211 -4.103377 4.877545 -3.797466 3.285067 -1.302893 4.084025 1.249085 -2.108672 -4.812649 -3.220803
17 1.9388404290 -4.393062 -4.131280 -0.515296 -1.772007 -1.880221 4.427750 3.186862 -1.258414 3.119296 1.936495 1.365837 -0.011971 4.358256 -2.165980 1.669184
18 1.3918618934 -2.452168 -2.601571 0.787492 1.079819 1.776418 3.838890 1.061394 0.853664 4.983991 4.724530 -2.676987 4.269930 -3.464830 3.288717 4.877739
19 1.4770576230 -3.899112 -1.905968 2.346527 -1.378746 4.746974 2.211182 -4.248990 4.080629 -2.781346 -0.764724 -4.101331 4.509705 4.412895 -3.491539 0.309634
20 2.5512216930 -0.464586 -4.586645 4.345212 -1.900472 0.276802 2.719921 -2.968713 1.636084 -2.976158 0.928179 2.519789 1.318990 4.045630 -2.329235 2.453596
21 3.4118727719 2.312453 2.485176 -0.917182 3.580633 4.907589 -1.825288 1.297155 0.117233 -0.548517 0.648619 -3.411374 2.511356 -0.788407 -1.066346 3.855413
22 1.8461456679 -1.040017 -3.903094 -1.812146 0.874352 -3.102840 -4.815586 2.112377 2.429603 -0.212470 0.979683 -2.402078 3.713280 -4.251789 0.625180 -0.275437
23 2.2274313591 3.021176 -1.646351 -4.971312 -3.766907 1.953661 1.624611 -0.600512 1.332593 1.429794 -1.258248 3.001070 -2.468507 -0.971140 4.761158 0.947100
24 1.4495909535 -0.175634 3.295954 0.166400 -4.619007 2.414695 1.426146 -2.154545 -2.702422 -4.466864 1.591623 0.860075 2.418751 -0.756054 1.179203 4.768027
25 1.4050131473 0.948610 -3.656299 1.550527 -1.828439 2.184029 -2.264621 -2.200455 2.124239 -0.497809 4.998278 -0.564719 0.408710 1.060621 3.893939 -4.863896
