evaluations raw_y x0 x1 x2 x3 x4
1 -7726.6171932718 -1.767597 2.786738 -0.028877 2.361796 -4.930449
2 -13385.0516841128 -1.682067 3.102290 -2.561465 1.720087 -2.633514
3 -8391.6837727132 -2.576206 4.114179 -2.736294 2.453652 -3.271460
4 -6595.7312956006 -1.035827 3.162367 -2.586311 4.550255 -2.596761
5 -10357.0350036909 -0.422130 3.510448 -4.218274 2.865841 -3.395918
6 -6653.3386899129 -3.412907 3.663093 -2.073949 3.068073 -2.762852
7 -22163.9203564037 -1.544124 2.954028 -0.332199 1.431159 -3.021916
8 -8114.2632271006 -2.211355 2.020949 -0.873988 2.016235 -4.989346
9 -11720.9505815616 -0.907070 3.765247 -2.104982 0.965731 -2.873004
10 -6236.8752552695 -0.413071 4.989154 -1.189484 2.891928 -3.131826
11 -10321.7318394257 -1.028177 3.594293 -2.082286 2.393130 -2.564912
12 -9257.7265925896 -1.077836 2.720761 0.687557 1.974668 -2.366704
13 -6994.4612771632 -1.613533 2.885460 -1.000938 1.829981 -4.628028
14 -5168.6250374563 -1.059628 3.718153 0.644156 0.588788 -3.073208
15 -4923.2912080577 0.360607 4.052995 -0.583530 4.858372 -3.987131
16 -9936.5245370847 -0.285585 3.960053 -3.098428 1.326432 -3.774109
