evaluations raw_y x0 x1 x2 x3 x4
1 -7331.9176419853 1.239938 -3.117267 4.965085 4.820914 -0.216103
2 -7386.3836856676 -0.355039 2.527777 -4.361584 -4.851357 4.271575
3 -7333.5877450908 4.622227 -0.464967 -2.213917 -2.826987 -3.436715
4 -8728.0881521501 4.177825 3.945446 2.334536 -3.160639 -3.887380
5 -7438.2396992004 1.922585 -1.284063 0.251318 2.135585 0.340136
6 -5946.8270845794 -2.151110 -4.355430 1.904895 1.081681 2.698666
7 -8478.1020284796 -2.733781 -2.714070 -3.539403 -1.638160 -2.332493
8 -6655.5426408703 0.322037 -1.957121 4.180025 -2.210307 1.945223
9 -7711.3787857442 -4.895559 -4.218812 -2.959312 -3.690270 1.414935
10 -4901.1062996709 -3.977417 4.727889 -3.970964 -0.932540 -4.990025
11 -6833.4258705080 0.381767 -0.099946 3.417049 3.674194 -0.632424
12 -8919.6429816681 -1.651454 1.519258 1.175856 3.626136 -2.439270
13 -8374.5037244483 2.541060 3.338042 0.673100 2.918776 3.657384
14 -6656.0651707792 -3.593550 0.987475 -1.388231 -0.280858 -1.242430
15 -6477.5401950744 3.376036 2.156798 -0.704739 0.960773 4.728621
16 -3305.4610000000 -4.739359 -1.479975 2.624958 2.927501 0.216298
17 -6760.1425896469 -2.811289 -2.177151 2.224525 1.202688 -3.455309
18 -17336.0119023707 -2.141209 -2.116014 1.008560 3.775670 0.090063
19 -8210.6863974132 -4.013836 4.994974 1.821432 4.408906 -2.006113
20 -540.1210000000 0.081292 -0.338479 3.694684 1.427826 0.032678
21 -8183.0929251476 -1.802411 -1.278431 1.845808 4.268565 1.363800
22 -6288.3615322413 -2.802041 -2.926473 0.666216 2.364320 1.279274
23 -8731.6055183293 -2.551818 -4.690639 -0.006790 3.835617 0.463785
24 -299.6560000000 -2.694331 -2.418642 1.028799 2.501392 2.291707
25 -1420.4440000000 -2.214987 -4.209561 1.564892 4.521435 -0.983522
26 -474.0430000000 -0.584458 -0.648154 1.755653 4.801067 -1.327647
27 -7310.8369858800 -1.971002 -1.613066 -0.547653 4.033760 0.692116
28 -9304.8893874657 -3.153988 -1.617398 0.219695 2.838020 -1.219271
29 -8666.6505706095 -1.449757 -1.643066 0.652353 3.204381 -0.576485
30 -8217.8941943098 -3.002703 -3.913701 0.486999 2.214629 -1.475114
31 -273.9270000000 -2.534733 -3.025559 0.510465 3.889940 -0.457558
32 -6925.5151834889 -2.244298 -2.347475 1.072491 4.057192 0.595415
33 -458.3480000000 -1.724820 -1.871635 0.948670 4.237486 -0.152017
34 -7373.8891553666 -2.070365 -2.262416 1.143651 4.697392 -0.150975
35 -379.5020000000 -2.681797 -1.619583 0.852873 4.144881 -0.453441
36 -6742.4076013450 -1.880569 -2.090569 1.446649 3.534288 -0.024382
37 -9039.7501507870 -2.496177 -1.698671 0.718713 3.420669 0.134530
38 -7160.9025471284 -2.012614 -2.061247 1.151657 3.359643 0.080589
39 -8909.5522398742 -2.576289 -2.489475 0.856346 3.293536 -0.056482
40 -6624.9298007295 -1.836428 -2.056829 1.373744 3.326670 -0.293068
41 -7665.8778701953 -2.083504 -2.324065 1.273850 3.758356 -0.044240
42 -6420.5928255478 -2.146519 -2.129729 0.910223 3.698515 0.069670
43 -6845.7080513328 -2.321626 -2.259410 0.788595 3.607400 -0.013889
44 -7463.8293892527 -2.313752 -2.187773 0.861058 3.861064 0.173060
45 -5936.8902936041 -2.105736 -2.268999 1.281411 3.857554 -0.198382
46 -16419.5047595672 -2.199716 -2.293083 1.038631 3.681694 -0.100352
47 -7049.8921195640 -2.197381 -2.306194 1.019819 3.691435 0.148422
48 -6392.6495053667 -2.137831 -2.052207 1.054957 3.795544 0.162971
49 -17022.0392445973 -2.143012 -2.262111 1.047159 3.700441 0.266374
50 -6347.7630030388 -2.088977 -1.994511 1.006788 3.904909 0.031877
