evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 2.1144534866 -0.915151 4.247538 -4.979850 -1.460842 2.811565 -1.709380 1.079433 -3.231214 -1.034990 4.476823 -2.741647 -4.004066 4.510026 3.111343 0.819745
2 1.5104784715 0.326854 3.447612 -4.632468 -1.505283 3.169949 -1.390471 1.238927 -4.307490 1.303195 3.230572 -2.145297 -3.744276 4.952916 3.785765 0.645583
3 1.5040878128 -0.875892 4.400347 -3.410892 -2.529027 2.563219 -1.855839 0.633313 -4.338673 1.747794 4.957686 -2.660018 -4.139852 4.732748 3.316284 0.804504
4 1.8999344935 -0.063586 3.028299 -4.999800 -1.339668 2.239190 -0.157483 1.291108 -3.277115 0.242225 3.011956 -4.353040 -4.870200 4.900794 3.695059 -0.361026
5 1.3622922973 -1.487288 4.308936 -3.778593 0.110089 3.585459 -1.708698 0.197064 -2.360360 0.189649 4.023630 -3.796914 -3.102142 4.989736 4.537472 0.674859
6 1.4410128054 0.391479 1.935969 -4.278986 -1.846512 4.760888 -1.604306 0.337010 -3.993520 -0.339025 2.258427 -2.742699 -4.996358 4.944960 4.998377 -0.912974
7 1.3666573093 -0.823988 4.921579 -4.537505 0.294100 1.083174 -4.171805 1.685129 -2.597546 -0.907531 3.437147 -4.009957 -4.584313 3.740288 3.770247 1.953899
8 1.5083922649 -0.466426 4.343379 -2.167920 -2.069637 1.483072 -2.877342 -1.137930 -3.326229 -1.123968 3.789102 -3.226213 -3.886857 4.999996 4.880372 0.263705
9 1.2224092007 -0.236526 2.891703 -4.949553 -0.830038 2.180634 -4.806335 -0.408608 -4.243109 0.303251 3.419486 -2.592978 -4.840809 3.589594 3.824575 -0.321916
10 3.2474994104 0.643751 4.390132 -4.535521 -1.267364 1.616306 -4.340279 0.521308 -2.213477 -0.194716 2.959453 -2.397824 -4.267809 4.377512 4.418737 -1.139281
11 2.9780814622 -0.221596 2.969723 -4.031683 -1.129269 3.483864 -4.796393 1.745300 -3.642483 -0.929748 4.022868 -4.502126 -4.923181 3.737372 4.753029 0.606810
12 1.9752516821 0.141869 4.498790 -4.991227 -1.254352 2.661639 -4.422115 -0.697065 -3.762416 -1.127865 4.944251 -4.335226 -4.786181 4.811140 4.673860 -1.392668
13 2.5723556413 -0.176915 4.476012 -3.466930 -0.013271 2.248599 -2.690327 0.404777 -3.271195 0.246383 3.848824 -4.965405 -4.229824 4.735071 4.311065 0.399834
14 1.3266627348 -2.178646 2.684223 -4.206778 -0.797714 2.838951 -3.366250 0.700926 -2.404241 -0.214023 2.357612 -1.959044 -4.664683 4.456959 3.196392 -0.969750
15 1.7638537135 -1.455154 2.098756 -4.963044 -0.142194 3.296309 -3.346239 0.709392 -3.701031 -0.826748 3.496778 -3.361500 -4.082071 4.782759 3.114756 1.222801
16 1.5199849820 -3.935356 4.522491 -3.343487 -2.207053 2.636176 -2.798964 1.213301 -4.299433 0.395291 3.620768 -2.817629 -4.953294 3.287859 4.837274 -0.399593
17 1.5019858936 -1.648018 3.759628 -3.235047 -0.300270 2.571314 -3.614752 2.751505 -2.828001 1.033917 4.909809 -4.977829 -4.300891 4.213582 4.999662 -0.337901
18 2.7656762558 0.017353 2.608976 -4.864251 -0.215440 4.046010 -3.888544 0.832877 -4.984572 0.731082 3.344297 -2.807312 -4.847800 3.674901 4.899990 -0.244861
19 1.4313878117 0.282717 3.345022 -4.785443 -0.667947 1.951099 -3.956175 1.258858 -3.245099 0.098472 2.593553 -3.795476 -3.723018 4.115501 4.562146 0.260903
20 3.0512791249 -1.338301 3.291399 -4.990744 -0.559415 3.782940 -3.117277 0.716107 -2.580269 0.367652 4.988743 -2.661329 -4.156318 4.997318 3.275456 0.418706
21 1.3816236117 -0.944605 3.615525 -4.768089 0.305828 0.858369 -2.599749 1.349367 -3.497635 1.062816 3.444901 -3.890989 -4.149381 3.353570 3.746156 -1.247189
22 2.6528896980 -0.416555 3.853504 -3.816065 -0.633686 2.594789 -1.929005 -1.385104 -1.977044 -0.123901 3.489729 -2.824220 -4.851542 4.249165 4.384212 0.246655
23 2.0566786474 -0.522661 3.048535 -4.979202 0.348417 1.738755 -2.919574 -1.094182 -3.381761 -0.308045 2.953561 -4.144670 -4.192590 4.998918 4.999995 -1.162459
24 2.9687704388 0.380759 3.300690 -4.991243 -0.204428 3.148092 -3.293284 0.422843 -1.963512 1.015761 3.160309 -3.971374 -4.082518 4.931870 3.802823 0.336280
25 1.7189360697 -1.860016 3.170584 -3.853066 -0.370647 3.189754 -2.588786 0.576574 -1.820224 -0.790955 2.309350 -3.197272 -4.181042 4.827336 4.998085 -0.559628
26 1.5234567246 -0.881794 3.694121 -4.999822 -1.378607 1.470368 -2.912933 1.516199 -1.472065 0.633770 2.874187 -3.020269 -4.997804 3.167290 4.640878 -1.084454
