evaluations raw_y x0 x1 x2 x3 x4
1 3848.5451660156 -2.413706 -0.249347 -4.319198 2.436470 -3.387429
2 90.0341033936 3.950147 1.423469 -3.608921 -1.663590 0.598699
3 1182.8544921875 -0.533572 -3.413901 -3.286300 -4.798358 -0.219978
4 5152.9746093750 1.687254 2.277532 -0.310773 -0.712195 -3.824310
5 -8815.0859375000 -4.715943 2.168546 -2.590923 4.286401 0.363167
6 -8668.8886718750 -1.776880 -2.855035 0.764378 0.568277 2.459170
7 -7979.8349609375 -3.289882 -1.182641 2.872357 -3.432331 2.697309
8 -5658.2534179688 1.104829 4.599445 4.503715 2.251421 2.031907
9 -3507.0761718750 4.638157 4.067734 3.307463 1.271297 4.309586
10 -4141.4970703125 4.300852 1.749166 2.626186 -2.817764 4.145138
11 397.2946166992 0.298678 -1.122400 3.416807 3.140047 0.240493
12 -4870.5727539062 -1.138886 3.979570 3.803559 0.127118 3.923431
13 -6323.4951171875 1.325818 2.049909 3.628043 -2.191747 2.501467
14 5023.5429687500 -0.450945 0.682965 2.318248 -3.594469 -4.416817
15 97.3579406738 -1.479818 -2.349345 -4.350813 -1.214192 1.321982
16 -8229.1240234375 4.162748 -1.482788 0.986291 0.061229 1.232778
17 -6398.2631835938 -3.841092 3.138492 -3.930967 -1.414972 3.171445
18 3363.3422851562 -2.322117 -3.546268 0.577501 4.745303 -4.547004
19 -8957.1044921875 -2.772046 -3.811544 2.068008 -3.774345 2.070916
20 -6846.6689453125 3.477336 -2.912095 -1.129276 -3.340109 2.233294
21 -5475.4277343750 4.597122 -3.283693 3.036511 -0.559983 3.110739
22 -4765.5556640625 4.975086 -2.130904 -3.487947 -2.986129 3.331826
23 5352.4824218750 3.099251 0.356094 1.735912 -0.222560 -4.754481
24 -5420.2749023438 -1.890988 -4.089591 -4.112047 1.707095 4.593301
25 911.3868408203 -1.621085 4.893444 -0.535171 4.896233 -1.623905
26 -6442.3076171875 1.219586 -0.711372 4.920826 0.373732 2.756306
27 -6987.2929687500 -4.977511 -0.093196 0.033738 -4.472506 3.574735
28 -7011.0297851562 -0.247002 -3.750812 -1.733127 -2.618742 3.437766
29 1908.4937744141 -4.803026 -4.563626 -2.301403 3.284636 -3.031294
30 3893.3823242188 -0.090713 -4.926801 -1.481393 -2.218288 -3.257946
31 2950.1533203125 -0.701900 2.792712 0.090421 -3.925704 -1.836529
32 2635.5827636719 -3.679645 0.874674 -4.869353 -4.392047 -2.895486
33 2923.8762207031 -3.539358 -2.622114 -2.370882 4.632021 -4.045828
34 -9388.5605468750 -3.440870 -1.838259 -3.179628 1.929012 1.682643
35 305.6091308594 1.901043 1.214750 -0.844633 0.825107 0.877879
36 2382.5546875000 -2.710755 -4.618691 1.423927 -4.002413 -1.789331
37 1731.5277099609 -4.459434 -0.890968 -2.850468 2.001670 -0.831927
38 3377.2727050781 -3.991436 -4.286070 -1.167707 -1.667594 -2.675176
39 -10021.1855468750 -2.531337 -0.572152 1.924998 -0.750826 1.575430
40 -4575.0253906250 1.662739 3.591444 -0.144594 -4.614733 3.748765
41 -9850.9218750000 -1.395774 -3.033560 1.145970 4.443361 0.637925
42 2109.0554199219 -4.081672 2.577869 -1.626835 -1.399742 -0.910620
43 1284.2308349609 3.889633 -1.966099 3.771345 2.777707 -1.138890
44 1850.5469970703 4.809528 3.389847 1.015836 3.427240 -2.291853
45 1289.6461181641 2.252631 -0.772904 4.134274 -1.859780 -0.467425
46 -4801.5097656250 0.889285 1.069854 -3.774576 -4.983901 4.007657
47 2233.1223144531 0.859781 -1.626106 4.218809 -0.341726 -1.122974
48 2291.4421386719 3.314243 4.780989 -0.641840 2.469274 -2.516420
49 5143.8066406250 -1.104639 2.981140 -2.162508 1.556064 -4.927331
50 1448.4809570312 -1.950876 -4.821763 -1.280107 3.943874 -1.274748
51 2584.4704589844 2.150664 3.479358 -4.671901 0.326959 -2.393875
52 1194.8227539062 0.554722 2.678572 0.702000 -2.509186 -0.010051
53 4186.1630859375 1.524853 1.928620 3.196681 2.974724 -4.169263
54 -5009.1279296875 0.648227 -2.332837 -1.959977 -4.180646 4.775284
55 548.1033325195 0.092617 1.361651 4.669372 -2.434793 0.123414
56 1934.1820068359 4.399913 3.792347 1.655894 0.721459 -2.079574
57 -8110.8891601562 -0.054260 3.112073 4.039611 -1.104318 1.121701
58 -7845.0976562500 -4.490230 3.914458 -2.944285 1.213181 1.501557
59 4013.8610839844 0.400819 -0.003721 4.388964 3.573195 -4.685456
60 2928.0144042969 3.568553 -1.698749 2.413407 1.084624 -1.987782
61 -4405.3920898438 3.142495 -3.189905 2.017237 -1.933577 4.924644
62 4026.3413085938 -0.814180 0.745759 -3.070860 3.798380 -3.427503
63 3876.5664062500 2.845806 -1.366740 -4.023931 2.190511 -3.548110
64 340.4083251953 -0.962311 1.654965 -4.748780 -3.157903 0.755406
65 2500.5766601562 -3.140497 2.455490 0.232747 4.493088 -2.813502
66 -5124.0996093750 -4.270643 0.181578 4.795336 -4.305966 4.427014
67 1469.5297851562 3.711427 -3.951764 -2.692338 3.085302 -1.461357
68 1415.7226562500 -2.952330 -4.417610 2.830465 -3.101827 -0.656271
69 1524.0402832031 -3.038456 -0.448232 -4.596364 -0.951030 -0.136073
70 -4825.6669921875 2.346428 4.300324 1.330147 4.094170 2.910315
71 5618.9238281250 1.963104 0.311784 -1.923993 0.930758 -4.205233
72 -8135.3750000000 2.535896 -2.575007 -0.981168 -0.147572 1.897928
73 -3784.2441406250 2.695867 4.605235 -0.379740 1.466213 4.615361
74 -8090.1274414062 2.997240 4.412954 2.496617 3.852784 -0.442567
