evaluations raw_y x0 x1 x2 x3 x4
1 -6289.1684570312 -0.611676 -0.065449 3.503843 4.996553 2.290795
2 3479.0139160156 1.054082 -3.919692 -3.655156 2.161153 -2.267418
3 3682.9726562500 -3.365111 -0.295901 0.023649 -2.812310 -2.239213
4 -8641.9726562500 -0.422189 -1.792214 -1.113302 -3.995005 1.047331
5 -6380.7485351562 3.644968 2.627505 2.332067 -2.606695 1.414534
6 -6437.3759765625 1.819174 -0.846976 -3.703254 1.112385 3.283452
7 -7695.7656250000 -1.834791 4.567738 -3.389051 0.191224 0.830820
8 1189.2662353516 -3.158655 -1.367261 -3.991618 4.428481 -0.159822
9 1727.2834472656 3.678345 1.779529 -0.285570 0.857664 -1.475784
10 -5628.6484375000 4.049697 -1.458714 3.594827 -1.333719 3.936445
11 -6114.9052734375 -3.420748 2.294169 4.923463 1.571053 3.231936
12 3764.8200683594 -3.216072 2.140357 -4.164376 -4.174232 -2.023283
13 4264.4750976562 3.686591 1.507612 -4.994789 -4.128363 -3.334358
14 1927.6336669922 4.786593 3.860523 -0.834856 -3.860440 -1.208003
15 2204.0627441406 1.955925 -4.636282 3.905097 -3.138640 -1.274542
16 -10197.3007812500 -5.000000 -5.000000 -5.000000 -5.000000 1.314207
17 4961.7631835938 0.303863 0.182916 -4.906783 1.698295 -3.789085
18 -8293.7441406250 -5.000000 -0.803547 5.000000 -5.000000 1.282814
19 -4090.1450195312 0.539799 5.000000 -5.000000 5.000000 5.000000
20 -8597.8857421875 -5.000000 -5.000000 -5.000000 5.000000 1.423083
21 -6908.8671875000 -5.000000 5.000000 -5.000000 -5.000000 1.387062
22 97.0180511475 -5.000000 -5.000000 -5.000000 -5.000000 1.034409
23 -6064.3359375000 -0.876650 0.977179 4.497852 -0.119233 3.606578
24 -6597.2036132812 2.165111 4.454126 -1.311076 -0.166244 1.007311
25 210.6365203857 -2.551034 -4.908876 -4.063302 -5.000000 1.428622
26 -4279.9145507812 5.000000 5.000000 5.000000 5.000000 2.189755
27 -5790.6972656250 -5.000000 5.000000 -5.000000 -5.000000 2.770543
28 -6253.4316406250 -5.000000 -5.000000 5.000000 5.000000 2.685103
29 -5527.1396484375 -5.000000 -5.000000 5.000000 -5.000000 5.000000
30 -5286.1577148438 5.000000 -5.000000 -5.000000 5.000000 2.935606
