evaluations raw_y x0 x1 x2 x3 x4
1 4666.0903320312 0.637560 -3.327083 -1.313522 -2.409599 -2.924671
2 -7389.4541015625 -4.686590 -2.587832 -3.818574 -0.943784 3.520973
3 -8047.1787109375 1.345596 -2.093687 -0.506054 1.387546 1.841760
4 -7740.0781250000 -4.195795 3.919773 -3.479332 -1.227561 1.333214
5 2804.4479980469 -2.818123 1.600323 3.829675 -1.678201 -2.141345
6 1854.8973388672 -0.834428 -3.995595 0.092137 3.079695 -1.001952
7 -4534.3745117188 1.685805 2.293088 4.628644 -3.273163 4.837299
8 4772.9399414062 -1.814760 0.100376 1.327025 -4.647040 -4.056348
9 -6662.9321289062 2.447954 2.574393 3.230345 4.645513 0.816693
10 2957.5310058594 -3.337913 3.207996 -4.340901 2.504264 -3.283572
11 1134.4268798828 -1.557533 -1.507844 0.358571 0.650654 0.043053
12 2741.9038085938 4.536006 -4.568031 1.932065 -3.858411 -4.592169
13 -5135.7211914062 3.725147 -0.700712 -2.891471 2.136336 4.261741
14 1623.0637207031 3.232019 0.955249 -2.053089 0.028532 -0.690506
15 -5203.4428710938 0.073526 4.562312 2.844215 3.864493 2.749461
16 -6087.7387695312 2.395675 3.773389 -2.181774 3.966069 1.516939
17 -7512.6523437500 -4.396244 -1.098968 4.443890 -4.534782 1.892649
18 -8097.4028320312 -0.792073 -3.470387 -4.466772 0.649008 2.292123
19 -8369.3652343750 -2.008914 -2.199316 4.681096 -0.331608 1.398716
20 -5249.1293945312 3.146057 3.904455 3.944460 4.754033 1.681735
21 -7861.4101562500 3.934949 -3.683043 0.230814 2.834268 1.231020
22 -8175.5659179688 -4.480200 -0.802501 -1.232875 4.663489 1.461332
23 -9067.6640625000 -3.944834 -3.608144 -1.092046 3.483230 1.534499
24 -8008.5400390625 0.353729 -4.842334 2.612789 3.422360 1.520570
25 -9736.0419921875 -4.940203 -2.896791 -2.683313 0.459150 1.669678
26 -8167.4511718750 -4.541245 -0.403873 3.118678 1.027926 1.702974
27 -10075.1445312500 -4.057902 -4.780025 -3.193206 -2.201909 1.641211
28 -9460.2988281250 -4.328463 -4.837225 -2.080385 1.283497 1.731441
29 -6844.7421875000 -2.934975 -4.218451 4.429789 4.549890 1.828354
30 -8701.7324218750 -3.351935 -3.319455 -4.554006 1.133320 1.982624
31 -9838.2988281250 -2.203435 -3.491398 0.419304 -3.511047 1.628435
32 -10373.8798828125 -4.153656 -4.929259 -2.523882 -3.826448 1.333658
33 -6991.7543945312 1.643699 -4.232209 -4.909124 -4.538655 2.348203
34 -9666.7763671875 -3.531587 -2.254738 -3.350264 -4.363856 1.789333
35 -10281.1162109375 -4.997215 -1.601790 -2.723841 -2.569793 1.500009
36 -10684.8066406250 -4.694501 -3.884075 -2.191304 -2.587285 1.398063
37 -10225.9414062500 -3.358193 -3.143439 -4.140265 -1.898949 1.486836
38 -10128.7343750000 -2.060918 -4.207193 -2.856694 -0.709781 1.556578
39 -9677.6093750000 -2.141199 -3.117966 0.268102 -4.579541 1.566647
40 -9580.3945312500 -4.342662 0.129997 -1.281940 -1.564417 1.563945
41 -10050.7724609375 -4.366399 -4.501110 -1.016013 -4.482035 1.458522
42 -9456.3017578125 -2.340079 -4.838604 -4.984755 -1.399911 1.555443
43 100.6423950195 -4.290934 -2.160633 -4.857272 -3.149458 1.210962
44 -10529.2177734375 -2.769413 -4.436807 -2.681356 0.005292 1.309334
45 232.6152801514 -1.028312 -3.105595 -1.988725 -3.256019 1.407991
46 -8637.2412109375 -4.887117 -2.072709 -0.861934 -2.553131 2.713515
47 -9595.1357421875 -3.047884 1.660386 -0.495021 -1.631312 0.998731
48 168.7595367432 -4.205627 -2.718686 -1.741258 -2.580884 1.160651
49 -8060.5327148438 -4.956026 1.419387 -2.777851 2.877309 1.342172
50 -9036.1396484375 -3.182311 -0.543098 -3.863561 1.531082 1.380982
51 52.7248382568 -4.825636 -3.532047 -3.178855 1.365881 0.812743
52 -10375.5664062500 -4.816476 -3.506430 -2.662300 -4.521591 1.341021
53 -9283.3457031250 -4.015532 -4.208598 -3.200239 2.444244 1.502369
54 403.2272338867 -4.823794 -4.444396 -3.216118 -0.020802 0.438573
55 13.7138366699 -2.837325 -2.418093 -3.277054 2.621485 1.021456
56 -9731.6171875000 -4.999191 -3.048040 -1.743089 -0.477060 1.881080
57 -9879.8417968750 -3.522944 -4.375713 -2.447869 -4.046015 1.739156
58 -10052.6835937500 -4.934129 -3.557260 -2.819854 -3.280117 1.711913
59 -9827.7207031250 -3.410881 -4.326643 -2.816747 -0.918362 1.861428
60 -10144.2792968750 -3.687007 -3.957850 -2.770387 -3.927371 1.614228
61 1.7356872559 -4.002892 -4.281466 -2.575282 -2.010159 1.237192
62 -10436.6767578125 -4.504594 -3.848333 -2.154835 -1.635086 1.568763
63 -10279.6425781250 -4.455134 -3.876859 -2.415098 -2.951035 1.644778
64 -10436.8095703125 -4.142546 -3.864195 -2.457985 -1.818391 1.581702
65 -10718.8925781250 -4.041671 -4.252375 -1.807833 -1.532163 1.400601
66 -10509.1816406250 -4.358772 -4.263810 -1.487458 -2.004698 1.516145
67 -10191.8154296875 -4.471964 -4.101644 -1.378683 -1.875372 1.720574
68 -11185.2607421875 -4.657657 -4.326654 -1.542881 -2.075769 1.062582
69 -10156.6318359375 -3.590097 -4.652770 -1.391847 -1.116090 1.705471
70 -10824.5546875000 -4.593205 -4.633866 -1.381515 -1.782314 1.240642
71 -10532.9980468750 -4.982617 -4.454563 -1.309787 -2.310734 1.388277
72 -11211.7724609375 -4.411995 -4.292364 -1.215898 -1.369060 1.051099
73 -10926.2412109375 -4.975848 -3.991598 -1.760187 -1.746732 1.211758
74 -11239.5234375000 -4.337185 -4.542484 -1.164925 -1.958421 1.019505
75 385.1703491211 -4.337946 -3.863098 -1.443116 -2.729734 0.766657
76 401.3519287109 -4.339592 -4.681747 -0.655745 -0.912888 0.453475
77 311.6279602051 -4.785370 -4.964418 -1.198449 -2.741512 0.407428
78 -10076.9365234375 -4.681359 -4.259917 -0.324536 -3.013384 1.623400
79 -10612.3437500000 -4.174021 -3.966274 -0.372008 -1.045571 1.373158
80 -10169.9160156250 -3.350178 -4.545099 -0.685573 -0.813848 1.656684
81 -10947.8867187500 -4.088751 -4.487351 -0.782556 -1.882819 1.196915
82 -10853.6298828125 -4.949894 -3.984469 -1.114112 -2.056759 1.239216
83 -10938.9951171875 -4.034987 -4.750827 -1.105948 -2.234615 1.186155
84 -10897.6171875000 -4.425282 -4.184229 -0.956899 -2.205025 1.245621
85 -11119.8183593750 -4.709555 -4.364439 -0.712275 -2.070286 1.030495
86 -10995.4482421875 -4.439390 -4.566250 -1.224741 -1.813061 1.156841
87 -11155.2148437500 -4.545685 -4.330499 -1.087536 -1.811165 1.070462
88 -11188.1767578125 -4.242085 -4.618414 -1.050128 -1.810003 1.040736
89 -11082.1708984375 -4.598446 -4.631503 -1.292803 -2.133229 1.075298
90 -11179.5546875000 -4.517512 -4.511517 -1.077574 -1.713853 1.032748
91 -11151.5078125000 -4.356618 -4.616323 -1.096900 -1.897690 1.055129
92 33.8714599609 -4.491776 -4.477056 -1.120841 -1.959605 0.943844
93 35.6109619141 -4.312222 -4.656439 -1.267532 -1.895659 0.964171
94 -11130.9228515625 -4.496209 -4.410993 -1.074462 -1.999019 1.080067
95 -11180.5312500000 -4.375684 -4.567757 -1.199554 -2.001125 1.049080
96 -11187.2275390625 -4.384720 -4.583791 -1.163340 -2.059665 1.038533
97 -11189.5673828125 -4.348354 -4.558968 -1.129377 -1.981131 1.043543
98 -11235.6660156250 -4.278209 -4.486431 -1.103584 -2.015499 1.031216
99 -11210.8076171875 -4.301555 -4.518178 -1.156535 -2.058755 1.042392
100 -11222.8398437500 -4.274728 -4.530378 -1.170429 -2.023244 1.037266
101 -5075.7041015625 2.903777 -2.543030 3.714107 -2.653025 4.860923
102 2784.2712402344 4.689863 -2.015124 -3.283293 -2.087083 -2.262926
103 3479.4082031250 0.280846 4.947914 0.251495 -1.288878 -3.035045
104 946.5064697266 -1.413625 2.411620 -0.845789 4.774434 -0.530136
105 -10084.7509765625 -3.692943 -3.620762 -4.472014 -3.855167 1.413253
106 4781.4707031250 3.306650 1.365688 1.838914 0.561660 -4.077816
107 3272.6386718750 -2.477220 3.787213 -1.420024 2.894891 -2.949553
108 3807.9536132812 3.710423 -1.500819 -2.593939 -4.840696 -4.750624
109 250.8445739746 -3.328859 -4.447910 3.572592 1.123225 -0.201179
110 2839.1433105469 1.496450 -0.298152 0.946056 -3.133768 -1.254439
111 -6295.1909179688 0.530697 3.624283 -3.732536 2.313157 1.730579
112 -6544.7465820312 -4.749946 0.971286 1.266862 -0.706231 3.780345
