evaluations raw_y x0 x1 x2 x3 x4
1 -6460.2641976014 -0.611676 -0.065449 3.503843 4.996553 2.290795
2 3699.0345000000 1.054082 -3.919692 -3.655156 2.161153 -2.267418
3 3654.9638600000 -3.365111 -0.295901 0.023649 -2.812310 -2.239213
4 -8546.5742048036 -0.422189 -1.792214 -1.113302 -3.995005 1.047331
5 -7119.8401272793 3.644968 2.627505 2.332067 -2.606695 1.414534
6 -6639.2170153515 1.819174 -0.846976 -3.703254 1.112385 3.283452
7 -8167.0268313313 -1.834791 4.567738 -3.389051 0.191224 0.830820
8 775.9009900000 -3.158655 -1.367261 -3.991618 4.428481 -0.159822
9 2511.2384900000 3.678345 1.779529 -0.285570 0.857664 -1.475784
10 -5958.4018745236 4.049697 -1.458714 3.594827 -1.333719 3.936445
11 -6424.1031892437 -3.420748 2.294169 4.923463 1.571053 3.231936
12 2828.7353500000 -3.216072 2.140357 -4.164376 -4.174232 -2.023283
13 4163.5548800000 3.686591 1.507612 -4.994789 -4.128363 -3.334358
14 2711.3795600000 4.786593 3.860523 -0.834856 -3.860440 -1.208003
15 2461.6771800000 1.955925 -4.636282 3.905097 -3.138640 -1.274542
16 -7942.0936017601 -3.579961 5.000000 -5.000000 -3.245786 1.668725
17 -9120.6655378691 -2.724121 -5.000000 5.000000 -1.381512 1.454355
18 5173.7137000000 -5.000000 5.000000 5.000000 5.000000 -5.000000
19 -10286.5036165627 -5.000000 -5.000000 -5.000000 5.000000 1.235227
20 -5780.9201334819 -5.000000 5.000000 -5.000000 5.000000 5.000000
21 -10094.4971487588 -5.000000 -5.000000 5.000000 5.000000 1.183198
22 -7045.5929583107 5.000000 -5.000000 -5.000000 -5.000000 5.000000
23 -8208.4438447254 -5.000000 2.339344 5.000000 5.000000 1.198000
24 -10269.8764495981 -5.000000 -5.000000 -5.000000 -5.000000 1.218233
25 -10269.8764495981 -5.000000 -5.000000 -5.000000 -5.000000 1.222103
26 -10286.5036165627 -5.000000 -5.000000 -5.000000 5.000000 1.239452
27 -7516.6996088913 -5.000000 -5.000000 -5.000000 5.000000 4.268946
28 -10286.5036165627 -5.000000 -5.000000 -5.000000 5.000000 1.252129
29 -10286.5036165627 -5.000000 -5.000000 -5.000000 5.000000 1.241533
30 -10286.5036165627 -5.000000 -5.000000 -5.000000 5.000000 1.236253
31 -7561.8732770681 -5.000000 -5.000000 5.000000 -5.000000 5.000000
32 -10269.8764495981 -5.000000 -5.000000 -5.000000 -5.000000 1.244201
33 -10309.0139073985 -5.000000 -5.000000 -5.000000 1.578368 1.186052
34 -8128.7251663681 -5.000000 -5.000000 -0.194786 1.264816 2.106749
35 -6096.9826650581 -5.000000 5.000000 -5.000000 -5.000000 4.106968
36 5217.6817000000 5.000000 -5.000000 -5.000000 -5.000000 -5.000000
37 -10286.5036165627 -5.000000 -5.000000 -5.000000 5.000000 1.228437
38 -7943.6095112286 -0.892531 -4.680599 -5.000000 -5.000000 2.085763
39 -10463.8470974978 -5.000000 -5.000000 -5.000000 1.825219 1.117817
40 -6411.6822008535 -1.718151 0.638534 0.453103 -5.000000 2.197719
41 -6256.0880041734 0.583492 5.000000 -1.466501 1.981107 2.593306
42 -7732.1112235452 -2.905464 -5.000000 5.000000 3.820937 2.980781
43 -10652.8375818951 -5.000000 -5.000000 -0.586494 -5.000000 0.835294
44 -9242.7454092228 -5.000000 -2.619413 5.000000 0.166196 1.386166
45 -6832.3509965926 5.000000 -5.000000 5.000000 5.000000 5.000000
46 -9009.3044517097 5.000000 -5.000000 -5.000000 5.000000 0.921863
47 -6848.8972051545 5.000000 -1.974218 -2.684759 -5.000000 2.037755
48 -10397.7360973328 -5.000000 -5.000000 -5.000000 -5.000000 1.035496
49 -7361.7461555746 5.000000 -5.000000 -5.000000 5.000000 3.299871
50 -8095.9754919929 -2.362986 -4.125517 1.085286 -5.000000 2.007269
51 282.3025800000 -5.000000 -5.000000 5.000000 1.233369 0.305635
52 -6949.2568647759 5.000000 -5.000000 5.000000 -5.000000 4.596802
53 4702.1403000000 -4.364273 4.250139 -1.666211 4.263710 -4.145376
54 1302.5735300000 -5.000000 -5.000000 5.000000 -5.000000 -0.610343
55 -7662.4198747891 -5.000000 -5.000000 -5.000000 5.000000 3.713153
56 -8948.2107534383 3.868535 -5.000000 -5.000000 -5.000000 1.170376
57 -7290.6717092437 5.000000 5.000000 -5.000000 5.000000 1.323761
58 -9935.4009231431 -5.000000 -5.000000 -5.000000 5.000000 1.606515
59 -7159.1177511197 -3.319553 -2.931771 3.942564 -1.308587 3.131064
60 -7469.9088153450 -5.000000 -5.000000 -5.000000 5.000000 4.717144
61 -8692.8379641176 -5.000000 -2.501771 5.000000 5.000000 1.881272
62 -7715.8970753868 5.000000 -5.000000 -5.000000 -5.000000 2.770590
63 -10778.3381858181 -5.000000 -5.000000 -5.000000 1.942710 0.885725
64 3930.1515900000 -5.000000 5.000000 5.000000 -5.000000 -2.855078
65 -10524.1117085349 -5.000000 -5.000000 5.000000 5.000000 0.856807
66 -7860.5474027352 -5.000000 -5.000000 5.000000 -5.000000 3.528600
67 -8920.8073603187 5.000000 -5.000000 -5.000000 0.332932 1.084990
68 -5716.7365105756 -5.000000 5.000000 5.000000 5.000000 4.489132
69 4490.7511300000 -5.000000 -5.000000 5.000000 -5.000000 -3.761983
70 -8129.0673771608 -5.000000 -5.000000 5.000000 -5.000000 2.624257
71 -6125.1022788148 -5.000000 5.000000 5.000000 5.000000 3.690788
72 -5085.6936107504 5.000000 5.000000 -5.000000 -5.000000 4.764536
73 -10677.7249034311 -5.000000 -5.000000 4.088630 0.660633 0.882496
74 -8717.1166801185 3.334675 -5.000000 -5.000000 -5.000000 1.596769
75 -5694.8594829815 5.000000 5.000000 5.000000 -5.000000 2.863849
76 1955.0669800000 -5.000000 -5.000000 -5.000000 5.000000 -0.807440
77 -8242.4188630582 -5.000000 2.330909 -5.000000 5.000000 1.765080
78 -7084.2617395548 5.000000 -5.000000 5.000000 5.000000 3.520948
79 -7596.6734456158 -5.000000 -5.000000 5.000000 -5.000000 4.167109
80 -10677.1640916648 -5.000000 -5.000000 -1.681295 4.986013 0.890784
81 -10738.5497902587 -5.000000 -5.000000 -5.000000 4.898542 0.842938
82 94.6754300000 5.000000 -5.000000 -5.000000 -5.000000 0.661954
83 -10738.5497902587 -5.000000 -5.000000 -4.580496 5.000000 0.921806
84 -7954.9783508706 -5.000000 -5.000000 -5.000000 5.000000 2.758560
85 -6942.0209306983 5.000000 -5.000000 -5.000000 5.000000 4.385860
86 237.0688100000 5.000000 5.000000 -5.000000 5.000000 -0.472892
87 -8110.2085557783 -5.000000 4.981850 4.997101 5.000000 1.030853
88 -7740.5685056020 5.000000 -5.000000 -3.893948 -5.000000 2.441504
89 -7602.8555909535 -5.000000 -5.000000 -5.000000 -5.000000 4.490901
90 4823.8446000000 5.000000 -5.000000 5.000000 -5.000000 -4.341953
91 4276.0308000000 5.000000 -5.000000 -5.000000 5.000000 -3.822583
92 -10423.5379073638 -5.000000 -5.000000 -5.000000 5.000000 0.954391
93 -7436.7596167049 5.000000 -5.000000 5.000000 5.000000 2.684449
94 -9937.4928700215 -5.000000 -5.000000 -5.000000 -5.000000 1.576320
95 -9661.4148594301 -2.763536 -5.000000 -5.000000 5.000000 0.946107
96 -8382.9529493360 5.000000 -5.000000 5.000000 5.000000 1.827353
97 -8858.1803585945 -5.000000 5.000000 -5.000000 -1.117744 0.732642
98 -7283.2153894808 5.000000 -5.000000 -5.000000 -5.000000 3.603981
99 -7773.5661882829 -5.000000 -5.000000 -5.000000 5.000000 3.351137
100 -6976.6073462432 5.000000 5.000000 4.999988 5.000000 0.978443
101 2218.9295600000 -5.000000 5.000000 5.000000 5.000000 -1.438535
102 -8794.4034488455 5.000000 -5.000000 -5.000000 5.000000 1.284470
