evaluations raw_y x0 x1 x2 x3 x4
1 -8358.2949387533 -4.034839 -1.136093 4.346869 1.936312 1.844394
2 4109.9953100000 -3.483622 -3.278957 -0.501926 -3.511800 -3.026740
3 -8966.0371783377 0.179460 -1.054059 1.426506 0.380836 0.259475
4 4941.1396000000 2.653738 -3.064659 -4.087644 -1.084977 -4.357997
5 -6501.6750641541 -3.202171 0.689463 -4.065713 3.967138 2.987967
6 -6446.5090873479 -2.112792 0.298894 2.124645 3.916015 2.384357
7 3850.8186500000 -1.571331 1.241431 0.399610 -4.945534 -2.791681
8 -6192.4537195245 2.930729 -2.059297 -3.224597 -0.071738 4.479156
9 -6351.7499024252 0.477229 -2.262530 0.765999 -4.058908 4.745749
10 4543.9522000000 -3.902485 -3.700499 -0.019572 -2.025991 -3.700841
11 -8245.9991368411 -0.430831 0.426814 0.207871 3.771457 0.853009
12 2244.2313000000 3.441775 3.278748 3.636562 2.614904 -1.793667
13 3578.0002300000 1.354553 -0.578262 3.938436 0.985489 -2.381820
14 -6182.9966438202 -3.656742 4.941163 -3.392497 -4.178481 3.842422
15 4154.3358400000 -1.528414 -4.340229 -2.528045 -0.975292 -3.136841
16 -6069.1886241000 4.066318 -1.440890 2.998757 -1.896649 3.548721
17 4482.6295600000 4.664152 3.960294 0.917603 -2.923791 -4.052257
18 -6520.0870466859 0.874398 0.075819 -1.151451 -4.835197 2.109603
19 -7593.1308501324 1.517223 4.102951 4.562250 1.605564 0.518598
20 855.7020500000 1.822956 -3.943813 4.285840 -1.393428 -0.088418
21 -8246.0603289572 -0.677025 -2.128018 3.406412 2.105286 1.262626
22 412.4196200000 -1.977506 0.883723 1.330641 1.254627 -0.401650
23 2664.2688300000 3.260679 -0.742691 -1.112387 -4.728501 -1.037194
24 645.6381500000 -0.154535 -4.975326 1.025687 2.450799 -0.529411
25 -7706.4244762285 -1.012736 -4.081787 -1.692363 -4.493448 3.233537
26 -5850.7338843218 3.609380 3.780230 3.266486 4.092806 3.105233
27 -5976.2238100663 4.503150 -2.358013 -4.542406 4.279401 4.888026
28 2616.7502200000 -1.356305 2.542139 -4.733719 -1.500875 -1.428427
29 5058.6933000000 -1.218067 3.225649 -0.827697 -0.239443 -4.705327
30 -9490.6409820868 -3.350068 -4.646687 -0.380039 -1.660512 1.543285
31 -7343.7659162041 2.797766 -2.987859 -4.395230 -0.472126 2.815134
32 -5503.6640718307 3.380144 0.811854 -1.426424 -2.602872 4.728735
33 -6226.3274740565 0.793027 1.970668 0.561584 -4.221574 2.511329
34 4517.9683300000 1.785132 1.514244 -3.438635 -3.622173 -3.547895
35 4923.3761000000 2.589707 4.660981 1.246379 4.565713 -4.331167
36 4627.3065000000 -4.750577 -2.555412 2.724736 2.792040 -4.070795
37 -8127.7372161857 2.215210 -3.578580 4.126850 0.004054 1.412797
38 3861.2913500000 4.998723 3.509079 -4.312287 4.989159 -2.613418
39 -8312.3798193302 -1.848005 4.251545 -2.938085 -3.777717 0.657096
40 2881.2323900000 4.251401 2.135880 -4.630012 4.863825 -2.098749
