evaluations raw_y x0 x1 x2 x3 x4
1 3976.8497000000 -0.422939 2.989579 -1.073276 -3.892360 -3.163150
2 1981.0976700000 20.944451 9.919245 23.803423 6.801170 -0.931699
3 5153.8068000000 41.010728 7.444001 5.416219 -3.485028 -5.225888
4 -5016.2595119907 37.337455 7.836602 19.052781 -9.630722 7.513458
5 -5079.8335641296 52.885377 26.178913 12.300310 -14.474500 3.853553
6 -5016.2595119907 46.255211 24.591245 5.734917 -28.823244 10.401918
7 -5107.1853886028 81.594434 19.633271 1.984066 -5.072200 4.118467
8 -4963.0577680315 87.389087 13.233320 2.255057 11.826711 5.773133
9 2533.6959800000 63.511526 32.547252 6.061133 -20.307348 -1.853649
10 -7341.1912419145 89.418834 8.066327 -10.789208 -3.937023 1.429809
11 4112.0216000000 81.169493 21.291211 -10.232668 -27.062697 -3.342378
12 -5236.9602829615 102.232874 2.959024 -38.673531 -3.680296 9.004572
13 -5115.2598667928 91.879596 4.424523 -12.063379 -29.025266 21.348613
14 2321.6216400000 88.932594 33.512543 15.829321 10.205303 -1.914324
15 5216.2969000000 60.714479 18.100297 -15.104909 -9.488022 -15.441696
16 -5085.6936107504 58.838938 11.693201 -21.724781 -31.425614 6.348922
17 5217.6817000000 71.208456 -5.624550 -24.070715 -12.157478 -29.246468
18 5216.2969000000 81.954812 13.796191 -44.309860 -32.480642 -14.677227
19 -5079.9516398474 77.685382 4.169011 2.274860 -39.017022 9.716688
20 -7459.6514729980 49.667260 33.353593 -12.790654 -24.132348 1.318939
21 -7625.5256717174 44.596097 49.672942 5.768484 -8.728769 0.548158
22 -5085.6936107504 68.710929 37.618403 -9.467833 -27.858251 31.933302
23 5160.7937000000 39.836550 35.837553 21.593461 -11.835011 -4.956234
24 -5016.2595119907 59.214516 26.689284 16.558334 -37.305829 57.971861
25 5123.7254000000 74.734805 42.400162 0.128525 1.822858 -48.853746
26 4921.3819000000 87.183564 92.324774 20.117714 28.486881 -4.486897
27 -5105.0456674518 73.152139 77.341161 -0.373829 -37.187495 22.037099
28 -5016.2595119907 93.555116 62.656443 14.303070 -26.192271 10.847529
29 4157.3750000000 98.797656 56.884514 9.410042 7.899546 -3.611602
30 5216.2969000000 56.053895 14.388820 -12.323883 -41.373289 -24.339576
31 5216.2969000000 50.182900 25.014451 -27.756845 -20.942696 -19.172928
32 5216.2969000000 38.912719 28.069619 -9.118358 -32.526237 -42.485295
33 -5077.2463031034 148.908669 65.324062 -2.681943 -62.595363 15.170578
34 -5016.2595119907 59.532915 84.382864 64.688632 -6.397416 55.629909
35 4993.7197000000 19.103341 93.854987 -36.960055 -30.991035 -4.404215
36 5160.7937000000 41.445902 31.835933 20.359207 -44.849010 -16.770974
37 -5085.6936107504 62.294619 69.930072 -23.548035 -50.403099 5.741841
38 -5016.2595119907 77.839908 58.726560 15.643214 -69.155208 10.219946
39 5216.2969000000 77.491813 86.128955 -24.652744 -12.536528 -25.774173
40 -4955.2991404278 59.448363 57.193543 -15.291370 8.594633 15.217990
41 -5085.6936107504 35.037183 18.299104 -101.046726 -12.653781 40.869879
42 5179.1237000000 -2.306566 32.659600 -8.916744 12.352596 -19.048549
43 5216.2969000000 46.676332 32.377044 -5.280553 -19.500782 -15.049714
44 -5105.8960959511 49.938538 44.854984 -4.078231 -38.893287 22.457419
45 5103.8669000000 17.740160 64.778698 33.404667 29.641551 -11.987339
46 5159.6105000000 66.435878 42.080230 -17.070781 31.076225 -20.116404
47 5216.2969000000 64.740110 9.925513 -28.209440 -32.686404 -25.565404
48 -4955.2991404278 69.851555 71.868014 -13.171857 11.855304 10.155666
49 5159.6105000000 75.781784 69.956420 -17.997827 14.127161 -18.271202
50 5103.8669000000 62.712748 78.403750 31.417735 16.009513 -19.129713
51 5001.8175000000 52.706640 40.276801 12.772516 34.401470 -4.644930
52 -5085.6936107504 7.846007 46.370754 -4.911928 -12.930370 11.983048
53 -5085.6936107504 19.708249 46.058605 -7.861843 -35.391043 15.154472
54 -7166.2352549642 6.040538 29.036583 -13.601713 11.048110 1.463846
55 5216.2969000000 54.766921 75.472693 -23.493543 -14.643176 -15.495434
56 2011.7985300000 57.940328 76.766030 2.079849 -28.321845 -0.751185
57 5160.7937000000 23.885126 51.567227 13.017060 -35.767591 -7.537649
58 2995.0887500000 56.162682 31.392918 0.717141 -22.962624 -2.131074
59 -5016.2595119907 42.833939 43.630443 6.981786 -15.226790 20.666102
60 -4970.6127698097 27.644156 45.550489 3.874831 3.318321 4.730870
61 -5019.4823634073 45.232865 26.629383 14.769416 -3.064747 14.876083
62 5103.8669000000 59.946716 40.477411 9.956233 11.714117 -17.728193
63 -5016.2595119907 48.442716 50.737233 12.445082 -6.900448 13.692007
64 -5753.8278702884 40.427680 39.053585 1.743320 -15.749853 2.796020
65 -5016.2595119907 38.661102 37.848253 10.800547 -10.310748 15.813091
66 -4995.1655962188 41.983902 56.154712 17.944003 -0.671478 13.299942
67 -5012.2228231136 61.635510 39.127302 3.466587 -2.429305 21.735954
68 -5016.2595119907 41.621939 44.084017 12.226871 -5.982087 9.201394
69 -5016.2595119907 39.999997 59.060783 6.328631 -22.121464 7.622396
70 5179.3731000000 56.839856 37.660720 -4.660314 0.551600 -13.321157
71 5160.7937000000 40.873133 48.986846 16.490716 -6.166016 -12.534507
72 5198.6804000000 48.940738 47.792411 -3.526648 -11.628674 -14.183621
73 -5016.2595119907 41.048758 43.986529 22.316173 -31.231053 7.416417
74 -6010.5748910352 46.089194 61.325335 -4.376676 -15.667019 2.003860
75 1053.7084500000 42.063123 39.129869 -0.249402 -10.749522 -0.642416
76 4214.9690800000 46.166705 44.638843 10.799878 -30.825909 -3.557689
77 5159.7227000000 47.991436 54.275121 -0.050552 -4.465401 -8.219786
78 -7144.6673284892 41.577902 49.941463 9.850480 4.577168 0.654383
79 5160.7937000000 48.693174 47.100992 7.413548 -7.453361 -6.569622
80 -5016.2595119907 37.090264 41.219472 16.472943 -8.537439 9.383806
81 -7336.8660812417 46.054479 58.433458 16.047837 -15.313917 0.697834
82 3847.4269000000 39.586074 43.325732 3.624116 -14.597100 -3.264171
83 5159.9111000000 51.032307 58.907748 2.625549 -13.466977 -8.076281
