evaluations raw_y x0 x1 x2 x3 x4
1 -5536.7276860250 4.972058 2.993654 -0.980618 -2.061794 3.809681
2 -5856.4109641601 3.945506 2.978786 -2.532002 -3.128510 4.684898
3 -6284.2308163924 4.073887 2.761099 -2.494239 -1.075740 4.999999
4 -5355.3909624620 3.808084 3.837363 -3.177763 -2.654440 3.783290
5 -6167.3567032062 3.301836 3.275710 -1.332037 -3.088118 4.961841
6 -5561.9705134820 3.363276 2.848045 -3.498376 -0.291043 3.779223
7 -5772.8836092872 4.987192 4.240755 -3.864565 -1.606395 4.610741
8 -6225.0687370496 4.030788 1.938600 -2.803918 -1.646794 4.994479
9 -5570.5876688832 4.101855 4.192542 -2.198836 -0.768073 3.879046
10 -6204.4412108529 4.054645 2.435731 -1.699317 -2.427793 4.961085
11 -5996.4458908231 3.401418 3.833831 -2.971311 -1.464755 4.731653
12 -5422.6813910074 4.529959 3.022454 -2.798873 -4.472899 4.349184
13 -6274.0588346693 4.902276 2.496606 -3.077742 -0.275803 4.999531
14 -6197.9101176159 4.448161 2.213293 -1.708846 -1.291955 4.842888
15 -5816.7714237596 4.911218 3.577406 -3.493439 -2.632683 4.746380
16 -5472.6111952869 4.804122 1.934892 -2.127302 -0.871011 3.313783
17 -6382.5812819410 4.885511 4.944333 -2.761267 -0.072185 4.988803
18 -5742.3541684321 4.271074 2.556541 -2.901003 -3.984523 4.715914
19 -6005.7819624591 4.849855 2.170412 -3.161616 -1.290506 4.761000
20 -5452.2069000216 4.182535 2.597360 -3.385353 -1.850353 3.767387
21 -5390.4769382294 4.977230 1.611495 -2.157975 -2.249949 2.969350
22 -6014.6117099440 4.956796 3.576368 -3.593091 -1.648950 4.877306
23 -6009.9944785533 4.866863 2.698365 -3.497199 -0.765716 4.769075
24 -6080.0356534042 4.707271 3.080365 -3.285096 -0.647682 4.817564
25 -6246.9731130052 4.669392 4.206174 -3.642800 0.240077 4.976788
26 -5809.8513426212 3.455766 3.549382 -1.104702 0.896505 4.065612
27 -6195.9075073502 4.587971 4.977510 -1.791334 0.074757 4.681056
28 -6221.9156212785 4.124535 3.764196 -2.939754 -0.353760 4.920438
29 -5484.3962824744 4.963176 4.378188 -3.077935 0.322885 3.787880
30 -6190.0036474450 4.912521 3.751665 -2.922709 -0.115855 4.848846
31 -6114.2270546247 3.368163 2.836619 -1.829562 0.324951 4.622651
32 -5754.0314208828 4.424512 4.335663 -2.366969 -1.283961 4.313152
33 -5921.6155687308 4.858782 2.610653 -3.779811 -0.529815 4.671191
34 -5370.9589839003 3.971281 4.836301 -3.430545 0.805217 3.563691
35 -5960.2926553489 4.981912 4.009687 -4.576499 -0.680416 4.859659
36 -6094.5983237836 3.833082 4.827108 -3.708752 -0.651983 4.893596
37 -6237.8528513867 4.510015 4.897795 -2.609115 0.101435 4.829412
38 -5906.1027187915 3.752089 4.028185 -2.710131 -2.589189 4.727589
39 -6236.0098458096 4.980736 4.998802 -3.573228 -0.784278 4.997047
40 -6319.4644417581 3.485386 2.547517 -0.724542 -1.669877 4.939081
41 -6247.9460106541 4.218998 3.009838 -1.421428 -0.240039 4.794371
42 -5950.4952723921 2.299750 3.504905 0.625284 -1.137806 4.289569
43 -6096.5212167100 4.784648 2.411665 -1.622476 -0.136866 4.615007
