evaluations raw_y x0 x1 x2 x3 x4
1 309.1558349067 4.079926 2.168356 -4.463973 3.119944 0.088660
2 2190.0196198492 -0.342698 2.011193 3.428722 0.309473 -2.082997
3 -5760.9066698775 4.281638 1.881627 0.557122 -0.947658 3.904115
4 -7978.4787189996 -1.535303 -1.334672 -3.496451 2.527335 1.463907
5 -6422.3062701669 3.577879 -0.834624 -2.513704 1.961041 1.574051
6 2718.5278109728 1.927560 -4.427034 -0.222182 0.609829 -2.216822
7 -6194.4920931802 -3.466744 4.034959 -2.845324 4.976199 1.710428
8 3048.5007840668 -0.997079 0.236390 0.855117 4.823096 -2.710085
9 1428.5208757384 -4.325496 -0.613627 -3.553655 -1.331491 -0.405801
10 -7109.8121114237 -1.255341 -4.732297 1.193754 3.351263 3.034710
11 706.7633383856 3.211590 2.707893 0.201705 -0.558225 -0.676887
12 3833.7797633488 4.579037 -1.053745 4.826654 -1.555305 -3.434976
13 -9216.3444648060 -2.713185 -2.573231 2.414354 0.035416 0.861898
14 5522.3463528521 3.853529 0.192507 -3.941716 0.912393 -4.537678
15 3938.7882847795 2.837811 1.648510 -4.218778 2.326410 -3.247866
16 301.3591154993 -4.011393 -0.291044 2.069199 -4.375231 0.578213
17 -5452.4920903850 1.572518 3.761345 -1.721762 3.231627 2.782057
18 -7428.2344681358 -1.278365 2.516517 3.751629 -4.659120 0.724085
19 -6154.2209410309 -0.840026 2.437577 4.162677 -0.797330 4.586089
20 -9596.3393245676 -4.808918 -4.756048 3.388546 -2.433104 1.990174
21 1251.8692271381 4.355746 -1.448952 2.000385 1.042118 -1.295451
22 -5995.6853116799 2.717304 0.422515 -3.375970 -2.311893 4.361380
23 3046.9319933518 -3.315540 3.231230 3.208814 -4.047081 -2.397598
24 -5691.9171395474 3.456564 0.473370 -1.085540 2.619501 3.433496
25 1381.7529233754 0.245339 -0.177922 -0.434138 -4.853908 -0.329872
26 -9332.9534951079 -2.196310 -3.814104 3.125094 -0.177635 0.877106
27 2287.7907238134 4.976533 1.774695 -3.823748 3.793294 -2.005654
28 244.3558641488 2.050212 -3.510388 1.644550 -2.789020 0.425680
29 3567.5991774334 0.836607 1.009200 4.066652 -2.905588 -3.028443
30 1968.9697882801 -0.649252 3.008622 -2.317768 4.586908 -1.589015
31 -6254.2279366874 3.327816 -3.296622 -0.962335 4.073646 2.133967
32 -6465.3438162029 -2.035914 3.547652 -0.567460 -4.205173 2.235064
33 -6265.3227495091 2.117008 -2.295592 1.408564 -3.342171 3.268194
34 928.2311967052 0.199587 3.318539 -1.435136 -1.478265 -0.486708
35 1660.1087878004 -0.188466 -3.016079 -4.531485 1.657500 -0.733552
36 -8011.5458511546 1.523229 -1.986783 -2.079505 -1.879164 1.078612
37 6019.5175142211 -4.973247 -2.962965 -3.027192 1.893331 -4.734746
38 6116.2243935366 -0.066522 -3.703814 0.038764 -4.995944 -4.465448
39 3301.8486892413 -1.928453 0.831993 -1.926813 3.890686 -2.746203
40 2160.9556977364 1.243149 -1.734946 3.828596 -3.691957 -1.519756
41 118.3691947294 0.682854 0.004599 -1.334602 -0.247262 0.329974
42 -7063.6433463804 -1.133069 -2.679393 -4.706777 1.431840 4.035032
43 -6413.0026452781 -0.270897 -0.436395 1.346326 0.364647 2.937248
44 5080.6160668621 -2.337856 1.480586 4.945836 -3.086616 -4.206711
45 -5523.9034155228 0.963094 4.132536 2.516608 -3.925715 3.681423
46 4642.4223930600 0.353688 -1.172128 0.934819 2.850005 -4.091524
47 -6580.0372707688 -4.411803 2.239171 -2.653429 4.045696 2.446075
48 -8388.1135744739 -2.958041 -4.525290 -3.707433 -2.648065 4.675345
49 2466.6714524259 2.536154 -2.335267 -3.190348 3.532366 -1.930903
50 -6394.1260906485 2.456027 1.271480 1.913807 -2.173721 4.961004
51 -7568.8584668593 -4.617132 4.634113 1.016635 -4.537555 1.173416
52 5798.2889334874 2.938996 -3.214338 0.712157 -2.506317 -4.690413
53 3520.0680728582 -3.122517 -4.296679 4.484535 -0.606377 -2.882459
54 -6360.0035712772 -3.826407 3.881618 -0.662310 -3.577118 4.129579
55 4298.3948763226 -4.508251 -4.193297 1.698878 1.301722 -3.611106
56 -6378.3900662262 4.623902 4.568872 -1.579853 1.246760 4.813461
57 5774.7865019170 -3.580754 0.905478 2.215814 4.332713 -4.923986
58 4350.1454355086 -0.598256 4.248564 4.207828 -3.452505 -3.709016
59 -6588.2209464677 -1.757458 1.257314 -2.358014 -1.230878 4.307775
60 1779.7158300359 1.340582 3.443696 -1.958431 -3.188640 -1.084045
61 -6060.6618047616 2.301865 -2.745198 -1.147999 3.646978 3.644688
62 4854.0748304670 -3.210670 -2.138070 -0.780636 -1.780414 -3.826706
63 113.6601033493 1.087602 2.833575 -0.137990 0.135333 0.011654
64 2091.3311508922 4.798770 -3.552667 0.451439 -1.052128 -1.708645
65 -6136.1645740320 3.689848 -0.497590 2.877785 2.957789 1.356230
66 2762.6385209454 -2.546169 0.610717 2.810759 4.361478 -2.484257
67 -5430.8650997892 0.530207 4.759596 -4.077355 2.385466 2.552492
68 878.4412539356 3.016092 4.407211 3.595102 0.736390 -1.148864
69 3589.8890961632 -3.708744 4.888321 4.653587 2.093129 -3.279714
70 756.6967746926 3.934776 2.929346 -4.735663 0.530321 -0.189063
71 -7835.6130809057 -2.251683 -4.053454 0.165098 1.692289 2.666659
72 -7621.3177940596 -1.466535 -1.596765 2.608331 -1.959405 1.827742
73 1524.5919103539 1.764115 -4.943251 -2.964301 4.730754 -0.907399
74 -8148.5270474572 -4.105559 -1.890606 -4.912338 -0.362085 3.264290
75 5133.6239908087 -2.860802 -0.958830 4.385663 -4.101958 -4.040891
76 -9669.7154623851 -3.827501 -4.560155 0.224400 -1.914092 1.990174
77 1959.7941229250 -0.342698 2.011193 -1.192558 -4.417657 -1.013929
78 -6449.8760225233 4.281638 -2.298196 0.557122 -0.947658 4.943213
79 2703.3330420552 -0.678417 -1.334672 -3.496451 -3.342091 -1.423951
80 -6820.9851319623 -0.927464 -0.300801 -1.091701 -2.813667 3.018962
81 -7935.2495685534 1.927560 -4.427034 -0.222182 -2.862324 1.579279
82 -5278.9432866064 4.576344 4.034959 -2.845324 -0.527904 3.007419
83 1056.0189215728 -4.277553 -4.265646 0.882270 -0.249395 -0.525985
84 -6688.6913213793 -4.667758 3.676516 -1.844409 -3.865853 3.237222
85 -5802.6459967885 -2.514325 4.853764 0.402427 0.933646 3.034710
86 1296.1734426939 2.667545 -1.094275 0.201705 -0.866103 -0.999654
87 1879.2301841292 -2.568015 -3.765269 2.155059 -3.511450 -1.039228
88 914.3786545418 -2.120763 4.019281 2.506903 -3.256748 -0.510244
89 -8649.3930077589 -3.906452 -0.387957 0.299951 0.912393 1.193275
90 -5933.2779200414 2.837811 -0.601899 -1.662279 -4.129378 3.993989
91 879.6618288421 -4.011393 -4.795078 2.069199 -4.375231 0.213318
92 1287.6668798977 1.572518 3.761345 1.492574 3.389946 -1.421145
93 894.0570449482 -4.754958 0.776365 1.161705 -0.521609 -0.558880
94 226.8904513108 -1.330793 3.238361 4.162677 -1.297785 -0.091598
95 1122.5134801740 0.692516 -2.824572 -4.463973 -1.360403 0.088660
96 -7703.2068371517 -0.497900 -1.448952 -1.234735 -3.625937 1.919861
97 -6828.9414975520 -0.777035 -1.847518 0.498761 -1.638439 3.893132
98 2740.7259421794 -4.728819 2.807347 3.208814 -1.099952 -2.397598
99 -6089.9579411460 3.456564 -3.946568 0.036690 2.619501 3.433496
100 -10540.1672699659 -4.745619 -4.375515 0.574290 -1.107269 1.392267
101 -7272.0333112808 -0.148559 -3.814104 3.342057 -3.187714 2.476653
102 533.0334165830 4.976533 -4.516012 0.042212 0.564931 -0.276784
103 148.2414447946 -3.770749 -3.322594 -0.724679 0.804010 0.425680
104 -6425.0968799021 -1.921007 1.009200 -2.316417 4.247857 2.256838
105 -6352.5249519092 -0.649252 3.008622 2.855998 -3.830851 1.714985
106 -8143.5116459438 3.327816 -4.881360 -0.962335 1.145553 0.835437
107 2113.5663954052 -2.035914 -2.456449 -0.567460 -0.712669 -1.510051
108 -6426.3464126417 2.117008 -3.226718 1.408564 -3.342171 3.268194
109 -6277.0975354895 0.199587 1.274528 -3.010696 -0.671511 2.781696
110 -6762.8632536843 -1.294621 0.918646 -4.531485 1.341112 2.318064
111 62.6839776623 -4.698313 -4.221368 -2.079505 -1.879164 1.078612
