evaluations raw_y x0 x1 x2 x3 x4
1 546.1989394395 0.248928 -0.248928 -0.248928 -0.248928 -0.248928
2 -7939.4398761842 -0.601231 0.601231 0.601231 0.601231 0.601231
3 -6744.7801902466 -4.877833 4.877833 4.877833 4.877833 4.877833
4 6406.4474993951 4.605106 -4.605106 -4.605106 -4.605106 -4.605106
5 3409.7972192911 2.540968 -2.540968 -2.540968 -2.540968 -2.540968
6 -6104.8538026232 -2.820915 2.820915 2.820915 2.820915 2.820915
7 -6286.7915067844 -2.326088 2.326088 2.326088 2.326088 2.326088
8 2665.2113142813 1.981064 -1.981064 -1.981064 -1.981064 -1.981064
9 2303.8655493760 1.701131 -1.701131 -1.701131 -1.701131 -1.701131
10 -7021.3145860964 -1.356181 1.356181 1.356181 1.356181 1.356181
11 -6055.0733907180 -3.166006 3.166006 3.166006 3.166006 3.166006
12 4674.9913909885 3.446027 -3.446027 -3.446027 -3.446027 -3.446027
13 5867.0652545143 4.252870 -4.252870 -4.252870 -4.252870 -4.252870
14 -6188.7120959478 -3.980218 3.980218 3.980218 3.980218 3.980218
15 -7572.7658127327 -0.873970 0.873970 0.873970 0.873970 0.873970
16 -7741.7750782463 -0.744588 0.744588 0.744588 0.744588 0.744588
17 -7896.6914049160 -0.631573 0.631573 0.631573 0.631573 0.631573
18 -7930.8650203142 -0.607290 0.607290 0.607290 0.607290 0.607290
19 -7932.8680415852 -0.605873 0.605873 0.605873 0.605873 0.605873
20 -8205.1712366912 -0.419871 0.419871 0.419871 0.419871 0.419871
21 -8335.8040521566 -0.334827 0.334827 0.334827 0.334827 0.334827
22 -8454.0088363201 -0.259949 0.259949 0.259949 0.259949 0.259949
23 -6624.7325286687 -1.797899 1.797899 1.797899 1.797899 1.797899
24 53.5934238804 -0.189926 0.189926 0.189926 0.189926 0.189926
25 -8088.3713171452 -0.498121 0.498121 0.498121 0.498121 0.498121
26 -8390.9619990808 -0.299651 0.299651 0.299651 0.299651 0.299651
27 -8397.1858867601 -0.295708 0.295708 0.295708 0.295708 0.295708
28 -8404.1416561352 -0.291308 0.291308 0.291308 0.291308 0.291308
29 -7453.3637044180 0.000000 1.492281 -3.278597 -3.278597 1.492281
30 2556.6342958163 0.000000 -2.310565 2.371274 2.371274 -2.310565
31 563.3968714832 0.000000 -0.444908 1.139986 1.139986 -0.444908
32 594.2087622645 0.000000 -0.299245 -0.161559 -0.161559 -0.299245
33 -8411.8715101320 0.000000 0.066134 1.770762 1.770762 0.066134
34 1091.1228898412 0.000000 -0.763583 -0.225203 -0.225203 -0.763583
35 262.4835875691 0.000000 -0.170354 1.249104 1.249104 -0.170354
36 -7313.9059216469 0.000000 0.981009 0.115224 0.115224 0.981009
37 -7572.7491335162 0.000000 0.862003 -0.381131 -0.381131 0.862003
38 -8065.4738650174 0.000000 0.406256 0.585600 0.585600 0.406256
39 167.6414362170 0.000000 0.075651 0.137513 0.137513 0.075651
40 -7709.3870944925 0.000000 0.658345 0.431812 0.431812 0.658345
41 -8256.7382284624 0.000000 0.340126 0.172264 0.172264 0.340126
42 205.6697037178 0.000000 0.013524 0.301176 0.301176 0.013524
43 -8082.0007590016 0.000000 0.353689 0.946970 0.946970 0.353689
44 242.2291065926 0.000000 0.229331 -1.240626 -1.240626 0.229331
45 -8178.8377716363 0.000000 0.309354 0.805184 0.805184 0.309354
46 -8349.7089034812 0.000000 0.209173 0.772135 0.772135 0.209173
47 -8262.9376325303 0.000000 0.288222 0.550363 0.550363 0.288222
48 -8261.5585236102 0.000000 0.287857 0.560172 0.560172 0.287857
49 -8414.2851078500 0.000000 0.263624 0.038546 0.038546 0.263624
50 -7630.1236303811 0.000000 1.033916 2.209243 -2.912901 0.594773
51 -6987.5824831531 0.000000 -0.014153 3.305376 4.353479 1.133328
52 151.2416701085 0.000000 -1.059036 -3.911050 0.267872 0.605356
53 674.4344888703 0.000000 0.273655 -0.501105 4.556420 -0.532115
54 -7099.8081614901 0.000000 0.631414 2.762348 -1.575296 1.064229
55 1180.1259762823 0.000000 0.725193 -3.229514 -4.362480 -0.230919
56 -7715.5513324828 0.000000 0.157911 0.324408 3.750271 0.477778
57 76.7909545249 0.000000 0.109097 0.139858 1.889586 0.057002
58 -7766.0635075571 0.000000 0.242479 1.897525 3.172596 0.437779
59 -7408.7867318932 0.000000 -0.287054 2.928258 3.857170 0.772174
60 145.8801126837 0.000000 0.445830 -0.660682 3.288606 0.013207
61 591.4158771265 0.000000 0.273229 -2.068914 -4.424229 0.320096
62 361.1578666312 0.000000 0.406201 0.082933 -1.866871 0.058526
63 -7805.7293404514 0.000000 0.251334 0.494264 3.861289 0.375468
64 -7936.9140850192 0.000000 0.064679 2.118138 1.740912 0.400520
65 -7944.5739678871 0.000000 0.363018 -0.911351 2.942128 0.362496
66 -8108.6963847223 0.000000 0.153379 1.505595 2.722980 0.226285
