evaluations raw_y x0 x1 x2 x3 x4
1 -6314.8340552047 -2.084380 3.443755 1.555889 -4.630621 2.017006
2 5402.8524550800 11.755168 -7.157145 -5.167679 -27.601247 19.935287
3 5075.2658441427 11.386718 5.525553 -2.694949 -13.172841 -2.136730
4 15200.7959446696 1.697657 9.295522 7.908135 -8.325289 -10.633347
5 4275.7828064073 -7.359699 -0.376142 1.166758 -6.899336 -3.062436
6 327.6998130765 -32.310909 15.337121 4.910718 18.530163 4.479619
7 8638.3417961480 -10.935898 -20.871764 -2.735525 -21.395196 0.383942
8 5903.0083745172 7.124067 -5.464124 -0.916421 -15.071596 -1.950679
9 -11189.4983644280 -6.403490 7.572972 -9.090424 -7.094937 8.742919
10 5279.3579897960 -5.806137 5.024620 -11.920823 -1.133903 -2.604917
11 -19499.4426911587 -4.145274 -4.227480 -6.980134 -11.188699 10.753292
12 6148.0271834579 -10.681673 -1.665853 -3.659765 -27.372194 21.179384
13 -16595.2536978667 -3.348812 13.164987 -6.261949 -12.430454 11.541134
14 4905.4240603335 5.343073 1.656364 -4.047532 -26.503231 20.085104
15 4248.9755373200 4.063485 0.515164 -11.621536 -23.534664 3.798037
16 690.2650049733 -1.784100 -23.387013 -15.133442 -11.917355 12.946992
17 4660.9495744173 -7.240161 5.210583 -1.228103 -28.402342 15.626325
18 -46983.5203628170 -0.797173 -10.361654 -7.752401 -10.672456 17.815635
19 1921.4997457347 -0.848498 -3.947155 -14.174480 -21.504828 18.293823
20 -38411.6904422817 1.767607 -10.827494 -6.934002 -17.739974 15.913017
21 696.5261482196 -5.457315 -16.810664 -18.648270 -5.750952 20.145128
22 -44248.9219105874 1.577562 -7.372652 10.711866 -9.842394 18.104607
23 5042.3512472113 0.681154 -7.021941 -8.788827 -22.334262 24.050040
24 -90101.8858902955 -5.094334 -9.098236 -10.546760 -0.082631 24.635367
25 2174.3604241361 -2.458447 -5.419341 -12.087433 -9.149846 26.263042
26 2206.4710398638 -6.638075 -13.496099 -16.184531 5.630274 25.240868
27 953.8110535689 -7.955965 -12.972002 -17.516537 2.371761 22.321308
28 -93690.3760951125 1.889363 -9.095471 -14.342026 1.784545 24.544318
29 246.9156744363 -0.809526 -1.171681 -19.796986 -1.192528 21.693114
30 -54154.3159740042 13.673882 -7.532742 -14.372853 6.989933 17.837183
31 -100796.2159848752 6.066972 -8.537479 -9.792071 9.009314 24.848393
32 -111126.2454063396 12.761503 -9.212491 -9.787580 18.037888 25.094194
33 -104277.5424131665 5.933454 -3.957413 -15.089230 15.751449 25.265066
34 -103964.2390778979 9.063766 -18.167271 -6.458887 21.119720 25.747595
35 1245.9864475578 7.370358 -17.205667 -15.772809 20.420959 25.178629
36 2109.1908740436 8.249974 -3.760544 -13.906022 23.871597 27.863885
37 -92059.8415625011 12.001729 -2.080754 -18.298695 20.575249 23.260421
38 -101110.7140120982 7.063755 -9.568648 -13.675770 20.419372 25.223842
39 -69638.5962946513 14.838163 -10.536083 -11.441157 16.585274 20.152227
40 -134238.8254366385 17.267463 -11.447893 -9.133273 10.182109 26.933256
41 -72991.9445496012 16.227657 -7.266362 -7.354716 20.168728 19.664927
42 -175411.9787844321 22.906408 -18.535718 -9.604470 10.253704 30.515595
43 5665.8956173671 18.367987 -14.407598 -14.105228 7.442495 35.951418
44 -103872.0523746815 26.301195 -23.148224 -0.877455 1.308597 23.812247
45 -208293.0592845944 26.522220 -18.254795 -11.129475 16.124269 32.497472
46 2981.3946136824 33.532908 -29.200851 -7.174360 18.703583 38.616693
47 14072.8519883421 24.813242 -11.913247 -21.558616 27.233645 40.070757
48 1125.2877562167 30.338582 -20.724552 -6.020540 4.293976 35.852857
49 13443.1468917053 30.144934 -29.243659 -17.324980 22.509677 42.389005
50 5147.4024759258 21.957179 -28.750598 -5.330838 16.965637 36.984096
51 -204216.8710281190 36.273093 -19.225281 -10.892974 11.733470 30.623053
52 -195755.9600363061 31.078702 -26.531322 -11.665276 31.389679 31.718672
53 12313.2541541173 26.059063 -24.691856 -13.738929 16.184968 42.183766
54 -123084.0883853548 22.606502 -5.346383 -9.006674 14.492241 24.200864
55 6176.2532010100 22.307785 -22.038632 -16.378209 14.198899 36.345456
56 3596.4866954019 31.737125 -23.067521 -4.251854 23.194315 40.105078
57 -246877.0925572387 33.052645 -6.018806 -6.142715 18.759269 32.300115
58 -242379.7511977039 30.016479 -17.683232 -0.132842 26.071000 33.417197
59 2139.1239278860 24.437368 -14.243259 0.022034 19.131981 38.418564
60 -229910.3427922713 37.308079 0.958931 -8.570573 23.737926 29.354539
61 -167392.2362313401 29.649407 1.491628 -18.437631 18.864213 27.041470
62 -188274.4051670279 34.165602 0.011536 -12.134490 11.027313 27.680987
63 -192167.7268572254 18.306303 -5.112952 -6.371370 12.948024 30.950302
64 5056.5553169504 24.960817 -1.278493 -11.086050 18.947398 38.118833
65 -170395.7830422688 27.243059 -4.981993 -5.375801 25.336930 27.035169
66 -248392.0132093689 28.978869 -5.964965 -8.144403 19.277858 33.311222
67 -181600.7208834153 29.585197 -2.484608 -9.101075 19.816272 27.747102
68 5046.1574359811 24.486856 -3.836942 -10.029936 26.730726 37.865496
69 8332.8612243327 19.948100 -13.709318 -9.599829 19.785468 39.716507
70 6914.2086948751 25.699038 -8.650481 -23.465203 22.296237 34.519272
71 -264213.9996239984 27.929173 -1.278657 -11.292217 14.166311 34.491721
72 -247323.2127827235 32.809560 8.822511 -14.564367 11.331064 31.833367
73 13536.4296824474 24.114078 3.379075 -12.069073 11.952567 42.664525
74 -199552.9820422416 30.119347 -6.025102 -16.224720 7.422537 30.311307
75 -176139.7988734662 27.671579 -11.001736 -8.876419 21.794792 28.600811
76 -200513.6740662394 25.104860 -1.525408 -14.442803 10.885654 30.682616
