evaluations raw_y x0 x1 x2 x3 x4
1 -7901.6270442039 -3.361107 -3.679753 -1.225799 0.333507 3.394033
2 -6688.8570131183 -0.522007 1.589527 2.133113 4.982525 1.230205
3 -6160.3598822762 3.833767 2.262325 -0.703840 -3.231394 4.737337
4 1837.4032748032 -0.156765 3.404738 -0.197731 1.297092 -1.703105
5 2150.0750405126 -1.777557 -0.070874 0.592603 -2.271004 -1.651005
6 19.9534944531 4.377717 -1.987655 -1.736727 0.112357 0.291627
7 -7930.0481043103 1.532431 -3.308661 2.951751 -0.711083 0.607635
8 -6629.3307288307 -2.395245 0.780835 3.819936 3.626028 2.114084
9 4581.1015994862 -4.082523 4.778827 -4.049452 -3.731087 -3.466286
10 6155.1501411908 -1.395888 -2.860825 -2.818891 -2.381756 -4.751543
11 1638.6961840082 -4.366224 -0.757983 -3.654898 -1.426769 -0.765082
12 -6031.3709299926 2.999384 -1.178263 4.597432 3.675223 2.399333
13 5033.6129166222 1.981975 2.613359 -4.535180 2.976326 -4.010078
14 -6687.9456883671 0.824070 -4.760834 1.539473 -4.477225 4.109890
15 2789.5868255125 3.016414 3.782588 3.021120 1.806627 -2.905543
16 -6802.6736250742 3.577476 -2.597092 4.338636 4.495980 1.007969
17 -6934.5349587529 2.767226 -3.969083 2.945135 -0.590513 1.318117
18 -8094.6180553345 0.302635 -4.821683 3.774576 2.300983 0.654530
19 -8211.2422795243 -4.205751 2.140794 2.172259 -4.010998 1.152102
20 -7406.4466889031 -1.276597 -4.406412 2.087134 4.554989 1.612972
21 -7243.9396682854 -4.971499 4.884709 1.375389 -0.070558 1.270572
22 -9199.4029208933 -3.570467 -4.342221 1.151452 -4.156819 2.117663
23 783.6849842627 -4.939533 -2.806289 4.632702 -4.895685 0.458590
24 -9488.7699375406 -4.636419 -4.086634 2.890429 -0.894234 1.373344
25 136.4893185483 -4.119220 0.163259 3.997008 -4.137772 0.695527
26 -5300.7971117241 0.750720 3.865973 1.695573 -2.546636 2.906552
27 -7945.2242881643 -4.336209 -1.408047 1.573801 2.502226 1.899205
28 -7664.6586910671 2.164995 -3.406942 1.971931 -1.017845 0.883484
29 -9527.9129021584 -4.419815 0.041178 1.806255 -1.801247 0.697008
30 -7882.7091774960 -3.187585 -2.896920 1.623434 -0.726907 2.348853
