evaluations raw_y x0 x1 x2 x3 x4
1 -5146.5488281250 2.768950 0.651939 3.582969 3.628431 4.114999
2 5029.1030273438 20.914687 16.165515 0.336939 4.333566 -14.957779
3 -4630.3139648438 -0.299569 2.421526 10.256728 8.403056 13.793728
4 -5528.2753906250 3.937788 -2.529591 4.181600 -22.476489 5.154698
5 -6659.1005859375 -1.462858 -4.115634 13.413796 -24.704694 12.132444
6 -6488.6801757812 -0.744084 -5.005964 24.422237 -14.633448 9.792124
7 -4697.1904296875 15.370367 6.434955 8.424057 -25.576210 4.035763
8 -6028.0166015625 -7.160029 8.216604 24.126934 -46.725927 8.699473
9 -5622.6352539062 13.443140 -7.125208 30.336757 -62.166777 35.743598
10 -6028.0166015625 -12.665111 5.210960 24.722437 -33.061897 13.541487
11 -7834.8012695312 -10.734068 -26.312078 17.750016 -22.705057 21.569108
12 -6177.1718750000 12.387259 -28.971620 -15.411937 -26.599224 27.618317
13 -5622.6352539062 10.116826 -49.328586 14.967687 -38.879614 15.007688
14 -7721.1298828125 -17.247019 -4.558089 6.155547 -9.136118 31.444161
15 -8631.8359375000 -14.854552 -32.964972 -11.306361 -11.783016 15.497799
16 -7819.1083984375 -27.814004 -28.929085 -28.168153 18.531995 11.000807
17 -8631.8359375000 -30.381155 -43.561043 -30.854115 -28.289108 9.441167
18 5219.7641601562 3.143785 -46.377121 -19.181388 17.502161 -11.253253
19 -8631.8359375000 -19.484643 -26.232158 -33.209581 -8.667525 14.805778
20 5098.7236328125 -57.972719 -48.215539 -3.445929 11.228449 -14.082671
21 -5803.3969726562 -18.493009 -0.680383 11.173150 4.554927 7.368850
22 3557.9438476562 -15.588491 -13.851211 -37.932453 -18.778664 -1.005660
23 -8631.8359375000 -12.435003 -21.228412 -32.551368 -23.654943 7.576838
24 2902.7060546875 -43.532436 -61.825723 -13.590075 -10.232807 -0.298194
25 -8176.0400390625 -20.208988 -33.196634 -1.740183 1.073799 15.473725
26 -8631.8359375000 -7.325294 -44.523651 -19.668309 -34.769541 23.652754
27 -7443.5449218750 -1.075048 -30.068141 -27.764548 -29.270782 11.489607
28 -10150.6884765625 -12.534120 -4.559979 -28.252270 -8.646799 2.283629
29 -8631.8359375000 -13.560827 -8.146376 -21.362686 -20.230257 14.328158
30 -6299.3500976562 -13.150025 9.573813 -18.216390 -26.418699 16.176906
31 -8166.6171875000 -35.788717 0.220211 -37.543506 -2.533313 2.651670
32 -5259.8427734375 0.920562 17.238690 -40.812038 -15.686550 15.596109
33 5430.1279296875 -12.832266 -12.484277 -30.824580 -7.027256 -6.629758
34 -10385.2080078125 -8.193714 -5.408634 -26.055812 -3.413372 2.103094
35 -8362.3095703125 -16.282331 3.343713 -50.961108 -20.199985 1.732486
36 5430.1279296875 -12.495217 -13.285798 -15.852358 -11.940698 -12.836811
37 -4597.1367187500 5.618680 12.774238 -34.204011 -2.730400 15.217383
38 5268.9291992188 -5.965798 -16.915940 -28.290346 1.773376 -17.115604
39 5273.7749023438 -10.467271 -19.245002 -22.572608 1.207938 -6.160451
40 5339.0214843750 -1.957650 -7.828671 -22.010874 1.605456 -13.179345
41 -7750.5839843750 -4.421260 -37.272950 -40.370180 5.994155 8.913948
42 -7561.0493164062 -7.420990 -1.218856 -32.501836 -10.887677 5.712893
43 454.1381835938 2.233347 -21.021022 -23.652140 0.662594 0.364928
44 5342.8505859375 -9.352432 -7.889213 -27.801045 -3.123645 -8.345843
45 5028.3071289062 -5.108473 -12.726027 -28.614289 -4.925856 -3.336429
46 4436.1948242188 -16.831485 -7.058627 -26.854029 9.623192 -3.138280
47 -9447.7138671875 0.329880 -8.245396 -18.282041 6.200778 0.774228
48 -5799.9843750000 -13.098870 11.494208 -36.334105 1.572544 10.873167
49 2643.1320800781 5.737708 -7.668891 -16.177115 6.333059 -1.460176
50 3532.8530273438 -11.690888 -3.352024 -23.418576 -3.674292 -1.459835
51 -5164.6123046875 5.308407 -0.663658 -19.458231 1.138793 9.330653
52 5430.1279296875 -12.344580 -6.563641 -25.933157 -7.855666 -7.421536
53 2685.0693359375 -14.562949 -7.553048 -20.170774 -4.935382 -0.077658
54 -7652.0908203125 -5.854327 -2.827809 -20.157241 -0.262224 8.214669
55 -8631.8359375000 -9.556220 -11.310982 -20.015220 -8.058097 7.534622
56 -8135.1308593750 -7.674341 -9.588517 -29.899256 2.163825 7.814556
57 -6907.2358398438 -7.137727 -0.186715 -24.471911 -0.342121 11.481874
58 -8625.8173828125 -4.717493 -7.536207 -25.419664 -6.340722 4.919876
59 -9566.6621093750 -6.699210 -9.031808 -24.438317 1.299852 2.356749
60 -8483.2158203125 -13.040051 -2.652022 -24.727159 -11.633570 3.612265
61 -6551.5278320312 -4.345663 4.928433 -31.078989 -2.381938 3.770002
62 -6317.6899414062 -9.706686 4.538086 -27.163607 -10.284770 7.323966
63 -8428.4511718750 -11.069444 -9.880789 -24.301464 -0.519766 7.009600
64 -8694.6289062500 -9.963404 -5.671617 -23.176199 -9.998418 4.695985
65 3386.3251953125 -10.405444 -1.595073 -32.136163 -5.586626 -1.167076
