evaluations raw_y x0 x1 x2 x3 x4
1 -5171.3286132812 4.972058 2.993654 -0.980618 -2.061794 3.809681
2 -5063.4667968750 3.945506 2.978786 -2.532002 -3.128510 4.684898
3 -4854.6000976562 4.073887 2.761099 -2.494239 -1.075740 4.999999
4 -5225.2841796875 3.808084 3.837363 -3.177763 -2.654440 3.783290
5 -5081.0434570312 3.301836 3.275710 -1.332037 -3.088118 4.961841
6 -5241.7822265625 3.363276 2.848045 -3.498376 -0.291043 3.779223
7 -4743.1772460938 4.987192 4.240755 -3.864565 -1.606395 4.610741
8 -5007.1196289062 4.030788 1.938600 -2.803918 -1.646794 4.994479
9 -5634.0336914062 4.941236 2.458794 -1.499020 -1.717992 3.116144
10 -5203.6088867188 4.178120 3.124993 -3.842857 -1.883068 3.822655
11 -5264.5527343750 3.947520 1.971194 -2.009721 -1.354252 3.868301
12 -5069.2128906250 4.739068 2.998430 -3.903224 -2.774605 4.231241
13 -4928.5854492188 4.399678 4.649769 -1.675197 -0.683263 4.167890
14 -5387.6928710938 4.067547 3.948738 -3.416395 -1.000603 3.415134
15 -4952.4428710938 4.795539 2.608811 -2.426419 -1.650295 4.973193
16 -5553.2236328125 4.386468 4.413417 -2.004313 -2.819316 3.443660
17 -5587.6938476562 4.935851 1.487433 -3.989007 -1.567892 3.279896
18 -5528.9121093750 4.722499 2.132968 0.698071 -1.618643 3.466641
19 -5676.2153320312 4.262939 3.023726 -1.473631 -1.510357 2.851077
20 -5115.6298828125 3.831472 2.384256 -1.088667 -2.658215 4.498606
21 -6298.6132812500 4.681695 3.760181 -0.579702 -0.752095 1.737488
22 -5565.9326171875 4.605747 1.734970 -1.913927 -0.952658 3.318494
23 -5317.2490234375 3.695820 2.718738 -2.404086 -1.233980 3.784903
24 -5673.8979492188 4.201884 2.386015 -2.294575 -1.816700 2.702557
25 -6426.1743164062 4.869346 3.136112 -0.564116 -1.683213 1.801278
26 -5525.3647460938 4.137158 2.338112 1.372854 -1.075158 3.538113
27 -6415.6386718750 3.596015 4.174603 -0.836156 -0.510415 1.546198
28 -5653.3950195312 4.901993 3.181758 -0.391859 -1.311621 2.901181
29 -6207.4858398438 4.894635 4.800325 -0.528355 -1.779932 1.605357
30 -5962.5581054688 4.624442 3.754275 -1.247471 -1.769731 2.231656
31 -6054.9545898438 2.633235 3.919915 -1.916966 -2.474567 2.518855
32 -5407.7441406250 4.997578 4.668375 -0.877387 -0.491326 2.993726
33 -5886.1381835938 4.763338 3.818873 -2.173910 -2.937874 2.399670
34 -7503.2905273438 3.082140 1.902794 -0.804038 -1.251407 0.701871
35 -6955.4638671875 3.870245 4.389695 -0.861611 -2.704687 1.051538
36 -6296.0961914062 4.916414 4.981137 -0.198486 -1.391830 1.172412
37 -6494.0014648438 3.956494 2.953128 -1.396033 -0.445161 1.351205
38 -5554.7031250000 3.347425 4.346999 -0.262260 -1.357813 3.064627
39 -7069.0405273438 3.845472 4.425531 -1.189441 -1.019496 0.793735
40 -4933.3276367188 3.064323 3.090520 -3.329805 -0.675233 4.671866
41 182.2479248047 2.724021 3.596549 -1.468399 -2.300321 0.213483
42 -5687.9794921875 3.891147 3.857294 -0.393122 -4.537943 3.324085
43 2211.9492187500 1.608410 2.279674 -1.859132 -2.297033 -1.112236
44 1497.3342285156 4.812313 2.902070 0.717023 2.819372 -1.396116
45 585.8383178711 1.587057 2.413721 -1.092243 0.590177 -0.478297
46 370.8969116211 3.003324 1.075585 -0.565148 -1.725626 -0.030572
47 1962.5152587891 3.601915 4.023365 0.309251 -3.286275 -1.019025
48 -7217.1899414062 3.116179 3.494509 -0.739730 -2.548102 0.874947
49 -6588.0146484375 2.596620 4.186348 -1.808778 -3.800133 1.352879
50 174.4995117188 3.286732 3.883268 -1.800896 -2.772114 -0.109567
51 375.9269714355 2.579620 4.405100 1.135272 -1.857360 -0.153493
52 -7086.8300781250 4.509869 4.676151 -0.839489 -4.265057 0.659387
53 -5732.9184570312 3.189608 2.324317 -1.441542 -3.131038 3.396928
54 -7002.7963867188 3.626432 3.597628 -1.066015 -2.609757 1.016968
55 -5169.0761718750 2.212966 4.944899 -2.884815 -3.695494 4.987148
56 3684.8708496094 3.796488 1.827155 0.495670 0.116895 -3.109390
57 274.7741699219 3.720247 4.744156 -1.330357 -4.506126 -0.051984
58 -6245.0551757812 4.802167 3.472288 0.031806 -4.999979 2.208649
59 -6007.1796875000 3.491985 4.308706 -0.641406 -2.574089 2.332426
