evaluations raw_y x0 x1 x2 x3 x4
1 3.9885776043 4.972058 2.993654 -0.980618 -2.061794 3.809681
2 3.8676104546 3.945506 2.978786 -2.532002 -3.128510 4.684898
3 3.9678368568 4.073887 2.761099 -2.494239 -1.075740 4.999999
4 3.8527472019 3.808084 3.837363 -3.177763 -2.654440 3.783290
5 3.9185883999 3.301836 3.275710 -1.332037 -3.088118 4.961841
6 3.8802385330 3.363276 2.848045 -3.498376 -0.291043 3.779223
7 3.9686036110 4.987192 4.240755 -3.864565 -1.606395 4.610741
8 3.8920850754 4.030788 1.938600 -2.803918 -1.646794 4.994479
9 3.8562722206 2.403381 4.314934 -2.927396 -3.054875 4.967560
10 3.7802689075 3.454034 2.665197 -2.971737 -2.779074 3.530301
11 3.8481917381 3.339741 4.077748 -3.896227 -2.782168 4.783317
12 3.6541516781 2.759489 3.770827 -3.581321 -3.174410 1.207766
13 4.0059661865 3.937382 4.805651 -1.723561 -1.869217 4.007522
14 3.8901221752 4.035227 3.073026 -2.092815 -2.552345 3.986216
15 3.8007681370 3.334751 4.562691 -3.740455 -2.806001 3.045833
16 3.8880593777 2.239646 3.546802 -1.993397 -1.439993 4.036720
17 3.6636300087 4.301612 4.007065 -2.755191 -4.948488 0.598573
18 3.9980463982 3.876525 4.957904 -2.665102 -2.115746 4.983144
19 3.7306516171 2.254822 3.917943 -3.056405 -3.081008 2.716057
20 3.9000434875 3.638546 4.774001 -2.302754 -1.286543 1.862593
21 3.7198054790 2.036129 3.450451 -4.106272 -3.850834 4.995338
22 3.7706599236 3.125301 4.999303 -2.652446 -4.091491 2.318095
23 3.6860051155 2.453644 4.689565 -3.223695 -3.217080 1.032542
24 3.6988856792 2.728297 3.626696 -2.475743 -3.820808 1.952119
25 3.7108101845 4.278686 3.548688 -2.449979 -4.963995 1.875175
26 3.9358093739 4.999435 4.515324 0.419674 -3.389048 0.978041
27 3.6759722233 4.104208 3.152909 -3.046261 -2.365046 -0.339588
28 3.7750289440 4.385262 4.980483 -2.376420 -4.831930 1.656401
29 3.6214654446 4.851771 3.029334 -3.736595 -4.336675 0.426323
30 3.6154561043 4.060927 3.695379 -2.976862 -4.818603 0.122174
31 3.4857485294 3.661944 3.189072 -2.333830 -4.733779 -2.709806
32 3.7189002037 4.712537 4.986138 -4.333330 -3.664541 0.828418
33 3.5432972908 4.312946 2.027007 -4.077860 -4.825872 0.959157
34 3.6276984215 4.731388 3.222366 -4.235037 -2.194458 -1.132993
35 3.4754951000 4.103992 2.472517 -4.347104 -3.158072 -2.228160
36 3.3775656223 3.887929 1.392249 -2.930337 -4.439151 -3.342324
37 3.6235275269 2.696068 4.926026 -3.722367 -3.079590 -0.521210
38 3.5757524967 4.339811 -0.828275 -0.630625 -1.411743 -2.251792
39 3.4832642078 3.460034 2.822459 -4.446190 -2.606004 -2.207431
40 3.9185771942 2.933524 2.694512 -1.685600 -1.514999 4.672699
41 3.4054245949 4.999198 1.491027 -4.377719 -4.101022 -2.815388
42 3.4253268242 2.472908 2.595471 -3.271257 -4.665113 -1.458372
43 3.5804250240 4.156444 0.369871 -2.423576 -2.045671 -0.744242
44 3.8948118687 3.865271 1.601147 -4.717474 1.743008 4.047082
45 3.6371049881 2.797731 3.460181 -2.569068 -4.938199 1.814742
46 3.5385830402 4.422005 0.326274 -0.331541 -4.442096 -1.639649
47 4.9095268250 1.608965 -4.001115 -4.140864 -1.589040 -4.118622
48 3.3377079964 4.272506 1.828338 -3.713895 -4.999978 -3.812050
49 4.3348340988 2.612990 1.730157 -2.069875 -3.351941 -3.655093
50 3.5700507164 4.860871 3.931168 -1.542348 -3.247297 -4.970192
51 3.4397418499 4.865948 0.198410 -3.410470 -4.340516 -1.270889
52 3.5175354481 2.439021 3.828822 -0.485458 -3.402956 -4.568242
53 3.4290537834 4.690507 0.887299 -4.412164 -4.993514 -0.431652
54 3.4122962952 4.985936 2.588819 -2.894132 -4.995589 -4.380716
55 3.4545838833 2.702066 -3.263589 -1.676554 -3.427013 2.038793
56 3.4133358002 -0.043304 3.848245 -4.995672 -4.459847 1.027077
57 3.4888117313 2.366411 4.409449 -2.768678 -3.812895 -3.030007
58 3.3669245243 1.484128 4.765773 -4.092222 -3.477409 -4.389150
59 3.2170894146 4.437516 0.664083 -4.999297 -4.667792 -4.781008
60 3.5344867706 1.532950 3.769069 -4.217977 -1.393580 -1.469691
61 3.2898774147 2.345481 3.834749 -4.990447 -3.806161 -4.985626
62 3.2866108418 1.878279 3.186844 -4.199460 -4.979964 -3.488111
63 3.5832815170 4.444326 0.925374 -2.790033 -1.294183 -1.906282
64 3.5115664005 1.478001 4.486475 -3.734204 -4.862074 0.301862
65 4.6149053574 2.250691 -1.133040 -3.636377 -4.650439 -4.253725
66 3.6812570095 3.405135 4.922537 -4.114645 -1.757826 -0.816885
67 3.4735007286 3.156703 4.869331 -4.809805 -3.248846 -3.199694
68 3.4208948612 1.231407 4.815631 -1.822288 -3.710665 -4.947796
69 3.3140859604 2.871466 3.777877 -4.996200 -3.773906 -4.922701
70 3.5057489872 1.486888 3.927320 -3.846317 -2.672238 -1.332659
71 4.5381121635 0.859017 -0.259334 -3.110341 -2.263788 -1.578312
72 4.5727987289 -0.508736 1.845760 -4.999831 -1.578670 -4.621737
73 3.3436310291 3.208624 2.951857 -3.941002 -4.875844 -3.627302
74 3.5554943085 4.866205 1.599395 -4.994060 -3.091580 0.320171
75 4.7685117722 -3.053845 1.623851 -0.957099 -1.341516 -4.725676
