evaluations raw_y x0 x1 x2 x3 x4
1 5.4330177307 0.248928 -0.248928 0.248928 0.248928 0.248928
2 5.7256116867 -0.601231 0.601231 -0.601231 -0.601231 -0.601231
3 3.0337738991 -4.877833 4.877833 -4.877833 -4.877833 -4.877833
4 4.1622958183 4.605106 -4.605106 4.605106 4.605106 4.605106
5 3.9453179836 2.540968 -2.540968 2.540968 2.540968 2.540968
6 4.5727591515 -2.820915 2.820915 -2.820915 -2.820915 -2.820915
7 5.0804119110 -2.326088 2.326088 -2.326088 -2.326088 -2.326088
8 3.8748593330 1.981064 -1.981064 1.981064 1.981064 1.981064
9 3.8384721279 1.701131 -1.701131 1.701131 1.701131 1.701131
10 5.6585445404 -1.356181 1.356181 -1.356181 -1.356181 -1.356181
11 3.1993412971 -3.166006 3.166006 -3.166006 -3.166006 -3.166006
12 4.0503563881 3.446027 -3.446027 3.446027 3.446027 3.446027
13 4.1314692497 4.252870 -4.252870 4.252870 4.252870 4.252870
14 3.1130506992 -3.980218 3.980218 -3.980218 -3.980218 -3.980218
15 5.7387056351 -0.873970 0.873970 -0.873970 -0.873970 -0.873970
16 3.1554934978 -3.565564 3.565564 -3.565564 -3.565564 -3.565564
17 3.1765701771 -3.370439 3.370439 -3.370439 -3.370439 -3.370439
18 3.0540752411 -4.626506 4.626506 -4.626506 -4.626506 -4.626506
19 3.0436191559 -4.753529 4.753529 -4.753529 -4.753529 -4.753529
20 3.0469799042 -4.712150 4.712150 -4.712150 -4.712150 -4.712150
21 3.0337152481 -4.878587 4.878587 -4.878587 -4.878587 -4.878587
22 3.0245060921 -4.999634 4.999634 -4.999634 -4.999634 -4.999634
23 3.0245027542 -4.999666 4.999666 -4.999666 -4.999666 -4.999666
24 3.0245099068 -4.999639 4.999639 -4.999639 -4.999639 -4.999639
25 3.0244877338 -4.999834 4.999834 -4.999834 -4.999834 -4.999834
26 3.0244824886 -4.999952 4.999952 -4.999952 -4.999952 -4.999952
27 5.0110521317 0.109467 -0.109467 -3.406055 -3.406055 -0.405742
28 3.4922170639 -4.756533 4.756533 0.284583 0.284583 -3.416250
29 3.0013237000 -1.805251 1.805251 -4.994687 -4.994687 -4.585864
30 3.5783736706 4.863821 -4.863821 1.624764 1.624764 -4.155576
