evaluations raw_y x0 x1 x2 x3 x4
1 3.6312971115 1.364028 4.279761 -4.444552 2.043058 -2.805172
2 4.0276260376 4.747220 7.976746 -4.964429 8.945748 -4.863620
3 4.0766010284 21.772165 1.415111 -2.950459 0.891100 4.124182
4 3.4044439793 -7.797024 -0.625836 -9.108675 9.921617 1.297782
5 4.1105446815 10.713604 1.529104 13.166845 20.433903 -4.797804
6 3.2173755169 -18.518688 -6.536380 -19.516260 0.714728 5.558748
7 3.3592011929 -20.053046 -1.891464 -19.563639 -22.366792 1.216285
8 3.5755670071 -10.297409 14.985154 -53.811848 5.631098 14.358488
9 2.7717065811 5.321546 -7.494050 -11.193739 -13.709297 -7.768179
10 3.1744713783 -14.824461 -6.735657 -19.535358 -13.245710 -18.318142
11 3.5316348076 25.453927 -26.156900 -7.740257 -8.215397 -11.160870
12 3.4691116810 17.692175 -3.238092 -5.992534 -27.183799 -2.653927
13 3.5366594791 -6.382996 13.768717 -33.374898 -1.668771 -19.815777
14 3.5755853653 0.512072 -15.842821 -23.880438 45.159876 -50.473856
15 3.5265579224 2.501363 12.793158 -8.110036 -33.994672 1.000808
16 3.5745115280 5.711203 -3.226611 -52.534797 -14.930864 5.009361
17 3.3860409260 8.344176 8.763740 -16.164885 0.327286 -17.757646
18 3.5466673374 12.324793 -21.882381 -26.227858 11.904066 4.991289
19 3.4978172779 -6.137045 12.111053 -7.716841 -30.150647 -20.619100
20 3.4880273342 -28.404817 -10.512303 -13.372443 8.453764 -20.846353
21 3.5711629391 22.158148 6.101758 -34.304949 -27.263845 -1.756299
22 3.3297166824 8.736670 1.541856 -25.270661 -9.124086 -13.623708
23 3.7869768143 -2.823874 -4.144108 6.484397 3.097751 1.595291
24 3.4296400547 -8.172909 -30.390898 -5.210737 -1.792119 8.568001
25 2.6365151405 0.573806 -11.530235 -13.833821 -4.643284 -6.489800
26 3.4964678288 -20.684930 -16.832728 -14.620969 -28.987349 -6.320144
27 3.4541501999 15.428995 -8.578099 -13.040886 9.619680 -11.540104
28 2.8543977737 -14.194551 4.151694 -4.748669 -1.892152 -8.351325
29 3.3025114536 5.778777 -0.117476 -22.036527 2.640649 -4.013306
30 3.2710876465 7.964517 -19.377577 -16.931829 0.299753 -15.653057
31 3.2491419315 -2.739512 -22.628340 -14.856476 -5.955474 -18.062660
32 3.2428622246 9.092564 -15.413666 -18.081521 -16.693862 -9.935190
33 3.3190574646 -5.636645 -7.209207 -27.459962 -18.778716 -1.331081
34 3.0250680447 0.768191 -16.851715 -17.243014 -6.779633 -14.564519
35 3.1665906906 -7.359139 -19.371210 -21.963596 -7.455716 -4.401610
36 2.8169066906 -6.190644 -15.466986 -6.063420 -1.259201 1.167577
37 2.7702665329 -2.982077 -9.514309 -18.106228 -13.104055 -9.148650
38 2.9317774773 5.237086 -10.233842 -11.150598 -2.934434 -1.532172
39 3.0634446144 -7.599506 -23.456897 -11.543757 -4.980328 -9.421618
40 2.7645070553 1.034685 -8.445939 -17.670195 -2.916757 -9.438895
41 3.1657669544 -5.590039 -21.256735 -15.141129 -12.139068 4.648038
42 2.9873383045 3.860730 -17.009645 -12.780147 -2.472323 -0.122529
43 3.0387253761 4.247248 -7.432185 -22.291842 -3.682488 -10.068089
44 2.7030210495 -5.170149 -12.504076 -17.884067 -7.173370 -6.899639
45 3.3053746223 10.247551 0.725028 -22.385015 -5.259302 -2.625747
46 2.6976206303 3.270316 -10.528925 -13.733779 -5.912432 -6.808138
47 2.7690234184 -3.860715 -14.338668 -14.650997 -8.226231 -13.858268
