evaluations raw_y x0 x1 x2 x3 x4
1 3.4966665274 0.248928 -0.248928 -0.248928 -0.248928 -0.248928
2 3.6821838470 -0.601231 0.601231 0.601231 0.601231 0.601231
3 3.9849852960 -4.877833 4.877833 4.877833 4.877833 4.877833
4 4.8341517200 4.605106 -4.605106 -4.605106 -4.605106 -4.605106
5 3.4435275379 2.540968 -2.540968 -2.540968 -2.540968 -2.540968
6 3.8880802656 -2.820915 2.820915 2.820915 2.820915 2.820915
7 3.8852924314 -2.326088 2.326088 2.326088 2.326088 2.326088
8 3.4313328346 1.981064 -1.981064 -1.981064 -1.981064 -1.981064
9 4.2810710800 1.701131 -1.701131 -1.701131 -1.701131 -1.701131
10 3.7863418291 -1.356181 1.356181 1.356181 1.356181 1.356181
11 3.9084422227 -3.166006 3.166006 3.166006 3.166006 3.166006
12 3.4177000205 3.446027 -3.446027 -3.446027 -3.446027 -3.446027
13 4.4788404600 4.252870 -4.252870 -4.252870 -4.252870 -4.252870
14 3.9628877530 -3.980218 3.980218 3.980218 3.980218 3.980218
15 3.7327399430 -0.873970 0.873970 0.873970 0.873970 0.873970
16 3.5948976595 -0.119107 0.119107 0.119107 0.119107 0.119107
17 3.4369508563 2.232902 -2.232902 -2.232902 -2.232902 -2.232902
18 3.4175580134 3.614428 -3.614428 -3.614428 -3.614428 -3.614428
19 3.4303952563 2.076211 -2.076211 -2.076211 -2.076211 -2.076211
20 3.4381430035 3.251390 -3.251390 -3.251390 -3.251390 -3.251390
21 3.4297441286 3.114623 -3.114623 -3.114623 -3.114623 -3.114623
22 3.4192244102 3.674962 -3.674962 -3.674962 -3.674962 -3.674962
23 3.4175580134 3.601565 -3.601565 -3.601565 -3.601565 -3.601565
24 3.4168149734 3.555075 -3.555075 -3.555075 -3.555075 -3.555075
25 3.4133398099 4.734599 -1.370372 -3.584138 -4.734599 -3.584138
26 3.7498790246 3.142421 -2.524830 2.645358 -3.142421 2.645358
27 3.4155767750 2.450047 -2.397335 -3.416226 -2.450047 -3.416226
28 3.7065497530 3.961095 -2.930043 2.704328 -3.961095 2.704328
29 5.4454470600 4.740878 -1.923268 -4.888775 -4.740878 -4.888775
30 3.5230803552 -1.513073 4.869804 -3.614913 1.513073 -3.614913
31 4.5298042400 -3.654476 -4.711865 -3.493789 3.654476 -3.493789
32 3.4092640282 4.951529 -3.388099 -3.693097 -4.951529 -3.693097
33 3.4206194246 4.419101 0.028097 -3.816997 -4.419101 -3.816997
34 3.4836955373 3.506544 0.878565 -3.578280 -3.506544 -3.578280
35 3.4069379674 4.636846 -2.864410 -3.559810 -4.636846 -3.559810
36 3.4262752723 3.493932 -1.574140 -3.502695 -3.493932 -3.502695
37 3.4059398227 4.486705 -2.669910 -3.624493 -4.486705 -3.624493
38 3.4200573581 4.982445 -2.693026 -3.636862 -4.982445 -3.636862
39 4.3088843200 4.333279 -4.315618 -3.651679 -4.333279 -3.651679
40 4.2684482000 2.238405 -2.633345 -3.556226 -2.238405 -3.556226
41 3.4321395859 4.991173 -2.616288 -3.340217 -4.991173 -3.340217
42 3.4159044730 4.279245 -2.621971 -3.473649 -4.279245 -3.473649
43 3.4150102848 4.718602 -2.623958 -3.765217 -4.718602 -3.765217
44 3.4134177427 4.696251 -2.716222 -3.473749 -4.696251 -3.473749
45 3.4056995098 4.620643 -2.649435 -3.550065 -4.620643 -3.550065
46 3.4106150131 4.679341 -2.670648 -3.627471 -4.679341 -3.627471
47 3.4208636602 4.721214 -2.623553 -3.570707 -4.721214 -3.570707
48 4.4437017200 2.743368 -2.093249 -0.395801 -0.383347 -4.942426
49 3.4249966906 1.817999 -3.301501 -4.170501 0.118402 0.272939
50 4.4433954800 -1.568941 -2.328877 0.795332 -2.818901 -2.983314
51 4.7957517600 2.836200 -1.918403 -3.191710 -2.132761 -4.975680
52 4.6435494800 0.873842 -3.036144 -0.535310 -4.829618 -4.560187
53 4.5347205800 3.560221 -2.918791 -4.767621 2.039042 -3.028662
54 3.5129104013 3.256966 -2.314500 -2.065099 -0.492622 -3.435182
55 3.4462050739 4.389749 -2.954937 -1.930034 -4.474852 -2.485388
56 3.6017310874 3.134728 -2.502441 4.303548 -0.605778 -2.613004
57 3.5373153946 3.534649 -2.931017 4.792321 -3.477960 -3.271177
58 3.4985444832 4.514737 -2.716048 4.417242 -4.851257 -4.020909
59 4.2657558800 4.206363 -2.559175 -4.408012 -3.948817 -3.077587
60 3.4286524474 3.319075 -2.437223 -2.847236 -4.432864 -3.037487
61 3.4060163904 4.346997 -2.766541 -2.805767 -3.251617 -4.364453
62 3.4913842042 3.223468 -2.729765 -2.506236 -2.229501 -3.032740
63 4.2725753600 3.921537 -2.738499 -3.040231 -4.957046 -3.934708
64 3.4802471923 4.928101 -2.824760 -3.960955 -1.065325 -3.685177
65 3.4758123667 4.915665 -2.805435 -3.223711 -1.973455 -3.425843
66 3.5366392109 4.841852 -2.374940 -3.197074 1.193056 -3.602129
67 3.4112341555 4.599902 -2.351408 -3.278908 -4.845720 -3.433008
68 3.4784126266 4.523252 -2.821023 -3.713939 -0.885409 -3.530544
69 3.4064927482 4.583604 -2.782874 -3.389328 -4.485531 -3.603521
70 3.4124753606 4.734131 -2.767371 -3.444203 -4.868534 -3.595847
71 3.4023233434 4.585297 -2.744709 -3.427549 -4.809778 -3.488004
72 4.3242289400 4.514795 -2.636416 -4.058758 -4.967512 -3.520981
73 3.4348278701 4.553336 -2.639871 -3.473160 -2.976454 -3.524666
74 3.4003798790 4.652863 -2.639272 -3.405614 -4.994324 -3.501405
75 3.4014559219 4.600682 -2.695873 -3.426558 -4.964699 -3.568363
76 3.4016183366 4.642553 -2.788817 -3.372902 -4.948725 -3.580224
77 3.4208756525 4.692624 -2.595216 -3.371755 -3.990260 -3.572346
78 3.4046951616 4.617886 -2.631977 -3.408163 -4.994618 -3.465998
79 3.4032536813 4.656035 -2.686684 -3.392304 -4.982749 -3.491861
80 3.4012473005 4.622265 -2.680629 -3.420066 -4.989188 -3.498680
81 3.4046951616 4.627289 -2.584415 -3.415817 -4.967503 -3.479143
82 3.4023862598 4.648112 -2.690603 -3.417524 -4.998166 -3.511419
83 3.4862766163 4.882805 -2.801935 -2.562598 -2.067930 -3.584104
84 3.3934114771 2.461265 -0.931381 -2.808787 -4.912619 -1.932967
85 4.3582755800 0.294626 0.777595 -3.459422 -4.170294 -0.589259
86 4.5094172400 1.629062 -4.177206 -3.757813 -1.473047 -0.288744
87 3.6137994048 4.512710 -2.162669 -1.927035 3.187803 -2.006614
88 3.5369443584 3.780163 0.367945 -3.151959 -0.690297 -3.532678
89 3.4271720870 1.621195 -1.353335 -3.135456 -0.206858 -3.716401
90 3.4888237056 2.608225 -2.201086 -3.159762 0.934202 -2.313615
91 3.3878196173 2.420592 -0.821059 -3.097766 -4.562240 -2.989840
92 3.4840373011 2.231818 -1.915835 -2.772700 0.949966 -1.649037
93 3.4685047238 2.201575 0.083839 -3.346649 -0.074994 -3.654007
94 3.5805877459 2.813517 -0.500561 -3.282028 4.040427 -2.745601
95 3.4761820550 2.408975 -2.659082 -3.148820 1.270750 -1.623548
96 4.3059885800 2.434877 -2.570708 -3.231418 -4.917509 -2.988244
97 3.5988867994 3.027813 -0.222185 -3.445790 3.824546 -3.302543
98 3.4802025062 2.495148 -1.398944 -3.216748 1.651425 -3.284201
99 3.4207726637 2.281495 -0.355905 -3.172267 -2.536542 -2.731303
100 4.3296273800 1.825013 -0.889453 -2.789604 -4.668374 -2.887359
101 3.5860317581 2.112438 0.122714 -3.181424 4.147626 -2.679791
102 3.4115631149 2.304207 -0.346532 -3.265748 -3.069380 -2.983455
103 3.4887589920 2.715060 -0.528501 -3.012236 0.501626 -2.821707
104 3.3949193990 2.522610 -0.309731 -3.229990 -4.657299 -3.241037
