evaluations raw_y x0 x1 x2 x3 x4
1 3.5247144211 1.739263 -3.068204 -1.278131 2.454533 -0.880881
2 3.8463364339 3.949215 2.954731 2.785144 -0.582521 -1.845270
3 3.7172877523 3.602557 1.158327 -3.767176 -2.627254 2.627311
4 3.5295996154 -0.687274 3.223501 -4.359500 3.304087 -4.455816
5 3.7299146976 -1.082308 0.584329 3.710027 4.273659 -2.869808
6 4.4312628800 -2.309268 -4.572867 2.173924 -1.577293 0.208481
7 3.6910967328 -2.656720 -0.282648 0.646985 -0.295163 4.094706
8 3.8355435014 1.013132 -0.654386 3.346882 -1.903421 4.687164
9 3.5736675206 4.441469 -2.940440 4.812195 -3.050893 -1.164991
10 3.5198531597 2.737500 -3.748752 1.551775 0.595806 -3.982292
11 4.6057277000 -4.578536 -2.271189 -3.569180 -4.459273 1.411938
12 3.6609455174 -3.708634 4.886068 -1.883791 4.574059 0.501718
13 3.7917107424 -3.446605 4.169018 0.120049 2.197099 2.060974
14 3.8463065395 0.209200 1.741811 -0.749961 1.506003 3.039616
15 4.4677850400 0.672308 -1.402897 -2.678469 -3.878341 -3.245244
16 3.6148917427 4.558122 -2.217963 4.996482 -1.053355 -0.314797
17 3.6580055328 3.304768 -4.774576 4.609416 1.616486 -0.158593
18 3.6273519014 3.803583 -2.323404 -2.790171 1.379526 1.692501
19 3.5091937152 4.435480 -4.644518 -2.595239 2.209243 -3.998141
20 3.7045264896 4.456058 -1.400707 0.825747 2.176835 -0.196432
21 4.3512455800 2.880396 -0.672873 -4.465494 3.209052 -4.989117
22 3.5905062758 3.091829 -0.180739 -3.577729 4.378026 -3.541234
23 5.1131650200 2.503791 -3.293007 -4.806534 1.873207 -4.895294
24 3.6217595059 2.705894 -4.299383 3.655879 3.896681 -4.863694
25 4.4020166600 3.385422 -4.860841 -2.878481 0.994664 -4.775411
26 3.5650951718 4.801568 -4.673118 -1.882020 4.145191 -3.918218
27 3.6084719117 4.707669 -3.604048 -2.490257 4.909256 -3.247298
28 3.6029603347 3.919228 -4.068307 -0.115989 2.147918 -2.934183
29 3.5793955987 4.400540 -2.680966 -3.176850 4.027445 -3.994184
30 3.4431444576 4.525347 -2.439270 -4.050926 -2.534008 -3.730349
31 3.4357426387 4.921271 -4.696297 -2.256624 -3.833364 -3.391065
32 4.5948751200 4.866163 -3.307534 -4.459838 0.306010 -4.914846
33 3.4705592294 4.836246 -2.081968 -3.700227 -2.757089 -2.095905
34 4.5631498400 4.156717 0.422125 -4.733023 -1.915885 -4.176360
35 4.6423455200 3.881259 -3.008771 -4.183414 -4.834762 -4.648470
36 3.4587792461 4.683504 -2.864462 -2.723387 -2.058003 -3.934156
37 3.5002964160 3.126948 -2.376763 -0.186076 -3.566025 -2.531131
38 4.5608539200 3.181382 -4.314139 -4.557611 -2.698247 -2.067899
39 4.3504263200 3.988267 -4.658870 -4.281007 -2.825389 -3.227954
40 3.4901953574 4.841170 -2.701728 -1.658256 -2.348599 -3.613630
41 4.7763825200 4.797330 -3.690776 -1.841717 -3.653835 -4.816189
42 4.9006600800 4.953675 -4.508507 -3.019038 -3.034553 -4.822525
43 4.5051453800 4.995015 -4.137283 -2.052315 -4.182846 -4.625772
44 3.4433595590 4.487026 -3.640398 -3.060146 -3.018713 -2.294881
45 3.4484509210 4.611067 -3.600929 -2.563187 -3.483669 -2.950285
46 3.4434076320 4.816273 -4.323158 -1.945649 -3.519711 -3.171996
47 4.2962888000 4.954140 -4.454538 -2.841344 -3.991997 -3.364118
48 3.4370865389 4.858892 -4.220608 -2.353935 -3.671032 -3.585558
49 3.4538730221 4.960058 -4.857230 -1.791892 -2.916339 -3.191314
50 3.4364830694 4.865375 -4.891956 -1.982782 -3.766730 -3.157154
51 4.2620178200 4.927247 -4.442446 -2.162512 -3.559068 -3.353329
52 4.2800913400 4.672948 -4.471944 -2.153044 -3.612854 -3.511425
53 3.4329945485 4.784887 -4.294813 -2.125273 -3.720205 -3.448320
54 3.4347596141 4.835757 -4.323969 -2.140643 -3.640108 -3.369724
55 3.4513519219 4.968829 -4.348280 -2.194281 -3.624535 -3.237111
56 3.4517301466 4.925427 -4.230654 -2.176851 -3.695587 -3.329064
57 3.4267481050 4.996663 -4.341764 -2.038298 -3.784148 -3.612501
58 3.4358595898 4.661056 -4.237817 -2.211740 -3.707397 -3.269372
59 3.4402358189 4.792537 -4.239942 -2.068273 -3.676809 -3.285286
60 3.4461118483 4.955621 -4.239363 -2.076413 -3.736233 -3.333709
61 3.4267709837 4.734812 -4.375265 -1.903862 -3.772618 -3.489663
62 3.4348027622 4.714346 -4.378108 -1.949107 -3.739347 -3.549465
