evaluations raw_y x0 x1 x2 x3 x4
1 4.0484477493 -0.611676 -0.065449 3.503843 4.996553 2.290795
2 4.4671485534 1.054082 -3.919692 -3.655156 2.161153 -2.267418
3 4.7283688493 -3.365111 -0.295901 0.023649 -2.812310 -2.239213
4 4.4222676044 -0.422189 -1.792214 -1.113302 -3.995005 1.047331
5 3.9317344313 3.644968 2.627505 2.332067 -2.606695 1.414534
6 3.6834387116 1.819174 -0.846976 -3.703254 1.112385 3.283452
7 3.6273283957 -1.834791 4.567738 -3.389051 0.191224 0.830820
8 3.4279685937 -3.158655 -1.367261 -3.991618 4.428481 -0.159822
9 3.8082607258 3.678345 1.779529 -0.285570 0.857664 -1.475784
10 3.9911844252 4.049697 -1.458714 3.594827 -1.333719 3.936445
11 3.9830347997 -3.420748 2.294169 4.923463 1.571053 3.231936
12 5.1097171338 -3.216072 2.140357 -4.164376 -4.174232 -2.023283
13 4.5735991924 3.686591 1.507612 -4.994789 -4.128363 -3.334358
14 3.7300527065 4.786593 3.860523 -0.834856 -3.860440 -1.208003
15 3.4737790362 1.955925 -4.636282 3.905097 -3.138640 -1.274542
16 3.9452116347 2.192927 0.902859 0.715747 4.366878 -0.454069
17 3.6625980070 -3.071980 3.582656 -4.775367 4.111544 1.335511
18 3.6252926569 -3.774566 4.069036 -5.000000 4.793114 0.231230
19 3.8076893712 4.904394 -0.750872 4.306193 -2.496905 -1.421842
20 4.3437140833 -5.000000 -0.453563 -4.634077 5.000000 -0.063878
21 3.4414799209 -3.307208 -1.125072 -2.002387 5.000000 -2.501447
22 4.6460039728 -3.411099 -5.000000 -5.000000 5.000000 0.479118
23 3.4132939533 2.486758 -5.000000 5.000000 -4.830795 -2.244521
24 3.4810931580 -0.843625 -1.559807 -0.746492 5.000000 -4.869219
25 3.6176684112 -2.337786 -1.686699 -2.406937 5.000000 1.573749
26 3.7787499810 5.000000 -4.662775 5.000000 -5.000000 3.533852
27 4.9447049370 -0.434896 -4.825440 5.000000 -5.000000 -5.000000
28 3.6241905478 2.856093 -4.701010 4.787026 -3.369828 0.721026
29 4.4591428075 2.250237 -3.834706 5.000000 -4.693597 -5.000000
30 3.4455763672 -1.912791 -1.619712 -3.316279 4.816386 -1.808894
31 3.5540614153 -3.050195 -1.772121 0.544294 4.599530 -1.651568
32 4.4337486476 2.912818 -5.000000 1.665219 -4.644376 -1.265148
33 3.5402185517 3.274092 -4.816716 5.000000 -3.731133 -1.376730
34 3.4780263891 -2.894275 -1.706180 -2.271484 5.000000 -1.218190
