evaluations raw_y x0 x1 x2 x3 x4
1 3.6971359253 -0.248928 0.248928 -0.248928 -0.248928 0.248928
2 3.5870795250 0.601231 -0.601231 0.601231 0.601231 -0.601231
3 3.7321534157 4.877833 -4.877833 4.877833 4.877833 -4.877833
4 3.6099822521 -4.605106 4.605106 -4.605106 -4.605106 4.605106
5 3.6928246021 -2.540968 2.540968 -2.540968 -2.540968 2.540968
6 3.6577639580 2.820915 -2.820915 2.820915 2.820915 -2.820915
7 3.6314439774 2.326088 -2.326088 2.326088 2.326088 -2.326088
8 3.5296595097 -1.981064 1.981064 -1.981064 -1.981064 1.981064
9 3.5463907719 -1.701131 1.701131 -1.701131 -1.701131 1.701131
10 3.6367766857 1.356181 -1.356181 1.356181 1.356181 -1.356181
11 3.7100234032 3.166006 -3.166006 3.166006 3.166006 -3.166006
12 3.6755006313 -3.446027 3.446027 -3.446027 -3.446027 3.446027
13 3.6148993969 -4.252870 4.252870 -4.252870 -4.252870 4.252870
14 3.7557852268 3.980218 -3.980218 3.980218 3.980218 -3.980218
15 3.6113576889 0.873970 -0.873970 0.873970 0.873970 -0.873970
16 3.5268220901 -1.888608 1.888608 -1.888608 -1.888608 1.888608
17 3.5268220901 -1.910521 1.910521 -1.910521 -1.910521 1.910521
18 3.5268220901 -1.907945 1.907945 -1.907945 -1.907945 1.907945
19 3.5268220901 -1.909589 1.909589 -1.909589 -1.909589 1.909589
20 3.5268220901 -1.903084 1.903084 -1.903084 -1.903084 1.903084
21 3.5268220901 -1.905946 1.905946 -1.905946 -1.905946 1.905946
22 3.5268220901 -1.901151 1.901151 -1.901151 -1.901151 1.901151
23 3.7483649254 -2.792874 3.262681 -0.713644 -0.713644 2.792874
24 3.8870549202 -2.003135 3.264199 0.899761 0.899761 2.003135
25 4.0540032387 -0.705670 2.652069 4.944375 4.944375 0.705670
26 3.9378266335 -3.635802 2.207325 3.261901 3.261901 3.635802
27 3.6975476742 -2.133655 1.914299 -1.905689 -1.905689 2.133655
28 3.5260961056 -1.166542 3.402152 -1.873050 -1.873050 1.166542
29 3.5354385376 -1.682463 1.862668 -2.085154 -2.085154 1.682463
30 3.5247302055 -1.229846 4.936212 -3.324723 -3.324723 1.229846
31 3.4714567661 -1.342909 2.705495 -2.963501 -2.963501 1.342909
32 3.5104942322 -1.488117 4.598483 -3.645884 -3.645884 1.488117
33 3.5321576595 -1.436450 4.398995 -2.557998 -2.557998 1.436450
34 4.3966979980 -1.460843 -1.932406 -3.822083 -3.822083 1.460843
35 3.5496599674 -1.481907 2.812774 -0.937175 -0.937175 1.481907
36 3.5217492580 -1.239382 2.879890 -2.451403 -2.451403 1.239382
37 4.4354906082 -1.294385 2.811081 -4.915574 -4.915574 1.294385
38 3.5034391880 -1.496891 3.069579 -2.918312 -2.918312 1.496891
39 3.4974601269 -1.408478 3.338949 -3.159395 -3.159395 1.408478
40 3.5103180408 -1.263694 2.913522 -2.895927 -2.895927 1.263694
41 4.4676690102 -1.351826 -4.547061 -2.967061 -2.967061 1.351826
42 3.5308187008 -1.368273 2.432077 -2.846245 -2.846245 1.368273
43 3.4965164661 -1.431761 2.748479 -3.085029 -3.085029 1.431761
44 3.5031692982 -1.389188 2.655886 -2.868380 -2.868380 1.389188
45 3.5153429508 -1.351194 2.809030 -3.023034 -3.023034 1.351194
46 3.4888823032 -1.319098 2.808838 -3.021116 -3.021116 1.319098
47 4.4171876907 -2.514994 -4.545837 0.161698 0.562066 0.900997
48 3.6459839344 1.599673 3.656697 -0.930808 -3.484410 1.164395
49 3.5657305717 -4.042242 3.790271 -1.916403 0.535576 1.759236
50 3.6279163361 -2.385523 4.827260 -1.791021 4.280051 1.229845
51 3.5164577961 -0.686543 3.602948 -2.994531 -4.050990 1.966521
52 3.7911093235 3.668408 1.250817 -2.267549 2.207987 1.026007
53 3.5573983192 -4.550443 2.637379 -3.274860 4.325858 1.358743
54 3.6011428833 2.697023 2.421462 -2.499757 -4.875415 1.052459
55 3.8717012405 2.791932 3.685263 -3.484347 2.010414 1.545173
56 3.5598931313 -4.675127 3.464322 -3.036515 4.284552 1.036914
57 3.4285814762 -3.452146 3.750952 -3.325881 -4.571014 1.311769
58 3.4940273762 -4.846620 4.616440 -2.988891 1.107634 1.345970
59 3.4518108368 -4.640910 4.303180 -3.018584 -4.831108 1.375154
60 3.4428136349 -4.779697 3.329304 -3.225969 -4.744357 1.444841
61 3.4555563927 -4.387297 4.702805 -3.415390 -4.854110 1.392845
62 3.4294590950 -4.228097 4.323300 -2.997002 -4.257099 1.161709
63 3.4046642780 -4.018142 3.205162 -3.211088 -4.900230 1.258753
64 3.3905873299 -4.922698 2.664639 -3.040901 -4.638190 1.178248
65 4.3412466049 -4.760267 2.661332 -3.132909 -4.966829 1.132032
66 3.6010274887 -4.968957 1.996184 -3.956724 -4.578782 2.670717
