evaluations raw_y x0 x1 x2 x3 x4
1 3.9886071682 -0.611676 -0.065449 3.503843 4.996553 2.290795
2 4.4968862534 1.054082 -3.919692 -3.655156 2.161153 -2.267418
3 4.4192652702 -3.365111 -0.295901 0.023649 -2.812310 -2.239213
4 4.3117589951 -0.422189 -1.792214 -1.113302 -3.995005 1.047331
5 3.8562943935 3.644968 2.627505 2.332067 -2.606695 1.414534
6 3.7060532570 1.819174 -0.846976 -3.703254 1.112385 3.283452
7 3.5588471889 -1.834791 4.567738 -3.389051 0.191224 0.830820
8 3.4771614075 -3.158655 -1.367261 -3.991618 4.428481 -0.159822
9 3.8621459007 3.678345 1.779529 -0.285570 0.857664 -1.475784
10 3.9028453827 4.049697 -1.458714 3.594827 -1.333719 3.936445
11 3.8266625404 -3.420748 2.294169 4.923463 1.571053 3.231936
12 4.6996741295 -3.216072 2.140357 -4.164376 -4.174232 -2.023283
13 4.6366267204 3.686591 1.507612 -4.994789 -4.128363 -3.334358
14 3.6222987175 4.786593 3.860523 -0.834856 -3.860440 -1.208003
15 3.5392184258 1.955925 -4.636282 3.905097 -3.138640 -1.274542
16 3.9368309975 3.072364 4.677185 -0.862940 1.272920 -0.258101
17 3.4745199680 -2.964036 -1.984473 -4.332710 5.000000 0.673593
18 3.5848822594 -3.422791 5.000000 -3.806611 3.179435 1.176268
19 3.7782268524 1.993196 2.583414 -4.001952 5.000000 0.241409
20 3.5569393635 -3.389650 1.724790 -2.905075 4.355512 0.391864
21 4.5420293808 -5.000000 -5.000000 -3.871376 1.142461 0.347589
22 3.6395978928 -5.000000 -0.552182 -4.160647 4.625046 4.593925
23 3.6485681534 -5.000000 2.476944 -4.203787 1.873736 2.105341
24 3.5897083282 0.726682 -0.740993 -2.964546 5.000000 1.047154
25 3.5551643372 3.552994 -1.374635 -5.000000 5.000000 -3.285216
26 3.9244811535 5.000000 5.000000 -0.865669 -5.000000 4.212981
27 5.1602940559 -5.000000 5.000000 -5.000000 1.250825 -5.000000
28 3.8160462379 -2.772322 3.853045 -3.148470 2.553785 3.395048
29 4.4382100105 -5.000000 -0.834222 -4.979433 5.000000 0.786986
30 3.5097050667 -2.412412 1.266477 -3.137688 3.812263 -0.142672
31 3.4377067089 -0.422122 -2.558544 4.294607 -1.573583 -0.556149
32 3.4922742844 -0.780544 -1.229162 3.947380 -2.590569 -1.814232
33 3.5892839432 2.998509 -1.821615 4.211405 -1.050807 -2.058355
34 3.5262184143 -2.661506 -0.204009 -3.919335 5.000000 1.630234
35 4.4404354095 -4.305250 -3.573339 4.083967 -1.832767 -2.265411
36 3.6883590221 -5.000000 5.000000 -3.653089 0.880712 4.120937
37 3.4724211693 0.432330 -1.858093 5.000000 -1.613771 -1.640773
38 3.4029505253 -2.659412 -0.862983 -4.374429 2.269055 0.918762
39 3.4179019928 -2.593310 -4.375654 -1.704812 3.470764 0.443304
40 3.6109335423 -0.161995 5.000000 5.000000 -3.847583 -1.184399
41 3.5627827644 -0.971725 -5.000000 5.000000 -0.309303 -1.079394
42 3.4912903309 -5.000000 -5.000000 -1.491617 2.911979 3.218386
43 4.3485851288 -2.006993 -5.000000 -5.000000 2.929713 1.112854
44 3.6635727882 0.739569 -1.115702 5.000000 0.912793 0.023019
45 3.3939607143 -2.873613 -0.411581 -1.558695 2.023324 0.953484
46 3.4343805313 -2.960874 -0.190066 -3.389435 2.439003 1.001149
47 3.5465242863 -2.550860 5.000000 -4.127143 2.152528 1.066827
48 3.4930465221 -2.812020 -3.470732 0.314102 4.488066 0.042513
49 3.6410574913 -4.854479 -0.324709 0.319841 2.162308 3.514923
50 3.6866769791 -0.330264 -0.036383 5.000000 0.427461 -1.401527
51 4.5252532959 -0.114643 -3.487004 5.000000 -4.780509 -1.151518
52 3.6190147400 -0.252954 5.000000 5.000000 -1.978335 -1.604835
53 3.4172413349 -2.742656 -1.945776 -0.966277 2.457112 -0.441571
54 3.5963425636 -1.141997 1.279562 5.000000 -1.617555 -0.421222
55 4.3518667221 -0.392704 -5.000000 5.000000 -1.101005 -2.186052
56 3.5963964462 0.095432 0.443274 5.000000 -0.875779 -0.114773
57 3.4137611389 -2.677154 -1.332410 -2.824318 2.440508 0.252130
58 3.5196614265 1.400660 -0.769117 5.000000 -1.681403 -1.521169
59 3.4305715561 -1.572175 -3.488157 3.791924 -0.175299 -0.318178
60 3.4136278629 -1.061761 -2.072738 3.273694 -1.207579 -0.790060
61 3.5429577827 -0.198793 0.994924 3.649027 -2.288449 -1.665437
62 4.2690043449 -2.931789 -3.641945 -0.091832 2.466441 0.676947
63 3.4747512341 -2.358803 -2.854873 -1.912029 4.817050 0.047234
64 3.4668533802 -2.133277 0.755039 -5.000000 1.787927 0.658134
65 3.4132204056 -2.486211 -2.790340 -4.219802 3.765337 0.000627
66 3.5488643646 -1.810778 0.895535 -2.566859 3.015144 0.380374
67 3.3840873241 -2.609392 -0.581979 -3.024611 2.277639 -0.781924
68 3.3949720860 -3.103905 -5.000000 0.587245 3.808954 0.186520
69 3.4557189941 -2.025892 -0.129564 -5.000000 4.835239 0.207346
70 3.4459831715 -0.332933 -1.107944 0.544612 -1.886486 -0.909343
71 3.4887332916 -2.711020 -3.603080 0.309854 4.027721 1.190447
72 3.5294365883 -2.545329 -3.842273 5.000000 3.537362 -0.528004
73 3.5974183083 -0.281905 -2.805482 5.000000 -0.423068 -0.324130
74 3.4724278450 0.730376 -2.387352 5.000000 -2.553892 -1.725401
75 4.2833032608 -2.604429 -0.426032 -5.000000 2.271941 0.080910
76 3.5676858425 -1.849762 0.049829 -0.932181 3.981653 0.894738
77 3.8533086777 -2.769310 2.824233 1.647063 2.253185 1.436973
78 4.4232516289 -4.225957 -3.616497 -5.000000 1.860386 3.976672
79 3.4799053669 0.854582 -1.764757 2.707160 -1.829846 -0.201025
80 3.5129830837 -2.351776 1.948052 -2.630255 1.503443 0.858117
81 3.4713921547 -3.694814 -1.692657 -1.965103 3.612833 0.854312
82 3.5362396240 1.257120 -0.429018 2.583198 -1.756293 -1.288397
83 3.6484074593 -0.710810 -1.569506 1.717676 -0.596867 0.628408
84 3.4818668365 -2.287122 -2.277694 -2.413996 4.157969 -0.207203
85 3.4706952572 -2.350131 -2.343154 -2.721991 3.930527 0.400815
86 3.5179922581 -2.627186 -1.285947 0.612368 2.583890 -0.852407
87 3.4058017731 -1.849657 -0.233776 -4.243331 1.568212 1.029342
88 3.4247758389 -2.534045 -0.034266 -1.842369 2.445760 -0.834033
89 4.3388004303 -3.303813 -3.941421 -2.269212 3.412569 -0.023825
90 3.6124508381 -1.322250 0.568895 -2.602240 3.000198 1.040839
91 4.5753245354 -4.571730 -4.970405 1.725480 5.000000 3.445857
92 3.7895104885 4.888522 -1.354420 -0.149696 5.000000 -1.176917
93 3.6071863174 -0.858081 -1.369035 -0.735824 5.000000 -1.227823
94 3.6434702873 3.281897 1.043241 3.706207 -2.502302 -1.467643
95 3.6157257557 -0.525339 -1.629672 2.533991 0.824392 -0.993953
96 3.5456254482 -1.275417 0.138209 -1.793541 3.170267 0.720325
97 3.5623703003 -0.634910 -1.345175 -1.779184 5.000000 -0.923071
98 3.5281648636 -1.635541 -2.257988 -1.375115 4.712429 0.335634
99 3.4985685349 -1.918395 -0.417472 -2.763463 5.000000 0.160983
100 3.5374834538 0.614293 0.442023 2.806345 -1.663270 -1.177234
101 3.4922866821 -2.485110 -3.861413 2.198335 5.000000 -1.726097
102 3.5244662762 -2.383981 -1.015853 -0.090774 4.428667 -0.593100
103 3.5074970722 -2.093069 0.249161 -0.401185 1.439665 0.649969
104 3.5285906792 -2.891517 1.672402 -2.352408 2.303837 0.820640
105 3.6736433506 -1.193939 0.845340 0.817318 -0.309637 -0.598225
106 3.5703902245 2.129301 -3.829762 3.103019 -1.290830 0.070588
107 3.5641982555 1.542744 1.704159 3.080582 -2.886095 -3.060873
108 4.1491909027 5.000000 5.000000 5.000000 5.000000 5.000000
109 3.5287201405 -1.907838 0.438707 -3.283867 3.617161 1.012462
110 3.5512013435 -1.074717 -5.000000 3.048980 4.625266 -0.964110
111 3.5450232029 -3.442514 -2.124721 2.986600 4.227922 -2.132852
112 3.8270606995 -0.439461 3.189207 -5.000000 0.981711 1.996904
113 3.5856680870 4.110775 -2.862975 1.933132 -3.020770 -1.502381
114 3.5041248798 1.319213 -1.162084 2.699163 -1.863247 -1.234153
115 3.5532474518 -1.158060 -3.815050 5.000000 0.032976 1.885363
116 3.5012691021 -3.521350 2.127783 -2.118913 1.549632 1.320656
117 3.7083110809 5.000000 2.411552 -4.386875 5.000000 -3.356975
118 3.4931998253 -2.627313 -5.000000 1.350564 5.000000 -2.439728
119 3.4829270840 -2.594395 -1.700385 -0.923049 5.000000 -1.570719
120 3.5044488907 -1.469152 -0.511558 -3.696532 5.000000 -0.220924
121 3.6284580231 5.000000 -1.509725 -5.000000 5.000000 -0.255484
122 3.4968681335 -2.278123 -5.000000 3.522423 3.811336 -2.418640
123 3.5514097214 -2.004062 -2.546826 2.158209 3.884661 -2.086428
124 3.5377435684 0.677044 0.806987 2.398977 -2.510738 -0.711976
125 3.5803253651 3.969900 -2.155401 4.047293 -3.391133 -3.941686
126 3.5446164608 -2.658262 0.390765 -2.466604 3.367295 0.955109
127 3.5000619888 -0.488496 -2.710552 -5.000000 4.742344 -0.257856
128 3.6676902771 -1.488958 -1.425538 -5.000000 4.333630 2.925992
129 3.5008325577 1.406143 -1.704430 5.000000 -2.427588 -0.372026
130 3.5087013245 -0.277947 -1.974319 4.593691 -1.841567 1.336116
131 4.3702192307 -1.522300 -3.994130 -1.626336 4.631736 -1.912740
132 3.5431673527 -2.123831 -2.602306 -2.502329 5.000000 2.386498
133 3.5469889641 0.711138 -0.898822 -5.000000 5.000000 -0.130395
134 3.4322857857 -4.304444 -5.000000 2.781258 5.000000 -1.664060
135 3.4684097767 -4.626975 -2.739638 1.588163 5.000000 -1.227488
136 3.5008234978 -1.234887 -0.998523 -3.216436 3.673029 0.884746
137 3.4841043949 -4.639822 -0.162006 -0.529597 3.750008 -0.447000
138 3.4739925861 1.006805 -2.021885 3.590388 -1.424255 -0.327012
139 3.5443515778 2.001819 -1.773147 2.614202 -2.228777 -2.261702
140 3.4299080372 -3.834247 -5.000000 2.907416 4.003822 -1.289192
141 3.4381232262 -3.573340 -5.000000 2.839876 5.000000 -1.434214
142 3.4309899807 -3.391586 -4.120753 2.781248 3.821154 -1.078810
143 3.5124979019 -2.942676 0.299095 -2.442626 1.195772 1.541199
144 3.5100619793 -3.434880 0.315977 -1.702532 2.710349 -0.197323
145 4.1641798019 5.000000 2.880970 3.064472 5.000000 5.000000
146 3.4798059464 -3.164939 -3.532896 2.388248 5.000000 -1.090952
147 4.3771080971 -4.900611 -5.000000 2.836628 5.000000 -2.559140
148 3.7945888042 4.639604 -3.692122 3.119357 2.984150 -0.362004
149 3.4965636730 -2.529678 -3.781891 2.612612 4.388047 -0.700134
150 3.4878811836 -2.252264 -5.000000 3.189422 3.530205 -0.668754
