evaluations raw_y x0 x1 x2 x3 x4
1 3.7529802322 -1.307538 1.009727 1.594881 -3.367630 4.391096
2 4.8958482742 -3.635758 -2.099841 -2.260300 -2.986109 -3.604341
3 4.9281759262 -1.854033 0.928392 -4.843707 -4.858541 -1.393038
4 3.7046656609 1.273651 0.121335 0.752524 3.254340 -0.319386
5 4.0199904442 0.829759 4.458446 2.521479 0.239045 0.533439
6 3.7018699646 -2.552990 -0.374545 -0.491020 -1.730921 4.237194
7 3.6199905872 2.478062 -1.143836 -3.322793 0.832118 1.817433
8 3.5338068008 2.129178 -3.234208 1.683151 -0.535537 -1.739659
9 3.8283045292 4.131095 4.051275 -2.759776 4.669627 -0.704023
10 3.8149793148 -0.401417 2.860913 3.274635 2.704793 -4.958886
11 3.5726928711 3.233261 -4.717222 -1.023473 1.727665 -3.679247
12 4.0482821465 4.559154 3.282489 4.128531 4.304101 -2.693263
13 3.7013826370 -4.222729 2.135469 0.072870 1.524260 3.384893
14 4.3385858536 -4.721103 -3.928539 4.460817 -3.782847 1.534324
15 3.5270469189 0.154600 -2.545563 -4.266172 -1.016640 2.433814
16 3.8347349167 -0.404643 -3.878806 3.450464 0.813943 2.219697
17 3.5677869320 2.909544 -2.240068 -4.378464 0.663269 0.268195
18 3.8103234768 -0.658938 -4.970266 3.005119 -1.043713 4.273457
19 3.8461594582 1.244915 -3.802208 2.176365 1.305855 4.875929
20 3.8340935707 2.882786 -4.772404 2.765718 -0.857435 2.936856
21 3.5165903568 0.330015 -4.925591 -4.886869 0.219495 3.088340
22 3.4731798172 1.189833 -3.842409 -2.106398 -2.014492 1.699837
23 3.5470559597 0.508296 -4.078423 -2.741723 0.367664 2.285114
24 3.5434832573 -0.225362 -3.683944 -4.669381 0.377537 3.648758
25 3.6300814152 -0.189128 -1.655826 -4.754410 -0.585457 3.439200
26 4.4434108734 1.408706 -4.354328 -3.150220 -3.148686 1.046168
27 3.4538166523 1.899386 -4.983392 -4.401508 -0.691224 0.491206
28 3.6193835735 1.954827 -4.254854 -1.993694 -1.392045 2.425271
29 3.5095791817 0.471585 -4.743224 -4.600640 -1.278874 2.811149
30 3.4899172783 1.275329 -0.989965 -4.454714 -0.300927 1.194819
31 4.7351903915 -0.928644 -1.946677 -4.958591 -1.054284 1.050119
32 4.3415517807 -1.471662 -1.564323 -3.304057 -0.690001 -0.743601
33 4.8102655411 0.773850 -2.201161 -4.927406 -0.860016 -0.708790
34 4.4178981781 4.940170 -1.134360 -4.188400 -0.932854 -0.664279
35 4.3201370239 -0.792599 -3.760294 -4.725617 -0.802524 0.560524
36 3.4683196545 0.846399 -3.943109 -3.856166 -0.002557 1.277203
37 3.4775521755 2.226971 -4.156103 -4.509844 -0.075671 1.251847
38 3.5279045105 2.427957 -4.870776 -3.899948 -0.680420 1.306544
39 3.4474408627 1.032022 -4.790197 -3.870660 -0.210456 0.995458
40 3.4779360294 2.058486 -4.338028 -4.160237 -0.112016 1.118622
41 3.4618666172 1.586655 -3.837111 -3.025928 -0.772792 0.368942
42 3.4396340847 0.885958 -4.928878 -4.711963 0.259791 1.069313
43 3.4809889793 1.481193 -3.101012 -3.114549 -0.049079 0.472493
44 3.4463238716 1.377006 -4.670645 -4.778575 0.499819 0.718444
45 3.4741411209 0.311731 -4.324018 -3.305207 -0.810727 1.441926
46 3.5281116962 1.701994 -3.439206 -4.759367 0.688883 1.814542
47 3.4450900555 0.551137 -4.009515 -4.693816 0.979086 1.177710
48 3.5545849800 1.584119 -3.222427 -4.050438 0.185786 1.832398
49 3.5281116962 1.665618 -3.766160 -4.873421 0.385142 1.396933
