evaluations raw_y x0 x1 x2 x3 x4
1 3.4183778763 -2.876276 0.735490 -1.223788 3.735289 -4.894443
2 3.8166339397 1.469025 -2.081106 2.306991 0.552177 0.835506
3 3.7715845108 -1.860951 1.527675 3.823688 4.043005 -1.346900
4 3.6620683670 4.435547 -4.679670 -2.908139 -1.050049 4.263757
5 3.4674201012 -3.099380 0.710419 0.859101 1.045025 -3.645895
6 3.5383543968 -0.557516 2.858343 -4.701999 -3.289264 2.942689
7 3.4932990074 -3.264308 -3.128603 2.519797 0.909483 -1.506047
8 3.8891470432 2.482247 4.558064 4.853745 -3.697961 1.905589
9 3.8409717083 3.516587 0.033809 1.174897 4.946436 -4.316009
10 3.7791948318 -2.111180 2.325026 4.016291 -1.410185 0.955909
11 3.9769840240 3.053878 3.499493 -4.239265 1.869391 2.700724
12 3.8805840015 3.792164 -0.193928 3.604259 -2.769120 3.165335
13 4.5673294067 -4.996093 -3.145500 0.088567 -1.155776 0.487165
14 3.4992260933 -1.373866 3.898251 0.993126 -0.132371 -3.341686
15 3.7900052071 -1.163858 2.562301 -0.323644 4.477751 -0.514471
16 3.8857445717 1.689854 3.562824 -2.841106 1.438546 3.278468
17 3.5486569405 -1.970341 -1.642679 0.281595 2.757389 -0.200350
18 3.8773961067 -0.646573 -0.441481 3.154147 4.615501 -1.180708
19 3.6575448513 2.099249 4.397251 -1.323721 -2.924048 -2.744915
20 3.6132395267 2.376184 -4.249582 2.138358 0.785256 -1.708653
21 3.6647081375 -2.801889 2.452833 1.971818 1.679361 -3.175524
22 4.0724124908 2.833188 3.230756 -3.334507 4.364186 3.725176
23 3.5208144188 0.321319 3.313939 -3.078698 -3.253102 2.194269
24 3.4920868874 -1.581778 -0.881059 1.802553 -0.392505 -2.727579
25 4.6172599792 0.585947 -2.536152 -0.542950 -4.361403 -4.124894
26 3.4805917740 2.629561 -2.416114 2.698075 -3.032239 -2.347188
27 3.7868740559 -0.206603 2.932092 3.525018 -2.065674 1.193892
28 3.5777757168 -4.693340 4.325059 -1.401191 -3.582110 4.774008
29 3.4709057808 -2.550473 1.129620 -0.176684 -4.300727 2.847717
30 3.5592727661 -2.317623 -0.581345 3.288144 -2.264396 -0.144789
31 4.3584175110 -3.956583 4.745523 -3.412927 -0.949521 -3.846850
32 3.6044113636 -3.485677 3.981885 1.032716 -4.862176 0.631966
33 3.5208516121 0.715960 -3.491868 -2.649002 -2.066674 4.452593
34 3.4763133526 1.593344 -4.969313 -1.774783 3.349790 -2.477184
35 3.5291492939 0.376487 1.396039 -3.768677 3.638826 -2.290610
36 4.8448209763 -4.314403 -4.778397 -2.451557 3.400653 -3.714183
