evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 1.3300805092 4.846248 -2.362605 -0.113989 4.501316 1.207797 -2.987693 -1.442909 -1.421524 -1.853240 -0.913422 -1.366483 4.202175 2.339268 0.737993 1.569923
2 2.0594286919 3.248813 -1.518902 -2.311104 3.908682 1.181407 -3.631373 -1.145982 -0.221555 -1.812848 -0.152985 -2.077118 4.289123 1.335111 1.522701 0.099985
3 1.4292697906 4.800997 -1.115513 -2.997897 4.913978 2.008835 -2.902409 -2.483105 -1.693441 -0.371529 -0.422625 -1.260133 4.729688 1.786465 -1.895736 -0.531692
4 1.3887398243 4.683894 -2.172246 -0.793067 4.641166 1.457652 -3.788146 -0.950399 -1.521954 -1.760552 -1.778446 -0.214581 2.736878 3.794639 0.311448 -1.984548
5 1.3746353388 4.828721 -2.726771 -3.836263 4.146375 1.130234 -1.134100 -1.347430 -1.700959 -0.947926 -0.963353 -1.585767 3.410911 2.344711 -0.583127 -0.981714
6 1.2982611656 4.958273 -0.773794 -2.700595 4.940298 0.378415 -3.427381 -1.683742 0.995267 0.272287 -0.335608 -1.094401 3.711806 1.431277 0.661839 -1.595377
7 1.8102184534 3.628091 -2.103300 -2.555671 4.891298 1.692236 -3.800721 0.489413 -1.605782 -1.888971 -1.501680 0.513639 4.038062 0.710913 1.413524 -0.667929
8 2.0141112804 3.099136 -1.190294 -1.329055 4.682183 1.946161 -2.954319 -0.543999 -1.508613 -0.653239 -0.145452 -2.033476 4.209973 2.324839 0.284474 0.919462
9 1.6697044373 4.011246 -2.497874 -1.786155 4.971276 1.104831 1.264533 -0.772881 -0.536678 -0.302953 -1.677249 -0.886586 4.094667 3.864522 -1.361873 0.504453
10 1.3960919380 4.740912 -1.509768 -1.742561 4.964731 1.470743 -3.417653 -1.402495 0.033485 -0.320936 -1.663877 -1.145349 4.192015 2.838936 -0.034426 0.895980
11 1.7149219513 4.126906 -3.830911 -0.160289 4.414736 3.182891 -2.828367 0.316257 -0.594930 -0.992924 -1.254840 -1.957617 3.970215 2.067622 0.543199 1.705576
12 1.4042855501 4.999975 -4.793759 -1.821216 3.383672 1.659298 -3.146260 -2.247646 -2.914830 -0.557891 -1.176049 -1.800359 4.973627 1.315133 -0.320331 0.097093
13 1.5635447502 4.267683 -3.130587 -2.385117 4.323089 2.116644 -2.170052 -2.120591 -0.778825 0.615113 0.912516 -0.302768 4.973898 2.012460 1.160278 -0.814219
14 1.5698401928 4.515322 -1.777986 -0.315784 4.901734 2.804283 -4.976404 -1.013923 -1.505779 -2.132060 -1.721176 -0.942622 4.888159 2.020209 0.140244 0.959527
15 1.2774738073 4.893314 -1.168286 -2.444158 4.881525 1.879838 -1.082838 -0.849195 0.212056 2.298661 1.120110 0.441544 4.744963 2.001223 0.052572 -0.429739
16 1.4410142899 4.652979 -0.140223 0.217099 4.799168 1.249261 -1.889674 -1.132904 0.496479 -1.585986 -0.555186 -2.226742 4.361950 0.630733 -1.051689 -0.533729
17 2.1164844036 2.721774 -2.074117 -1.848674 4.406136 0.693254 -3.423160 -1.131181 -1.884214 0.063799 -0.950437 -0.758530 4.143674 2.288403 1.009737 -0.376337
18 1.2646613121 4.993412 -1.292537 -1.748214 4.545997 1.460462 -3.601144 0.264090 0.193109 -1.786132 -0.402036 -0.939573 4.060885 1.255968 0.401749 -0.663254
19 1.9236128330 3.325562 -2.728243 -2.838476 4.862352 -2.236542 -2.994713 -2.136864 -0.162082 -1.239740 -2.632692 -0.252888 3.619592 1.973799 -0.232912 -0.462704
20 1.3489583731 4.833877 -2.825316 -1.886823 4.278984 2.142768 -1.211464 -1.549913 -0.336414 -1.676112 -0.127533 -2.020281 4.276375 2.699047 -0.555498 -0.590797
21 1.7531141043 4.020366 -1.986920 -2.986862 4.199196 0.405291 -3.057654 -1.330515 -0.597963 0.343946 -1.779744 -2.416215 4.147460 2.431897 -0.569930 -0.871544
22 1.4417191744 4.713098 -1.576923 -1.312079 4.557483 3.569687 -3.188948 -2.498025 -0.679957 -1.071434 -0.900954 -0.205276 4.804350 1.108579 0.254324 0.693608
23 1.3583053350 4.884595 -1.563192 -2.178227 4.994619 0.233194 -4.039860 -0.941044 -0.144700 -1.556589 0.433481 -2.075199 4.198824 1.569639 -0.990480 -0.557890
24 1.7159529924 4.053858 -0.912226 0.208034 4.056711 1.804872 -4.322615 -2.146013 -0.589364 -2.250153 1.460925 -0.176730 4.715950 1.201739 -0.674285 -1.792619
25 1.2823400497 4.989704 -1.322139 -1.612452 4.063600 0.742195 -2.433020 2.616293 1.487394 0.051471 2.120255 0.030957 4.672505 1.182598 -0.177861 -0.014359
26 1.5115073919 4.546575 -1.583538 0.562379 3.402566 1.720901 -2.502357 -2.056710 -0.217774 -1.482735 -0.655059 -2.036831 4.001482 1.404711 -0.492047 -1.467740
27 1.3869972229 4.687216 -3.193745 -1.631592 4.529488 1.640162 -2.513420 -1.336934 -0.002830 -1.969004 -0.602722 -1.336653 3.730657 2.241429 0.517885 -2.281435
28 1.2780263424 4.970468 -3.994365 -1.890941 3.989529 2.740442 -3.201679 -0.768624 -0.030856 -1.400484 -0.304873 -1.307943 2.488478 2.666152 0.250769 -0.936007
29 1.6932396889 4.102811 -3.519092 -1.488848 4.852385 2.454194 -3.305909 -1.262827 0.737415 0.299746 -0.173345 -2.133110 4.033401 1.635871 -0.911073 -1.407921
30 1.3825302124 4.825539 -0.818098 -2.079162 4.431036 2.105632 -3.117100 -0.941501 0.402509 -1.424311 -0.709030 0.401597 4.911962 0.104465 -0.412321 -0.990393
31 1.3825287819 4.704229 -0.772917 -1.305999 4.942954 1.734181 -3.027675 0.146383 1.316874 0.369361 -0.187896 -0.974815 3.770450 1.635948 -1.225479 -0.327394
32 1.4135373831 4.791646 -2.660670 -3.054551 3.741501 1.779974 -2.062068 -2.185685 -1.146453 -0.878691 -0.005775 -2.150845 2.721059 0.655833 -0.011869 1.944629
33 1.6250600815 4.288205 -1.528880 -3.237789 4.308793 1.363438 -3.215941 0.507730 -1.127689 0.894682 -0.639805 -0.655136 4.613600 2.240746 0.171603 0.331505
34 1.3869904280 4.980590 -2.723912 -1.378895 2.428954 1.763129 -2.789237 -0.624907 0.591784 -1.769664 1.226953 -3.488992 4.695588 1.227074 1.637815 0.572943
35 1.4502413273 4.792348 -2.794013 -3.141704 4.621418 2.365196 -2.406217 2.329860 0.743596 -0.311912 0.528806 -0.961953 4.298494 -0.427631 -0.992348 -0.572814
36 1.8978313208 3.410209 -2.505760 -2.023231 4.998465 0.529582 -4.444075 -2.038594 0.304178 -1.813618 0.206908 -1.285004 4.939624 3.175228 0.803918 -0.753621
37 1.2233866453 4.940480 -2.680163 -0.822578 4.170089 2.022136 -1.901161 1.097804 -1.755225 -1.350023 -1.411386 -1.391243 2.501232 1.670689 0.230269 0.993917
38 1.4435312748 4.447626 -2.901457 -1.180614 4.419773 1.889029 -2.903481 0.311487 1.001314 0.397634 0.983890 0.139264 3.524153 3.580352 -0.196256 -0.611864
39 1.2927466631 4.884822 -1.888087 -2.615653 3.219655 1.344953 -2.682188 -0.469310 0.428044 -0.682082 1.112648 -0.984636 2.263536 0.547268 0.765826 -1.878933
