evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 1.8559204340 -3.687320 4.789332 2.118419 -1.820200 -1.507339 -2.453203 0.136444 -0.241327 -0.639085 -1.257111 3.744574 -0.361504 1.211632 -2.448730 4.642810
2 1.3142578602 -10.316962 3.561449 -2.586695 5.415728 7.441451 -10.269380 -3.577509 -8.594845 -4.700006 2.747414 9.819915 0.473953 2.377010 -8.632674 22.129318
3 1.3146998882 -8.563932 -10.390928 -9.699713 2.043277 24.067047 -21.012323 1.819123 7.520912 -1.089584 8.995488 0.366425 15.289786 -7.113323 -2.927826 17.217000
4 1.3144608736 -13.442847 4.018533 -3.475978 2.322524 21.876445 -13.217140 -4.457965 -7.164109 -7.930754 -1.472691 9.642505 -13.432024 3.061297 -13.713271 27.621444
5 1.3145041466 -20.543166 3.058054 -22.949531 2.903119 -1.273233 -8.981085 2.032437 -19.180207 -13.241048 -10.583893 -2.926258 21.590230 9.729170 -10.949035 17.492714
6 1.3145010471 -26.959797 8.038877 -15.250894 -9.092646 16.683879 11.096199 7.673841 -19.686878 -5.442030 -11.572494 18.468767 -14.044921 -14.364202 0.781542 31.398229
7 1.3145087957 -7.043108 -3.339256 -5.103398 9.551203 10.227141 -28.474474 1.535344 -18.512793 -8.492864 6.102097 25.824658 7.975168 8.971189 -8.963084 10.473491
8 1.3145012856 -15.051174 -8.487761 -14.910071 5.873830 5.568169 -13.028533 6.656260 -20.750538 -7.644839 -10.099198 -0.757109 8.963128 25.883816 -15.098523 28.159442
9 1.3145085573 -0.318638 -9.327275 1.011192 -12.314248 6.210923 -6.762194 -19.902266 -5.152425 -32.377726 -19.938964 7.152614 9.445519 2.625654 7.285812 14.890437
10 1.3145014048 -9.027530 7.329628 -21.048613 -0.433040 -2.196543 -27.118124 -8.928747 -1.959999 -3.861637 -5.412646 25.883323 -9.541634 -6.155374 -9.664732 28.848715
11 1.3145010471 -17.822829 12.291299 8.123543 6.978383 3.252707 -34.580175 1.137814 -13.716238 0.245426 21.753971 11.596537 11.307102 8.290056 1.772400 26.688317
12 1.3145375252 -9.614016 -7.104278 -12.002928 -4.260725 -7.439224 -7.095601 -3.519805 -15.667297 -5.163707 16.184716 18.239133 13.426039 -13.557351 -17.781740 10.835414
13 1.3145443201 1.274059 -6.873873 0.102647 -8.140941 13.309574 -24.592457 -19.925809 -3.628025 -5.121342 14.654547 10.020933 0.086126 -8.749760 -2.494882 24.505384
14 1.3145097494 -7.893032 11.051516 -17.242852 13.014386 21.801467 -6.061323 -4.528223 -17.031796 -6.921113 -10.293715 7.608080 -20.041013 9.923239 -9.421667 21.767097
15 1.3029106855 -22.922491 -2.402354 -6.677498 -2.862746 -2.602824 -12.589606 8.028410 0.543785 -3.445886 -13.022366 6.492729 -3.211209 15.194685 -6.377933 3.574658
16 1.3145010471 -46.485648 5.728338 1.640733 -2.064844 -1.764932 -25.562350 -12.576422 4.683303 -3.336979 -23.073014 -10.110142 -15.467660 18.524625 -30.076382 2.066260
17 1.3113064766 -16.738381 0.871890 -14.489816 -9.340735 -17.450786 -14.135994 11.080358 7.466770 -4.237794 2.772170 10.968634 -4.738641 6.115049 -8.824525 1.024931
18 1.3144749403 -14.882891 -8.704146 -5.044372 -15.010907 -3.342090 -0.678462 26.415592 10.309136 -17.697022 -2.113132 11.984790 6.662157 13.582702 -20.556542 -0.189048
19 1.3119943142 -20.866559 5.087851 -15.710230 1.035910 3.115206 -7.117076 -5.292528 13.596127 2.433782 -10.475908 -4.598754 7.924583 17.730720 2.355182 1.761054
20 1.3114492893 -21.074301 -1.284012 -18.563325 0.220967 0.008647 3.093274 -3.049688 1.576797 -7.164042 -16.083831 -6.545941 1.150705 4.477382 -10.263906 11.853689
21 1.3173501492 -10.552667 6.132629 -14.921470 -0.145071 -9.871539 -20.727069 7.164637 -12.907922 7.150054 -10.835831 8.025726 -4.989707 8.995932 -0.889704 3.124199
22 1.3143839836 -16.188820 -16.985362 -3.528199 -15.727350 -6.639810 -13.467571 5.441027 1.286644 -19.629410 -8.064611 14.207865 5.156456 16.336739 -4.101853 -8.562373
23 1.3131787777 -21.536382 -6.941527 -12.561718 7.459169 4.458006 -1.898290 9.164880 1.685988 0.236999 -7.264274 11.877447 3.699847 22.557453 5.566279 10.708088
24 1.3144770861 -19.107436 -1.645935 3.259249 -4.259573 -8.443270 -6.680144 22.528549 17.600282 -13.439357 -3.793276 20.847590 -0.874785 14.815353 -15.919077 4.976676
25 1.3129618168 -18.884851 -1.627234 -7.041114 2.420643 -0.182885 1.828890 10.250760 6.435541 -24.546721 -14.737314 4.361436 3.167091 16.184464 0.529929 -1.929784
26 1.3146123886 -10.697880 5.400625 3.964639 2.321165 1.498464 -20.681903 11.431042 -9.915988 5.606614 -18.237210 4.380604 2.231425 28.206717 -8.330550 9.826988
27 1.3142561913 -22.216193 4.670566 4.689284 -3.288130 -7.373559 -12.833081 0.917176 1.040314 -0.940413 -18.362043 -6.192408 -3.134474 19.893469 -13.131648 10.788477
28 1.3144848347 -15.762411 -5.713834 -4.688619 -2.899031 -7.506575 -16.028549 1.247663 -19.844576 -1.589780 -21.075998 -5.093076 1.997805 20.503398 -3.393310 0.359231
29 1.3125647306 -22.083788 -3.716782 -5.560198 5.668791 -9.231231 -5.274091 3.137386 -10.895591 -15.117008 -10.174715 13.102540 -0.158405 16.496489 -2.060347 9.994604
30 1.3118780851 -17.153700 -16.629925 0.368878 -0.528434 -10.698019 4.299362 2.479882 12.386372 -8.136838 -19.056459 5.823523 8.212054 5.052329 -10.042293 -1.398072
31 1.3144444227 -21.802451 -5.127973 -7.516764 -8.834766 3.345852 -2.480214 5.663517 -1.990380 6.671647 -4.123401 13.235240 10.861295 21.330298 -22.032247 5.120809
32 1.3142076731 -17.004185 -5.743841 -3.488582 -6.015069 0.921385 -22.076125 9.464838 6.030153 4.543944 -18.861638 17.011650 -8.185642 4.336796 -1.642389 6.896240
33 1.3145010471 -35.191991 -14.753172 -2.328403 -18.243322 8.737861 -28.042600 0.989929 -11.025262 -4.548547 -15.640973 6.321855 6.222254 14.721934 -4.251502 8.709896
34 1.3135387897 -17.526949 -10.469831 -12.374387 11.712423 -6.837486 -20.186684 13.944614 -3.022966 -8.042888 -9.810164 5.494992 0.508637 11.324858 -5.473792 0.260615
35 1.3178560734 -6.189556 2.315938 4.039650 -1.020719 -1.390850 -17.925019 10.095898 -8.257138 -3.067861 -12.806788 7.648831 -5.234526 20.552378 0.277601 12.247218
36 1.3144804239 -21.013070 -11.897634 0.225078 -5.038409 -2.673590 -1.211885 13.199499 -2.559980 -6.471606 -23.770463 23.205629 -2.149972 20.886201 -7.670647 -4.913296
37 1.3143023252 -31.494085 7.763981 -8.412643 4.113862 -8.933076 -2.938544 7.328153 -14.032311 5.124483 -14.288741 4.924682 -12.024904 8.681686 -12.025303 4.701097
38 1.3145216703 -21.762392 1.872858 -12.526931 -12.380401 -8.194892 -16.570929 15.356545 -7.487284 13.306316 -20.961296 -3.075433 7.193081 7.846657 -10.650142 -1.467625
39 1.3144974709 -31.013725 -9.615639 -10.129542 6.048210 1.860250 -9.051530 9.758816 1.098221 -5.700584 -20.388357 3.646284 2.452802 26.669641 -12.343745 7.414834
40 1.3116919994 -24.016261 6.160803 -6.564209 14.217464 -1.216902 -8.564618 1.110129 -0.558007 -5.495350 -13.402420 9.983013 -4.826134 18.827505 -4.055747 1.443533
41 1.3142362833 -33.452889 2.325897 -10.943396 -3.832694 -1.811189 -14.590021 12.288695 -9.966313 1.432486 -4.476278 -1.309950 -2.852777 13.145796 -8.056768 6.745482
42 1.3108267784 -21.328459 -1.595446 -11.004997 -2.689804 9.112114 3.565290 4.127358 -4.213387 -2.531375 -12.615696 -6.819941 3.977746 18.568060 -5.317378 14.338530
43 1.3130887747 -29.505541 3.226531 -4.875880 -9.094245 -0.138952 -10.050324 1.535027 0.608180 2.244123 -14.408301 5.034020 -9.142233 9.144985 -9.937559 10.818721
44 1.3144816160 -28.059269 4.006476 3.142500 -6.837568 5.087452 -14.572326 20.914876 -1.235268 -2.710839 -21.517502 -1.259449 -7.423399 18.645202 -8.357203 2.218307
45 1.3142014742 -24.381030 1.259772 -9.213770 2.447386 6.846078 -13.141642 14.516203 11.744794 -4.211058 -23.264461 -4.905683 3.628988 4.152611 -4.129817 3.170096
46 1.3141422272 -25.342246 0.177317 -12.059784 -9.192408 2.557934 -17.620410 8.460463 -1.702132 -11.348895 -9.225224 9.836892 -8.352075 18.007639 3.030048 -5.395635
47 1.3143459558 -22.158225 -10.054596 -15.069628 1.710036 -8.087009 -13.491290 7.929411 6.271624 5.641211 -9.980779 9.650958 -7.969962 20.034908 -11.476677 -12.314705
48 1.3132820129 -24.356224 0.252774 -9.168735 0.465858 -1.273935 -16.854870 13.046064 3.433995 3.923377 -13.576698 7.225611 -1.629924 13.452903 0.170580 11.514757
49 1.3126920462 -20.887311 -6.207066 -11.866811 -6.035173 -12.265952 -13.259859 -0.696070 -0.624120 2.402523 -13.375613 -1.194828 -9.718565 17.798968 -3.095784 1.649038
50 1.3044581413 -24.389112 -9.073168 -5.480040 -2.432463 -1.969068 -14.863919 4.051552 2.017611 -0.734997 -7.858839 11.920526 5.746829 12.760057 -0.971587 3.776338
51 1.3141193390 -34.620492 -7.564445 -3.724173 -10.079709 -4.806066 -14.955994 8.075098 -3.208022 -6.088582 -10.214995 8.601714 1.278757 5.403082 -3.096830 7.444798
52 1.3077468872 -23.027732 -3.926185 -0.008408 0.762960 -6.049123 -11.410367 11.621049 8.711476 -7.790975 -11.999277 12.338978 -1.986272 11.833601 0.810974 -7.670313
53 1.3133702278 -31.017484 -5.968722 -3.778071 -7.832138 -1.544677 -10.181223 8.088328 1.429203 -3.871416 -13.018664 14.046170 6.002814 11.240479 -3.962225 -0.318598
54 1.3058582544 -25.318162 -2.105453 -7.869908 -6.234063 1.476382 -10.853715 7.489435 4.307979 -4.874052 -11.012669 11.226759 -10.181849 10.370887 0.767632 2.923675
55 1.3142206669 -23.315144 0.596952 -11.822594 -3.764207 -4.485043 -7.510082 8.355536 -4.078846 -4.293252 -8.109335 12.066272 -7.693924 26.752270 1.246070 14.273782
56 1.2837377787 -17.656575 -3.349307 -8.453163 -1.168142 4.272594 -8.018858 9.722246 2.227352 0.580190 -18.620688 -2.375580 1.804677 8.438550 -0.567368 -1.461566
57 1.3064466715 -12.719932 -0.480666 -2.635886 6.669202 1.033923 -12.250026 7.227992 -0.834005 1.570895 -19.666522 -3.229945 15.161373 2.721552 -7.152238 -1.603994
58 1.3144479990 -27.450644 -1.017202 -21.530399 12.677273 4.522894 -8.916088 13.809860 1.813784 -3.055051 -22.111330 -1.046591 1.490472 6.815315 -6.097400 -5.866189
59 1.3378307819 -12.745518 -4.020817 -14.403229 2.544079 4.815498 -8.927066 13.398324 -1.028239 -0.947787 -10.093555 -1.007752 6.680026 2.051928 1.830664 7.467707
60 1.2989817858 -18.801163 1.342949 -3.775321 7.276188 3.883960 -17.144188 4.577107 7.239536 9.285880 -11.598704 1.936674 2.757996 12.783836 2.122077 -4.637747
61 1.3104181290 -15.638144 -4.086154 -12.877945 -4.007814 9.622660 -7.162472 6.803680 -1.194326 -0.016728 -19.177125 -5.513657 -8.663028 5.066617 5.847257 1.712564
62 1.2512116432 -17.296654 -11.720063 -8.688961 7.776398 2.670674 -5.573042 6.313725 -3.410101 1.046850 -12.578432 -9.028732 4.377073 2.808310 2.602887 -8.738169
63 1.2611881495 -22.431076 -7.667719 -8.968651 9.072681 0.220451 -0.436511 4.909128 -2.438536 0.773941 -10.672735 -4.263589 -1.459898 13.297373 -0.371365 -6.245159
64 1.2947235107 -16.028373 -9.888822 -16.470945 5.930036 4.347285 -4.014700 9.113442 -0.620335 2.029697 -13.298673 -7.417042 3.708026 0.295344 -0.277167 -8.239880
65 1.3079502583 -13.494306 -12.027136 -6.675687 8.283103 4.366727 -11.941722 6.514356 -9.498681 4.273359 -9.860990 -8.391334 3.293212 7.441664 -7.327601 -19.421826
66 1.3071254492 -19.807647 -10.426486 -0.140026 6.639701 5.195576 -13.508887 6.888112 -11.436356 1.783620 -14.971971 -11.892601 2.967321 7.793604 4.332811 -5.857464
67 1.3015552759 -17.876529 -7.199022 -5.020380 20.120210 5.094957 -4.690302 10.763962 -4.468955 -0.546798 -12.728868 -8.815140 6.897452 -0.547769 2.370639 -9.310344
68 1.3150339127 -9.776380 -18.590211 -13.043037 7.542340 -0.481126 -5.492927 20.104842 -3.472842 -5.360724 -2.891236 -13.174197 -1.317232 -0.997151 -3.688523 -10.437267
69 1.3133019209 -18.032470 -8.993036 -14.685250 11.669416 -0.752401 -9.633579 0.337938 -5.289251 -1.423244 -21.107422 -9.866745 -6.130797 8.787709 5.631048 -6.295959
70 1.3071665764 -13.581602 -13.664264 -10.207130 7.765846 6.015320 -12.642507 9.324416 -2.044772 -2.038291 -13.859424 -9.346725 6.633412 4.350503 1.794608 -2.810998
71 1.2592439651 -14.824346 -12.393366 -5.425127 13.092586 -3.361535 -4.867412 2.978495 0.068675 -2.764765 -8.959271 -14.559761 -5.634211 5.069276 -0.848341 -4.846116
72 1.3113220930 -18.662111 -24.541807 -10.400550 9.068848 -3.594323 2.976119 15.199366 -0.912325 -1.161154 -9.072124 -9.244285 4.534293 -1.800943 1.957515 -1.170215
73 1.3144305944 -21.885670 -18.829304 -12.458756 7.013333 4.712890 -6.870766 0.032603 1.703067 7.580979 -20.184059 -8.110342 5.423678 2.129163 17.975086 -16.134665
74 1.2758016586 -19.519648 -14.799682 -7.330736 8.916036 6.296815 -12.771543 3.504218 -2.899868 -0.290002 -5.180180 -10.695341 2.563719 -3.555723 2.895472 -0.456614
75 1.3060523272 -17.181748 -8.603402 -13.909492 5.451575 3.940665 -9.163282 0.297313 -6.028282 -7.949892 -14.583235 -6.147600 4.203947 4.496200 9.481019 -10.400758
76 1.3142553568 -20.098642 -12.719111 -16.506515 8.435898 7.839232 -3.754008 6.832236 -6.199787 -0.694521 -16.693674 -14.453958 2.875403 2.801037 12.809016 -17.679382
77 1.3134626150 -25.358828 -23.505668 -14.242893 9.604588 7.365919 -1.003312 6.162822 3.628514 1.060603 -10.348768 -11.430797 5.280208 -1.171888 2.114275 -3.239108
78 1.2892861366 -15.347265 -15.717252 -7.069255 11.833585 4.999837 -7.562906 6.306200 3.615477 -0.192698 -12.096039 -11.208939 8.220773 -0.823188 -2.729383 -3.015464
79 1.2524218559 -18.696784 -8.263282 -9.419357 5.251559 0.296160 -6.735300 -0.669928 -3.772773 -2.898852 -12.209158 -13.300695 0.256972 -4.377144 0.445929 -7.244336
80 1.2822449207 -15.588704 -11.023053 -8.622146 11.670773 1.880962 -7.479804 8.349101 -6.940531 3.081922 -11.597365 -8.934758 1.932347 6.454827 -0.879266 -10.178381
81 1.2350094318 -16.634079 -12.927904 -9.141754 5.056638 2.800049 -3.314596 3.256139 -0.712342 5.272995 -10.577836 -9.732149 7.380837 1.498724 6.340762 -2.744047
82 1.2541047335 -14.562574 -8.688211 -8.642477 4.219952 12.891767 1.638231 2.202068 -7.524606 7.436658 -6.908628 -13.368421 -0.127084 -3.460620 0.923033 -4.705368
83 1.2721619606 -20.032813 -14.573277 -7.554367 5.733032 -0.400461 -2.098539 3.540207 -0.133619 5.068654 -13.302531 -8.649647 1.815258 7.943029 4.853267 -5.441420
84 1.3112565279 -14.176921 -8.047413 -13.657104 2.325914 8.130043 0.643649 1.175416 -2.638885 4.716347 -8.295728 -18.198097 10.456753 1.512481 12.192302 -7.286483
85 1.2935293913 -13.690943 -12.613349 -8.761962 5.982432 7.959791 -4.536670 7.823265 -4.020679 8.312658 -1.838667 -15.815227 7.161301 -4.887050 6.767336 -5.601447
86 1.2415945530 -14.163498 -13.898405 -9.132341 5.014004 7.269823 -8.426242 4.593175 -2.106094 8.102455 -6.016034 -4.089088 2.497229 0.962387 6.737276 -6.354916
87 1.2809128761 -11.919411 -10.031269 -4.781418 5.912534 1.654094 -7.395437 5.112777 1.115471 6.601535 -13.007327 -12.270252 6.990060 -0.870023 6.557035 1.683278
88 1.2916678190 -19.245711 -12.171536 -7.703863 7.948857 -1.520159 2.219077 8.027494 -0.369208 4.386820 -12.855346 -14.102784 5.368791 -3.466568 9.528086 -4.277366
