evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 1.7939335108 -3.364979 0.206154 -0.170669 4.070176 -2.116374 4.865669 1.884770 -3.848202 3.361558 -4.283646 -3.023257 -2.123114 0.520790 -3.166673 -3.180900
2 2.4277210236 2.539494 4.499196 1.362002 2.645879 -4.450312 -2.473766 -0.695822 3.093791 1.888529 2.094327 3.930595 -2.558568 2.140041 -4.917653 0.254976
3 2.0680136681 -3.320891 0.175246 -0.325874 2.140236 4.835308 -2.223050 -0.361713 0.921690 -4.775364 -3.027329 0.461985 2.974815 -3.557456 2.024986 4.246204
4 2.2958703041 -2.784157 -0.762995 -4.127815 -3.779632 -1.318901 -1.443476 -1.147576 -1.330755 -3.719214 1.954972 -1.910420 1.891934 -3.419914 3.710735 4.365590
5 2.4285035133 -1.903236 3.758712 -2.530170 2.465515 0.117502 4.697808 0.732271 -1.179675 0.260316 1.784545 0.043919 4.850841 -0.582847 4.320053 -3.768527
6 1.9957876205 -3.936969 -3.707655 3.108808 -3.813492 -2.316345 -2.601272 2.408716 -3.395587 0.687289 1.578023 -3.760709 -4.296316 1.444463 -1.643540 -0.886890
7 1.7350950241 2.477518 -4.227722 1.643805 4.530020 2.099338 -2.035186 -2.223617 -4.515006 1.979005 -0.811457 4.780845 1.434623 1.766814 4.954620 3.743323
8 1.7739272118 2.705871 2.409744 1.187550 -1.867675 2.685968 4.587091 -4.698669 -2.475929 -2.933560 -4.662475 -0.546630 -0.684456 -3.194481 -2.603010 -0.846908
9 2.6293735504 -1.518662 -2.487090 -4.500812 4.312815 -1.153197 -4.984217 -0.797378 2.780214 4.189470 0.151810 -1.201342 -0.160805 0.893644 2.272542 -0.387839
10 2.2913935184 0.526192 -0.549451 3.054964 -2.223621 -2.198266 -2.551416 2.759675 3.570857 3.735357 -0.260360 4.280098 0.186094 0.686053 -1.333983 2.114468
11 2.5290188789 4.766480 2.759591 -3.470184 2.252657 -0.091756 -4.032106 3.215156 0.246481 0.023034 -1.464525 -4.783962 -3.760315 2.607834 1.598200 -3.832071
12 1.6414469481 -4.892903 -0.815083 2.098544 3.136266 -0.352929 -0.381918 -1.525005 2.011715 3.199427 -2.437489 -0.041322 3.265673 4.251578 -3.218233 0.942807
13 2.2592206001 -3.758651 -4.303675 -2.592412 -2.030679 -2.878361 -3.463832 -3.102111 -0.048686 3.855936 0.850207 -3.839140 -0.045122 2.798525 3.919188 0.404352
14 2.0020632744 4.484626 4.380178 0.555742 0.105654 -4.802944 -0.740097 2.540757 2.407112 4.734183 1.278356 1.604265 -1.756747 1.812683 -4.803219 -0.803792
15 2.0110023022 2.972290 1.037059 -1.488259 -2.861761 1.295804 -4.899189 2.046952 3.036457 0.973436 4.722439 4.411730 3.288093 2.725853 0.770752 4.965849
16 2.0306098461 -1.223764 -3.359595 4.774587 -4.261264 -2.085772 -2.800537 -3.313472 1.312573 -1.122904 -3.899602 -1.791218 -3.906720 -3.896353 -3.493981 2.972859
17 2.5789499283 1.752221 3.405746 0.027540 3.897640 -1.542433 0.728537 -0.461547 4.833728 -0.446098 -2.688588 -4.602937 -0.827987 -1.253631 0.590095 -4.616406
18 1.8840240240 -1.347238 0.839347 1.090390 1.200371 4.964432 2.561527 -2.609254 -4.668698 4.304333 4.342780 -1.728301 3.551343 2.365443 3.071477 3.577397
19 2.2125062943 -0.828984 -1.890929 -3.322092 2.195381 -4.374813 -1.376730 -3.558612 4.749197 -3.484341 -3.142994 2.253894 -3.509600 -2.354024 2.369171 -3.331699
20 2.4905867577 -1.308767 2.309888 -1.727900 -2.790851 1.495442 -2.963347 3.171858 -1.672310 -4.269098 -3.748226 -3.111994 3.937160 -1.098894 3.239699 3.170512
21 2.0360817909 -4.940200 -2.283095 -2.314978 -2.423711 -1.853659 3.952795 -0.209260 3.478156 0.871342 -0.102243 2.027020 -1.995515 1.375484 1.341419 -1.861808
22 2.1412467957 1.238391 2.814525 2.759040 4.178411 3.957413 -1.838205 1.118046 4.780026 0.711763 -1.864853 1.708580 -3.050677 -2.845544 -4.965228 -2.819528
23 2.2981901169 2.412993 -1.116152 -4.031494 -0.300287 3.168545 3.527273 -3.190731 3.729023 -1.212020 -4.218375 2.224548 -1.579771 -1.701726 -4.764609 -0.978236
24 2.3206050396 -2.866014 4.252582 0.481005 0.664956 1.888225 -3.171576 2.660496 0.460410 -0.334975 2.357086 -0.269313 3.748280 -1.061075 -0.818689 2.663275
25 2.3619420528 2.567267 -3.462413 -3.828391 0.430035 3.715942 4.991379 -0.924777 1.443309 -2.420816 3.288997 -1.308407 -2.501514 3.049082 -3.361968 4.776295
26 1.8489822149 -4.992427 -3.594824 2.531078 -1.918041 -1.096058 -0.290067 1.404545 -2.346033 4.387996 0.458036 -4.315005 0.385874 3.771378 -3.260343 -1.550826
27 2.0134541988 4.025019 -0.203658 1.437006 2.368612 1.213251 1.594917 -1.019327 -2.292323 -4.387188 0.878086 -4.474216 -1.056050 1.428156 -1.089420 2.819940
28 2.1945877075 -0.340830 4.427826 3.039738 3.178051 -3.410111 -0.854977 -3.371042 -4.723118 4.268632 -4.807245 2.976400 -1.278847 0.837566 -2.293467 -3.310499
29 1.8955272436 -4.124561 -0.311158 2.049839 1.978560 -2.681339 4.553701 2.427379 2.307690 2.094922 -2.777078 -1.377300 -4.276439 -0.165616 -3.839429 1.817978
30 2.0135135651 4.153270 1.112060 0.353069 3.441427 1.571861 -0.050235 3.981818 4.439918 4.135546 -3.382693 4.202743 -3.685456 4.294211 -3.991269 1.517374
31 1.8161931038 3.956483 1.301933 -0.269542 -3.569395 -4.893860 2.940576 -4.889637 -1.736553 3.241695 2.254016 -4.033593 -2.746263 2.484354 4.996640 4.443254
32 1.9083001614 -4.674623 -4.743928 0.972336 -3.649097 -2.804286 4.374008 1.755023 4.364393 -3.533209 2.578859 -1.483007 2.450849 4.136144 -0.690096 -4.211385
33 2.4180698395 0.049282 0.560384 -1.969723 -4.404060 -3.461320 -2.437073 -2.342121 -1.839348 -0.921505 -1.396157 1.459782 1.190522 -2.610080 0.030231 4.552934
34 2.1879861355 -3.730455 -2.064380 -1.853501 -0.551994 -0.216129 2.710476 -1.667861 -1.118768 4.067219 -4.610315 2.780149 2.523119 0.496130 -3.640831 -3.141262
35 2.3712906837 -2.100743 -0.862968 2.134166 4.639808 -2.720042 -3.689266 -0.986614 0.804986 3.634185 1.066584 -3.209313 -1.661633 -1.880687 4.668139 -2.292521
36 2.4121456146 -1.065288 2.586247 -3.195291 1.556500 4.363899 2.146176 -3.705979 2.504663 -1.977567 4.146321 -3.983368 3.688588 -3.118883 -0.823486 -4.588614
37 1.9624986649 -2.608507 -4.047747 -1.002262 -4.783260 4.076685 1.523381 -2.058093 -3.593110 0.072422 2.002208 4.074412 -1.703179 -4.597046 4.899559 1.990503
38 2.3394718170 1.974228 4.707004 -4.158428 -3.957181 3.065812 3.111929 0.218654 4.502760 0.528030 2.304128 -1.238615 2.619188 -0.919515 2.557489 -1.675771
39 1.6820442677 -3.932553 -3.955982 2.323961 -4.899091 -2.035633 -4.417943 -4.529861 4.994556 1.494930 2.146765 0.611598 -3.814851 -2.928531 -2.406161 2.704438
40 2.2400314808 -1.215475 1.420412 -1.786332 1.257278 1.149578 0.232846 -2.103335 -4.200714 -0.107525 -4.950589 1.288625 -4.008497 -2.895783 1.701604 4.470633
41 2.2054495811 -1.814096 -0.472448 4.838473 2.891162 1.358209 3.986662 3.007266 -0.495830 -1.030992 2.678807 -4.405518 2.477936 2.055863 -1.806001 -0.178638
42 2.2433154583 3.354492 -3.774312 -0.953073 -1.769858 4.206207 0.559883 4.463049 3.948888 2.561240 2.484168 -4.351255 -0.788816 1.890952 -0.916760 0.425701
43 2.3893985748 -2.911242 1.073959 -0.224127 1.485875 1.445837 -3.383249 -2.712090 -4.155694 1.565453 0.282355 -3.151013 1.395981 1.200768 2.602597 0.521773
44 2.1502928734 2.298889 0.671908 -1.221815 -1.288679 -1.186107 1.308812 2.085007 4.026011 -2.732891 -4.322877 -1.541630 3.978151 4.451521 3.294883 -0.339610
